,open,high,low,close,volume,datetime
0,16.59,16.94,16.52,16.84,104500,2002-06-10 05:00:00
1,16.93,16.98,16.25,16.6,20800,2002-06-11 05:00:00
2,16.4,16.69,16.29,16.69,26400,2002-06-12 05:00:00
3,16.59,16.9,16.35,16.45,239700,2002-06-13 05:00:00
4,16.41,16.65,16.25,16.63,26400,2002-06-14 05:00:00
5,16.75,17.34,16.75,17.25,54000,2002-06-17 05:00:00
6,17.33,17.34,16.59,16.79,40600,2002-06-18 05:00:00
7,17.0,17.24,16.66,16.9,49200,2002-06-19 05:00:00
8,17.1,17.28,16.5,16.51,40800,2002-06-20 05:00:00
9,17.0,17.25,16.5,16.62,32900,2002-06-21 05:00:00
10,17.03,17.03,16.5,16.9,40400,2002-06-24 05:00:00
11,17.0,17.47,16.75,17.25,75200,2002-06-25 05:00:00
12,16.86,16.86,16.01,16.25,134600,2002-06-26 05:00:00
13,16.3,16.3,14.36,15.03,204700,2002-06-27 05:00:00
14,14.73,15.1,14.62,14.96,116800,2002-06-28 05:00:00
15,15.01,15.08,14.61,14.63,110400,2002-07-01 05:00:00
16,14.63,15.02,13.0,14.28,68400,2002-07-02 05:00:00
17,14.29,14.37,13.61,14.0,39600,2002-07-03 05:00:00
18,13.93,14.65,13.93,14.62,20300,2002-07-05 05:00:00
19,14.5,14.68,14.41,14.58,40300,2002-07-08 05:00:00
20,14.54,14.97,14.0,14.0,289800,2002-07-09 05:00:00
21,14.24,14.24,13.15,13.6,44700,2002-07-10 05:00:00
22,13.79,14.1,13.15,13.5,76600,2002-07-11 05:00:00
23,13.56,13.86,13.02,13.03,81400,2002-07-12 05:00:00
24,13.0,13.9,12.25,12.74,111500,2002-07-15 05:00:00
25,12.61,13.05,11.85,12.0,95300,2002-07-16 05:00:00
26,12.01,12.11,10.65,10.8,279000,2002-07-17 05:00:00
27,10.88,11.5,10.69,10.73,129200,2002-07-18 05:00:00
28,10.62,10.93,10.0,10.06,155600,2002-07-19 05:00:00
29,10.1,10.27,10.01,10.05,110900,2002-07-22 05:00:00
30,10.35,10.7,9.76,10.17,69700,2002-07-23 05:00:00
31,9.8,10.15,9.75,10.0,70100,2002-07-24 05:00:00
32,10.24,10.5,10.01,10.12,79200,2002-07-25 05:00:00
33,9.91,10.24,9.76,9.9,287400,2002-07-26 05:00:00
34,9.87,10.11,9.64,9.75,143300,2002-07-29 05:00:00
35,9.77,9.9,9.61,9.77,115500,2002-07-30 05:00:00
36,9.6,9.8,9.5,9.5,107500,2002-07-31 05:00:00
37,9.47,9.78,9.45,9.55,99800,2002-08-01 05:00:00
38,9.51,9.6,9.21,9.27,96000,2002-08-02 05:00:00
39,9.27,9.27,8.98,9.0,92800,2002-08-05 05:00:00
40,8.98,9.29,8.98,9.11,71300,2002-08-06 05:00:00
41,9.32,9.38,9.04,9.25,173000,2002-08-07 05:00:00
42,9.2,9.39,9.14,9.2,176900,2002-08-08 05:00:00
43,9.2,9.65,8.98,8.98,34400,2002-08-09 05:00:00
44,8.99,9.48,8.99,9.16,33800,2002-08-12 05:00:00
45,9.02,9.44,9.0,9.0,31000,2002-08-13 05:00:00
46,9.01,9.19,8.98,9.1,54200,2002-08-14 05:00:00
47,9.25,9.25,9.01,9.17,130800,2002-08-15 05:00:00
48,9.13,9.25,8.95,9.05,28500,2002-08-16 05:00:00
49,8.85,9.18,8.85,9.15,73800,2002-08-19 05:00:00
50,9.06,9.34,9.0,9.12,53700,2002-08-20 05:00:00
51,9.35,9.4,9.1,9.19,19400,2002-08-21 05:00:00
52,9.1,9.3,9.01,9.15,63700,2002-08-22 05:00:00
53,9.04,9.25,9.04,9.1,44300,2002-08-23 05:00:00
54,9.24,10.15,9.16,10.02,329900,2002-08-26 05:00:00
55,10.2,11.25,10.19,10.68,201600,2002-08-27 05:00:00
56,10.95,11.0,10.1,10.1,55200,2002-08-28 05:00:00
57,10.09,10.09,9.47,9.5,162900,2002-08-29 05:00:00
58,9.49,10.72,9.49,9.7,81700,2002-08-30 05:00:00
59,9.77,10.01,9.66,9.86,53800,2002-09-03 05:00:00
60,9.86,10.2,9.81,9.99,196500,2002-09-04 05:00:00
61,9.95,10.0,9.75,9.85,40300,2002-09-05 05:00:00
62,9.85,10.25,9.83,10.06,83600,2002-09-06 05:00:00
63,10.2,10.25,9.96,10.21,64300,2002-09-09 05:00:00
64,10.22,10.49,10.0,10.35,105500,2002-09-10 05:00:00
65,10.25,10.5,10.25,10.3,48700,2002-09-11 05:00:00
66,10.4,10.4,10.01,10.17,47700,2002-09-12 05:00:00
67,10.12,10.29,10.01,10.29,60100,2002-09-13 05:00:00
68,10.2,10.3,10.14,10.14,13200,2002-09-16 05:00:00
69,10.25,10.3,10.08,10.3,45800,2002-09-17 05:00:00
70,10.11,10.2,9.77,9.92,38800,2002-09-18 05:00:00
71,9.77,9.78,9.1,9.39,84300,2002-09-19 05:00:00
72,9.16,9.5,8.94,9.1,122500,2002-09-20 05:00:00
73,9.05,9.12,8.9,9.06,39500,2002-09-23 05:00:00
74,9.0,9.12,9.0,9.0,33700,2002-09-24 05:00:00
75,8.91,9.3,8.9,9.3,53200,2002-09-25 05:00:00
76,9.05,9.35,9.05,9.18,63800,2002-09-26 05:00:00
77,9.05,9.17,8.8,8.95,41800,2002-09-27 05:00:00
78,8.86,9.14,8.8,8.95,71400,2002-09-30 05:00:00
79,9.0,9.01,8.75,9.0,28200,2002-10-01 05:00:00
80,8.76,9.14,8.75,8.78,59600,2002-10-02 05:00:00
81,8.78,9.09,8.78,9.09,78300,2002-10-03 05:00:00
82,9.1,9.13,8.9,8.95,31200,2002-10-04 05:00:00
83,9.03,9.04,8.78,8.8,19200,2002-10-07 05:00:00
84,8.72,8.93,8.7,8.9,13000,2002-10-08 05:00:00
85,8.68,8.91,8.56,8.56,40800,2002-10-09 05:00:00
86,8.53,8.55,8.31,8.4,26000,2002-10-10 05:00:00
87,8.3,8.8,8.22,8.25,26300,2002-10-11 05:00:00
88,8.1,8.35,8.04,8.25,40800,2002-10-14 05:00:00
89,8.15,8.3,8.05,8.15,61200,2002-10-15 05:00:00
90,8.29,8.29,7.95,7.96,15400,2002-10-16 05:00:00
91,8.03,8.23,7.75,8.0,23200,2002-10-17 05:00:00
92,8.09,8.1,7.53,7.93,23700,2002-10-18 05:00:00
93,7.7,8.0,7.51,7.88,16100,2002-10-21 05:00:00
94,7.73,8.0,7.61,8.0,14700,2002-10-22 05:00:00
95,7.8,8.05,7.8,8.0,35400,2002-10-23 05:00:00
96,8.05,8.08,7.84,7.84,32100,2002-10-24 05:00:00
97,7.8,7.8,6.73,7.7,119100,2002-10-25 05:00:00
98,7.7,7.95,7.43,7.78,45500,2002-10-28 06:00:00
99,7.89,7.9,7.77,7.89,24700,2002-10-29 06:00:00
100,7.76,7.97,7.65,7.89,68200,2002-10-30 06:00:00
101,7.99,8.0,7.85,7.85,51000,2002-10-31 06:00:00
102,7.99,8.0,7.78,8.0,84100,2002-11-01 06:00:00
103,8.03,8.1,7.92,7.99,96800,2002-11-04 06:00:00
104,7.93,8.42,7.93,8.28,234400,2002-11-05 06:00:00
105,8.25,8.75,8.24,8.74,105700,2002-11-06 06:00:00
106,8.58,8.67,8.2,8.2,34500,2002-11-07 06:00:00
107,8.21,8.6,8.21,8.3,41200,2002-11-08 06:00:00
108,8.27,8.52,8.27,8.5,74500,2002-11-11 06:00:00
109,8.38,8.7,8.2,8.46,42800,2002-11-12 06:00:00
110,8.41,8.6,8.25,8.58,21400,2002-11-13 06:00:00
111,8.59,8.98,8.41,8.83,304800,2002-11-14 06:00:00
112,8.74,9.3,8.63,9.16,35000,2002-11-15 06:00:00
113,9.25,9.25,8.65,8.73,28600,2002-11-18 06:00:00
114,8.68,8.75,8.55,8.75,36600,2002-11-19 06:00:00
115,8.74,9.1,8.5,9.1,38300,2002-11-20 06:00:00
116,9.17,9.48,8.98,9.44,115100,2002-11-21 06:00:00
117,9.37,9.5,9.25,9.46,115400,2002-11-22 06:00:00
118,9.46,9.64,9.4,9.63,14900,2002-11-25 06:00:00
119,9.61,9.61,9.45,9.55,12400,2002-11-26 06:00:00
120,9.5,9.8,9.5,9.8,47000,2002-11-27 06:00:00
121,9.82,10.05,9.82,9.96,34600,2002-11-29 06:00:00
122,9.92,10.04,9.92,9.99,19800,2002-12-02 06:00:00
123,9.95,10.04,9.7,9.71,16900,2002-12-03 06:00:00
124,9.71,9.81,9.5,9.6,63900,2002-12-04 06:00:00
125,9.56,9.8,9.5,9.73,17300,2002-12-05 06:00:00
126,9.77,9.94,9.62,9.86,45800,2002-12-06 06:00:00
127,9.78,9.89,9.53,9.73,37500,2002-12-09 06:00:00
128,9.85,9.89,9.5,9.51,39700,2002-12-10 06:00:00
129,9.65,9.7,9.5,9.7,26600,2002-12-11 06:00:00
130,9.74,9.8,9.61,9.8,3100,2002-12-12 06:00:00
131,9.61,9.8,9.5,9.5,177000,2002-12-13 06:00:00
132,9.64,9.9,9.5,9.9,30900,2002-12-16 06:00:00
133,9.81,10.0,9.69,9.99,27300,2002-12-17 06:00:00
134,10.05,10.44,9.84,10.44,52400,2002-12-18 06:00:00
135,10.47,10.47,9.5,9.51,91000,2002-12-19 06:00:00
136,9.5,9.84,9.25,9.55,272200,2002-12-20 06:00:00
137,9.54,9.65,9.45,9.65,125500,2002-12-23 06:00:00
138,9.58,9.64,9.43,9.51,19300,2002-12-24 06:00:00
139,9.51,9.7,9.29,9.59,49100,2002-12-26 06:00:00
140,9.41,9.75,9.4,9.5,64100,2002-12-27 06:00:00
141,9.55,9.55,9.18,9.41,25400,2002-12-30 06:00:00
142,9.16,10.04,9.16,9.74,119200,2002-12-31 06:00:00
143,9.6,10.05,9.6,10.0,41900,2003-01-02 06:00:00
144,10.0,10.25,9.92,10.19,13000,2003-01-03 06:00:00
145,10.19,10.6,10.19,10.55,29200,2003-01-06 06:00:00
146,10.4,10.74,10.32,10.74,30400,2003-01-07 06:00:00
147,10.57,10.61,10.26,10.42,28000,2003-01-08 06:00:00
148,10.09,10.6,10.08,10.5,32000,2003-01-09 06:00:00
149,10.43,10.65,10.11,10.51,79600,2003-01-10 06:00:00
150,10.5,10.6,10.4,10.49,41700,2003-01-13 06:00:00
151,10.41,10.48,10.35,10.4,40400,2003-01-14 06:00:00
152,10.35,10.4,10.3,10.3,20900,2003-01-15 06:00:00
153,10.2,10.36,10.11,10.29,29500,2003-01-16 06:00:00
154,10.3,10.3,9.99,10.2,61200,2003-01-17 06:00:00
155,10.07,10.08,9.75,9.98,51400,2003-01-21 06:00:00
156,9.83,10.14,9.81,10.0,22400,2003-01-22 06:00:00
157,10.19,10.19,9.96,9.99,18400,2003-01-23 06:00:00
158,10.0,10.0,9.55,9.61,17300,2003-01-24 06:00:00
159,9.51,9.84,9.36,9.58,15600,2003-01-27 06:00:00
160,9.6,9.6,9.4,9.4,33200,2003-01-28 06:00:00
161,9.33,9.33,9.11,9.14,26800,2003-01-29 06:00:00
162,9.2,9.3,9.01,9.16,114000,2003-01-30 06:00:00
163,9.07,9.67,9.06,9.67,11800,2003-01-31 06:00:00
164,9.45,9.6,9.35,9.46,10600,2003-02-03 06:00:00
165,9.29,9.42,9.11,9.39,22800,2003-02-04 06:00:00
166,9.45,9.7,9.21,9.56,12100,2003-02-05 06:00:00
167,9.21,9.6,9.21,9.5,20800,2003-02-06 06:00:00
168,9.5,9.56,9.5,9.5,19500,2003-02-07 06:00:00
169,9.49,9.67,9.49,9.5,21500,2003-02-10 06:00:00
170,9.77,9.77,9.5,9.5,28100,2003-02-11 06:00:00
171,9.5,9.57,9.5,9.5,29900,2003-02-12 06:00:00
172,9.5,9.65,9.5,9.54,43000,2003-02-13 06:00:00
173,9.51,9.64,9.51,9.55,12100,2003-02-14 06:00:00
174,9.51,9.9,9.5,9.65,16200,2003-02-18 06:00:00
175,9.6,9.6,9.54,9.59,5900,2003-02-19 06:00:00
176,9.5,9.81,9.5,9.81,8100,2003-02-20 06:00:00
177,9.5,9.9,9.5,9.6,20600,2003-02-21 06:00:00
178,9.51,9.7,9.5,9.5,13400,2003-02-24 06:00:00
179,9.55,9.71,9.45,9.69,20400,2003-02-25 06:00:00
180,9.54,9.7,9.49,9.52,11800,2003-02-26 06:00:00
181,9.55,9.79,9.5,9.79,8800,2003-02-27 06:00:00
182,9.64,9.79,9.59,9.6,12900,2003-02-28 06:00:00
183,9.5,9.66,9.5,9.56,9100,2003-03-03 06:00:00
184,9.5,9.58,9.49,9.54,18300,2003-03-04 06:00:00
185,9.59,9.61,9.5,9.54,19400,2003-03-05 06:00:00
186,9.53,9.59,9.21,9.59,123500,2003-03-06 06:00:00
187,9.38,9.69,9.38,9.5,11300,2003-03-07 06:00:00
188,9.5,9.56,9.42,9.5,17400,2003-03-10 06:00:00
189,9.45,9.6,9.45,9.5,25500,2003-03-11 06:00:00
190,9.5,9.58,9.5,9.54,15000,2003-03-12 06:00:00
191,9.57,9.84,9.5,9.75,11900,2003-03-13 06:00:00
192,9.51,10.0,9.51,9.95,16700,2003-03-14 06:00:00
193,9.99,10.75,9.79,10.72,55900,2003-03-17 06:00:00
194,10.71,10.72,10.51,10.67,17600,2003-03-18 06:00:00
195,10.75,10.75,10.5,10.64,16900,2003-03-19 06:00:00
196,10.46,10.75,10.46,10.75,18600,2003-03-20 06:00:00
197,10.75,10.75,10.18,10.45,52500,2003-03-21 06:00:00
198,10.55,10.55,10.11,10.12,17300,2003-03-24 06:00:00
199,10.18,10.57,10.09,10.35,148800,2003-03-25 06:00:00
200,10.37,10.42,10.12,10.13,14700,2003-03-26 06:00:00
201,10.05,10.17,9.95,10.17,16400,2003-03-27 06:00:00
202,9.85,10.0,9.75,9.75,14900,2003-03-28 06:00:00
203,9.55,9.95,9.51,9.65,23600,2003-03-31 06:00:00
204,9.6,9.91,9.51,9.7,34800,2003-04-01 06:00:00
205,9.61,9.69,9.5,9.63,26800,2003-04-02 06:00:00
206,9.6,9.6,9.4,9.42,43400,2003-04-03 06:00:00
207,9.42,9.52,9.15,9.27,81600,2003-04-04 06:00:00
208,9.39,9.43,9.2,9.27,17800,2003-04-07 05:00:00
209,9.29,9.59,9.2,9.58,16700,2003-04-08 05:00:00
210,9.43,9.65,9.4,9.65,11700,2003-04-09 05:00:00
211,9.64,9.65,9.5,9.55,11200,2003-04-10 05:00:00
212,9.63,9.63,9.39,9.56,93300,2003-04-11 05:00:00
213,9.58,9.87,9.5,9.87,21300,2003-04-14 05:00:00
214,9.52,9.83,9.45,9.76,12500,2003-04-15 05:00:00
215,9.61,9.67,9.5,9.5,8700,2003-04-16 05:00:00
216,9.9,9.92,9.5,9.56,8700,2003-04-17 05:00:00
217,9.51,9.86,9.51,9.6,8100,2003-04-21 05:00:00
218,9.5,9.95,9.5,9.93,31000,2003-04-22 05:00:00
219,10.05,10.06,9.73,10.06,21300,2003-04-23 05:00:00
220,10.1,10.44,10.02,10.43,13600,2003-04-24 05:00:00
221,10.32,10.44,9.93,10.07,16100,2003-04-25 05:00:00
222,10.07,10.34,9.95,10.0,36900,2003-04-28 05:00:00
223,9.95,10.06,9.95,9.97,26800,2003-04-29 05:00:00
224,9.85,10.48,9.85,10.48,9700,2003-04-30 05:00:00
225,10.38,10.5,10.02,10.47,29500,2003-05-01 05:00:00
226,10.26,10.5,10.08,10.29,24200,2003-05-02 05:00:00
227,10.28,10.3,9.88,10.19,92600,2003-05-05 05:00:00
228,10.26,10.5,10.18,10.25,38800,2003-05-06 05:00:00
229,10.29,10.29,10.0,10.23,23400,2003-05-07 05:00:00
230,10.2,10.25,9.8,9.9,30200,2003-05-08 05:00:00
231,9.99,10.48,9.99,10.18,23700,2003-05-09 05:00:00
232,10.16,10.7,10.16,10.33,17400,2003-05-12 05:00:00
233,10.47,10.6,10.34,10.5,11400,2003-05-13 05:00:00
234,10.39,10.98,10.39,10.86,20000,2003-05-14 05:00:00
235,10.98,11.15,10.92,11.14,11500,2003-05-15 05:00:00
236,10.77,11.15,10.66,11.0,19700,2003-05-16 05:00:00
237,11.13,11.14,10.7,11.13,18000,2003-05-19 05:00:00
238,11.11,11.11,10.0,10.11,42100,2003-05-20 05:00:00
239,10.15,10.23,9.91,10.22,15300,2003-05-21 05:00:00
240,9.91,10.31,9.91,10.28,7600,2003-05-22 05:00:00
241,10.12,10.41,10.12,10.36,5300,2003-05-23 05:00:00
242,10.41,10.97,10.41,10.88,17900,2003-05-27 05:00:00
243,10.77,11.12,10.69,10.87,24800,2003-05-28 05:00:00
244,10.87,11.36,10.87,11.29,33700,2003-05-29 05:00:00
245,11.16,11.6,11.16,11.55,30800,2003-05-30 05:00:00
246,11.45,12.24,11.45,11.88,58100,2003-06-02 05:00:00
247,11.73,11.93,11.54,11.87,23000,2003-06-03 05:00:00
248,11.8,12.52,11.8,12.37,38400,2003-06-04 05:00:00
249,12.28,12.9,12.2,12.7,53100,2003-06-05 05:00:00
