,open,high,low,close,volume,datetime
0,3.91375,4.15,3.89375,4.1375,1542400,2002-06-10 05:00:00
1,4.1525,4.27375,4.1375,4.25125,2635200,2002-06-11 05:00:00
2,4.2575,4.37125,4.225,4.35625,1676000,2002-06-12 05:00:00
3,4.3475,4.3475,4.195,4.25125,1786400,2002-06-13 05:00:00
4,4.185,4.35625,4.11125,4.29125,2048000,2002-06-14 05:00:00
5,4.3625,4.54375,4.30375,4.54375,1833600,2002-06-17 05:00:00
6,4.51875,4.625,4.475,4.595,2637600,2002-06-18 05:00:00
7,4.6225,4.65375,4.51875,4.5425,3777600,2002-06-19 05:00:00
8,4.52,4.5375,4.3125,4.39625,3566400,2002-06-20 05:00:00
9,4.43,4.43125,4.34375,4.40875,633600,2002-06-21 05:00:00
10,4.385,4.5,4.3375,4.40625,1523200,2002-06-24 05:00:00
11,4.3975,4.43875,4.07375,4.1125,1780000,2002-06-25 05:00:00
12,4.06125,4.225,4.025,4.11875,1660800,2002-06-26 05:00:00
13,4.2,4.28625,4.1275,4.21875,1853600,2002-06-27 05:00:00
14,4.275,4.37125,4.1625,4.34,1292000,2002-06-28 05:00:00
15,4.37125,4.3825,4.0625,4.0825,1680000,2002-07-01 05:00:00
16,4.04875,4.0875,3.96875,4.015,1883200,2002-07-02 05:00:00
17,4.00875,4.125,3.97625,4.10375,1431200,2002-07-03 05:00:00
18,4.125,4.22625,4.06375,4.16,414400,2002-07-05 05:00:00
19,4.1775,4.3625,4.155,4.31375,1516800,2002-07-08 05:00:00
20,4.31125,4.4375,4.2625,4.30125,2198400,2002-07-09 05:00:00
21,4.28875,4.325,4.05,4.07375,1755200,2002-07-10 05:00:00
22,4.0325,4.04125,3.75,3.8525,2478400,2002-07-11 05:00:00
23,3.855,3.96625,3.7875,3.855,2236000,2002-07-12 05:00:00
24,3.825,3.82625,3.35,3.46875,5173600,2002-07-15 05:00:00
25,3.4575,3.48375,3.2575,3.3,2189600,2002-07-16 05:00:00
26,3.3275,3.4675,3.08875,3.175,1939200,2002-07-17 05:00:00
27,3.155,3.28625,3.09625,3.15,1762400,2002-07-18 05:00:00
28,3.09375,3.1,2.84375,2.95,2112000,2002-07-19 05:00:00
29,2.98125,3.00625,2.7,2.83125,2448000,2002-07-22 05:00:00
30,2.84375,2.9625,2.8125,2.84375,4426400,2002-07-23 05:00:00
31,2.8625,3.325,2.6875,3.3,3316800,2002-07-24 05:00:00
32,3.24375,3.365,3.04875,3.0625,3700000,2002-07-25 05:00:00
33,3.07625,3.2625,3.0625,3.195,1108000,2002-07-26 05:00:00
34,3.1925,3.66,3.1925,3.6375,3375200,2002-07-29 05:00:00
35,3.605,3.6125,3.43125,3.47,3216800,2002-07-30 05:00:00
36,3.38125,3.3825,2.76875,2.9075,14136800,2002-07-31 05:00:00
37,2.84625,2.9375,2.7875,2.87625,4371200,2002-08-01 05:00:00
38,2.76875,2.76875,2.55375,2.61875,4548800,2002-08-02 05:00:00
39,2.55625,2.71875,2.53125,2.54125,1292800,2002-08-05 05:00:00
40,2.68125,2.73375,2.61125,2.61125,2956800,2002-08-06 05:00:00
41,2.6375,2.7125,2.46625,2.615,2698400,2002-08-07 05:00:00
42,2.9,3.1875,2.8825,3.08625,10297600,2002-08-08 05:00:00
43,2.96875,3.09375,2.95,3.06125,1914400,2002-08-09 05:00:00
44,3.05875,3.06625,2.9875,2.99,2583200,2002-08-12 05:00:00
45,2.9875,3.105,2.96875,3.00125,3075200,2002-08-13 05:00:00
46,2.975,3.215,2.915,3.16125,3165600,2002-08-14 05:00:00
47,3.2375,3.59375,3.2375,3.43375,5205600,2002-08-15 05:00:00
48,3.445,3.52125,3.33875,3.495,3681600,2002-08-16 05:00:00
49,3.5,3.75,3.47,3.66625,3123200,2002-08-19 05:00:00
50,3.68,3.71875,3.6125,3.65,3703200,2002-08-20 05:00:00
51,3.6375,3.71,3.5375,3.54625,1908000,2002-08-21 05:00:00
52,3.5375,3.6475,3.425,3.62625,2003200,2002-08-22 05:00:00
53,3.625,3.685,3.5625,3.625,1604000,2002-08-23 05:00:00
54,3.4375,3.54375,3.2875,3.48125,4140800,2002-08-26 05:00:00
55,3.46625,3.475,3.3625,3.375,4891200,2002-08-27 05:00:00
56,3.35,3.35,3.20625,3.235,4058400,2002-08-28 05:00:00
57,3.2275,3.2625,3.1225,3.1925,3649600,2002-08-29 05:00:00
58,3.19125,3.26625,3.18125,3.23625,2441600,2002-08-30 05:00:00
59,3.22,3.225,3.005,3.02375,2794400,2002-09-03 05:00:00
60,2.98125,3.16875,2.9725,3.14875,2875200,2002-09-04 05:00:00
61,3.0975,3.18125,3.0625,3.13125,2265600,2002-09-05 05:00:00
62,3.18125,3.3125,3.1375,3.295,2403200,2002-09-06 05:00:00
63,3.275,3.56125,3.2425,3.54625,2330400,2002-09-09 05:00:00
64,3.565,3.63125,3.4375,3.47,6901600,2002-09-10 05:00:00
65,3.4975,3.54875,3.45875,3.46125,1220000,2002-09-11 05:00:00
66,3.4575,3.46375,3.35875,3.3625,3071200,2002-09-12 05:00:00
67,3.35625,3.47125,3.30625,3.4225,1877600,2002-09-13 05:00:00
68,3.4,3.505,3.39,3.4625,799200,2002-09-16 05:00:00
