,open,high,low,close,volume,datetime
0,24.86,25.47,24.06,25.47,4794,2021-12-15 06:00:00
1,25.98,25.98,24.37,24.4675,1719,2021-12-16 06:00:00
2,24.18,24.55,23.9,24.4642,1304,2021-12-17 06:00:00
3,23.9,23.9,23.49,23.49,1797,2021-12-20 06:00:00
4,24.61,24.61,24.52,24.52,742,2021-12-21 06:00:00
5,24.88,24.88,24.88,24.88,1194,2021-12-22 06:00:00
6,25.6451,25.7344,25.6451,25.7344,2159,2021-12-23 06:00:00
7,26.04,26.2,25.8301,25.9768,2346,2021-12-27 06:00:00
8,25.97,25.97,25.97,25.97,539,2021-12-28 06:00:00
9,24.78,24.78,24.62,24.67,801,2021-12-29 06:00:00
10,24.63,25.12,24.63,24.8105,2246,2021-12-30 06:00:00
11,24.63,24.65,24.2233,24.2233,550,2021-12-31 06:00:00
12,24.56,24.7874,24.56,24.7874,2080,2022-01-03 06:00:00
13,23.92,23.92,23.0889,23.0889,387,2022-01-05 06:00:00
14,22.54,22.879,22.4,22.879,1114,2022-01-06 06:00:00
15,21.57,21.71,21.57,21.71,407,2022-01-10 06:00:00
16,24.15,24.15,23.085,23.27,475,2022-01-11 06:00:00
17,24.23,24.23,23.8799,23.8799,222,2022-01-12 06:00:00
18,24.41,24.41,23.66,23.66,3470,2022-01-13 06:00:00
19,21.78,21.78,21.6945,21.6945,485,2022-01-18 06:00:00
20,21.885,21.885,21.3717,21.3717,836,2022-01-19 06:00:00
21,21.96,22.24,21.0393,21.0393,3026,2022-01-20 06:00:00
22,20.54,20.54,19.1364,19.1364,1159,2022-01-21 06:00:00
23,19.0,19.0,17.51,18.9767,2109,2022-01-24 06:00:00
24,19.2899,19.3,19.0,19.0,1034,2022-01-25 06:00:00
25,19.3901,19.6499,18.3613,18.3613,1754,2022-01-26 06:00:00
26,18.4733,18.4733,17.4643,17.4643,1138,2022-01-27 06:00:00
27,17.25,18.303,17.23,18.303,1281,2022-01-28 06:00:00
28,19.4487,19.7365,19.4487,19.7365,737,2022-01-31 06:00:00
29,19.69,20.44,19.69,20.2899,1012,2022-02-01 06:00:00
30,20.16,20.16,18.7562,19.0103,2061,2022-02-02 06:00:00
31,18.84,18.84,18.3066,18.3066,651,2022-02-03 06:00:00
32,19.285,19.6,19.285,19.5162,880,2022-02-04 06:00:00
33,20.255,20.255,19.69,19.7857,1769,2022-02-07 06:00:00
34,19.5,20.1485,19.5,20.1485,3726,2022-02-08 06:00:00
35,20.6,20.9956,20.516,20.9956,2639,2022-02-09 06:00:00
36,20.61,21.4,20.32,20.3761,1785,2022-02-10 06:00:00
37,20.57,20.57,19.5339,19.5339,838,2022-02-11 06:00:00
38,19.37,20.06,19.37,19.56,5207,2022-02-14 06:00:00
39,20.31,21.0399,20.31,20.7503,1473,2022-02-15 06:00:00
40,20.36,20.4702,20.36,20.4702,1766,2022-02-16 06:00:00
41,19.7612,19.7612,19.1685,19.1685,2243,2022-02-17 06:00:00
42,18.0,18.03,17.8,18.01,2848,2022-02-22 06:00:00
43,17.96,17.96,17.37,17.37,4697,2022-02-23 06:00:00
44,16.7,18.11,16.7,18.11,1357,2022-02-24 06:00:00
45,18.56,18.856,18.2799,18.856,2298,2022-02-25 06:00:00
46,19.49,19.7385,19.47,19.7385,818,2022-02-28 06:00:00
47,19.96,20.0886,19.535,19.723,1730,2022-03-01 06:00:00
48,19.6934,19.6934,19.6,19.6,373,2022-03-02 06:00:00
49,18.88,18.88,18.5271,18.5271,925,2022-03-03 06:00:00
50,17.3,17.3,16.9206,16.9206,341,2022-03-07 06:00:00
51,17.6667,17.6667,17.2601,17.2601,650,2022-03-08 06:00:00
52,18.68,18.68,18.68,18.68,282,2022-03-09 06:00:00
53,19.0,19.0,18.1,18.1,892,2022-03-10 06:00:00
54,17.11,17.11,17.11,17.11,509,2022-03-11 06:00:00
55,16.0201,16.2965,16.0201,16.2965,1462,2022-03-14 05:00:00
56,16.82,17.1466,16.8,17.1466,1229,2022-03-15 05:00:00
57,19.2,19.4578,19.2,19.4578,754,2022-03-17 05:00:00
58,19.95,20.2938,19.95,20.2938,355,2022-03-18 05:00:00
59,20.4799,20.811,20.4799,20.811,1067,2022-03-22 05:00:00
60,20.86,21.23,20.75,20.75,1367,2022-03-23 05:00:00
61,20.85,21.0823,20.78,21.0823,514,2022-03-24 05:00:00
62,22.81,22.81,19.81,20.52,999,2022-03-25 05:00:00
63,21.22,21.28,21.22,21.28,3677,2022-03-28 05:00:00
64,21.74,22.55,21.74,22.55,1001,2022-03-29 05:00:00
65,22.1445,22.74,21.56,21.56,2095,2022-03-30 05:00:00
66,21.33,21.33,21.33,21.33,213,2022-03-31 05:00:00
67,21.2,21.2,21.053,21.053,291,2022-04-01 05:00:00
68,21.59,21.59,20.8131,20.8131,1383,2022-04-05 05:00:00
69,20.22,20.22,19.66,19.8713,5608,2022-04-06 05:00:00
70,19.36,19.36,19.36,19.36,269,2022-04-08 05:00:00
71,19.4399,19.4399,18.9661,18.9661,832,2022-04-12 05:00:00
72,19.3,19.5,19.3,19.407,7775,2022-04-13 05:00:00
73,19.06,19.06,18.9166,18.9266,510,2022-04-14 05:00:00
74,18.92,18.92,18.34,18.6038,4468,2022-04-18 05:00:00
75,19.23,19.2528,19.23,19.2528,306,2022-04-19 05:00:00
76,18.92,18.92,18.6189,18.6189,728,2022-04-20 05:00:00
77,19.13,19.13,17.91,17.91,1846,2022-04-21 05:00:00
78,17.52,17.52,17.4082,17.4082,1579,2022-04-22 05:00:00
79,17.55,17.8031,17.46,17.8031,685,2022-04-25 05:00:00
80,18.5,18.5,16.7791,16.7791,280,2022-04-26 05:00:00
81,16.75,16.7585,16.6644,16.6644,697,2022-04-27 05:00:00
82,16.52,17.0288,16.52,17.0288,882,2022-04-28 05:00:00
83,16.2647,16.2647,16.2647,16.2647,240,2022-04-29 05:00:00
84,16.2,16.7641,16.2,16.7641,518,2022-05-02 05:00:00
85,16.82,16.91,16.6055,16.6055,1926,2022-05-03 05:00:00
86,16.24,17.33,16.24,17.2773,1482,2022-05-04 05:00:00
87,16.72,16.72,15.63,15.81,6885,2022-05-05 05:00:00
88,15.39,15.459,15.39,15.459,349,2022-05-06 05:00:00
89,13.9,13.9,13.6851,13.6851,653,2022-05-09 05:00:00
90,13.2701,13.6,13.27,13.4886,1051,2022-05-10 05:00:00
91,13.07,13.07,11.93,11.93,3306,2022-05-11 05:00:00
92,11.4,12.18,11.4,12.026,2342,2022-05-12 05:00:00
93,13.02,13.1631,13.02,13.1631,1062,2022-05-13 05:00:00
94,12.6651,12.6651,12.6651,12.6651,216,2022-05-16 05:00:00
95,13.27,13.5613,13.27,13.5613,573,2022-05-17 05:00:00
96,12.7069,12.7069,12.7069,12.7069,223,2022-05-18 05:00:00
97,12.92,12.9913,12.92,12.9913,495,2022-05-19 05:00:00
98,12.6591,12.6591,12.6591,12.6591,86,2022-05-20 05:00:00
99,12.67,12.99,12.67,12.83,1902,2022-05-23 05:00:00
100,12.17,12.2476,12.17,12.2476,329,2022-05-24 05:00:00
101,12.6474,12.6474,12.6474,12.6474,142,2022-05-25 05:00:00
102,12.9401,13.15,12.94,13.15,2004,2022-05-26 05:00:00
103,13.7619,13.7619,13.7619,13.7619,26,2022-05-27 05:00:00
104,14.15,14.35,13.95,14.0366,3370,2022-05-31 05:00:00
105,13.4106,13.4106,13.4106,13.4106,33,2022-06-01 05:00:00
106,14.0231,14.0231,14.0231,14.0231,173,2022-06-02 05:00:00
107,13.44,13.44,13.3841,13.3841,1900,2022-06-03 05:00:00
108,13.4897,13.4897,13.4897,13.4897,97,2022-06-06 05:00:00
109,13.6126,13.6126,13.6126,13.6126,50,2022-06-07 05:00:00
110,13.4808,13.4808,13.4808,13.4808,244,2022-06-08 05:00:00
111,13.38,13.38,12.48,12.48,592,2022-06-09 05:00:00
112,12.631,12.631,12.303,12.303,227,2022-06-10 05:00:00
