,open,high,low,close,volume,datetime
0,60.0025,60.04,60.0025,60.03,1500,2009-11-23 06:00:00
1,60.1,60.1,60.1,60.1,300,2009-11-24 06:00:00
2,60.38,60.38,60.24,60.24,10165,2009-11-25 06:00:00
3,60.6,60.62,60.6,60.62,750,2009-11-27 06:00:00
4,60.53,60.58,60.53,60.572,15070,2009-11-30 06:00:00
5,60.55,60.55,60.51,60.51,800,2009-12-01 06:00:00
6,60.42,60.42,60.39,60.39,3750,2009-12-02 06:00:00
7,60.24,60.24,60.24,60.24,1000,2009-12-03 06:00:00
8,59.86,59.91,59.86,59.91,2720,2009-12-04 06:00:00
9,60.03,60.11,60.03,59.99,3777,2009-12-07 06:00:00
10,60.31,60.31,60.27,60.22,1101,2009-12-08 06:00:00
11,60.31,60.31,60.21,60.1,750,2009-12-09 06:00:00
12,60.04,60.04,60.04,59.93,200,2009-12-10 06:00:00
13,59.75,59.85,59.68,59.76,1833,2009-12-11 06:00:00
14,59.84,59.84,59.68,59.71,2230,2009-12-14 06:00:00
15,59.58,59.65,59.52,59.63,1181,2009-12-15 06:00:00
16,59.68,59.8,59.59,59.62,1400,2009-12-16 06:00:00
17,59.87,60.01,59.81,59.98,0,2009-12-17 06:00:00
18,59.85,59.95,59.79,59.82,4115,2009-12-18 06:00:00
19,59.63,59.64,59.38,59.43,653,2009-12-21 06:00:00
20,59.3,59.34,59.22,59.25,4235,2009-12-22 06:00:00
21,59.35,59.36,59.35,59.25,920,2009-12-23 06:00:00
22,59.1,59.1,59.0356,58.93,332,2009-12-24 06:00:00
23,58.97,58.97,58.88,58.77,1325,2009-12-28 06:00:00
24,58.82,58.91,58.78,58.9,360,2009-12-29 06:00:00
25,58.94,59.01,58.9,58.99,3675,2009-12-30 06:00:00
26,58.73,58.82,58.57,58.8,1472,2009-12-31 06:00:00
27,58.8,58.94,58.8,58.93,2955,2010-01-04 06:00:00
28,59.08,59.19,59.06,59.14,1019,2010-01-05 06:00:00
29,59.12,59.13,58.93,59.0,134,2010-01-06 06:00:00
30,58.98,59.06,31.45,58.95,52563,2010-01-07 06:00:00
31,60.97,60.98,60.77,60.81,2852,2010-01-08 06:00:00
32,59.1,59.14,59.04,59.08,3218,2010-01-11 06:00:00
33,59.41,59.44,59.4,59.33,1784,2010-01-12 06:00:00
34,59.3476,59.37,59.26,59.17,10474,2010-01-13 06:00:00
35,59.31,59.39,59.24,59.31,54725,2010-01-14 06:00:00
36,59.6,59.61,59.6,59.53,3096,2010-01-15 06:00:00
37,59.45,59.47,59.39,59.45,3161,2010-01-19 06:00:00
38,59.62,59.62,59.6,59.55,768,2010-01-20 06:00:00
39,59.48,59.74,59.45,59.73,30724,2010-01-21 06:00:00
40,59.69,59.78,59.66,59.73,4050,2010-01-22 06:00:00
41,59.64,59.71,59.64,59.67,5488,2010-01-25 06:00:00
42,59.79,59.8,59.66,59.72,336,2010-01-26 06:00:00
43,59.91,59.93,59.85,59.59,9988,2010-01-27 06:00:00
44,59.54,59.7,59.51,59.69,5309,2010-01-28 06:00:00
45,59.52,59.83,59.52,59.8,1525,2010-01-29 06:00:00
46,59.66,59.69,59.56,59.62,1064,2010-02-01 06:00:00
47,59.74,59.74,59.73,59.65,734,2010-02-02 06:00:00
48,59.67,59.67,59.6,59.53,7583,2010-02-03 06:00:00
49,59.78,59.91,59.78,59.84,508,2010-02-04 06:00:00
50,59.9501,60.14,59.9501,60.01,2644,2010-02-05 06:00:00
51,59.94,60.02,59.9,60.01,1349,2010-02-08 06:00:00
52,60.03,60.03,59.85,59.8,7566,2010-02-09 06:00:00
53,59.89,59.89,59.6845,59.64,889,2010-02-10 06:00:00
54,59.64,59.66,59.5,59.63,4700,2010-02-11 06:00:00
55,59.85,59.85,59.79,59.74,1092,2010-02-12 06:00:00
56,59.63,59.83,59.63,59.8,8320,2010-02-16 06:00:00
57,59.81,59.81,59.66,59.58,80170,2010-02-17 06:00:00
58,59.64,59.64,59.34,59.37,24691,2010-02-18 06:00:00
59,59.36,59.41,59.24,59.41,655,2010-02-19 06:00:00
60,59.43,59.47,59.39,59.43,0,2010-02-22 06:00:00
61,59.6,59.87,59.6,59.75,3693,2010-02-23 06:00:00
62,59.8,60.1799,59.79,59.74,27119,2010-02-24 06:00:00
63,60.0,60.745,59.95,59.94,7671,2010-02-25 06:00:00
64,59.95,59.99,59.84,59.9,2840,2010-02-26 06:00:00
65,59.97,60.22,59.97,59.97,3477,2010-03-01 06:00:00
66,59.84,59.97,59.83,59.96,400,2010-03-02 06:00:00
67,60.1,60.16,59.9,59.96,4532,2010-03-03 06:00:00
68,60.11,60.15,59.89,59.97,7695,2010-03-04 06:00:00
69,59.93,59.95,59.83,59.78,500,2010-03-05 06:00:00
70,59.67,59.75,59.66,59.69,4115,2010-03-08 06:00:00
71,59.94,59.965,59.9396,59.64,1105,2010-03-09 06:00:00
72,59.69,59.69,59.61,59.67,934,2010-03-10 06:00:00
73,59.63,59.68,59.56,59.6,1400,2010-03-11 06:00:00
74,59.48,59.71,59.48,59.64,6900,2010-03-12 06:00:00
75,59.66,59.66,59.6,59.67,2255,2010-03-15 05:00:00
76,59.9304,59.9304,59.92,59.82,300,2010-03-16 05:00:00
77,59.86,59.86,59.86,59.87,200,2010-03-17 05:00:00
78,59.85,59.87,59.73,59.74,7999,2010-03-18 05:00:00
79,59.67,59.78,59.63,59.64,360,2010-03-19 05:00:00
80,59.948,59.9716,59.77,59.78,3490,2010-03-22 05:00:00
81,59.84,59.87,59.76,59.77,31370,2010-03-23 05:00:00
82,59.5,59.59,59.28,59.3,1250,2010-03-24 05:00:00
83,59.425,59.425,59.3199,59.21,3063,2010-03-25 05:00:00
84,59.17,59.34,59.15,59.32,9751,2010-03-26 05:00:00
85,59.42,59.47,59.42,59.31,705,2010-03-29 05:00:00
86,59.29,59.34,59.21,59.33,1364,2010-03-30 05:00:00
87,60.1312,60.16,59.49,59.37,4940,2010-03-31 05:00:00
88,59.33,59.33,59.21,59.26,831,2010-04-01 05:00:00
89,58.78,58.99,58.74,58.87,2467,2010-04-05 05:00:00
90,59.02,59.04,58.93,59.02,2900,2010-04-06 05:00:00
91,59.16,59.225,59.16,59.29,2420,2010-04-07 05:00:00
92,59.31,59.36,59.17,59.19,1098,2010-04-08 05:00:00
93,59.16,59.24,59.08,59.23,994,2010-04-09 05:00:00
94,59.47,59.54,59.457,59.36,4004,2010-04-12 05:00:00
95,59.48,59.52,59.36,59.43,7408,2010-04-13 05:00:00
96,59.395,59.6,59.395,59.33,4380,2010-04-14 05:00:00
97,59.33,59.48,59.27,59.46,3094,2010-04-15 05:00:00
98,59.56,59.72,59.46,59.68,3544,2010-04-16 05:00:00
99,59.81,59.81,59.75,59.56,9210,2010-04-19 05:00:00
100,59.54,59.57,59.47,59.53,1776,2010-04-20 05:00:00
101,59.61,59.71,59.55,59.7,0,2010-04-21 05:00:00
102,59.92,59.9624,59.735,59.58,6274,2010-04-22 05:00:00
103,59.44,59.48,59.39,59.45,264,2010-04-23 05:00:00
104,59.5,59.56,59.43,59.48,3965,2010-04-26 05:00:00
105,59.66,59.91,59.61,59.86,850,2010-04-27 05:00:00
106,59.91,59.9299,59.7593,59.69,767,2010-04-28 05:00:00
107,59.84,60.06,59.7948,59.79,1196,2010-04-29 05:00:00
108,59.89,60.04,59.89,59.86,4337,2010-04-30 05:00:00
109,59.8,59.81,59.71,59.78,5809,2010-05-03 05:00:00
110,60.02,60.04,59.94,60.01,5849,2010-05-04 05:00:00
111,60.2,60.43,60.2,60.24,2307,2010-05-05 05:00:00
112,60.27,61.04,60.21,60.62,5604,2010-05-06 05:00:00
113,60.47,60.92,60.44,60.59,1361,2010-05-07 05:00:00
114,60.2,60.38,60.18,60.28,2676,2010-05-10 05:00:00
115,60.55,60.55,60.2,60.35,7756,2010-05-11 05:00:00
116,60.37,60.37,60.231,60.25,918,2010-05-12 05:00:00
117,60.25,60.47,60.25,60.36,2230,2010-05-13 05:00:00
118,60.53,60.73,60.5,60.59,3386,2010-05-14 05:00:00
119,60.64,60.8,60.51,60.52,2764,2010-05-17 05:00:00
120,60.71,60.94,60.625,60.9,2591,2010-05-18 05:00:00
