,open,high,low,close,volume,datetime
0,20.0,29.06,19.3,28.8,12319309,2013-10-18 05:00:00
1,33.45,39.75,32.37,35.43,6090807,2013-10-21 05:00:00
2,37.75,38.18,33.12,33.19,2175197,2013-10-22 05:00:00
3,32.5,32.7,28.55,29.53,2475618,2013-10-23 05:00:00
4,30.66,33.75,30.55,33.75,2344691,2013-10-24 05:00:00
5,35.4,35.5,32.75,34.33,1481977,2013-10-25 05:00:00
6,35.12,35.27,30.15,30.77,1288765,2013-10-28 05:00:00
7,31.29,33.43,31.0,33.43,1054170,2013-10-29 05:00:00
8,32.87,34.14,32.35,32.65,726427,2013-10-30 05:00:00
9,32.5,34.9,32.29,34.08,1115735,2013-10-31 05:00:00
10,34.48,34.99,33.25,33.96,519716,2013-11-01 05:00:00
11,34.75,35.88,33.8,35.69,1319465,2013-11-04 06:00:00
12,35.75,39.08,35.2,38.82,2151278,2013-11-05 06:00:00
13,41.03,42.5,38.31,40.84,1956417,2013-11-06 06:00:00
14,41.97,42.76,38.76,40.1,1342399,2013-11-07 06:00:00
15,40.5,44.91,40.1,44.91,1164008,2013-11-08 06:00:00
16,46.5,52.78,45.53,51.15,3023086,2013-11-11 06:00:00
17,49.92,51.49,47.1,50.16,2739445,2013-11-12 06:00:00
18,48.26,50.2499,47.8,48.1,1523343,2013-11-13 06:00:00
19,50.25,53.95,49.82,52.4,2215606,2013-11-14 06:00:00
20,58.29,59.85,56.02,58.99,3562579,2013-11-15 06:00:00
21,61.9,70.0,60.163,68.37,4980568,2013-11-18 06:00:00
22,65.39,66.98,54.58,58.01,5393218,2013-11-19 06:00:00
23,59.97,60.68,38.76,39.21,13230183,2013-11-20 06:00:00
24,34.74,39.31,32.26,33.82,14157877,2013-11-21 06:00:00
25,36.72,38.48,34.12,35.86,5304444,2013-11-22 06:00:00
26,38.51,39.44,36.27,39.39,3151408,2013-11-25 06:00:00
27,40.97,44.89,40.2,44.89,4421879,2013-11-26 06:00:00
28,46.58,47.49,40.21,41.05,5610369,2013-11-27 06:00:00
29,41.03,41.7,37.5056,41.0,1439395,2013-11-29 06:00:00
30,41.9,41.9,39.44,39.99,1180602,2013-12-02 06:00:00
31,40.45,43.85,40.25,43.25,2146230,2013-12-03 06:00:00
32,42.95,43.79,41.58,43.19,960813,2013-12-04 06:00:00
33,43.13,43.1799,41.18,41.9,656635,2013-12-05 06:00:00
34,42.55,42.55,39.5,40.45,708364,2013-12-06 06:00:00
35,41.03,41.07,37.2,37.69,1409836,2013-12-09 06:00:00
36,37.0,39.681,36.06,39.11,1120649,2013-12-10 06:00:00
37,39.43,39.53,36.515,36.95,801656,2013-12-11 06:00:00
38,36.94,37.769,36.55,37.61,570864,2013-12-12 06:00:00
39,37.99,39.94,37.33,37.8,1023144,2013-12-13 06:00:00
40,38.5,38.5,37.0,37.13,420654,2013-12-16 06:00:00
41,37.0,37.49,35.51,35.79,792627,2013-12-17 06:00:00
42,35.71,36.1968,34.1,35.67,1009417,2013-12-18 06:00:00
43,35.25,35.82,34.6011,35.24,713424,2013-12-19 06:00:00
44,35.1,37.115,35.1,36.89,1062219,2013-12-20 06:00:00
