,open,high,low,close,volume,datetime
0,50.0,50.0,44.0,48.0,464,2012-11-19 06:00:00
1,49.92,54.0,48.8,48.88,4120,2012-11-20 06:00:00
2,49.6,49.6,48.7624,48.96,264,2012-11-21 06:00:00
3,49.2,49.2,47.9992,48.0,512,2012-11-23 06:00:00
4,47.92,48.0,45.6,47.52,2640,2012-11-26 06:00:00
5,47.92,48.0,46.76,46.8,1224,2012-11-27 06:00:00
6,48.0,48.0,46.568,48.0,496,2012-11-28 06:00:00
7,48.0,48.0,46.4,47.8328,1088,2012-11-29 06:00:00
8,46.4008,48.0,46.4008,48.0,816,2012-11-30 06:00:00
9,48.08,48.08,46.4008,47.44,776,2012-12-03 06:00:00
10,49.5992,49.5992,46.4008,48.0,2656,2012-12-04 06:00:00
11,50.0,50.0,46.4,46.88,816,2012-12-05 06:00:00
12,47.9888,48.08,46.4,46.4,2248,2012-12-06 06:00:00
13,47.752,47.752,47.752,47.752,24,2012-12-07 06:00:00
14,47.92,48.0,46.8,47.28,1776,2012-12-10 06:00:00
15,47.8928,48.16,47.52,47.52,592,2012-12-11 06:00:00
16,47.44,47.44,46.48,46.7992,768,2012-12-12 06:00:00
17,46.88,46.88,46.4,46.56,4896,2012-12-13 06:00:00
18,46.72,46.72,46.4,46.64,2240,2012-12-14 06:00:00
19,46.48,47.44,46.4,46.4,1320,2012-12-17 06:00:00
20,46.64,49.04,46.4,46.4,1424,2012-12-18 06:00:00
21,46.88,49.68,46.4,47.6,1168,2012-12-19 06:00:00
22,46.4,47.68,46.4,47.2,1928,2012-12-20 06:00:00
23,47.2,48.0,46.4,46.4,1688,2012-12-21 06:00:00
24,46.48,46.48,46.48,46.48,48,2012-12-24 06:00:00
25,46.4,50.88,46.4,47.1992,1464,2012-12-27 06:00:00
26,54.7192,54.7192,46.4,47.28,1240,2012-12-28 06:00:00
27,46.4,52.992,46.4,49.28,1944,2012-12-31 06:00:00
28,49.76,50.7992,46.88,49.28,2864,2013-01-02 06:00:00
29,47.36,48.56,47.36,48.0,144,2013-01-03 06:00:00
30,48.72,48.8,47.84,47.84,3080,2013-01-04 06:00:00
31,47.76,48.2392,46.96,48.2392,704,2013-01-07 06:00:00
32,48.16,48.6392,48.0,48.0,664,2013-01-08 06:00:00
33,48.16,50.0,46.88,48.008,1520,2013-01-09 06:00:00
34,48.08,48.08,47.6304,47.8392,1192,2013-01-10 06:00:00
35,48.32,48.4,48.32,48.4,24,2013-01-11 06:00:00
36,48.64,48.64,48.08,48.08,432,2013-01-14 06:00:00
37,49.8848,49.8848,48.08,48.08,440,2013-01-15 06:00:00
38,48.4,49.52,48.08,49.52,400,2013-01-16 06:00:00
39,49.68,49.68,48.16,48.16,472,2013-01-17 06:00:00
40,49.6,49.6,48.4,48.4,160,2013-01-18 06:00:00
41,48.72,48.72,48.24,48.24,744,2013-01-22 06:00:00
42,48.64,49.6,48.504,48.56,1304,2013-01-23 06:00:00
43,48.24,49.12,48.24,48.32,160,2013-01-24 06:00:00
44,48.64,49.44,48.24,48.4,928,2013-01-25 06:00:00
45,49.3592,49.3592,48.4,48.4,1024,2013-01-28 06:00:00
46,48.72,49.2,48.16,48.48,1872,2013-01-29 06:00:00
47,48.8,49.04,48.5584,48.64,1464,2013-01-30 06:00:00
48,49.12,49.12,48.24,48.24,344,2013-01-31 06:00:00
49,48.56,49.04,48.0,48.4,1848,2013-02-01 06:00:00
50,49.04,49.2,48.272,48.8,1008,2013-02-04 06:00:00
51,48.8,48.8,48.56,48.56,728,2013-02-05 06:00:00
52,48.32,49.04,48.08,48.08,1800,2013-02-06 06:00:00
