,open,high,low,close,volume,datetime
0,27.0,30.85,26.99,30.12,34950894,2020-06-03 05:00:00
1,32.51,34.76,29.0,30.0,13099627,2020-06-04 05:00:00
2,30.5,30.8499,28.0,29.94,7450169,2020-06-05 05:00:00
3,29.2,31.99,28.65,31.0,4215197,2020-06-08 05:00:00
4,29.74,32.9799,29.5,32.0,8371436,2020-06-09 05:00:00
5,32.1,32.8,30.57,31.05,2222969,2020-06-10 05:00:00
6,29.22,30.47,29.0,29.99,3715477,2020-06-11 05:00:00
7,30.44,31.1,30.12,30.77,2375667,2020-06-12 05:00:00
8,29.99,32.48,29.83,32.09,1592636,2020-06-15 05:00:00
9,32.5,32.72,31.17,31.98,2040597,2020-06-16 05:00:00
10,31.78,32.58,31.5,32.56,835895,2020-06-17 05:00:00
11,31.94,32.9,31.6,32.72,936417,2020-06-18 05:00:00
12,32.9,34.0,32.3,32.86,5629124,2020-06-19 05:00:00
13,32.82,32.98,31.77,31.99,1026926,2020-06-22 05:00:00
14,32.05,32.1505,30.95,31.35,878390,2020-06-23 05:00:00
15,31.04,31.9,31.02,31.33,594613,2020-06-24 05:00:00
16,30.92,31.68,30.12,30.6,1120162,2020-06-25 05:00:00
17,30.63,31.15,30.35,30.47,509799,2020-06-26 05:00:00
18,30.94,32.21,30.5,31.43,1191111,2020-06-29 05:00:00
19,31.31,31.61,29.33,29.5,2363227,2020-06-30 05:00:00
20,30.05,30.49,28.55,29.45,1576170,2020-07-01 05:00:00
21,29.55,30.05,29.06,29.35,594366,2020-07-02 05:00:00
22,29.88,29.95,29.36,29.79,1088390,2020-07-06 05:00:00
23,29.52,29.99,29.52,29.64,607274,2020-07-07 05:00:00
24,30.0,30.48,29.7,29.98,727968,2020-07-08 05:00:00
25,30.23,30.28,29.71,30.0,438185,2020-07-09 05:00:00
26,29.85,31.0,29.78,30.88,364371,2020-07-10 05:00:00
27,30.89,31.0,30.09,30.09,493238,2020-07-13 05:00:00
28,29.85,30.03,29.57,29.64,345847,2020-07-14 05:00:00
29,29.51,29.93,29.3,29.63,579000,2020-07-15 05:00:00
30,29.44,30.5,29.31,29.69,300174,2020-07-16 05:00:00
31,29.7,29.8,29.42,29.42,380945,2020-07-17 05:00:00
32,29.42,29.6299,28.69,28.95,466490,2020-07-20 05:00:00
33,28.95,29.2815,27.8,28.495,1566250,2020-07-21 05:00:00
34,28.4,28.75,27.8,27.82,1093190,2020-07-22 05:00:00
35,27.88,28.8,27.11,28.33,1133053,2020-07-23 05:00:00
36,28.02,28.49,27.2,28.34,439977,2020-07-24 05:00:00
37,28.26,28.99,28.12,28.65,289706,2020-07-27 05:00:00
38,28.64,30.299,28.31,29.52,751220,2020-07-28 05:00:00
39,29.86,30.2,28.53,30.01,1010991,2020-07-29 05:00:00
40,29.9,30.19,29.25,29.91,329362,2020-07-30 05:00:00
41,30.0,30.2,29.24,30.15,799788,2020-07-31 05:00:00
42,30.25,30.6494,29.765,29.94,1548209,2020-08-03 05:00:00
43,30.06,30.51,28.38,28.95,1206719,2020-08-04 05:00:00
44,29.02,29.4,28.2,28.64,1721542,2020-08-05 05:00:00
45,28.82,29.195,28.52,28.87,498241,2020-08-06 05:00:00
46,28.8,28.865,28.33,28.51,660262,2020-08-07 05:00:00
47,28.92,29.82,28.7401,29.16,551850,2020-08-10 05:00:00
48,28.99,29.8,28.42,28.515,643489,2020-08-11 05:00:00
49,28.79,29.82,28.27,29.45,994672,2020-08-12 05:00:00
50,29.41,29.74,28.935,29.64,445123,2020-08-13 05:00:00
51,29.6,30.44,29.5,30.3,491142,2020-08-14 05:00:00
52,30.4,31.23,29.58,31.02,537070,2020-08-17 05:00:00
53,31.23,31.45,30.48,30.62,340951,2020-08-18 05:00:00
54,30.62,30.62,30.09,30.53,347308,2020-08-19 05:00:00
55,30.67,30.8,30.2001,30.38,386490,2020-08-20 05:00:00
56,30.33,30.3925,29.48,30.06,525455,2020-08-21 05:00:00
57,30.05,30.3,29.61,30.1,404503,2020-08-24 05:00:00
58,30.15,30.15,28.89,29.465,434063,2020-08-25 05:00:00
59,29.42,29.52,28.65,29.42,366984,2020-08-26 05:00:00
60,29.68,29.97,28.75,28.84,417161,2020-08-27 05:00:00
61,29.45,29.94,28.84,29.46,905599,2020-08-28 05:00:00
62,29.74,30.0,29.095,29.66,965112,2020-08-31 05:00:00
63,29.74,30.0,29.59,29.88,1366783,2020-09-01 05:00:00
64,29.88,29.88,28.6,29.03,868975,2020-09-02 05:00:00
65,28.86,29.03,28.18,28.6,965779,2020-09-03 05:00:00
66,28.56,29.28,28.515,29.09,778190,2020-09-04 05:00:00
67,28.77,29.83,28.41,28.45,895514,2020-09-08 05:00:00
68,28.61,29.45,28.54,28.66,382514,2020-09-09 05:00:00
