,open,high,low,close,volume,datetime
0,20.02,20.48,19.93,20.36,1686200,2002-06-10 05:00:00
1,20.61,20.85,20.34,20.34,1383500,2002-06-11 05:00:00
2,20.26,20.69,19.95,20.11,2056500,2002-06-12 05:00:00
3,20.2,20.44,20.0,20.0,2979700,2002-06-13 05:00:00
4,20.1,20.39,19.85,20.02,2235100,2002-06-14 05:00:00
5,20.05,20.29,20.02,20.25,1468100,2002-06-17 05:00:00
6,20.13,20.45,20.0,20.1,2021400,2002-06-18 05:00:00
7,20.0,20.01,18.57,18.62,5044300,2002-06-19 05:00:00
8,18.87,18.95,16.3,16.65,8561700,2002-06-20 05:00:00
9,16.0,16.5,15.45,15.9,6017100,2002-06-21 05:00:00
10,15.85,15.86,13.91,14.85,5343900,2002-06-24 05:00:00
11,14.8,15.6,14.6,14.72,4355000,2002-06-25 05:00:00
12,14.45,15.9,14.12,15.58,4783600,2002-06-26 05:00:00
13,16.25,16.6,15.82,16.6,4929900,2002-06-27 05:00:00
14,16.95,17.29,16.6,16.77,3663500,2002-06-28 05:00:00
15,17.01,17.2,15.86,15.93,2978200,2002-07-01 05:00:00
16,16.1,16.28,15.54,15.97,2293700,2002-07-02 05:00:00
17,15.55,15.78,15.0,15.17,1924200,2002-07-03 05:00:00
18,15.4,15.6,15.1,15.45,854600,2002-07-05 05:00:00
19,15.52,15.7,15.01,15.22,1424700,2002-07-08 05:00:00
20,15.32,15.32,14.6,14.92,2183600,2002-07-09 05:00:00
21,15.0,15.07,14.0,14.01,2577300,2002-07-10 05:00:00
22,13.98,15.25,13.9,15.18,3271300,2002-07-11 05:00:00
23,15.18,15.18,14.2,14.33,3325000,2002-07-12 05:00:00
24,14.23,15.0,13.85,15.0,2771200,2002-07-15 05:00:00
25,15.0,15.0,14.4,14.65,2222300,2002-07-16 05:00:00
26,15.0,15.08,14.75,15.01,3045700,2002-07-17 05:00:00
27,15.01,15.14,14.32,14.47,2589300,2002-07-18 05:00:00
28,14.45,14.45,13.21,13.32,2897800,2002-07-19 05:00:00
29,13.85,14.3,13.5,13.95,3342600,2002-07-22 05:00:00
30,14.1,14.1,10.58,10.75,10024900,2002-07-23 05:00:00
31,10.75,12.2,10.75,11.81,6963700,2002-07-24 05:00:00
32,12.2,12.85,11.35,11.94,3832800,2002-07-25 05:00:00
33,8.0,9.5,7.24,7.55,20686000,2002-07-26 05:00:00
34,7.55,7.55,5.12,5.66,17708400,2002-07-29 05:00:00
35,5.65,6.86,5.5,6.29,10756200,2002-07-30 05:00:00
36,6.5,7.2,6.5,6.96,6244100,2002-07-31 05:00:00
37,7.05,7.6,6.8,7.01,5956500,2002-08-01 05:00:00
38,7.01,7.1,6.57,6.94,3036300,2002-08-02 05:00:00
39,6.7,6.9,6.4,6.52,3446900,2002-08-05 05:00:00
40,7.91,8.5,7.76,8.05,6441400,2002-08-06 05:00:00
41,8.0,8.25,7.7,7.8,2933800,2002-08-07 05:00:00
42,7.92,8.23,7.9,8.14,3047800,2002-08-08 05:00:00
43,8.14,9.95,8.05,9.03,4152900,2002-08-09 05:00:00
44,9.03,10.65,8.91,10.6,4464700,2002-08-12 05:00:00
45,10.6,10.82,9.6,9.84,4355200,2002-08-13 05:00:00
