,open,high,low,close,volume,datetime
0,24.25,30.0,23.8,27.93,5031495,2017-09-20 05:00:00
1,28.18,32.64,28.0,31.11,1334887,2017-09-21 05:00:00
2,31.19,31.19,27.1,27.73,759494,2017-09-22 05:00:00
3,27.61,27.8549,26.62,27.01,364965,2017-09-25 05:00:00
4,27.21,28.8,26.73,27.69,394487,2017-09-26 05:00:00
5,28.09,28.98,27.41,27.62,352087,2017-09-27 05:00:00
6,26.75,27.2,26.75,27.03,231704,2017-09-28 05:00:00
7,27.15,27.1501,26.1,27.0,374039,2017-09-29 05:00:00
8,26.93,26.93,26.2,26.41,149876,2017-10-02 05:00:00
9,27.05,27.85,26.22,26.97,156227,2017-10-03 05:00:00
10,27.09,27.4,26.875,27.1,157704,2017-10-04 05:00:00
11,27.16,27.2,26.37,26.85,115374,2017-10-05 05:00:00
12,26.63,28.95,26.63,28.45,139046,2017-10-06 05:00:00
13,28.39,30.85,28.21,30.77,249367,2017-10-09 05:00:00
14,30.86,32.85,30.45,32.62,350326,2017-10-10 05:00:00
15,33.7,34.83,32.539,34.09,324397,2017-10-11 05:00:00
16,35.5,35.74,31.5601,32.63,313810,2017-10-12 05:00:00
17,32.82,33.5875,30.85,32.19,120527,2017-10-13 05:00:00
18,31.57,32.4584,30.49,31.99,177911,2017-10-16 05:00:00
19,31.85,32.4191,30.611,30.84,141484,2017-10-17 05:00:00
20,30.62,31.12,28.6,28.64,271140,2017-10-18 05:00:00
21,28.56,28.56,27.0,27.59,275415,2017-10-19 05:00:00
22,27.7,28.47,27.7,28.24,203382,2017-10-20 05:00:00
23,28.42,28.719,26.11,26.46,193160,2017-10-23 05:00:00
24,26.43,27.34,26.43,26.98,295630,2017-10-24 05:00:00
25,27.02,27.2,26.33,27.07,157440,2017-10-25 05:00:00
26,27.13,27.13,26.6242,27.09,119379,2017-10-26 05:00:00
27,26.87,27.275,26.511,26.87,240190,2017-10-27 05:00:00
28,26.84,27.3699,26.78,27.09,249998,2017-10-30 05:00:00
29,27.28,27.48,26.82,27.01,92027,2017-10-31 05:00:00
30,27.13,28.52,27.11,27.99,77354,2017-11-01 05:00:00
31,27.78,30.16,27.0884,29.07,150019,2017-11-02 05:00:00
32,29.18,29.42,27.6,28.0,120058,2017-11-03 05:00:00
33,27.99,28.0451,27.84,27.91,43172,2017-11-06 06:00:00
34,28.41,28.41,26.77,27.09,73575,2017-11-07 06:00:00
35,27.28,27.72,26.81,27.2,108314,2017-11-08 06:00:00
36,27.52,27.52,27.0,27.03,82507,2017-11-09 06:00:00
37,26.96,28.43,26.96,27.78,20502,2017-11-10 06:00:00
38,28.02,28.02,27.02,27.39,39234,2017-11-13 06:00:00
39,27.31,28.0,26.5,26.85,80650,2017-11-14 06:00:00
40,26.65,27.615,26.16,26.2,184697,2017-11-15 06:00:00
41,26.4,27.13,24.39,24.62,140337,2017-11-16 06:00:00
42,24.65,26.0,24.65,25.0,76523,2017-11-17 06:00:00
43,25.07,25.9999,24.4,24.66,37209,2017-11-20 06:00:00
44,24.81,27.825,24.5852,25.68,162460,2017-11-21 06:00:00
45,25.7,27.2399,25.7,26.84,85160,2017-11-22 06:00:00
46,27.01,27.0286,26.5,26.8,17744,2017-11-24 06:00:00
47,27.0,27.1899,25.8,26.72,87025,2017-11-27 06:00:00
48,26.49,26.6699,25.1,25.86,76201,2017-11-28 06:00:00
49,25.53,26.5,25.001,25.39,77394,2017-11-29 06:00:00
50,25.41,26.29,25.2,26.11,42252,2017-11-30 06:00:00
51,26.04,26.48,25.0,25.92,53040,2017-12-01 06:00:00
52,25.95,27.11,25.75,27.11,44075,2017-12-04 06:00:00
53,27.2,27.2,25.33,25.73,60063,2017-12-05 06:00:00
54,25.54,26.9393,25.54,25.74,42949,2017-12-06 06:00:00
55,25.83,26.34,25.4,25.55,73205,2017-12-07 06:00:00
56,25.37,26.38,25.12,25.49,94904,2017-12-08 06:00:00
57,25.05,26.1,25.05,25.35,55983,2017-12-11 06:00:00
58,25.25,26.0,25.02,25.63,41661,2017-12-12 06:00:00
59,26.0,26.0,25.26,25.28,41131,2017-12-13 06:00:00
60,25.5,25.684,25.06,25.21,23083,2017-12-14 06:00:00
61,25.17,26.0,24.75,24.95,92997,2017-12-15 06:00:00
62,25.08,25.7488,23.51,23.89,152752,2017-12-18 06:00:00
63,23.95,24.17,23.2201,23.51,37864,2017-12-19 06:00:00
64,23.6,24.9419,22.3,22.86,100807,2017-12-20 06:00:00
65,23.1,23.1,21.5,21.82,194307,2017-12-21 06:00:00
66,21.99,21.99,20.67,21.44,132034,2017-12-22 06:00:00
67,21.27,22.3699,21.17,21.5,76069,2017-12-26 06:00:00
68,21.46,22.915,21.27,22.04,107390,2017-12-27 06:00:00
69,22.04,22.28,21.27,21.36,105014,2017-12-28 06:00:00
70,21.49,22.4949,20.8,21.23,119170,2017-12-29 06:00:00
71,21.1,22.63,20.91,22.26,72331,2018-01-02 06:00:00
72,22.29,22.97,22.05,22.35,79111,2018-01-03 06:00:00
73,22.72,23.39,21.5,22.1,57964,2018-01-04 06:00:00
74,22.26,22.93,22.185,22.81,48282,2018-01-05 06:00:00
75,23.0,23.4999,22.51,22.98,92621,2018-01-08 06:00:00
76,23.24,23.88,23.0,23.63,76883,2018-01-09 06:00:00
77,23.65,23.7,22.34,22.53,58470,2018-01-10 06:00:00
78,22.79,23.46,22.51,23.11,29612,2018-01-11 06:00:00
79,23.23,23.66,22.91,23.37,65027,2018-01-12 06:00:00
80,24.0,24.0,23.04,23.44,84278,2018-01-16 06:00:00
81,23.28,23.86,22.23,22.62,69588,2018-01-17 06:00:00
82,22.55,23.51,22.55,23.5,27639,2018-01-18 06:00:00
83,23.035,23.41,22.52,22.64,36445,2018-01-19 06:00:00
84,22.85,23.7843,22.85,23.74,45572,2018-01-22 06:00:00
85,23.58,23.85,23.37,23.68,38713,2018-01-23 06:00:00
86,23.83,24.2,22.83,24.12,55073,2018-01-24 06:00:00
87,24.8,24.8,23.81,24.4,18303,2018-01-25 06:00:00
88,24.8,24.8,23.8,24.58,71085,2018-01-26 06:00:00
89,25.99,25.99,24.63,24.96,62998,2018-01-29 06:00:00
90,25.17,25.42,24.52,24.85,34588,2018-01-30 06:00:00
91,25.16,26.97,24.85,26.96,376848,2018-01-31 06:00:00
92,27.34,27.34,25.5,26.39,52739,2018-02-01 06:00:00
93,26.3,27.045,25.21,25.98,48488,2018-02-02 06:00:00
94,25.83,25.83,24.6,25.35,56607,2018-02-05 06:00:00
95,25.19,25.19,22.8,23.05,142570,2018-02-06 06:00:00
96,23.0,23.0,22.21,22.5,68940,2018-02-07 06:00:00
97,22.5,22.9,20.05,20.05,118094,2018-02-08 06:00:00
98,20.21,21.16,19.8,20.25,119732,2018-02-09 06:00:00
99,20.3,21.4868,20.3,20.8,128446,2018-02-12 06:00:00
100,20.75,22.11,20.2,22.0,181979,2018-02-13 06:00:00
101,23.6,24.8,22.03,24.22,214588,2018-02-14 06:00:00
102,24.25,24.25,23.45,23.9,97134,2018-02-15 06:00:00
103,23.72,23.99,23.12,23.49,61404,2018-02-16 06:00:00
104,23.65,24.44,23.5,24.25,104104,2018-02-20 06:00:00
105,24.44,24.44,23.83,23.99,115027,2018-02-21 06:00:00
106,24.16,24.35,22.6,23.0,113866,2018-02-22 06:00:00
107,22.98,23.09,22.06,23.0,50315,2018-02-23 06:00:00
108,23.2,23.21,22.33,23.05,56166,2018-02-26 06:00:00
109,23.21,23.21,22.32,22.54,34820,2018-02-27 06:00:00
110,22.46,22.46,21.16,22.15,93718,2018-02-28 06:00:00
111,21.54,21.97,21.01,21.9,17550,2018-03-01 06:00:00
112,21.53,22.155,21.44,21.84,18402,2018-03-02 06:00:00
113,22.09,22.25,21.52,21.965,16100,2018-03-05 06:00:00
114,22.0,22.68,21.51,22.16,58741,2018-03-06 06:00:00
115,22.16,22.18,21.52,21.8,60977,2018-03-07 06:00:00
116,21.89,23.48,21.61,21.96,95372,2018-03-08 06:00:00
117,21.95,22.5578,21.89,22.1,195200,2018-03-09 06:00:00
118,22.0,22.9199,21.68,22.06,144377,2018-03-12 05:00:00
119,22.1,22.14,21.21,21.63,95101,2018-03-13 05:00:00
120,21.25,21.8,20.525,20.7,71397,2018-03-14 05:00:00
121,20.72,21.6748,20.5,20.8,52385,2018-03-15 05:00:00
122,20.83,21.27,20.6,21.02,43509,2018-03-16 05:00:00
123,21.21,21.82,21.0,21.07,83774,2018-03-19 05:00:00
124,21.23,21.55,21.02,21.14,74415,2018-03-20 05:00:00
125,21.0,22.2,20.86,21.78,142499,2018-03-21 05:00:00
126,21.55,21.985,20.55,20.74,108046,2018-03-22 05:00:00
127,20.99,21.64,20.75,20.76,68409,2018-03-23 05:00:00
128,21.06,22.6,20.77,20.78,85725,2018-03-26 05:00:00
129,20.97,21.47,20.78,20.79,90770,2018-03-27 05:00:00
130,20.97,21.0,20.57,20.9,34582,2018-03-28 05:00:00
131,21.12,21.88,20.79,21.35,47697,2018-03-29 05:00:00
