,open,high,low,close,volume,datetime
0,1.41,1.4101,1.41,1.4101,859,2022-05-27 13:30:00
1,1.4317,1.4317,1.4317,1.4317,200,2022-05-27 13:32:00
2,1.44,1.44,1.41,1.41,4325,2022-05-27 13:40:00
3,1.42,1.42,1.42,1.42,100,2022-05-27 13:47:00
4,1.42,1.42,1.38,1.38,1385,2022-05-27 13:56:00
5,1.4462,1.4462,1.4462,1.4462,3000,2022-05-27 14:06:00
6,1.31,1.32,1.31,1.32,400,2022-05-27 14:07:00
7,1.34,1.34,1.34,1.34,400,2022-05-27 14:10:00
8,1.38,1.38,1.38,1.38,100,2022-05-27 14:49:00
9,1.35,1.35,1.34,1.34,600,2022-05-27 14:57:00
10,1.34,1.34,1.339,1.339,1338,2022-05-27 14:58:00
11,1.335,1.335,1.335,1.335,1100,2022-05-27 15:04:00
12,1.34,1.34,1.3334,1.3334,6100,2022-05-27 15:05:00
13,1.34,1.34,1.3372,1.3372,1200,2022-05-27 15:08:00
14,1.34,1.34,1.3385,1.34,1400,2022-05-27 15:10:00
15,1.35,1.35,1.3477,1.3477,300,2022-05-27 15:12:00
16,1.35,1.35,1.35,1.35,100,2022-05-27 15:13:00
17,1.35,1.35,1.35,1.35,200,2022-05-27 15:21:00
18,1.3438,1.35,1.32,1.32,1175,2022-05-27 15:22:00
19,1.34,1.3814,1.34,1.3814,300,2022-05-27 15:32:00
20,1.33,1.33,1.325,1.325,1000,2022-05-27 15:42:00
21,1.32,1.328,1.31,1.328,2983,2022-05-27 15:43:00
22,1.3285,1.3285,1.3,1.3,3549,2022-05-27 15:44:00
23,1.3,1.3,1.275,1.275,6333,2022-05-27 15:45:00
24,1.27,1.27,1.22,1.22,5104,2022-05-27 15:46:00
25,1.2318,1.2318,1.1901,1.215,13993,2022-05-27 15:47:00
26,1.24,1.29,1.24,1.29,2500,2022-05-27 15:48:00
27,1.2968,1.2968,1.2968,1.2968,1000,2022-05-27 15:49:00
28,1.27,1.27,1.27,1.27,138,2022-05-27 15:50:00
29,1.26,1.26,1.17,1.2,9295,2022-05-27 15:56:00
30,1.19,1.21,1.155,1.21,6500,2022-05-27 15:57:00
31,1.25,1.25,1.22,1.22,1199,2022-05-27 15:58:00
32,1.2208,1.27,1.22,1.22,2009,2022-05-27 15:59:00
33,1.24,1.2474,1.24,1.2474,1319,2022-05-27 16:00:00
34,1.2488,1.2593,1.24,1.24,300,2022-05-27 16:03:00
35,1.2482,1.2482,1.2482,1.2482,100,2022-05-27 16:04:00
36,1.2653,1.2653,1.26,1.26,400,2022-05-27 16:10:00
37,1.27,1.27,1.27,1.27,100,2022-05-27 16:11:00
38,1.2662,1.2662,1.26,1.26,600,2022-05-27 16:12:00
39,1.2868,1.2899,1.2868,1.2899,1399,2022-05-27 16:20:00
40,1.275,1.275,1.275,1.275,300,2022-05-27 16:53:00
41,1.28,1.29,1.28,1.29,900,2022-05-27 17:06:00
42,1.28,1.28,1.28,1.28,300,2022-05-27 17:09:00
43,1.285,1.285,1.285,1.285,1000,2022-05-27 17:12:00
44,1.2903,1.2903,1.2903,1.2903,1000,2022-05-27 17:13:00
45,1.293,1.293,1.293,1.293,1000,2022-05-27 17:22:00
46,1.2701,1.2701,1.2701,1.2701,300,2022-05-27 17:49:00
47,1.2701,1.2701,1.2701,1.2701,200,2022-05-27 17:55:00
48,1.27,1.27,1.26,1.26,4998,2022-05-27 17:56:00
49,1.2401,1.2401,1.21,1.21,1232,2022-05-27 18:00:00
50,1.26,1.269,1.25,1.25,1200,2022-05-27 18:03:00
51,1.25,1.25,1.25,1.25,800,2022-05-27 18:17:00
52,1.2585,1.2585,1.2585,1.2585,300,2022-05-27 18:20:00
53,1.25,1.25,1.25,1.25,100,2022-05-27 18:31:00
54,1.25,1.25,1.25,1.25,1500,2022-05-27 19:03:00
55,1.255,1.259,1.255,1.259,200,2022-05-27 19:16:00
56,1.259,1.2592,1.259,1.2592,800,2022-05-27 19:17:00
57,1.255,1.255,1.255,1.255,400,2022-05-27 19:18:00
58,1.26,1.26,1.255,1.26,2400,2022-05-27 19:19:00
59,1.255,1.255,1.255,1.255,100,2022-05-27 19:25:00
60,1.2599,1.2599,1.259,1.259,1100,2022-05-27 19:26:00
61,1.255,1.255,1.255,1.255,100,2022-05-27 19:30:00
62,1.2592,1.2592,1.2592,1.2592,200,2022-05-27 19:32:00
63,1.255,1.255,1.25,1.25,600,2022-05-27 19:37:00
64,1.2583,1.2583,1.2583,1.2583,200,2022-05-27 19:42:00
65,1.2447,1.2447,1.2447,1.2447,300,2022-05-27 19:49:00
66,1.25,1.25,1.25,1.25,129,2022-05-27 20:00:00
67,1.25,1.25,1.25,1.25,540,2022-05-27 20:42:00
