,open,high,low,close,volume,datetime
0,0.435,0.435,0.435,0.435,2222,2022-05-27 12:51:00
1,0.43,0.43,0.43,0.43,700,2022-05-27 13:28:00
2,0.41,0.41,0.41,0.41,446,2022-05-27 13:29:00
3,0.418,0.4349,0.418,0.4349,5131,2022-05-27 13:30:00
4,0.415,0.415,0.415,0.415,300,2022-05-27 13:31:00
5,0.415,0.415,0.415,0.415,300,2022-05-27 13:32:00
6,0.415,0.415,0.414,0.414101,2350,2022-05-27 13:33:00
7,0.414,0.4347,0.41,0.41,8978,2022-05-27 13:34:00
8,0.4105,0.4105,0.4105,0.4105,300,2022-05-27 13:35:00
9,0.4105,0.4105,0.4105,0.4105,400,2022-05-27 13:36:00
10,0.4105,0.4105,0.4105,0.4105,300,2022-05-27 13:37:00
11,0.41,0.41,0.41,0.41,300,2022-05-27 13:38:00
12,0.41,0.41,0.41,0.41,600,2022-05-27 13:40:00
13,0.4101,0.4216,0.4101,0.4216,10300,2022-05-27 13:42:00
14,0.4101,0.4101,0.4101,0.4101,400,2022-05-27 13:43:00
15,0.41,0.41,0.41,0.41,1100,2022-05-27 13:46:00
16,0.4232,0.4232,0.420401,0.420401,2100,2022-05-27 13:47:00
17,0.411,0.4112,0.411,0.4112,1300,2022-05-27 13:50:00
18,0.4297,0.4297,0.4297,0.4297,3000,2022-05-27 13:53:00
19,0.4131,0.4131,0.413,0.413,2526,2022-05-27 13:54:00
20,0.4133,0.4134,0.4133,0.4133,1784,2022-05-27 13:59:00
21,0.4135,0.4135,0.4135,0.4135,1200,2022-05-27 14:03:00
22,0.4295,0.4297,0.4224,0.4297,800,2022-05-27 14:05:00
23,0.4297,0.4297,0.42,0.4297,4400,2022-05-27 14:06:00
24,0.4201,0.429699,0.4201,0.429699,900,2022-05-27 14:07:00
25,0.4286,0.429699,0.4286,0.429699,400,2022-05-27 14:08:00
26,0.4201,0.4297,0.4201,0.4239,2500,2022-05-27 14:09:00
27,0.4201,0.4297,0.4201,0.4239,700,2022-05-27 14:10:00
28,0.4201,0.4201,0.4201,0.4201,400,2022-05-27 14:11:00
29,0.42,0.42,0.42,0.42,490,2022-05-27 14:13:00
30,0.4147,0.4147,0.4147,0.4147,100,2022-05-27 14:14:00
31,0.4133,0.4297,0.4133,0.4297,716,2022-05-27 14:16:00
32,0.4294,0.4294,0.4294,0.4294,200,2022-05-27 14:17:00
33,0.421349,0.4297,0.413,0.413,1500,2022-05-27 14:19:00
34,0.4294,0.4297,0.42,0.4242,500,2022-05-27 14:20:00
35,0.429699,0.429699,0.4242,0.4286,400,2022-05-27 14:21:00
36,0.42135,0.4297,0.42135,0.4294,500,2022-05-27 14:22:00
37,0.413,0.413,0.413,0.413,1400,2022-05-27 14:24:00
38,0.421351,0.421351,0.421351,0.421351,2000,2022-05-27 14:25:00
39,0.421351,0.421351,0.421351,0.421351,500,2022-05-27 14:26:00
40,0.413,0.4275,0.4113,0.41945,894,2022-05-27 14:27:00
41,0.4275,0.4275,0.41945,0.420301,1050,2022-05-27 14:28:00
42,0.413,0.413,0.4114,0.4114,1400,2022-05-27 14:29:00
43,0.4169,0.4169,0.4169,0.4169,100,2022-05-27 14:34:00
44,0.4116,0.4116,0.4116,0.4116,600,2022-05-27 14:35:00
45,0.4114,0.4255,0.4114,0.4255,1211,2022-05-27 14:37:00
46,0.4115,0.4115,0.4115,0.4115,200,2022-05-27 14:38:00
47,0.412,0.412,0.4115,0.4115,1000,2022-05-27 14:39:00
48,0.412,0.412,0.412,0.412,900,2022-05-27 14:40:00
49,0.4207,0.4207,0.4207,0.4207,3000,2022-05-27 14:41:00
50,0.4184,0.42,0.4184,0.4184,2900,2022-05-27 14:44:00
51,0.418401,0.418401,0.418401,0.418401,2000,2022-05-27 14:46:00
52,0.4114,0.412,0.4114,0.412,1400,2022-05-27 14:48:00
53,0.4127,0.4127,0.4127,0.4127,100,2022-05-27 14:54:00
54,0.4127,0.4127,0.4127,0.4127,400,2022-05-27 14:55:00
55,0.4127,0.4127,0.41115,0.41115,2196,2022-05-27 14:56:00
56,0.4111,0.4111,0.4111,0.4111,1000,2022-05-27 14:57:00
57,0.419899,0.419899,0.419899,0.419899,200,2022-05-27 14:59:00
