,open,high,low,close,volume,datetime
0,8.68,8.68,8.68,8.68,117,2022-05-27 13:28:00
1,8.4,8.445,8.4,8.445,8491,2022-05-27 13:30:00
2,8.5,8.64,8.5,8.64,6688,2022-05-27 13:31:00
3,8.6,8.61,8.56,8.59,5100,2022-05-27 13:32:00
4,8.62,8.63,8.62,8.63,500,2022-05-27 13:33:00
5,8.63,8.63,8.54,8.54,2067,2022-05-27 13:34:00
6,8.54,8.55,8.52,8.55,1300,2022-05-27 13:35:00
7,8.54,8.54,8.54,8.54,200,2022-05-27 13:36:00
8,8.52,8.54,8.51,8.54,6680,2022-05-27 13:37:00
9,8.52,8.605,8.52,8.565,3800,2022-05-27 13:38:00
10,8.565,8.565,8.53,8.53,1815,2022-05-27 13:39:00
11,8.5,8.51,8.49,8.51,2100,2022-05-27 13:40:00
12,8.52,8.56,8.52,8.54,2501,2022-05-27 13:41:00
13,8.55,8.58,8.54,8.545,3086,2022-05-27 13:42:00
14,8.55,8.56,8.54,8.54,1600,2022-05-27 13:43:00
15,8.53,8.55,8.51,8.53,5775,2022-05-27 13:44:00
16,8.54,8.57,8.54,8.545,3600,2022-05-27 13:45:00
17,8.53,8.58,8.52,8.55,36022,2022-05-27 13:46:00
18,8.57,8.57,8.55,8.56,700,2022-05-27 13:47:00
19,8.57,8.58,8.56,8.58,3000,2022-05-27 13:48:00
20,8.57,8.57,8.52,8.52,7684,2022-05-27 13:49:00
21,8.505,8.53,8.505,8.53,1387,2022-05-27 13:50:00
22,8.52,8.52,8.5,8.51,1000,2022-05-27 13:51:00
23,8.49,8.49,8.48,8.49,775,2022-05-27 13:52:00
24,8.49,8.5,8.49,8.5,688,2022-05-27 13:53:00
25,8.5,8.55,8.49,8.53,2675,2022-05-27 13:54:00
26,8.55,8.55,8.54,8.55,5818,2022-05-27 13:55:00
27,8.55,8.555,8.53,8.535,20385,2022-05-27 13:56:00
28,8.53,8.53,8.515,8.52,1100,2022-05-27 13:57:00
29,8.53,8.55,8.53,8.54,3208,2022-05-27 13:58:00
30,8.54,8.54,8.535,8.535,400,2022-05-27 13:59:00
31,8.53,8.53,8.505,8.515,8238,2022-05-27 14:00:00
32,8.52,8.53,8.52,8.53,2202,2022-05-27 14:01:00
33,8.54,8.54,8.53,8.53,2100,2022-05-27 14:02:00
34,8.54,8.55,8.54,8.55,2000,2022-05-27 14:03:00
35,8.54,8.54,8.53,8.54,2200,2022-05-27 14:04:00
36,8.55,8.555,8.54,8.55,7084,2022-05-27 14:05:00
37,8.545,8.55,8.545,8.545,2002,2022-05-27 14:06:00
38,8.54,8.54,8.511,8.52,6372,2022-05-27 14:07:00
39,8.52,8.54,8.52,8.54,1900,2022-05-27 14:08:00
40,8.55,8.555,8.55,8.555,14126,2022-05-27 14:09:00
41,8.555,8.555,8.555,8.555,100,2022-05-27 14:10:00
42,8.56,8.59,8.56,8.58,1515,2022-05-27 14:11:00
43,8.58,8.58,8.57,8.57,2600,2022-05-27 14:12:00
