,open,high,low,close,volume,datetime
0,16.91,17.305,16.91,16.98,1726,2022-05-27 13:30:00
1,16.94,17.12,16.94,17.055,300,2022-05-27 13:43:00
2,17.16,17.16,17.16,17.16,500,2022-05-27 13:51:00
3,17.2,17.2,17.2,17.2,100,2022-05-27 13:52:00
4,17.16,17.16,17.16,17.16,100,2022-05-27 13:54:00
5,17.155,17.155,17.155,17.155,140,2022-05-27 14:06:00
6,17.09,17.09,17.09,17.09,100,2022-05-27 14:12:00
7,17.08,17.08,17.08,17.08,100,2022-05-27 14:22:00
8,17.135,17.135,17.135,17.135,100,2022-05-27 14:32:00
9,17.19,17.19,17.19,17.19,151,2022-05-27 14:35:00
10,17.26,17.26,17.195,17.195,200,2022-05-27 14:41:00
11,17.26,17.26,17.26,17.26,100,2022-05-27 14:45:00
12,17.1951,17.1951,17.1951,17.1951,100,2022-05-27 14:48:00
13,17.26,17.26,17.26,17.26,100,2022-05-27 14:49:00
14,17.2,17.2,17.2,17.2,200,2022-05-27 14:55:00
15,17.15,17.15,17.15,17.15,100,2022-05-27 15:01:00
16,17.15,17.15,17.15,17.15,200,2022-05-27 15:02:00
17,17.16,17.17,17.153,17.17,500,2022-05-27 15:04:00
18,17.205,17.205,17.205,17.205,100,2022-05-27 15:24:00
19,17.18,17.18,17.18,17.18,100,2022-05-27 15:28:00
20,17.21,17.21,17.21,17.21,182,2022-05-27 15:30:00
21,17.215,17.215,17.215,17.215,105,2022-05-27 15:40:00
22,17.2076,17.2076,17.2076,17.2076,165,2022-05-27 15:59:00
23,17.23,17.265,17.23,17.265,400,2022-05-27 16:01:00
24,17.27,17.27,17.27,17.27,100,2022-05-27 16:16:00
25,17.238,17.238,17.238,17.238,138,2022-05-27 16:18:00
26,17.23,17.23,17.22,17.22,200,2022-05-27 16:19:00
27,17.165,17.165,17.165,17.165,100,2022-05-27 16:31:00
28,17.1599,17.1599,17.1599,17.1599,175,2022-05-27 16:36:00
29,17.16,17.18,17.16,17.18,389,2022-05-27 16:37:00
30,17.17,17.17,17.17,17.17,100,2022-05-27 16:43:00
31,17.175,17.175,17.175,17.175,100,2022-05-27 16:50:00
32,17.1829,17.26,17.15,17.26,1584,2022-05-27 16:54:00
33,17.225,17.225,17.225,17.225,187,2022-05-27 16:55:00
34,17.211,17.211,17.211,17.211,100,2022-05-27 17:13:00
35,17.225,17.225,17.225,17.225,290,2022-05-27 17:22:00
36,17.2,17.2,17.2,17.2,100,2022-05-27 17:28:00
37,17.23,17.29,17.23,17.29,900,2022-05-27 17:30:00
38,17.32,17.37,17.3187,17.37,3260,2022-05-27 17:33:00
39,17.38,17.415,17.38,17.415,502,2022-05-27 17:37:00
40,17.46,17.46,17.395,17.45,1419,2022-05-27 17:40:00
41,17.48,17.49,17.48,17.49,1200,2022-05-27 17:49:00
42,17.49,17.5,17.48,17.48,450,2022-05-27 17:50:00
43,17.52,17.52,17.52,17.52,100,2022-05-27 17:51:00
44,17.55,17.55,17.49,17.49,200,2022-05-27 17:52:00
45,17.56,17.56,17.56,17.56,100,2022-05-27 17:54:00
46,17.56,17.56,17.56,17.56,146,2022-05-27 17:57:00
47,17.58,17.6,17.55,17.55,2384,2022-05-27 18:01:00
48,17.59,17.59,17.59,17.59,100,2022-05-27 18:08:00
49,17.59,17.59,17.59,17.59,100,2022-05-27 18:09:00
50,17.57,17.57,17.57,17.57,300,2022-05-27 18:10:00
51,17.61,17.61,17.61,17.61,200,2022-05-27 18:13:00
52,17.56,17.56,17.53,17.53,200,2022-05-27 18:25:00
53,17.55,17.57,17.54,17.57,2219,2022-05-27 18:29:00
54,17.525,17.525,17.525,17.525,100,2022-05-27 18:30:00
55,17.525,17.525,17.525,17.525,100,2022-05-27 18:32:00
56,17.5161,17.5161,17.5161,17.5161,111,2022-05-27 18:41:00
57,17.525,17.525,17.525,17.525,100,2022-05-27 18:42:00
58,17.52,17.57,17.52,17.57,200,2022-05-27 18:47:00
59,17.555,17.555,17.555,17.555,100,2022-05-27 18:50:00
60,17.59,17.6,17.55,17.55,1018,2022-05-27 18:55:00
61,17.545,17.545,17.545,17.545,100,2022-05-27 18:57:00
62,17.5,17.5,17.5,17.5,100,2022-05-27 19:05:00
63,17.54,17.54,17.54,17.54,100,2022-05-27 19:07:00
64,17.53,17.53,17.53,17.53,100,2022-05-27 19:10:00
65,17.49,17.49,17.49,17.49,100,2022-05-27 19:11:00
66,17.525,17.525,17.525,17.525,100,2022-05-27 19:15:00
67,17.525,17.525,17.525,17.525,100,2022-05-27 19:16:00
68,17.49,17.52,17.49,17.52,700,2022-05-27 19:18:00
69,17.53,17.535,17.52,17.535,1100,2022-05-27 19:20:00
70,17.57,17.57,17.57,17.57,180,2022-05-27 19:21:00
71,17.57,17.58,17.57,17.575,465,2022-05-27 19:22:00
72,17.62,17.62,17.62,17.62,400,2022-05-27 19:23:00
73,17.59,17.59,17.58,17.58,522,2022-05-27 19:27:00
74,17.61,17.61,17.595,17.595,400,2022-05-27 19:29:00
75,17.62,17.62,17.59,17.59,620,2022-05-27 19:30:00
76,17.6138,17.6138,17.585,17.585,508,2022-05-27 19:32:00
77,17.56,17.57,17.56,17.57,200,2022-05-27 19:35:00
78,17.55,17.57,17.55,17.57,300,2022-05-27 19:36:00
79,17.57,17.59,17.565,17.565,300,2022-05-27 19:37:00
80,17.57,17.57,17.57,17.57,100,2022-05-27 19:38:00
81,17.55,17.59,17.55,17.585,600,2022-05-27 19:42:00
82,17.57,17.58,17.57,17.58,200,2022-05-27 19:43:00
83,17.6,17.6,17.575,17.575,200,2022-05-27 19:45:00
84,17.575,17.575,17.575,17.575,100,2022-05-27 19:46:00
85,17.575,17.575,17.575,17.575,159,2022-05-27 19:48:00
86,17.57,17.57,17.54,17.55,700,2022-05-27 19:49:00
87,17.55,17.56,17.51,17.51,300,2022-05-27 19:50:00
88,17.55,17.55,17.55,17.55,100,2022-05-27 19:54:00
89,17.54,17.55,17.5,17.5,400,2022-05-27 19:56:00
90,17.525,17.525,17.5,17.5,211,2022-05-27 19:57:00
91,17.525,17.525,17.51,17.51,589,2022-05-27 19:58:00
92,17.5,17.54,17.5,17.53,1606,2022-05-27 19:59:00
93,17.5,17.5,17.5,17.5,9756,2022-05-27 20:00:00
94,17.5,17.5,17.5,17.5,296,2022-05-27 20:01:00
95,17.48,17.48,17.48,17.48,974,2022-05-31 13:30:00
96,16.76,17.65,16.76,17.155,500,2022-05-31 13:35:00
97,17.375,17.375,17.375,17.375,100,2022-05-31 13:39:00
98,17.35,17.35,17.26,17.31,500,2022-05-31 13:43:00
99,17.31,17.31,17.31,17.31,100,2022-05-31 13:44:00
