,open,high,low,close,volume,datetime
0,7.98,7.98,7.86,7.86,243,2022-05-27 13:30:00
1,7.8601,7.8601,7.8601,7.8601,982,2022-05-27 13:34:00
2,7.87,7.925,7.87,7.925,500,2022-05-27 13:35:00
3,7.87,7.87,7.87,7.87,100,2022-05-27 13:36:00
4,7.905,7.905,7.905,7.905,744,2022-05-27 13:40:00
5,7.97,7.97,7.87,7.92,1800,2022-05-27 13:41:00
6,7.86,7.915,7.86,7.915,400,2022-05-27 13:45:00
7,7.86,7.925,7.85,7.925,1134,2022-05-27 13:46:00
8,7.86,7.86,7.86,7.86,100,2022-05-27 13:47:00
9,7.88,7.88,7.88,7.88,100,2022-05-27 13:58:00
10,7.93,7.93,7.93,7.93,100,2022-05-27 14:05:00
11,7.93,7.95,7.93,7.95,200,2022-05-27 14:06:00
12,7.93,7.93,7.87,7.93,800,2022-05-27 14:09:00
13,7.93,7.93,7.93,7.93,300,2022-05-27 14:25:00
14,7.93,7.93,7.93,7.93,200,2022-05-27 14:32:00
15,7.97,7.97,7.97,7.97,100,2022-05-27 14:37:00
16,7.935,7.935,7.79,7.8,12900,2022-05-27 14:38:00
17,7.84,7.84,7.84,7.84,100,2022-05-27 14:40:00
18,7.84,7.84,7.79,7.84,408,2022-05-27 14:41:00
19,7.84,7.84,7.79,7.84,500,2022-05-27 14:42:00
20,7.84,7.84,7.84,7.84,300,2022-05-27 14:43:00
21,7.84,7.84,7.84,7.84,100,2022-05-27 14:44:00
22,7.84,7.84,7.84,7.84,100,2022-05-27 14:45:00
23,7.84,7.84,7.84,7.84,300,2022-05-27 14:46:00
24,7.84,7.84,7.84,7.84,300,2022-05-27 14:47:00
25,7.84,7.84,7.79,7.84,600,2022-05-27 14:48:00
26,7.8,7.8,7.8,7.8,100,2022-05-27 14:49:00
27,7.8,7.845,7.8,7.845,500,2022-05-27 14:51:00
28,7.845,7.845,7.845,7.845,200,2022-05-27 14:55:00
29,7.845,7.845,7.8,7.8,700,2022-05-27 14:57:00
30,7.84,7.84,7.84,7.84,200,2022-05-27 14:58:00
31,7.84,7.84,7.84,7.84,300,2022-05-27 15:00:00
32,7.84,7.84,7.84,7.84,100,2022-05-27 15:04:00
33,7.845,7.88,7.8,7.8,25500,2022-05-27 15:05:00
34,7.86,7.86,7.86,7.86,100,2022-05-27 15:06:00
35,7.845,7.85,7.8,7.85,7800,2022-05-27 15:09:00
36,7.845,7.845,7.81,7.81,1100,2022-05-27 15:10:00
37,7.85,7.85,7.8,7.8475,8800,2022-05-27 15:11:00
38,7.845,7.845,7.8,7.845,22460,2022-05-27 15:12:00
39,7.88,7.88,7.88,7.88,400,2022-05-27 15:14:00
40,7.845,7.88,7.845,7.88,600,2022-05-27 15:15:00
41,7.88,7.88,7.88,7.88,400,2022-05-27 15:16:00
42,7.88,7.88,7.8,7.85,700,2022-05-27 15:17:00
43,7.85,7.88,7.85,7.88,740,2022-05-27 15:18:00
44,7.89,7.93,7.87,7.89,1702,2022-05-27 15:19:00
45,7.94,7.95,7.94,7.95,700,2022-05-27 15:20:00
46,7.915,7.915,7.915,7.915,318,2022-05-27 15:21:00
47,7.925,7.925,7.9125,7.9125,200,2022-05-27 15:22:00
48,7.915,7.96,7.9,7.9,740,2022-05-27 15:23:00
49,7.935,7.96,7.935,7.96,300,2022-05-27 15:25:00
50,7.935,7.935,7.935,7.935,100,2022-05-27 15:26:00
51,7.935,7.935,7.9175,7.9175,343,2022-05-27 15:27:00
52,7.96,7.96,7.935,7.935,500,2022-05-27 15:28:00
53,7.9699,7.9699,7.91,7.93,900,2022-05-27 15:29:00
54,7.945,7.945,7.92,7.945,300,2022-05-27 15:30:00
55,7.92,7.92,7.92,7.92,100,2022-05-27 15:32:00
56,7.945,7.945,7.945,7.945,200,2022-05-27 15:35:00
57,7.945,7.945,7.945,7.945,300,2022-05-27 15:36:00
58,7.945,7.96,7.945,7.96,300,2022-05-27 15:37:00
59,7.945,7.96,7.92,7.95,4553,2022-05-27 15:38:00
60,7.96,8.0,7.955,8.0,1018,2022-05-27 15:39:00
61,7.98,7.98,7.97,7.97,2213,2022-05-27 15:41:00
62,7.97,7.97,7.97,7.97,200,2022-05-27 15:42:00
