,open,high,low,close,volume,datetime
0,10.03,10.03,10.03,10.03,2800,2022-05-31 14:46:00
1,10.03,10.03,10.02,10.02,2800,2022-05-31 14:48:00
2,10.03,10.03,10.03,10.03,49000,2022-05-31 16:08:00
3,10.03,10.03,10.03,10.03,50000,2022-05-31 16:24:00
4,10.055,10.055,10.055,10.055,48187,2022-05-31 17:19:00
5,10.03,10.03,10.03,10.03,99925,2022-05-31 19:03:00
6,10.06,10.08,10.06,10.08,425,2022-05-31 19:37:00
7,10.07,10.07,10.07,10.07,946,2022-05-31 20:00:00
8,10.05,10.05,10.05,10.05,180,2022-06-01 16:02:00
9,10.05,10.06,10.03,10.03,3988,2022-06-03 19:59:00
10,10.09,10.09,10.08,10.08,200,2022-06-06 13:30:00
