,open,high,low,close,volume,datetime
0,20.5152,20.5152,20.5152,20.5152,100,2022-05-27 12:00:00
1,20.3408,20.3408,20.3408,20.3408,390,2022-05-27 13:05:00
2,20.245,20.245,19.7,19.7502,8893,2022-05-27 13:30:00
3,19.84,19.84,19.77,19.77,1500,2022-05-27 13:31:00
4,19.71,19.735,19.66,19.735,1000,2022-05-27 13:32:00
5,19.73,19.73,19.73,19.73,100,2022-05-27 13:33:00
6,19.74,19.74,19.74,19.74,282,2022-05-27 13:35:00
7,19.8495,19.8495,19.8495,19.8495,5000,2022-05-27 13:36:00
8,19.7,19.78,19.68,19.73,1002,2022-05-27 13:37:00
9,19.67,19.71,19.67,19.71,2045,2022-05-27 13:40:00
10,19.67,19.67,19.66,19.66,3170,2022-05-27 13:41:00
11,19.61,19.61,19.54,19.58,2346,2022-05-27 13:42:00
12,19.6,19.6,19.48,19.53,11793,2022-05-27 13:43:00
13,19.6,19.75,19.6,19.74,9808,2022-05-27 13:44:00
14,19.66,19.73,19.655,19.655,1400,2022-05-27 13:45:00
15,19.655,19.665,19.63,19.665,3356,2022-05-27 13:46:00
16,19.7,19.71,19.6823,19.6823,771,2022-05-27 13:47:00
17,19.63,19.65,19.49,19.49,3703,2022-05-27 13:49:00
18,19.55,19.55,19.55,19.55,750,2022-05-27 13:50:00
19,19.68,19.68,19.68,19.68,2480,2022-05-27 13:52:00
20,19.69,19.69,19.67,19.67,1205,2022-05-27 13:57:00
21,19.635,19.635,19.59,19.59,600,2022-05-27 13:59:00
22,19.6847,19.6847,19.6847,19.6847,750,2022-05-27 14:00:00
23,19.57,19.65,19.57,19.61,900,2022-05-27 14:01:00
24,19.61,19.65,19.58,19.58,3291,2022-05-27 14:02:00
25,19.63,19.63,19.63,19.63,100,2022-05-27 14:03:00
26,19.58,19.58,19.5,19.525,3243,2022-05-27 14:05:00
27,19.53,19.53,19.53,19.53,100,2022-05-27 14:06:00
28,19.53,19.61,19.53,19.56,700,2022-05-27 14:07:00
29,19.6054,19.6054,19.6054,19.6054,1094,2022-05-27 14:09:00
