,open,high,low,close,volume,datetime
0,570.0,570.0,570.0,570.0,200,2022-05-27 11:18:00
1,570.16,570.16,569.86,569.86,200,2022-05-27 11:19:00
2,569.71,569.86,569.71,569.86,200,2022-05-27 11:21:00
3,570.15,570.15,570.15,570.15,150,2022-05-27 11:41:00
4,570.46,570.46,570.46,570.46,100,2022-05-27 11:51:00
5,569.4,569.4,569.4,569.4,156,2022-05-27 12:01:00
6,571.6,571.6,571.6,571.6,1000,2022-05-27 12:08:00
7,571.51,571.51,571.51,571.51,100,2022-05-27 12:09:00
8,572.0,572.0,572.0,572.0,500,2022-05-27 12:18:00
9,571.35,571.35,571.35,571.35,150,2022-05-27 12:22:00
10,571.36,571.36,571.36,571.36,100,2022-05-27 12:27:00
11,571.36,571.36,571.36,571.36,300,2022-05-27 12:30:00
12,571.02,571.02,571.02,571.02,100,2022-05-27 12:32:00
13,571.35,571.8,571.35,571.8,323,2022-05-27 12:34:00
14,571.88,571.88,571.88,571.88,339,2022-05-27 12:35:00
15,573.29,573.29,573.29,573.29,200,2022-05-27 12:39:00
16,571.21,571.21,570.96,570.96,600,2022-05-27 12:45:00
17,571.99,572.35,571.99,572.35,400,2022-05-27 12:46:00
18,572.35,572.35,572.35,572.35,300,2022-05-27 12:47:00
19,573.75,574.04,573.75,574.04,390,2022-05-27 12:49:00
20,572.0,572.0,570.91,570.91,200,2022-05-27 13:19:00
21,571.51,571.51,571.51,571.51,100,2022-05-27 13:24:00
22,572.1,572.2,572.1,572.2,320,2022-05-27 13:25:00
23,572.4,572.4,572.4,572.4,100,2022-05-27 13:28:00
24,572.26,572.26,572.26,572.26,100,2022-05-27 13:29:00
25,572.55,573.47,572.1,573.44,16082,2022-05-27 13:30:00
26,573.6,575.53,573.6,575.09,4862,2022-05-27 13:31:00
27,574.83,575.4,574.5,575.1434,1850,2022-05-27 13:32:00
28,575.5,575.55,575.1,575.255,1083,2022-05-27 13:33:00
29,575.17,575.17,573.86,573.86,650,2022-05-27 13:34:00
30,574.05,574.78,573.46,574.78,4512,2022-05-27 13:35:00
31,574.95,576.6,574.95,576.6,3692,2022-05-27 13:36:00
32,576.26,577.9,576.22,577.5,2900,2022-05-27 13:37:00
33,578.0,578.56,577.48,577.48,3454,2022-05-27 13:38:00
34,577.98,578.385,577.45,578.385,2800,2022-05-27 13:39:00
35,578.52,579.8466,578.38,579.118,4620,2022-05-27 13:40:00
36,578.67,579.145,577.66,578.255,2435,2022-05-27 13:41:00
37,577.9433,577.9433,576.2,576.5,2450,2022-05-27 13:42:00
38,576.42,576.45,575.45,575.45,4439,2022-05-27 13:43:00
39,575.69,575.69,574.8,574.81,1847,2022-05-27 13:44:00
40,574.87,576.09,574.46,575.82,2984,2022-05-27 13:45:00
41,575.4101,576.53,575.4101,576.335,1380,2022-05-27 13:46:00
42,577.2,577.63,576.81,577.05,2821,2022-05-27 13:47:00
43,577.3,577.945,577.3,577.945,300,2022-05-27 13:48:00
44,577.8,577.8,577.05,577.05,1699,2022-05-27 13:49:00
45,576.62,577.05,576.45,576.895,1250,2022-05-27 13:50:00
46,576.605,578.08,576.605,578.08,600,2022-05-27 13:51:00
47,577.6982,577.94,576.91,577.19,1048,2022-05-27 13:52:00
48,577.06,577.92,577.03,577.92,1900,2022-05-27 13:53:00
49,578.694,578.705,578.2501,578.705,525,2022-05-27 13:54:00
50,578.63,579.015,578.6,579.015,1637,2022-05-27 13:55:00
51,579.085,579.085,578.83,578.83,1299,2022-05-27 13:56:00
52,579.3,579.7,579.105,579.105,400,2022-05-27 13:57:00
53,579.18,579.18,578.84,578.84,950,2022-05-27 13:58:00
54,579.25,579.25,578.56,578.61,800,2022-05-27 13:59:00
55,578.475,578.66,577.68,577.68,2138,2022-05-27 14:00:00
56,578.095,578.54,577.63,578.4,1050,2022-05-27 14:01:00
57,578.08,578.2553,577.7566,578.2553,1818,2022-05-27 14:02:00
58,578.78,579.29,578.78,579.29,300,2022-05-27 14:03:00
59,578.99,578.99,578.25,578.25,1100,2022-05-27 14:04:00
60,578.42,578.822,578.41,578.7,1666,2022-05-27 14:05:00
61,578.4618,578.99,578.4618,578.71,579,2022-05-27 14:06:00
62,578.65,578.88,578.4,578.8,923,2022-05-27 14:07:00
63,578.4,578.65,578.39,578.65,600,2022-05-27 14:08:00
64,578.964,578.964,578.964,578.964,416,2022-05-27 14:09:00
65,579.13,579.37,578.8,579.01,1700,2022-05-27 14:10:00
66,579.09,579.1,578.5,578.54,1500,2022-05-27 14:11:00
67,578.76,578.95,578.29,578.76,2657,2022-05-27 14:12:00
68,578.62,578.63,578.4,578.4,7352,2022-05-27 14:13:00
69,578.44,578.815,578.41,578.56,2000,2022-05-27 14:14:00
70,578.735,578.94,578.4,578.94,750,2022-05-27 14:15:00
71,578.78,579.37,578.55,578.55,1000,2022-05-27 14:16:00
72,578.0,578.295,578.0,578.295,800,2022-05-27 14:17:00
73,578.42,578.42,577.81,578.03,544,2022-05-27 14:18:00
74,577.8561,577.8561,577.21,577.34,1253,2022-05-27 14:19:00
75,577.59,577.71,577.53,577.53,500,2022-05-27 14:20:00
76,578.27,578.4513,578.27,578.4513,300,2022-05-27 14:21:00
77,578.33,578.38,578.33,578.38,300,2022-05-27 14:22:00
78,578.38,578.38,578.38,578.38,100,2022-05-27 14:23:00
79,578.71,578.85,578.57,578.59,559,2022-05-27 14:24:00
80,578.85,579.0,578.47,578.62,1908,2022-05-27 14:25:00
