,open,high,low,close,volume,datetime
0,42.32,42.32,42.32,42.32,100,2022-05-27 13:29:00
1,42.33,42.33,42.33,42.33,1243,2022-05-27 13:30:00
2,42.4497,42.4497,42.4497,42.4497,137,2022-05-27 13:31:00
3,43.38,43.38,41.92,41.92,388,2022-05-27 13:36:00
4,42.05,42.05,41.78,41.78,200,2022-05-27 13:45:00
5,41.61,41.61,41.48,41.48,200,2022-05-27 13:46:00
6,41.63,41.63,41.63,41.63,100,2022-05-27 13:47:00
7,41.52,41.525,41.52,41.525,300,2022-05-27 13:49:00
8,41.7,41.71,41.7,41.71,200,2022-05-27 13:50:00
9,41.97,41.97,41.97,41.97,100,2022-05-27 13:51:00
10,42.02,42.02,42.02,42.02,242,2022-05-27 13:53:00
11,41.81,41.81,41.81,41.81,100,2022-05-27 13:54:00
12,41.91,42.25,41.91,42.0,400,2022-05-27 13:56:00
13,42.095,42.095,42.095,42.095,100,2022-05-27 14:00:00
14,42.26,42.26,42.26,42.26,166,2022-05-27 14:01:00
15,42.12,42.12,42.12,42.12,100,2022-05-27 14:04:00
16,42.12,42.12,42.12,42.12,100,2022-05-27 14:05:00
17,42.22,42.25,42.12,42.22,600,2022-05-27 14:07:00
18,42.46,42.47,42.46,42.47,300,2022-05-27 14:12:00
19,42.5,42.5,42.5,42.5,100,2022-05-27 14:17:00
20,42.5,42.5,42.5,42.5,200,2022-05-27 14:20:00
21,42.39,42.4781,42.39,42.4781,260,2022-05-27 14:25:00
22,42.4,42.4,42.4,42.4,100,2022-05-27 14:29:00
23,42.52,42.52,42.52,42.52,100,2022-05-27 14:30:00
24,42.53,42.53,42.53,42.53,100,2022-05-27 14:36:00
25,42.55,42.55,42.55,42.55,100,2022-05-27 14:39:00
26,42.55,42.55,42.55,42.55,100,2022-05-27 14:40:00
27,42.54,42.54,42.54,42.54,100,2022-05-27 14:48:00
28,42.34,42.34,42.34,42.34,100,2022-05-27 14:51:00
29,42.41,42.46,42.41,42.445,300,2022-05-27 14:52:00
30,42.375,42.375,42.375,42.375,100,2022-05-27 14:56:00
31,42.39,42.39,42.39,42.39,300,2022-05-27 15:02:00
32,42.53,42.53,42.48,42.48,200,2022-05-27 15:10:00
33,42.51,42.51,42.51,42.51,100,2022-05-27 15:19:00
34,42.53,42.63,42.53,42.55,400,2022-05-27 15:24:00
35,42.57,42.57,42.57,42.57,100,2022-05-27 15:28:00
36,42.62,42.64,42.62,42.64,300,2022-05-27 15:31:00
37,42.74,42.74,42.74,42.74,100,2022-05-27 15:37:00
38,42.49,42.49,42.49,42.49,200,2022-05-27 15:49:00
39,42.44,42.55,42.44,42.55,200,2022-05-27 15:54:00
40,42.44,42.45,42.44,42.45,200,2022-05-27 15:58:00
41,42.56,42.57,42.56,42.56,500,2022-05-27 16:04:00
42,42.485,42.485,42.485,42.485,100,2022-05-27 16:07:00
43,42.41,42.41,42.41,42.41,100,2022-05-27 16:10:00
44,42.51,42.67,42.51,42.67,744,2022-05-27 16:11:00
45,42.65,42.65,42.595,42.595,200,2022-05-27 16:13:00
46,42.46,42.46,42.46,42.46,100,2022-05-27 16:19:00
47,42.45,42.45,42.45,42.45,300,2022-05-27 16:21:00
48,42.45,42.45,42.45,42.45,100,2022-05-27 16:27:00
