,open,high,low,close,volume,datetime
0,7.47,7.47,7.45,7.45,200,2022-05-27 11:16:00
1,7.42,7.42,7.41,7.41,800,2022-05-27 11:18:00
2,7.6,7.6,7.555,7.585,4432,2022-05-27 13:30:00
3,7.58,7.62,7.58,7.62,1443,2022-05-27 13:31:00
4,7.64,7.64,7.64,7.64,200,2022-05-27 13:32:00
5,7.67,7.74,7.65,7.74,1500,2022-05-27 13:33:00
6,7.73,7.76,7.715,7.76,6299,2022-05-27 13:34:00
7,7.77,7.8,7.73,7.8,6168,2022-05-27 13:35:00
8,7.8,7.8,7.75,7.76,1154,2022-05-27 13:36:00
9,7.75,7.75,7.64,7.64,14443,2022-05-27 13:37:00
10,7.66,7.66,7.605,7.6105,2874,2022-05-27 13:38:00
11,7.65,7.65,7.62,7.625,1136,2022-05-27 13:39:00
12,7.7,7.7,7.7,7.7,130,2022-05-27 13:42:00
13,7.695,7.695,7.695,7.695,859,2022-05-27 13:43:00
14,7.67,7.67,7.665,7.665,461,2022-05-27 13:44:00
15,7.68,7.7161,7.68,7.7161,607,2022-05-27 13:45:00
16,7.69,7.69,7.68,7.69,800,2022-05-27 13:47:00
17,7.7399,7.74,7.72,7.72,8042,2022-05-27 13:49:00
18,7.725,7.725,7.725,7.725,100,2022-05-27 13:51:00
19,7.72,7.73,7.72,7.73,1200,2022-05-27 13:52:00
20,7.74,7.74,7.74,7.74,100,2022-05-27 13:53:00
21,7.78,7.79,7.78,7.79,500,2022-05-27 13:54:00
22,7.785,7.81,7.785,7.81,4019,2022-05-27 13:55:00
23,7.8,7.8,7.8,7.8,993,2022-05-27 13:56:00
24,7.82,7.828,7.82,7.8273,300,2022-05-27 13:57:00
25,7.84,7.84,7.84,7.84,500,2022-05-27 13:58:00
26,7.83,7.83,7.83,7.83,100,2022-05-27 13:59:00
27,7.8119,7.8119,7.8119,7.8119,100,2022-05-27 14:00:00
28,7.83,7.83,7.83,7.83,200,2022-05-27 14:01:00
29,7.84,7.85,7.84,7.85,2236,2022-05-27 14:03:00
30,7.85,7.85,7.84,7.84,2500,2022-05-27 14:04:00
31,7.8527,7.8527,7.8527,7.8527,138,2022-05-27 14:05:00
32,7.87,7.87,7.87,7.87,2600,2022-05-27 14:06:00
33,7.87,7.87,7.87,7.87,700,2022-05-27 14:07:00
34,7.86,7.88,7.86,7.87,2128,2022-05-27 14:08:00
35,7.86,7.86,7.86,7.86,100,2022-05-27 14:09:00
36,7.87,7.895,7.87,7.895,7361,2022-05-27 14:10:00
37,7.895,7.9105,7.895,7.9105,3700,2022-05-27 14:11:00
38,7.92,7.92,7.915,7.92,1568,2022-05-27 14:12:00
39,7.925,7.925,7.92,7.92,1602,2022-05-27 14:13:00
40,7.92,7.92,7.905,7.905,1200,2022-05-27 14:14:00
41,7.91,7.93,7.91,7.93,5383,2022-05-27 14:15:00
42,7.945,7.945,7.945,7.945,600,2022-05-27 14:16:00
43,7.95,7.98,7.95,7.965,1536,2022-05-27 14:17:00
44,7.95,7.96,7.95,7.96,1100,2022-05-27 14:19:00
45,7.96,7.96,7.96,7.96,500,2022-05-27 14:20:00
46,7.9602,7.9602,7.9602,7.9602,200,2022-05-27 14:21:00
47,7.98,7.99,7.98,7.99,1190,2022-05-27 14:22:00
48,7.9801,7.99,7.9801,7.99,435,2022-05-27 14:23:00
