,open,high,low,close,volume,datetime
0,32.92,32.92,32.92,32.92,6554,2022-05-27 13:30:00
1,33.14,33.14,33.1,33.1,590,2022-05-27 13:31:00
2,33.09,33.22,33.09,33.22,400,2022-05-27 13:32:00
3,33.25,33.25,33.25,33.25,694,2022-05-27 13:33:00
4,33.22,33.22,33.22,33.22,100,2022-05-27 13:34:00
5,33.22,33.35,33.22,33.35,700,2022-05-27 13:35:00
6,33.31,33.344,33.31,33.313,501,2022-05-27 13:36:00
7,33.2816,33.2816,33.28,33.28,600,2022-05-27 13:37:00
8,33.245,33.245,33.245,33.245,203,2022-05-27 13:38:00
9,33.23,33.23,33.23,33.23,100,2022-05-27 13:39:00
10,33.208,33.208,33.2,33.2,500,2022-05-27 13:40:00
11,33.2361,33.2361,33.2361,33.2361,200,2022-05-27 13:42:00
12,33.152,33.152,33.152,33.152,100,2022-05-27 13:43:00
13,33.1473,33.1473,33.1473,33.1473,1000,2022-05-27 13:44:00
14,33.14,33.14,33.09,33.09,600,2022-05-27 13:45:00
15,33.08,33.08,33.08,33.08,400,2022-05-27 13:46:00
16,33.08,33.09,33.07,33.07,646,2022-05-27 13:48:00
17,33.09,33.09,33.09,33.09,100,2022-05-27 13:51:00
18,33.16,33.16,33.16,33.16,200,2022-05-27 13:52:00
19,33.15,33.16,33.15,33.16,200,2022-05-27 13:55:00
20,33.17,33.17,32.97,32.97,11689,2022-05-27 13:57:00
21,32.975,33.02,32.95,33.015,17317,2022-05-27 13:58:00
22,33.005,33.005,33.005,33.005,100,2022-05-27 13:59:00
23,33.015,33.04,33.015,33.02,1403,2022-05-27 14:00:00
24,33.0,33.0,33.0,33.0,177,2022-05-27 14:01:00
25,33.01,33.0299,33.01,33.0299,206,2022-05-27 14:02:00
26,33.0146,33.0146,33.005,33.005,234,2022-05-27 14:04:00
27,33.01,33.01,32.98,33.0,1014,2022-05-27 14:05:00
28,33.0027,33.03,33.0027,33.03,607,2022-05-27 14:06:00
29,33.03,33.03,33.02,33.02,648,2022-05-27 14:10:00
30,33.03,33.09,33.03,33.09,300,2022-05-27 14:11:00
31,33.0851,33.0851,33.0851,33.0851,100,2022-05-27 14:14:00
32,33.11,33.11,33.11,33.11,100,2022-05-27 14:15:00
33,33.12,33.12,33.12,33.12,100,2022-05-27 14:16:00
34,33.105,33.105,33.105,33.105,100,2022-05-27 14:19:00
35,33.12,33.12,33.08,33.08,1367,2022-05-27 14:21:00
36,33.095,33.13,33.095,33.13,400,2022-05-27 14:22:00
37,33.14,33.14,33.14,33.14,200,2022-05-27 14:23:00
38,33.175,33.175,33.175,33.175,100,2022-05-27 14:24:00
39,33.14,33.14,33.127,33.13,500,2022-05-27 14:25:00
40,33.13,33.135,33.13,33.135,325,2022-05-27 14:26:00
41,33.13,33.13,33.11,33.11,482,2022-05-27 14:27:00
42,33.13,33.13,33.12,33.12,228,2022-05-27 14:31:00
43,33.14,33.14,33.14,33.14,100,2022-05-27 14:32:00
44,33.15,33.15,33.15,33.15,200,2022-05-27 14:34:00
45,33.19,33.19,33.19,33.19,200,2022-05-27 14:35:00
46,33.23,33.23,33.23,33.23,100,2022-05-27 14:36:00
47,33.21,33.24,33.21,33.24,764,2022-05-27 14:37:00
48,33.21,33.22,33.21,33.22,200,2022-05-27 14:39:00
49,33.19,33.19,33.155,33.155,507,2022-05-27 14:40:00
50,33.14,33.14,33.14,33.14,202,2022-05-27 14:43:00
51,33.12,33.12,33.1,33.1,200,2022-05-27 14:44:00
52,33.07,33.1,33.07,33.1,200,2022-05-27 14:45:00
53,33.0785,33.0819,33.07,33.0819,1350,2022-05-27 14:46:00
