,open,high,low,close,volume,datetime
0,29.02,29.02,29.02,29.02,129,2022-05-27 13:30:00
1,28.0001,28.0001,28.0,28.0,1300,2022-05-27 14:25:00
2,27.865,27.865,27.83,27.83,900,2022-05-27 14:38:00
3,27.931,27.931,27.931,27.931,100,2022-05-27 14:41:00
4,27.82,27.82,27.82,27.82,100,2022-05-27 15:23:00
5,27.86,27.86,27.86,27.86,100,2022-05-27 17:01:00
6,27.5701,27.5701,27.5701,27.5701,300,2022-05-27 17:46:00
7,27.52,27.52,27.52,27.52,250,2022-05-27 18:02:00
8,27.5,27.5,27.5,27.5,100,2022-05-27 18:04:00
9,27.479,27.479,27.479,27.479,200,2022-05-27 18:20:00
10,27.44,27.44,27.44,27.44,136,2022-05-27 19:48:00
11,27.32,27.3201,27.32,27.3201,200,2022-05-27 19:54:00
12,27.86,27.99,27.86,27.99,6655,2022-05-31 13:33:00
13,28.11,28.11,28.02,28.02,465,2022-05-31 13:39:00
14,28.05,28.05,28.05,28.05,100,2022-05-31 13:46:00
15,28.16,28.16,28.16,28.16,200,2022-05-31 13:48:00
16,28.17,28.17,28.17,28.17,500,2022-05-31 13:57:00
17,28.59,28.59,28.59,28.59,300,2022-05-31 14:05:00
18,28.3543,28.3543,28.3543,28.3543,6280,2022-05-31 14:25:00
19,28.45,28.45,28.45,28.45,100,2022-05-31 14:28:00
20,28.519,28.519,28.519,28.519,200,2022-05-31 14:29:00
21,28.46,28.46,28.46,28.46,200,2022-05-31 14:30:00
22,28.36,28.36,28.36,28.36,100,2022-05-31 14:52:00
23,28.37,28.37,28.37,28.37,100,2022-05-31 15:11:00
24,28.445,28.445,28.445,28.445,100,2022-05-31 15:15:00
25,28.3901,28.3901,28.3901,28.3901,200,2022-05-31 15:17:00
26,28.45,28.45,28.4,28.4,5769,2022-05-31 15:29:00
27,28.44,28.44,28.44,28.44,100,2022-05-31 15:35:00
28,27.96,27.97,27.92,27.93,4274,2022-05-31 16:03:00
29,27.93,27.96,27.93,27.96,1803,2022-05-31 16:04:00
30,27.97,27.97,27.97,27.97,100,2022-05-31 16:08:00
31,27.86,27.86,27.86,27.86,100,2022-05-31 16:42:00
32,27.961,27.99,27.961,27.99,300,2022-05-31 16:49:00
33,28.2847,28.2847,28.2847,28.2847,500,2022-05-31 17:46:00
34,28.58,28.58,28.58,28.58,100,2022-05-31 19:18:00
35,28.545,28.545,28.545,28.545,101,2022-05-31 19:28:00
36,28.53,28.53,28.51,28.52,6508,2022-05-31 19:29:00
37,28.5278,28.5278,28.5278,28.5278,365,2022-05-31 19:30:00
38,28.45,28.45,28.45,28.45,5267,2022-05-31 19:43:00
39,28.37,28.37,28.37,28.37,200,2022-05-31 19:52:00
40,28.34,28.34,28.34,28.34,100,2022-05-31 19:53:00
41,28.41,28.41,28.41,28.41,452,2022-05-31 19:59:00
42,27.87,27.87,27.87,27.87,107,2022-06-01 13:30:00
43,28.075,28.075,28.075,28.075,129,2022-06-01 13:31:00
44,27.94,27.94,27.94,27.94,100,2022-06-01 13:32:00
45,28.14,28.14,28.14,28.14,5272,2022-06-01 13:45:00
46,28.438,28.438,28.438,28.438,400,2022-06-01 13:55:00
47,28.81,28.81,28.81,28.81,100,2022-06-01 14:15:00
48,28.87,28.87,28.87,28.87,100,2022-06-01 14:29:00
49,28.8,28.8092,28.79,28.8092,600,2022-06-01 14:53:00
50,28.86,28.86,28.86,28.86,200,2022-06-01 15:00:00
