,open,high,low,close,volume,datetime
0,652.0,652.0,652.0,652.0,107,2022-05-27 11:10:00
1,656.85,659.895,656.14,659.38,15650,2022-05-27 13:30:00
2,660.0,661.9,659.97,660.32,2789,2022-05-27 13:31:00
3,660.82,661.775,660.82,661.77,527,2022-05-27 13:32:00
4,660.94,661.705,660.03,660.51,1901,2022-05-27 13:33:00
5,660.03,660.61,658.86,660.365,3216,2022-05-27 13:34:00
6,661.56,662.55,660.61,662.55,1129,2022-05-27 13:35:00
7,662.59,663.16,662.1,662.38,2953,2022-05-27 13:36:00
8,662.7,663.61,662.32,663.41,5527,2022-05-27 13:37:00
9,663.7873,664.49,663.7873,664.47,750,2022-05-27 13:38:00
10,664.96,665.0,664.259,664.73,2659,2022-05-27 13:39:00
11,664.75,666.5848,664.52,666.5848,2420,2022-05-27 13:40:00
12,665.57,665.6,664.645,665.425,1500,2022-05-27 13:41:00
13,665.015,665.325,664.14,664.83,4080,2022-05-27 13:42:00
14,665.24,667.71,665.24,667.3,1643,2022-05-27 13:43:00
15,668.42,670.85,667.985,670.12,3100,2022-05-27 13:44:00
16,669.97,671.9845,669.52,670.65,6484,2022-05-27 13:45:00
17,670.455,671.98,670.44,671.2344,6520,2022-05-27 13:46:00
18,671.355,672.08,670.96,671.36,3050,2022-05-27 13:47:00
19,672.04,672.715,671.35,671.7,3684,2022-05-27 13:48:00
20,671.43,672.035,670.29,670.29,3305,2022-05-27 13:49:00
21,670.34,670.66,668.975,670.0,3839,2022-05-27 13:50:00
22,669.17,670.41,669.17,670.22,1400,2022-05-27 13:51:00
23,670.91,670.94,670.47,670.48,500,2022-05-27 13:52:00
24,670.93,671.3275,669.4,669.67,3894,2022-05-27 13:53:00
25,670.15,671.39,670.15,671.39,3520,2022-05-27 13:54:00
26,670.81,671.08,670.72,671.015,900,2022-05-27 13:55:00
27,671.015,671.255,668.51,668.915,2787,2022-05-27 13:56:00
28,669.01,669.01,668.51,668.51,600,2022-05-27 13:57:00
29,667.82,668.185,667.44,667.44,915,2022-05-27 13:58:00
30,667.96,667.96,666.515,667.0,2981,2022-05-27 13:59:00
31,666.975,667.27,666.38,666.76,1000,2022-05-27 14:00:00
32,667.22,667.38,667.22,667.225,300,2022-05-27 14:01:00
33,667.51,667.675,667.285,667.285,1606,2022-05-27 14:02:00
34,667.29,667.9,667.29,667.9,903,2022-05-27 14:03:00
35,667.45,668.08,667.45,667.54,1518,2022-05-27 14:04:00
36,667.94,668.0,667.1542,667.94,1531,2022-05-27 14:05:00
37,667.89,667.89,667.57,667.745,500,2022-05-27 14:06:00
38,667.795,667.795,665.81,665.93,1147,2022-05-27 14:07:00
39,665.84,666.36,665.84,666.36,400,2022-05-27 14:08:00
40,666.37,666.37,665.955,666.345,300,2022-05-27 14:09:00
41,665.79,666.275,665.46,666.275,2446,2022-05-27 14:10:00
42,666.405,666.91,666.0,666.86,1119,2022-05-27 14:11:00
43,666.885,667.35,665.72,665.72,4143,2022-05-27 14:12:00
44,665.66,666.36,665.3147,665.541,1001,2022-05-27 14:13:00
45,666.21,666.37,665.85,665.85,300,2022-05-27 14:14:00
46,666.75,666.75,665.98,666.09,797,2022-05-27 14:15:00
