,open,high,low,close,volume,datetime
0,63.43,63.43,63.43,63.43,3024,2022-05-27 13:30:00
1,63.5,64.355,63.33,64.355,7141,2022-05-27 13:31:00
2,63.84,63.84,63.84,63.84,100,2022-05-27 13:33:00
3,63.43,63.43,63.43,63.43,100,2022-05-27 13:34:00
4,63.52,63.539,63.52,63.539,200,2022-05-27 13:36:00
5,63.52,63.52,63.34,63.34,200,2022-05-27 13:37:00
6,63.4051,63.4051,63.4051,63.4051,296,2022-05-27 13:45:00
7,63.61,63.61,63.39,63.39,200,2022-05-27 13:46:00
8,63.62,63.64,63.525,63.64,300,2022-05-27 13:47:00
9,63.48,63.48,63.48,63.48,100,2022-05-27 13:48:00
10,63.69,63.69,63.54,63.68,300,2022-05-27 13:49:00
11,63.5,63.56,63.49,63.56,700,2022-05-27 13:53:00
12,63.6245,63.6245,63.6245,63.6245,119,2022-05-27 13:55:00
13,63.79,63.79,63.73,63.73,200,2022-05-27 13:56:00
14,63.92,63.92,63.9,63.9,200,2022-05-27 14:00:00
15,63.94,63.95,63.94,63.95,208,2022-05-27 14:06:00
16,63.96,63.96,63.89,63.93,600,2022-05-27 14:08:00
17,64.03,64.03,64.03,64.03,100,2022-05-27 14:10:00
18,64.14,64.14,64.14,64.14,126,2022-05-27 14:11:00
19,64.1,64.1,63.995,64.09,400,2022-05-27 14:20:00
20,63.88,63.88,63.88,63.88,100,2022-05-27 14:21:00
21,63.99,63.99,63.91,63.96,600,2022-05-27 14:23:00
22,63.87,63.87,63.845,63.845,300,2022-05-27 14:24:00
23,63.85,63.91,63.85,63.88,530,2022-05-27 14:27:00
24,63.83,63.83,63.83,63.83,184,2022-05-27 14:28:00
25,63.93,63.93,63.93,63.93,100,2022-05-27 14:29:00
26,63.97,64.02,63.97,64.02,400,2022-05-27 14:31:00
27,64.02,64.02,64.02,64.02,100,2022-05-27 14:32:00
28,63.98,64.0,63.98,64.0,200,2022-05-27 14:33:00
29,63.99,63.99,63.96,63.96,200,2022-05-27 14:36:00
30,63.96,63.97,63.96,63.97,200,2022-05-27 14:38:00
31,63.9,63.9,63.84,63.86,300,2022-05-27 14:42:00
32,63.78,63.78,63.725,63.725,600,2022-05-27 14:46:00
33,63.68,63.685,63.68,63.685,200,2022-05-27 14:47:00
34,63.685,63.685,63.685,63.685,100,2022-05-27 14:48:00
35,63.67,63.73,63.67,63.73,904,2022-05-27 14:49:00
36,63.77,63.77,63.77,63.77,100,2022-05-27 14:50:00
37,63.8,63.8,63.765,63.765,300,2022-05-27 14:51:00
38,63.77,63.77,63.77,63.77,100,2022-05-27 14:52:00
39,63.81,63.81,63.81,63.81,210,2022-05-27 14:53:00
40,63.71,63.71,63.7,63.7,200,2022-05-27 14:57:00
41,63.7048,63.7048,63.69,63.69,252,2022-05-27 14:58:00
42,63.63,63.63,63.63,63.63,100,2022-05-27 14:59:00
43,63.6,63.6,63.6,63.6,200,2022-05-27 15:02:00
44,63.55,63.58,63.55,63.58,400,2022-05-27 15:04:00
45,63.59,63.59,63.59,63.59,100,2022-05-27 15:06:00
46,63.795,63.88,63.795,63.88,1100,2022-05-27 15:09:00
47,64.06,64.12,64.06,64.09,600,2022-05-27 15:10:00
48,64.19,64.27,64.14,64.27,600,2022-05-27 15:11:00
49,64.44,64.52,64.44,64.52,300,2022-05-27 15:12:00
50,64.38,64.45,64.38,64.45,200,2022-05-27 15:16:00
51,64.45,64.45,64.32,64.32,900,2022-05-27 15:17:00
52,64.25,64.25,64.185,64.185,200,2022-05-27 15:23:00
53,64.15,64.15,64.15,64.15,100,2022-05-27 15:25:00
54,64.08,64.08,64.08,64.08,100,2022-05-27 15:30:00
55,64.16,64.19,64.16,64.19,201,2022-05-27 15:31:00
56,64.15,64.15,64.08,64.08,300,2022-05-27 15:33:00
57,64.0,64.0,64.0,64.0,100,2022-05-27 15:35:00
58,64.04,64.04,63.98,63.98,521,2022-05-27 15:38:00
59,64.04,64.05,64.035,64.035,300,2022-05-27 15:42:00
60,64.05,64.05,64.05,64.05,100,2022-05-27 15:43:00
61,64.0,64.0,64.0,64.0,693,2022-05-27 15:44:00
62,63.94,64.1,63.94,64.1,200,2022-05-27 15:46:00
63,64.15,64.15,64.15,64.15,100,2022-05-27 15:49:00
64,64.12,64.12,64.12,64.12,100,2022-05-27 15:51:00
65,64.06,64.06,64.05,64.05,200,2022-05-27 15:53:00
66,63.97,63.97,63.97,63.97,100,2022-05-27 15:57:00
67,63.92,63.99,63.91,63.99,1300,2022-05-27 15:58:00
68,63.95,63.95,63.95,63.95,200,2022-05-27 15:59:00
69,63.975,64.06,63.975,64.06,300,2022-05-27 16:01:00
70,64.07,64.08,64.07,64.08,200,2022-05-27 16:03:00
71,64.09,64.09,64.025,64.025,300,2022-05-27 16:04:00
72,64.09,64.09,64.015,64.015,968,2022-05-27 16:08:00
73,63.93,63.93,63.93,63.93,1584,2022-05-27 16:09:00
74,64.055,64.07,64.02,64.02,900,2022-05-27 16:13:00
75,64.02,64.02,64.02,64.02,100,2022-05-27 16:14:00
76,63.97,63.97,63.915,63.915,700,2022-05-27 16:17:00
77,63.94,63.94,63.88,63.88,725,2022-05-27 16:19:00
78,63.895,63.895,63.86,63.88,300,2022-05-27 16:20:00
79,63.94,63.94,63.94,63.94,100,2022-05-27 16:22:00
80,63.94,63.94,63.94,63.94,100,2022-05-27 16:23:00
81,63.965,63.975,63.965,63.965,400,2022-05-27 16:25:00
82,63.97,63.985,63.91,63.91,1700,2022-05-27 16:26:00
83,63.91,63.91,63.91,63.91,100,2022-05-27 16:27:00
84,63.91,63.92,63.83,63.92,1100,2022-05-27 16:29:00
85,63.75,63.75,63.73,63.73,200,2022-05-27 16:34:00
86,63.73,63.73,63.72,63.72,300,2022-05-27 16:36:00
87,63.72,63.83,63.72,63.83,1303,2022-05-27 16:37:00
88,63.875,63.875,63.875,63.875,100,2022-05-27 16:39:00
89,63.94,63.94,63.88,63.88,716,2022-05-27 16:41:00
90,63.87,63.87,63.87,63.87,100,2022-05-27 16:42:00
91,63.9,63.9,63.9,63.9,200,2022-05-27 16:43:00
92,63.87,63.87,63.85,63.85,200,2022-05-27 16:47:00
93,63.7965,63.7965,63.73,63.73,329,2022-05-27 16:50:00
94,63.78,63.78,63.78,63.78,100,2022-05-27 16:52:00
95,63.8,63.8,63.8,63.8,100,2022-05-27 16:53:00
96,63.82,63.82,63.82,63.82,516,2022-05-27 16:55:00
97,63.83,63.83,63.83,63.83,100,2022-05-27 16:57:00
98,63.77,63.77,63.67,63.67,500,2022-05-27 17:00:00
99,63.67,63.67,63.67,63.67,200,2022-05-27 17:05:00
100,63.61,63.61,63.61,63.61,100,2022-05-27 17:07:00
101,63.64,63.64,63.63,63.63,474,2022-05-27 17:11:00
102,63.71,63.78,63.71,63.78,300,2022-05-27 17:13:00
103,63.81,63.81,63.81,63.81,100,2022-05-27 17:14:00
104,63.77,63.77,63.77,63.77,100,2022-05-27 17:15:00
105,63.78,63.78,63.75,63.75,300,2022-05-27 17:16:00
106,63.7773,63.7773,63.7773,63.7773,173,2022-05-27 17:17:00
107,63.79,63.8,63.79,63.79,300,2022-05-27 17:18:00
108,63.81,63.879,63.81,63.879,645,2022-05-27 17:19:00
109,63.86,63.86,63.86,63.86,100,2022-05-27 17:23:00
110,63.85,63.855,63.85,63.855,200,2022-05-27 17:24:00
111,63.86,63.86,63.71,63.71,2600,2022-05-27 17:25:00
112,63.78,63.78,63.78,63.78,100,2022-05-27 17:27:00
113,63.8,63.8,63.71,63.71,574,2022-05-27 17:32:00
114,63.71,63.71,63.65,63.65,600,2022-05-27 17:33:00
115,63.69,63.69,63.69,63.69,150,2022-05-27 17:34:00
116,63.68,63.68,63.68,63.68,284,2022-05-27 17:35:00
117,63.665,63.665,63.665,63.665,100,2022-05-27 17:36:00
118,63.655,63.655,63.6,63.63,1100,2022-05-27 17:41:00
119,63.56,63.56,63.56,63.56,100,2022-05-27 17:43:00
120,63.56,63.56,63.56,63.56,100,2022-05-27 17:46:00
121,63.61,63.67,63.61,63.67,300,2022-05-27 17:47:00
122,63.695,63.695,63.61,63.61,400,2022-05-27 17:51:00
123,63.65,63.65,63.65,63.65,100,2022-05-27 17:52:00
124,63.55,63.55,63.54,63.54,200,2022-05-27 17:55:00
125,63.53,63.53,63.53,63.53,100,2022-05-27 17:56:00
126,63.47,63.53,63.47,63.53,200,2022-05-27 17:58:00
127,63.54,63.54,63.54,63.54,100,2022-05-27 18:01:00
128,63.52,63.52,63.51,63.51,210,2022-05-27 18:04:00
129,63.52,63.52,63.51,63.51,300,2022-05-27 18:06:00
130,63.57,63.57,63.57,63.57,100,2022-05-27 18:08:00
131,63.59,63.59,63.56,63.56,400,2022-05-27 18:09:00
132,63.575,63.575,63.575,63.575,100,2022-05-27 18:10:00
133,63.565,63.565,63.565,63.565,100,2022-05-27 18:12:00
134,63.53,63.53,63.53,63.53,100,2022-05-27 18:14:00
135,63.58,63.58,63.58,63.58,100,2022-05-27 18:15:00
136,63.61,63.61,63.58,63.59,400,2022-05-27 18:16:00
137,63.59,63.59,63.58,63.58,600,2022-05-27 18:18:00
138,63.53,63.58,63.53,63.58,500,2022-05-27 18:20:00
139,63.66,63.68,63.66,63.68,300,2022-05-27 18:22:00
140,63.66,63.66,63.66,63.66,400,2022-05-27 18:26:00
141,63.64,63.64,63.59,63.59,200,2022-05-27 18:27:00
142,63.55,63.55,63.53,63.5302,700,2022-05-27 18:29:00
143,63.53,63.56,63.53,63.56,1575,2022-05-27 18:30:00
144,63.55,63.56,63.53,63.53,400,2022-05-27 18:31:00
145,63.54,63.55,63.54,63.54,300,2022-05-27 18:33:00
146,63.575,63.575,63.575,63.575,100,2022-05-27 18:35:00
147,63.62,63.64,63.62,63.64,200,2022-05-27 18:38:00
148,63.59,63.59,63.59,63.59,100,2022-05-27 18:39:00
149,63.53,63.55,63.53,63.55,200,2022-05-27 18:41:00
150,63.58,63.58,63.58,63.58,200,2022-05-27 18:44:00
151,63.5,63.5,63.5,63.5,100,2022-05-27 18:49:00
152,63.535,63.535,63.535,63.535,100,2022-05-27 18:53:00
153,63.53,63.53,63.53,63.53,100,2022-05-27 18:54:00
154,63.55,63.55,63.55,63.55,100,2022-05-27 18:55:00
155,63.53,63.53,63.5,63.5,300,2022-05-27 18:56:00
156,63.495,63.495,63.495,63.495,100,2022-05-27 18:57:00
157,63.495,63.495,63.495,63.495,100,2022-05-27 18:58:00
158,63.53,63.535,63.53,63.535,200,2022-05-27 18:59:00
159,63.52,63.59,63.51,63.555,1100,2022-05-27 19:01:00
160,63.52,63.52,63.49,63.49,200,2022-05-27 19:02:00
161,63.49,63.49,63.49,63.49,100,2022-05-27 19:04:00
162,63.53,63.54,63.53,63.53,300,2022-05-27 19:05:00
163,63.58,63.58,63.58,63.58,200,2022-05-27 19:06:00
164,63.56,63.56,63.535,63.535,400,2022-05-27 19:08:00
165,63.52,63.52,63.52,63.52,400,2022-05-27 19:11:00
166,63.49,63.49,63.49,63.49,200,2022-05-27 19:13:00
167,63.495,63.495,63.49,63.49,200,2022-05-27 19:14:00
168,63.495,63.495,63.495,63.495,100,2022-05-27 19:15:00
169,63.46,63.46,63.36,63.43,1100,2022-05-27 19:16:00
170,63.47,63.47,63.47,63.47,207,2022-05-27 19:18:00
171,63.465,63.49,63.4,63.4,1200,2022-05-27 19:21:00
172,63.39,63.4,63.39,63.4,300,2022-05-27 19:22:00
173,63.34,63.35,63.34,63.35,200,2022-05-27 19:24:00
174,63.37,63.37,63.36,63.37,400,2022-05-27 19:25:00
175,63.37,63.37,63.37,63.37,424,2022-05-27 19:27:00
176,63.41,63.41,63.35,63.35,300,2022-05-27 19:28:00
177,63.34,63.34,63.25,63.29,870,2022-05-27 19:29:00
178,63.25,63.345,63.25,63.345,500,2022-05-27 19:30:00
179,63.35,63.35,63.345,63.345,200,2022-05-27 19:31:00
180,63.37,63.37,63.37,63.37,100,2022-05-27 19:32:00
181,63.34,63.39,63.34,63.39,400,2022-05-27 19:33:00
182,63.34,63.37,63.32,63.32,405,2022-05-27 19:35:00
183,63.3,63.3,63.27,63.27,200,2022-05-27 19:36:00
184,63.32,63.33,63.29,63.3,1805,2022-05-27 19:37:00
185,63.3,63.305,63.3,63.305,473,2022-05-27 19:38:00
186,63.305,63.33,63.28,63.28,400,2022-05-27 19:39:00
187,63.27,63.28,63.24,63.245,617,2022-05-27 19:40:00
188,63.245,63.245,63.23,63.23,280,2022-05-27 19:41:00
189,63.245,63.245,63.245,63.245,102,2022-05-27 19:42:00
190,63.27,63.31,63.23,63.23,1293,2022-05-27 19:43:00
191,63.285,63.29,63.285,63.29,200,2022-05-27 19:44:00
192,63.28,63.31,63.28,63.31,600,2022-05-27 19:45:00
193,63.28,63.325,63.27,63.28,1509,2022-05-27 19:46:00
194,63.28,63.28,63.28,63.28,200,2022-05-27 19:47:00
195,63.28,63.28,63.28,63.28,100,2022-05-27 19:48:00
196,63.25,63.3,63.24,63.285,600,2022-05-27 19:49:00
197,63.3,63.34,63.28,63.28,500,2022-05-27 19:50:00
198,63.26,63.26,63.205,63.22,1390,2022-05-27 19:51:00
199,63.21,63.25,63.21,63.2301,1400,2022-05-27 19:52:00
200,63.25,63.25,63.22,63.22,775,2022-05-27 19:53:00
201,63.205,63.295,63.205,63.295,2085,2022-05-27 19:54:00
202,63.335,63.3925,63.335,63.365,300,2022-05-27 19:55:00
203,63.37,63.42,63.35,63.35,2323,2022-05-27 19:56:00
204,63.35,63.41,63.3,63.4,1803,2022-05-27 19:57:00
205,63.4,63.44,63.39,63.39,959,2022-05-27 19:58:00
206,63.37,63.48,63.37,63.44,2602,2022-05-27 19:59:00
207,63.42,63.42,63.42,63.42,26710,2022-05-27 20:00:00
208,63.42,63.42,63.42,63.42,553,2022-05-27 20:02:00
209,62.71,62.96,62.01,62.01,2794,2022-05-31 13:30:00
210,62.49,62.49,62.49,62.49,100,2022-05-31 13:31:00
211,62.08,62.535,62.08,62.535,200,2022-05-31 13:32:00
212,62.73,62.73,62.12,62.12,400,2022-05-31 13:35:00
213,62.425,62.425,62.425,62.425,100,2022-05-31 13:37:00
214,62.3,62.3,62.16,62.16,324,2022-05-31 13:39:00
215,62.18,62.18,61.87,61.87,500,2022-05-31 13:40:00
216,62.0215,62.055,61.72,61.72,1066,2022-05-31 13:43:00
217,62.03,62.07,62.03,62.07,903,2022-05-31 13:44:00
218,62.065,62.065,62.065,62.065,200,2022-05-31 13:47:00
219,61.94,61.96,61.89,61.89,500,2022-05-31 13:49:00
220,61.875,62.1,61.66,62.1,1328,2022-05-31 13:51:00
221,62.1,62.1,62.1,62.1,100,2022-05-31 13:52:00
222,62.07,62.1,62.07,62.1,300,2022-05-31 13:53:00
223,62.1,62.39,62.1,62.195,1100,2022-05-31 13:55:00
224,62.35,62.35,62.245,62.245,200,2022-05-31 13:56:00
225,62.41,62.41,62.2,62.2,300,2022-05-31 13:57:00
226,62.39,62.4,62.235,62.245,736,2022-05-31 13:59:00
227,62.41,62.71,62.41,62.71,900,2022-05-31 14:00:00
