,open,high,low,close,volume,datetime
0,9.9,9.9,9.898,9.898,1275,2022-06-01 16:53:00
1,9.8864,9.8864,9.8864,9.8864,1200,2022-06-03 18:55:00
2,9.92,9.92,9.92,9.92,150,2022-06-06 13:30:00
3,9.88,9.88,9.88,9.88,1898,2022-06-06 13:31:00
4,9.8979,9.8979,9.8979,9.8979,1200,2022-06-06 18:39:00
5,9.89,9.89,9.89,9.89,656,2022-06-07 14:51:00
6,9.92,9.92,9.92,9.92,125,2022-06-08 13:30:00
7,9.88,9.88,9.88,9.88,687,2022-06-08 19:33:00
8,9.914,9.914,9.914,9.914,200,2022-06-09 13:36:00
9,9.8999,9.8999,9.8999,9.8999,100,2022-06-09 13:45:00
