,open,high,low,close,volume,datetime
0,71.96,71.96,71.96,71.96,765,2022-05-27 13:30:00
1,71.968,71.968,71.968,71.968,100,2022-05-27 13:41:00
2,71.9612,71.9612,71.9612,71.9612,731,2022-05-27 13:49:00
3,71.9525,71.9525,71.9525,71.9525,416,2022-05-27 13:51:00
4,71.96,71.96,71.96,71.96,606,2022-05-27 14:20:00
5,71.955,71.955,71.955,71.955,160,2022-05-27 14:31:00
6,71.955,71.955,71.9514,71.9514,590,2022-05-27 14:34:00
7,71.95,71.95,71.95,71.95,100,2022-05-27 14:42:00
8,71.945,71.945,71.945,71.945,1144,2022-05-27 14:43:00
9,71.935,71.935,71.935,71.935,265,2022-05-27 14:55:00
10,71.905,71.905,71.905,71.905,1362,2022-05-27 15:01:00
11,71.8725,71.8725,71.8725,71.8725,151,2022-05-27 15:17:00
12,71.8638,71.8638,71.8638,71.8638,886,2022-05-27 15:19:00
13,71.8665,71.8665,71.8665,71.8665,188,2022-05-27 15:28:00
14,71.895,71.895,71.895,71.895,100,2022-05-27 15:32:00
15,71.915,71.915,71.915,71.915,300,2022-05-27 15:35:00
16,71.92,71.92,71.92,71.92,295,2022-05-27 15:39:00
17,71.919,71.919,71.919,71.919,304,2022-05-27 15:47:00
18,71.96,71.96,71.96,71.96,361,2022-05-27 16:03:00
19,71.845,71.845,71.845,71.845,4473,2022-05-27 17:00:00
20,71.845,71.845,71.845,71.845,100,2022-05-27 17:01:00
21,71.845,71.845,71.845,71.845,1184,2022-05-27 17:03:00
22,71.85,71.85,71.85,71.85,100,2022-05-27 17:11:00
23,71.845,71.845,71.845,71.845,100,2022-05-27 17:28:00
24,71.845,71.845,71.845,71.845,202,2022-05-27 17:30:00
25,71.85,71.86,71.85,71.86,300,2022-05-27 17:45:00
26,71.885,71.885,71.885,71.885,706,2022-05-27 18:20:00
27,71.86,71.86,71.86,71.86,104,2022-05-27 18:34:00
28,71.8696,71.8696,71.8565,71.8565,255,2022-05-27 18:35:00
29,71.8615,71.8615,71.8615,71.8615,628,2022-05-27 18:36:00
30,71.855,71.855,71.855,71.855,410,2022-05-27 18:39:00
31,71.855,71.86,71.855,71.86,339,2022-05-27 18:42:00
32,71.855,71.855,71.855,71.855,184,2022-05-27 18:47:00
33,71.855,71.855,71.855,71.855,183,2022-05-27 18:48:00
34,71.855,71.855,71.855,71.855,290,2022-05-27 18:51:00
35,71.86,71.86,71.86,71.86,100,2022-05-27 18:52:00
36,71.885,71.885,71.885,71.885,915,2022-05-27 19:00:00
37,71.89,71.89,71.89,71.89,100,2022-05-27 19:05:00
38,71.9,71.9,71.9,71.9,200,2022-05-27 19:11:00
39,71.92,71.92,71.92,71.92,800,2022-05-27 19:29:00
40,71.926,71.926,71.926,71.926,500,2022-05-27 19:30:00
41,71.925,71.925,71.925,71.925,195,2022-05-27 19:33:00
42,71.925,71.925,71.925,71.925,113,2022-05-27 19:35:00
43,71.925,71.925,71.925,71.925,185,2022-05-27 19:36:00
44,71.925,71.925,71.925,71.925,553,2022-05-27 19:38:00
45,71.9298,71.9299,71.9265,71.9266,1660,2022-05-27 19:41:00
46,71.922,71.9316,71.922,71.9316,403,2022-05-27 19:44:00
47,71.925,71.925,71.925,71.925,555,2022-05-27 19:55:00
48,71.93,71.94,71.93,71.94,1396,2022-05-27 19:59:00
49,71.46,71.46,71.46,71.46,1575,2022-05-31 13:30:00
50,71.36,71.36,71.36,71.36,229,2022-05-31 13:37:00
51,71.385,71.385,71.385,71.385,280,2022-05-31 13:41:00
52,71.37,71.37,71.37,71.37,300,2022-05-31 13:42:00
53,71.35,71.35,71.35,71.35,280,2022-05-31 13:44:00
54,71.33,71.33,71.33,71.33,700,2022-05-31 13:53:00
55,71.345,71.345,71.345,71.345,140,2022-05-31 13:54:00
56,71.32,71.32,71.32,71.32,100,2022-05-31 14:01:00
57,71.3162,71.3162,71.3162,71.3162,100,2022-05-31 14:07:00
58,71.31,71.31,71.31,71.31,100,2022-05-31 14:15:00
59,71.31,71.31,71.31,71.31,100,2022-05-31 14:27:00
60,71.31,71.31,71.31,71.31,303,2022-05-31 14:29:00
61,71.355,71.355,71.355,71.355,224,2022-05-31 14:40:00
62,71.33,71.33,71.33,71.33,140670,2022-05-31 14:45:00
63,71.35,71.35,71.35,71.35,127,2022-05-31 14:51:00
64,71.372,71.372,71.372,71.372,121,2022-05-31 14:54:00
65,71.31,71.31,71.31,71.31,100,2022-05-31 15:05:00
66,71.3167,71.3167,71.3167,71.3167,310,2022-05-31 15:08:00
67,71.33,71.33,71.33,71.33,140,2022-05-31 15:16:00
68,71.33,71.33,71.33,71.33,240,2022-05-31 15:21:00
69,71.3393,71.3393,71.3393,71.3393,123,2022-05-31 15:22:00
70,71.3694,71.3694,71.3694,71.3694,100,2022-05-31 15:43:00
71,71.387,71.387,71.387,71.387,100,2022-05-31 16:00:00
72,71.402,71.402,71.402,71.402,556,2022-05-31 16:20:00
73,71.3875,71.3875,71.3875,71.3875,193,2022-05-31 16:23:00
74,71.44,71.44,71.429,71.429,682,2022-05-31 16:33:00
75,71.4242,71.4242,71.4242,71.4242,153,2022-05-31 16:45:00
76,71.45,71.45,71.445,71.45,4063,2022-05-31 17:00:00
77,71.45,71.45,71.45,71.45,563,2022-05-31 17:10:00
78,71.45,71.45,71.415,71.417,1820,2022-05-31 17:12:00
79,71.415,71.415,71.415,71.415,140,2022-05-31 17:13:00
80,71.44,71.44,71.44,71.44,100,2022-05-31 17:21:00
81,71.4213,71.4213,71.4213,71.4213,782,2022-05-31 17:36:00
82,71.425,71.425,71.425,71.425,200,2022-05-31 17:42:00
83,71.431,71.431,71.431,71.431,235,2022-05-31 17:44:00
84,71.43,71.43,71.43,71.43,100,2022-05-31 17:47:00
85,71.425,71.425,71.425,71.425,104,2022-05-31 17:50:00
86,71.44,71.44,71.44,71.44,200,2022-05-31 18:01:00
87,71.443,71.443,71.443,71.443,624,2022-05-31 18:14:00
88,71.4564,71.4564,71.4564,71.4564,190,2022-05-31 18:40:00
89,71.445,71.445,71.445,71.445,271,2022-05-31 18:48:00
90,71.43,71.43,71.43,71.43,100,2022-05-31 18:57:00
91,71.43,71.43,71.43,71.43,724,2022-05-31 19:03:00
92,71.41,71.41,71.41,71.41,769,2022-05-31 19:14:00
93,71.41,71.41,71.405,71.405,284,2022-05-31 19:31:00
94,71.41,71.41,71.41,71.41,100,2022-05-31 19:33:00
95,71.4184,71.4184,71.4184,71.4184,399,2022-05-31 19:36:00
96,71.4369,71.4369,71.4369,71.4369,538,2022-05-31 19:38:00
97,71.4283,71.4283,71.4283,71.4283,305,2022-05-31 19:39:00
98,71.425,71.425,71.425,71.425,516,2022-05-31 19:40:00
99,71.45,71.45,71.4495,71.4495,510,2022-05-31 19:41:00
100,71.421,71.421,71.421,71.421,297,2022-05-31 19:42:00
101,71.428,71.428,71.428,71.428,337,2022-05-31 19:43:00
102,71.45,71.45,71.45,71.45,337,2022-05-31 19:44:00
103,71.435,71.435,71.435,71.435,699,2022-05-31 19:46:00
104,71.4326,71.4431,71.4326,71.4431,436,2022-05-31 19:47:00
105,71.42,71.4365,71.42,71.4365,577,2022-05-31 19:49:00
106,71.4,71.4,71.4,71.4,100,2022-05-31 19:52:00
107,71.37,71.37,71.37,71.37,100,2022-05-31 19:54:00
108,71.37,71.3703,71.34,71.37,8847,2022-05-31 19:56:00
109,71.38,71.38,71.36,71.38,1334,2022-05-31 19:59:00
110,71.39,71.39,71.39,71.39,647,2022-06-01 13:30:00
111,71.3195,71.3195,71.3195,71.3195,2180,2022-06-01 13:32:00
112,71.35,71.35,71.35,71.35,140,2022-06-01 13:38:00
113,71.38,71.38,71.38,71.38,100,2022-06-01 13:48:00
114,71.385,71.385,71.385,71.385,200,2022-06-01 13:49:00
115,71.36,71.36,71.36,71.36,100,2022-06-01 14:00:00
116,71.15,71.15,71.15,71.15,104,2022-06-01 14:16:00
117,71.084,71.084,71.084,71.084,134,2022-06-01 14:20:00
118,71.11,71.11,71.11,71.11,3636,2022-06-01 14:27:00
119,71.06,71.06,71.06,71.06,200,2022-06-01 14:34:00
120,71.0656,71.0656,71.0656,71.0656,500,2022-06-01 14:41:00
121,71.0868,71.095,71.0856,71.0856,578,2022-06-01 14:59:00
122,71.085,71.085,71.085,71.085,100,2022-06-01 15:13:00
123,71.08,71.08,71.08,71.08,113,2022-06-01 15:17:00
124,71.035,71.035,71.035,71.035,237,2022-06-01 15:28:00
125,71.0282,71.0282,71.0256,71.0256,1246,2022-06-01 15:47:00
126,71.06,71.06,71.06,71.06,100,2022-06-01 16:06:00
127,71.0682,71.0682,71.0682,71.0682,140,2022-06-01 16:08:00
128,71.0799,71.0799,71.0799,71.0799,1260,2022-06-01 16:10:00
129,71.0791,71.0791,71.0791,71.0791,330,2022-06-01 16:11:00
130,71.0783,71.0783,71.0783,71.0783,154,2022-06-01 16:13:00
131,71.069,71.069,71.069,71.069,100,2022-06-01 16:27:00
132,71.025,71.025,71.0165,71.0165,1184,2022-06-01 16:44:00
133,71.06,71.06,71.06,71.06,100,2022-06-01 17:03:00
134,71.08,71.08,71.055,71.055,280,2022-06-01 17:14:00
135,71.04,71.04,71.04,71.04,100,2022-06-01 17:31:00
136,71.04,71.04,71.04,71.04,125,2022-06-01 17:32:00
