,open,high,low,close,volume,datetime
0,9.915,9.915,9.915,9.915,23428,2022-05-31 13:30:00
1,9.89,9.89,9.88,9.88,12000,2022-06-02 15:02:00
2,9.88,9.88,9.88,9.88,1000,2022-06-02 15:03:00
3,9.88,9.88,9.88,9.88,20000,2022-06-02 15:07:00
4,9.88,9.88,9.88,9.88,200,2022-06-02 15:20:00
5,9.92,9.92,9.92,9.92,10000,2022-06-08 19:55:00
6,9.92,9.96,9.92,9.96,235,2022-06-09 13:30:00
7,9.94,9.94,9.94,9.94,100,2022-06-09 13:56:00
8,9.94,9.94,9.94,9.94,100,2022-06-09 14:08:00
9,9.94,9.94,9.94,9.94,100,2022-06-09 14:22:00
10,9.94,9.94,9.94,9.94,100,2022-06-09 14:35:00
11,9.94,9.94,9.94,9.94,100,2022-06-09 14:48:00
12,9.94,9.94,9.94,9.94,100,2022-06-09 15:13:00
13,9.94,9.94,9.94,9.94,100,2022-06-09 15:27:00
14,9.94,9.94,9.94,9.94,100,2022-06-09 15:52:00
15,9.94,9.94,9.94,9.94,100,2022-06-09 16:05:00
16,9.94,9.94,9.94,9.94,100,2022-06-09 16:31:00
17,9.94,9.94,9.94,9.94,100,2022-06-09 16:58:00
18,9.94,9.94,9.94,9.94,100,2022-06-09 17:10:00
19,9.94,9.94,9.94,9.94,100,2022-06-09 17:37:00
20,9.94,9.94,9.94,9.94,100,2022-06-09 17:49:00
21,9.94,9.94,9.94,9.94,100,2022-06-09 18:03:00
22,9.94,9.94,9.94,9.94,100,2022-06-09 18:28:00
23,9.94,9.94,9.94,9.94,100,2022-06-09 18:41:00
24,9.94,9.94,9.94,9.94,100,2022-06-09 18:54:00
25,9.94,9.94,9.94,9.94,100,2022-06-09 19:07:00
26,9.94,9.94,9.94,9.94,100,2022-06-09 19:20:00
27,9.9372,9.945,9.9372,9.94,1974,2022-06-09 19:28:00
28,9.94,9.94,9.94,9.94,100,2022-06-09 19:47:00
29,9.94,9.94,9.94,9.94,700,2022-06-09 19:59:00
30,9.97,9.97,9.97,9.97,104,2022-06-10 13:30:00
