,open,high,low,close,volume,datetime
0,12.4398,12.4398,12.4398,12.4398,150,2022-05-27 16:12:00
1,12.42,12.42,12.42,12.42,100,2022-05-27 19:51:00
2,13.67,13.67,13.67,13.67,100,2022-05-27 21:12:00
3,12.175,12.175,12.175,12.175,170,2022-05-31 18:29:00
4,12.0094,12.0094,12.0094,12.0094,110,2022-05-31 18:33:00
5,11.9502,11.9502,11.9502,11.9502,400,2022-05-31 18:59:00
6,11.81,11.85,11.81,11.81,400,2022-05-31 19:00:00
7,12.0,12.0,12.0,12.0,100,2022-05-31 19:59:00
8,12.1921,12.1921,12.1921,12.1921,622,2022-06-02 19:50:00
9,12.4,12.4,12.4,12.4,300,2022-06-02 19:51:00
10,12.44,12.44,12.44,12.44,201,2022-06-02 19:53:00
11,12.5,12.5,12.5,12.5,100,2022-06-02 21:17:00
12,12.52,12.5294,12.5,12.5294,815,2022-06-03 13:31:00
13,12.47,12.47,12.47,12.47,100,2022-06-03 15:37:00
14,12.46,12.46,12.46,12.46,100,2022-06-03 15:40:00
15,12.45,12.45,12.45,12.45,100,2022-06-03 15:46:00
16,12.45,12.45,12.45,12.45,100,2022-06-03 15:53:00
17,12.45,12.45,12.45,12.45,100,2022-06-03 16:01:00
18,12.53,12.53,12.53,12.53,100,2022-06-03 16:11:00
19,12.53,12.53,12.53,12.53,100,2022-06-03 16:17:00
20,12.1326,12.53,12.1326,12.53,1864,2022-06-03 16:22:00
21,12.52,12.52,12.52,12.52,100,2022-06-03 16:24:00
22,12.52,12.52,12.52,12.52,100,2022-06-03 16:32:00
23,12.52,12.52,12.52,12.52,100,2022-06-03 16:55:00
24,12.245,12.245,12.245,12.245,300,2022-06-03 16:59:00
25,12.245,12.245,12.245,12.245,700,2022-06-03 17:00:00
26,12.5,12.5,12.4946,12.4946,500,2022-06-03 19:37:00
27,12.5,12.5,12.5,12.5,226,2022-06-03 19:38:00
28,12.54,12.55,12.54,12.55,200,2022-06-06 13:30:00
29,12.5,12.5,12.5,12.5,200,2022-06-06 13:50:00
30,12.5,12.54,12.5,12.54,300,2022-06-06 14:05:00
31,12.63,12.63,12.63,12.63,100,2022-06-06 15:10:00
32,12.65,12.65,12.65,12.65,100,2022-06-06 15:54:00
33,12.65,12.65,12.65,12.65,400,2022-06-06 16:04:00
34,12.65,12.65,12.65,12.65,100,2022-06-06 16:14:00
35,12.65,12.65,12.65,12.65,100,2022-06-06 16:22:00
36,12.7,12.7,12.7,12.7,100,2022-06-06 16:23:00
37,12.8,12.8,12.8,12.8,100,2022-06-06 16:42:00
38,12.8,12.91,12.8,12.91,300,2022-06-06 17:11:00
39,12.8,12.8,12.8,12.8,189,2022-06-06 17:43:00
40,12.73,12.73,12.73,12.73,100,2022-06-06 17:54:00
41,12.73,12.73,12.73,12.73,100,2022-06-06 17:56:00
42,12.7787,12.7787,12.7787,12.7787,100,2022-06-06 18:09:00
43,12.7301,12.7301,12.7301,12.7301,100,2022-06-06 18:11:00
44,12.79,12.85,12.79,12.85,210,2022-06-06 18:12:00
45,12.73,12.73,12.73,12.73,100,2022-06-06 19:19:00
46,12.85,12.85,12.85,12.85,100,2022-06-07 13:35:00
47,12.2601,12.2601,12.2601,12.2601,500,2022-06-07 14:07:00
48,12.832,12.832,12.8,12.8,220,2022-06-07 18:51:00
49,12.82,12.82,12.82,12.82,100,2022-06-07 18:58:00
50,12.85,12.85,12.85,12.85,100,2022-06-07 19:03:00
51,12.85,12.85,12.85,12.85,100,2022-06-07 19:05:00
52,12.85,12.85,12.85,12.85,100,2022-06-07 19:12:00
53,12.85,12.85,12.85,12.85,100,2022-06-07 19:13:00
54,12.9,12.9,12.9,12.9,100,2022-06-07 19:15:00
55,12.8501,12.8501,12.85,12.85,485,2022-06-07 19:35:00
56,12.93,12.93,12.93,12.93,100,2022-06-07 19:58:00
57,12.9,12.9,12.9,12.9,100,2022-06-07 19:59:00
58,12.81,12.81,12.81,12.81,208,2022-06-07 20:00:00
59,12.5101,12.53,12.51,12.53,700,2022-06-08 16:29:00
60,12.36,12.36,12.36,12.36,100,2022-06-08 16:36:00
61,12.36,12.36,12.36,12.36,100,2022-06-08 16:37:00
62,12.41,12.41,12.41,12.41,400,2022-06-08 16:40:00
63,12.2258,12.2258,12.2258,12.2258,400,2022-06-08 17:05:00
64,12.52,12.52,12.52,12.52,435,2022-06-08 18:55:00
65,12.52,12.52,12.52,12.52,700,2022-06-08 19:14:00
66,12.5999,12.6,12.5999,12.6,495,2022-06-08 19:52:00
67,12.6,12.6,12.6,12.6,100,2022-06-08 19:56:00
68,12.55,12.5578,12.5004,12.5578,342,2022-06-09 13:30:00
69,12.5476,12.5476,12.5476,12.5476,200,2022-06-09 13:33:00
70,12.51,12.51,12.51,12.51,100,2022-06-09 13:45:00
71,13.03,13.08,13.03,13.08,200,2022-06-09 14:10:00
72,13.04,13.05,13.04,13.05,200,2022-06-09 16:46:00
73,13.08,13.08,13.08,13.08,200,2022-06-09 19:21:00
74,13.1331,13.1331,13.1331,13.1331,112,2022-06-09 19:32:00
75,13.14,13.14,13.14,13.14,638,2022-06-09 19:59:00
76,13.0,13.0,13.0,13.0,351,2022-06-10 15:27:00
77,12.706,12.706,12.706,12.706,300,2022-06-10 16:34:00
