,open,high,low,close,volume,datetime
0,1.16,1.16,1.16,1.16,200,2022-05-27 12:04:00
1,1.17,1.17,1.17,1.17,100,2022-05-27 12:05:00
2,1.17,1.17,1.17,1.17,100,2022-05-27 12:24:00
3,1.17,1.17,1.17,1.17,750,2022-05-27 12:29:00
4,1.22,1.22,1.22,1.22,1500,2022-05-27 12:34:00
5,1.2,1.2,1.2,1.2,200,2022-05-27 12:35:00
6,1.22,1.22,1.22,1.22,100,2022-05-27 12:39:00
7,1.23,1.23,1.2294,1.23,1194,2022-05-27 12:40:00
8,1.22,1.22,1.21,1.21,713,2022-05-27 12:44:00
9,1.21,1.21,1.21,1.21,200,2022-05-27 12:47:00
10,1.22,1.22,1.22,1.22,1652,2022-05-27 12:48:00
11,1.23,1.23,1.23,1.23,906,2022-05-27 12:49:00
12,1.25,1.27,1.25,1.27,1795,2022-05-27 12:51:00
13,1.24,1.25,1.24,1.25,1000,2022-05-27 12:54:00
14,1.25,1.25,1.25,1.25,9758,2022-05-27 12:55:00
15,1.26,1.27,1.26,1.27,449,2022-05-27 13:04:00
16,1.21,1.21,1.21,1.21,100,2022-05-27 13:11:00
17,1.22,1.22,1.22,1.22,119,2022-05-27 13:22:00
18,1.24,1.24,1.24,1.24,411,2022-05-27 13:25:00
19,1.24,1.25,1.24,1.25,10613,2022-05-27 13:27:00
20,1.24,1.25,1.24,1.25,441,2022-05-27 13:28:00
21,1.2,1.2499,1.2,1.2401,15208,2022-05-27 13:30:00
22,1.24,1.24,1.24,1.24,5502,2022-05-27 13:31:00
23,1.2372,1.2375,1.2328,1.2375,1375,2022-05-27 13:32:00
24,1.2295,1.24,1.2295,1.2338,2010,2022-05-27 13:33:00
25,1.24,1.24,1.2381,1.2381,1481,2022-05-27 13:34:00
26,1.24,1.24,1.23,1.23,6541,2022-05-27 13:35:00
27,1.2272,1.23,1.2209,1.2297,4000,2022-05-27 13:36:00
28,1.2227,1.245,1.2227,1.2431,6394,2022-05-27 13:37:00
29,1.2469,1.2469,1.245,1.245,1400,2022-05-27 13:38:00
30,1.245,1.26,1.24,1.24,2406,2022-05-27 13:39:00
31,1.235,1.235,1.19,1.2283,4450,2022-05-27 13:40:00
32,1.2153,1.2205,1.2153,1.2205,718,2022-05-27 13:41:00
33,1.225,1.23,1.1894,1.1894,7202,2022-05-27 13:42:00
34,1.1845,1.1871,1.1801,1.1801,4825,2022-05-27 13:43:00
35,1.1838,1.1897,1.1827,1.1827,1801,2022-05-27 13:44:00
36,1.19,1.19,1.14,1.14,19265,2022-05-27 13:45:00
37,1.1518,1.1518,1.14,1.14,1200,2022-05-27 13:46:00
38,1.1408,1.1408,1.1401,1.1401,9345,2022-05-27 13:47:00
39,1.1432,1.15,1.1403,1.1491,3760,2022-05-27 13:48:00
40,1.15,1.18,1.15,1.17,750,2022-05-27 13:49:00
41,1.16,1.16,1.16,1.16,125,2022-05-27 13:50:00
42,1.18,1.18,1.14,1.1444,1441,2022-05-27 13:51:00
43,1.14,1.14,1.14,1.14,214,2022-05-27 13:52:00
44,1.21,1.21,1.18,1.18,600,2022-05-27 13:53:00
45,1.18,1.18,1.18,1.18,100,2022-05-27 13:54:00
46,1.19,1.198,1.19,1.195,962,2022-05-27 13:55:00
47,1.1896,1.19,1.1896,1.19,1172,2022-05-27 13:57:00
48,1.1956,1.1956,1.1956,1.1956,1000,2022-05-27 13:58:00
49,1.19,1.19,1.19,1.19,11100,2022-05-27 13:59:00
50,1.185,1.185,1.1807,1.1807,1100,2022-05-27 14:01:00
51,1.1808,1.1808,1.1808,1.1808,100,2022-05-27 14:03:00
52,1.1806,1.185,1.1806,1.185,600,2022-05-27 14:04:00
53,1.185,1.2,1.185,1.2,19014,2022-05-27 14:06:00
54,1.18,1.18,1.18,1.18,600,2022-05-27 14:08:00
55,1.2,1.2,1.2,1.2,1000,2022-05-27 14:09:00
56,1.185,1.185,1.185,1.185,100,2022-05-27 14:10:00
57,1.1808,1.1808,1.1808,1.1808,500,2022-05-27 14:13:00
58,1.185,1.185,1.18,1.18,950,2022-05-27 14:14:00
59,1.1855,1.1986,1.1855,1.1986,2090,2022-05-27 14:15:00
60,1.1998,1.1998,1.1998,1.1998,1000,2022-05-27 14:16:00
61,1.1956,1.1956,1.18,1.18,668,2022-05-27 14:17:00
62,1.18,1.18,1.18,1.18,847,2022-05-27 14:20:00
63,1.1729,1.1729,1.1729,1.1729,157,2022-05-27 14:21:00
64,1.18,1.18,1.18,1.18,200,2022-05-27 14:22:00
65,1.175,1.175,1.175,1.175,1000,2022-05-27 14:23:00
66,1.17,1.17,1.17,1.17,400,2022-05-27 14:24:00
67,1.1797,1.18,1.1797,1.18,4020,2022-05-27 14:28:00
68,1.175,1.175,1.175,1.175,200,2022-05-27 14:29:00
69,1.18,1.2,1.18,1.2,8915,2022-05-27 14:30:00
70,1.1753,1.1753,1.1753,1.1753,500,2022-05-27 14:34:00
71,1.2,1.2,1.2,1.2,1500,2022-05-27 14:38:00
72,1.1991,1.1991,1.1991,1.1991,100,2022-05-27 14:39:00
73,1.1879,1.1879,1.1879,1.1879,500,2022-05-27 14:40:00
74,1.19,1.19,1.19,1.19,700,2022-05-27 14:42:00
75,1.1899,1.1899,1.1886,1.1899,2400,2022-05-27 14:44:00
76,1.17,1.17,1.16,1.16,11691,2022-05-27 14:58:00
77,1.1613,1.1613,1.1613,1.1613,1500,2022-05-27 15:00:00
78,1.1692,1.17,1.16,1.17,9009,2022-05-27 15:01:00
79,1.16,1.16,1.15,1.15,1200,2022-05-27 15:04:00
80,1.16,1.16,1.16,1.16,324,2022-05-27 15:05:00
81,1.16,1.16,1.12,1.13,9380,2022-05-27 15:09:00
82,1.1237,1.125,1.1237,1.125,618,2022-05-27 15:10:00
83,1.125,1.13,1.125,1.1294,3444,2022-05-27 15:12:00
84,1.12,1.1288,1.12,1.1288,300,2022-05-27 15:15:00
85,1.1268,1.1288,1.1268,1.1288,300,2022-05-27 15:16:00
86,1.1201,1.1201,1.12,1.12,10331,2022-05-27 15:17:00
87,1.1298,1.1298,1.125,1.125,2100,2022-05-27 15:18:00
88,1.13,1.13,1.13,1.13,200,2022-05-27 15:19:00
89,1.125,1.125,1.125,1.125,1000,2022-05-27 15:20:00
90,1.125,1.125,1.125,1.125,400,2022-05-27 15:21:00
91,1.1201,1.1201,1.1201,1.1201,942,2022-05-27 15:25:00
92,1.1237,1.125,1.1237,1.125,3792,2022-05-27 15:28:00
93,1.13,1.13,1.13,1.13,100,2022-05-27 15:32:00
94,1.1206,1.1206,1.1206,1.1206,1000,2022-05-27 15:35:00
95,1.1299,1.1299,1.1299,1.1299,500,2022-05-27 15:38:00
96,1.1299,1.1299,1.1299,1.1299,500,2022-05-27 15:40:00
97,1.129,1.129,1.1284,1.1284,1226,2022-05-27 15:44:00
98,1.13,1.13,1.13,1.13,250,2022-05-27 15:46:00
99,1.13,1.15,1.1299,1.15,10002,2022-05-27 15:47:00
100,1.1387,1.1387,1.1387,1.1387,4000,2022-05-27 15:50:00
101,1.1462,1.1462,1.1462,1.1462,633,2022-05-27 16:01:00
102,1.1407,1.1407,1.1407,1.1407,300,2022-05-27 16:03:00
103,1.14,1.14,1.1201,1.1393,5300,2022-05-27 16:05:00
104,1.13,1.14,1.13,1.14,400,2022-05-27 16:07:00
105,1.1388,1.1388,1.1388,1.1388,164,2022-05-27 16:11:00
106,1.1389,1.1389,1.1389,1.1389,239,2022-05-27 16:13:00
107,1.14,1.14,1.14,1.14,101,2022-05-27 16:15:00
108,1.1349,1.1349,1.1349,1.1349,250,2022-05-27 16:18:00
109,1.14,1.14,1.14,1.14,100,2022-05-27 16:29:00
110,1.1398,1.1398,1.1398,1.1398,100,2022-05-27 16:31:00
111,1.14,1.14,1.14,1.14,100,2022-05-27 16:33:00
112,1.1399,1.1399,1.1399,1.1399,210,2022-05-27 16:34:00
