,open,high,low,close,volume,datetime
0,23.9778,23.9778,23.9778,23.9778,300,2022-05-27 15:08:00
1,23.99,23.99,23.99,23.99,9560,2022-05-27 16:13:00
2,23.963,23.963,23.963,23.963,1040,2022-05-27 16:40:00
3,23.989,23.99,23.989,23.99,392,2022-05-27 16:56:00
4,23.989,24.02,23.989,24.01,4250,2022-05-27 16:58:00
5,23.92,23.92,23.92,23.92,100,2022-05-27 18:54:00
6,23.9266,23.9266,23.9266,23.9266,428,2022-05-27 19:15:00
7,23.98,23.98,23.98,23.98,413,2022-05-27 19:56:00
8,23.955,23.955,23.955,23.955,500,2022-05-31 15:09:00
9,23.99,24.0,23.989,24.0,2983,2022-05-31 15:34:00
10,23.975,23.975,23.96,23.96,299,2022-05-31 15:48:00
11,23.98,23.98,23.98,23.98,125,2022-05-31 15:50:00
12,24.0,24.01,24.0,24.01,2000,2022-05-31 16:48:00
13,24.0,24.0,24.0,24.0,1237,2022-05-31 17:21:00
14,23.9959,23.9959,23.9959,23.9959,108,2022-05-31 17:34:00
15,24.0,24.0,24.0,24.0,100,2022-05-31 17:41:00
16,23.98,23.98,23.98,23.98,200,2022-05-31 18:23:00
17,24.0,24.0,23.9999,24.0,900,2022-05-31 18:29:00
18,24.0,24.0,24.0,24.0,1365,2022-05-31 18:33:00
19,23.94,23.94,23.94,23.94,100,2022-05-31 19:59:00
20,23.9599,23.9599,23.94,23.94,834,2022-06-01 16:42:00
21,23.95,23.95,23.95,23.95,2086,2022-06-01 17:11:00
22,23.93,23.93,23.93,23.93,100,2022-06-01 18:54:00
23,23.99,23.99,23.99,23.99,191,2022-06-01 19:21:00
24,23.94,23.94,23.94,23.94,100,2022-06-01 19:59:00
25,23.995,23.995,23.995,23.995,691,2022-06-02 14:07:00
26,24.02,24.02,24.02,24.02,230,2022-06-02 14:37:00
27,24.0199,24.0199,24.0199,24.0199,124,2022-06-02 17:38:00
28,23.995,23.995,23.995,23.995,366,2022-06-02 19:22:00
29,24.02,24.05,24.02,24.05,3270,2022-06-02 19:27:00
30,24.02,24.02,24.02,24.02,100,2022-06-02 20:00:00
31,24.01,24.01,24.01,24.01,154,2022-06-03 14:37:00
32,24.01,24.01,24.01,24.01,300,2022-06-03 15:04:00
