,open,high,low,close,volume,datetime
0,2.35,2.35,2.35,2.35,100,2022-05-27 11:12:00
1,2.35,2.35,2.35,2.35,128,2022-05-27 12:07:00
2,2.33,2.33,2.285,2.285,600,2022-05-27 13:40:00
3,2.285,2.285,2.285,2.285,100,2022-05-27 13:42:00
4,2.34,2.34,2.3075,2.3075,300,2022-05-27 13:45:00
5,2.3399,2.3399,2.3399,2.3399,200,2022-05-27 13:52:00
6,2.315,2.35,2.315,2.35,472,2022-05-27 13:53:00
7,2.3974,2.3974,2.3974,2.3974,200,2022-05-27 13:59:00
8,2.3713,2.3713,2.3713,2.3713,1000,2022-05-27 14:01:00
9,2.3479,2.3479,2.3479,2.3479,100,2022-05-27 14:03:00
10,2.4019,2.4019,2.4019,2.4019,300,2022-05-27 14:08:00
11,2.3718,2.3718,2.3718,2.3718,1000,2022-05-27 14:10:00
12,2.4,2.41,2.365,2.3673,3110,2022-05-27 14:11:00
13,2.41,2.42,2.41,2.42,1285,2022-05-27 14:23:00
14,2.42,2.51,2.42,2.51,1333,2022-05-27 14:35:00
15,2.5656,2.5656,2.5656,2.5656,200,2022-05-27 14:36:00
16,2.53,2.5555,2.53,2.54,1300,2022-05-27 14:37:00
17,2.55,2.55,2.55,2.55,1195,2022-05-27 14:39:00
18,2.55,2.57,2.55,2.55,1048,2022-05-27 14:46:00
19,2.565,2.57,2.55,2.56,952,2022-05-27 14:47:00
20,2.55,2.55,2.48,2.48,300,2022-05-27 14:48:00
21,2.59,2.59,2.59,2.59,750,2022-05-27 14:52:00
22,2.51,2.51,2.5,2.5,400,2022-05-27 14:58:00
23,2.43,2.43,2.33,2.33,3633,2022-05-27 15:00:00
24,2.38,2.39,2.33,2.33,6944,2022-05-27 15:03:00
25,2.5086,2.5086,2.5086,2.5086,100,2022-05-27 15:04:00
26,2.5,2.5,2.5,2.5,200,2022-05-27 15:08:00
27,2.535,2.535,2.534,2.534,1100,2022-05-27 15:09:00
28,2.49,2.49,2.48,2.48,200,2022-05-27 15:14:00
