,open,high,low,close,volume,datetime
0,1.98,1.98,1.96,1.96,1736,2022-05-27 13:30:00
1,1.93,1.93,1.93,1.93,200,2022-05-27 13:33:00
2,1.935,1.935,1.935,1.935,100,2022-05-27 13:39:00
3,1.93,1.9301,1.925,1.9301,7306,2022-05-27 13:44:00
4,1.935,1.935,1.935,1.935,100,2022-05-27 13:46:00
5,1.93,1.93,1.93,1.93,200,2022-05-27 13:47:00
6,1.93,1.935,1.93,1.935,3662,2022-05-27 13:48:00
7,1.93,1.93,1.93,1.93,800,2022-05-27 13:50:00
8,1.93,1.93,1.93,1.93,200,2022-05-27 13:51:00
9,1.93,1.935,1.93,1.935,5200,2022-05-27 13:52:00
10,1.9373,1.945,1.93,1.945,1793,2022-05-27 13:55:00
11,1.94,1.95,1.94,1.95,2080,2022-05-27 14:06:00
12,1.95,1.95,1.95,1.95,300,2022-05-27 14:11:00
13,1.95,1.95,1.95,1.95,4223,2022-05-27 14:12:00
14,1.945,1.95,1.945,1.95,1000,2022-05-27 14:13:00
15,1.945,1.945,1.94,1.94,300,2022-05-27 14:16:00
16,1.94,1.94,1.94,1.94,600,2022-05-27 14:17:00
17,1.94,1.94,1.94,1.94,500,2022-05-27 14:20:00
18,1.945,1.945,1.945,1.945,300,2022-05-27 14:21:00
19,1.95,1.95,1.95,1.95,300,2022-05-27 14:23:00
20,1.945,1.95,1.945,1.945,900,2022-05-27 14:24:00
21,1.95,1.95,1.945,1.945,8963,2022-05-27 14:25:00
22,1.95,1.95,1.95,1.95,4806,2022-05-27 14:26:00
23,1.95,1.955,1.95,1.955,5942,2022-05-27 14:28:00
24,1.951,1.955,1.951,1.955,325,2022-05-27 14:29:00
25,1.955,1.955,1.955,1.955,1300,2022-05-27 14:30:00
26,1.955,1.955,1.955,1.955,100,2022-05-27 14:31:00
27,1.955,1.955,1.955,1.955,1300,2022-05-27 14:33:00
28,1.955,1.955,1.955,1.955,100,2022-05-27 14:35:00
29,1.95,1.95,1.95,1.95,200,2022-05-27 14:42:00
30,1.955,1.955,1.955,1.955,200,2022-05-27 14:43:00
31,1.955,1.955,1.95,1.95,200,2022-05-27 14:44:00
32,1.95,1.95,1.95,1.95,100,2022-05-27 14:45:00
33,1.95,1.95,1.95,1.95,100,2022-05-27 14:47:00
34,1.955,1.955,1.95,1.95,200,2022-05-27 14:48:00
35,1.95,1.955,1.95,1.955,200,2022-05-27 14:50:00
36,1.955,1.955,1.955,1.955,1086,2022-05-27 14:51:00
37,1.95,1.955,1.95,1.95,1300,2022-05-27 14:52:00
38,1.95,1.95,1.95,1.95,200,2022-05-27 14:54:00
39,1.955,1.955,1.955,1.955,100,2022-05-27 14:56:00
40,1.95,1.95,1.95,1.95,200,2022-05-27 14:57:00
41,1.955,1.955,1.95,1.955,2320,2022-05-27 14:59:00
42,1.95,1.95,1.95,1.95,200,2022-05-27 15:00:00
43,1.95,1.95,1.95,1.95,382,2022-05-27 15:02:00
44,1.9501,1.9501,1.95,1.95,371,2022-05-27 15:04:00
45,1.95,1.95,1.95,1.95,100,2022-05-27 15:05:00
46,1.95,1.95,1.94,1.94,17263,2022-05-27 15:09:00
47,1.94,1.94,1.94,1.94,1200,2022-05-27 15:11:00
48,1.94,1.94,1.94,1.94,100,2022-05-27 15:13:00
49,1.94,1.945,1.94,1.94,300,2022-05-27 15:15:00
50,1.94,1.94,1.94,1.94,100,2022-05-27 15:17:00
51,1.945,1.945,1.94,1.94,300,2022-05-27 15:18:00
52,1.94,1.94,1.94,1.94,200,2022-05-27 15:19:00
53,1.94,1.94,1.94,1.94,300,2022-05-27 15:20:00
54,1.94,1.94,1.94,1.94,100,2022-05-27 15:21:00
55,1.94,1.94,1.94,1.94,100,2022-05-27 15:22:00
56,1.94,1.94,1.94,1.94,1957,2022-05-27 15:24:00
57,1.935,1.935,1.935,1.935,100,2022-05-27 15:26:00
58,1.935,1.935,1.925,1.93,20945,2022-05-27 15:28:00
59,1.93,1.93,1.93,1.93,100,2022-05-27 15:29:00
60,1.94,1.94,1.9399,1.9399,1075,2022-05-27 15:31:00
61,1.93,1.95,1.93,1.95,3086,2022-05-27 15:32:00
