,open,high,low,close,volume,datetime
0,77.01,77.01,76.92,76.92,324,2022-05-27 14:17:00
1,77.1,77.1,77.1,77.1,100,2022-05-27 14:48:00
2,77.65,77.65,77.65,77.65,169,2022-05-27 14:55:00
3,77.59,77.59,77.59,77.59,102,2022-05-27 14:57:00
4,77.15,77.15,77.15,77.15,206,2022-05-27 15:13:00
5,77.22,77.22,77.22,77.22,374,2022-05-27 15:15:00
6,77.23,77.23,77.23,77.23,317,2022-05-27 15:16:00
7,77.31,77.32,77.31,77.32,307,2022-05-27 15:18:00
8,77.32,77.32,77.32,77.32,200,2022-05-27 15:19:00
9,77.32,77.32,77.32,77.32,113,2022-05-27 15:22:00
10,77.7,77.7,77.7,77.7,107,2022-05-27 15:28:00
11,77.84,77.84,77.84,77.84,118,2022-05-27 15:29:00
12,77.83,77.88,77.83,77.88,411,2022-05-27 15:30:00
13,77.89,78.02,77.71,77.99,1028,2022-05-27 15:31:00
14,77.96,77.96,77.96,77.96,200,2022-05-27 15:32:00
15,78.3,78.3,78.3,78.3,134,2022-05-27 15:47:00
16,78.39,78.39,78.39,78.39,107,2022-05-27 15:49:00
17,78.37,78.39,78.36,78.36,428,2022-05-27 15:50:00
18,78.36,78.4,78.36,78.4,200,2022-05-27 15:51:00
19,78.33,78.34,78.32,78.34,400,2022-05-27 15:53:00
20,78.33,78.35,78.33,78.35,605,2022-05-27 15:55:00
21,78.27,78.27,78.27,78.27,206,2022-05-27 15:57:00
22,78.27,78.34,78.27,78.34,504,2022-05-27 15:58:00
23,78.32,78.32,78.32,78.32,294,2022-05-27 15:59:00
24,78.31,78.4,78.31,78.4,217,2022-05-27 16:02:00
25,78.43,78.56,78.42,78.49,868,2022-05-27 16:04:00
26,78.87,78.87,78.87,78.87,800,2022-05-27 16:05:00
27,79.4,79.4,79.4,79.4,123,2022-05-27 16:20:00
28,79.36,79.41,79.36,79.38,1306,2022-05-27 16:24:00
29,79.39,79.39,79.39,79.39,100,2022-05-27 16:27:00
30,79.42,79.42,79.42,79.42,100,2022-05-27 16:28:00
31,79.61,79.61,79.61,79.61,206,2022-05-27 16:29:00
32,79.69,79.69,79.62,79.62,530,2022-05-27 16:31:00
33,79.66,79.66,79.64,79.64,505,2022-05-27 16:32:00
34,79.65,79.65,79.65,79.65,299,2022-05-27 16:33:00
35,79.64,79.64,79.49,79.49,290,2022-05-27 16:34:00
36,79.5,79.5,79.5,79.5,100,2022-05-27 16:37:00
37,79.56,79.56,79.56,79.56,100,2022-05-27 16:38:00
38,79.89,79.89,79.89,79.89,131,2022-05-27 16:41:00
39,80.08,80.08,80.03,80.03,288,2022-05-27 16:43:00
40,80.19,80.19,80.19,80.19,100,2022-05-27 16:47:00
41,80.25,80.28,79.96,80.23,2861,2022-05-27 16:48:00
42,80.22,80.32,80.2,80.26,1082,2022-05-27 16:49:00
43,80.33,80.33,80.33,80.33,100,2022-05-27 16:51:00
44,80.34,80.35,80.34,80.35,200,2022-05-27 16:53:00
45,80.35,80.35,80.35,80.35,192,2022-05-27 16:54:00
46,80.39,80.39,80.39,80.39,100,2022-05-27 16:55:00
47,80.44,80.44,80.35,80.4,716,2022-05-27 16:56:00
48,80.46,80.49,80.46,80.49,232,2022-05-27 16:57:00
49,80.44,80.53,80.44,80.53,373,2022-05-27 16:58:00
50,80.52,80.52,80.52,80.52,206,2022-05-27 16:59:00
51,80.55,80.62,80.55,80.62,305,2022-05-27 17:00:00
52,80.55,80.63,80.55,80.63,200,2022-05-27 17:01:00
53,80.58,80.58,80.58,80.58,103,2022-05-27 17:02:00
54,80.52,80.53,80.52,80.52,633,2022-05-27 17:04:00
55,80.43,80.43,80.25,80.33,767,2022-05-27 17:09:00
56,80.21,80.21,80.16,80.16,495,2022-05-27 17:13:00
57,79.95,79.99,79.95,79.98,1030,2022-05-27 17:14:00
58,79.45,79.47,79.31,79.35,500,2022-05-27 17:24:00
59,78.98,79.06,78.98,79.06,200,2022-05-27 17:35:00
60,78.45,78.45,78.42,78.42,500,2022-05-27 17:42:00
61,79.2,79.21,79.2,79.21,1100,2022-05-27 17:52:00
62,80.01,80.01,80.01,80.01,500,2022-05-27 18:21:00
63,79.52,79.52,79.52,79.52,200,2022-05-27 18:55:00
