,open,high,low,close,volume,datetime
0,2.71,2.71,2.71,2.71,145,2022-05-27 11:00:00
1,2.68,2.68,2.68,2.68,200,2022-05-27 11:56:00
2,2.68,2.68,2.68,2.68,290,2022-05-27 12:16:00
3,2.71,2.71,2.71,2.71,1500,2022-05-27 12:20:00
4,2.69,2.69,2.69,2.69,550,2022-05-27 12:26:00
5,2.7166,2.7166,2.7166,2.7166,149,2022-05-27 12:29:00
6,2.69,2.69,2.69,2.69,150,2022-05-27 12:40:00
7,2.7,2.7,2.7,2.7,188,2022-05-27 12:41:00
8,2.7,2.7,2.7,2.7,250,2022-05-27 12:43:00
9,2.69,2.69,2.69,2.69,300,2022-05-27 12:46:00
10,2.7,2.7,2.7,2.7,181,2022-05-27 12:51:00
11,2.7,2.7,2.7,2.7,200,2022-05-27 12:56:00
12,2.7,2.7,2.7,2.7,1000,2022-05-27 13:02:00
13,2.7,2.7,2.6999,2.6999,1526,2022-05-27 13:03:00
14,2.6999,2.6999,2.6999,2.6999,2000,2022-05-27 13:05:00
15,2.69,2.69,2.69,2.69,200,2022-05-27 13:10:00
16,2.7,2.7,2.7,2.7,1000,2022-05-27 13:13:00
17,2.7,2.7,2.7,2.7,6000,2022-05-27 13:14:00
18,2.7,2.7,2.7,2.7,800,2022-05-27 13:21:00
19,2.71,2.71,2.7,2.7,300,2022-05-27 13:22:00
20,2.69,2.69,2.69,2.69,109,2022-05-27 13:23:00
21,2.7,2.7,2.7,2.7,179,2022-05-27 13:26:00
22,2.7,2.7,2.7,2.7,121,2022-05-27 13:27:00
23,2.69,2.7,2.67,2.6999,95397,2022-05-27 13:30:00
24,2.7,2.75,2.7,2.725,68104,2022-05-27 13:31:00
25,2.73,2.73,2.7101,2.7107,60266,2022-05-27 13:32:00
26,2.7107,2.7161,2.7,2.7161,30120,2022-05-27 13:33:00
27,2.71,2.71,2.7,2.705,14881,2022-05-27 13:34:00
28,2.705,2.72,2.695,2.72,108534,2022-05-27 13:35:00
29,2.73,2.75,2.7299,2.735,31558,2022-05-27 13:36:00
30,2.7399,2.75,2.73,2.745,27507,2022-05-27 13:37:00
31,2.75,2.76,2.74,2.74,111572,2022-05-27 13:38:00
32,2.74,2.75,2.74,2.75,66809,2022-05-27 13:39:00
33,2.745,2.7699,2.745,2.7607,74431,2022-05-27 13:40:00
34,2.7688,2.78,2.7653,2.7758,22120,2022-05-27 13:41:00
35,2.7741,2.7771,2.76,2.7621,71749,2022-05-27 13:42:00
36,2.77,2.7731,2.765,2.7729,25097,2022-05-27 13:43:00
37,2.775,2.7778,2.76,2.7699,10669,2022-05-27 13:44:00
38,2.76,2.77,2.755,2.77,19578,2022-05-27 13:45:00
39,2.77,2.77,2.7501,2.755,16332,2022-05-27 13:46:00
40,2.76,2.765,2.7453,2.7455,44767,2022-05-27 13:47:00
41,2.745,2.76,2.745,2.758,11995,2022-05-27 13:48:00
42,2.7522,2.77,2.7522,2.7613,23619,2022-05-27 13:49:00
43,2.76,2.7615,2.7425,2.755,30602,2022-05-27 13:50:00
44,2.76,2.76,2.7525,2.7585,14900,2022-05-27 13:51:00
45,2.75,2.755,2.75,2.75,12460,2022-05-27 13:52:00
46,2.75,2.75,2.75,2.75,1650,2022-05-27 13:53:00
47,2.76,2.7675,2.76,2.7675,3984,2022-05-27 13:54:00
48,2.765,2.775,2.765,2.775,6483,2022-05-27 13:55:00
49,2.775,2.785,2.775,2.785,77129,2022-05-27 13:56:00
50,2.785,2.7992,2.78,2.7992,20481,2022-05-27 13:57:00
51,2.8,2.81,2.795,2.8,106193,2022-05-27 13:58:00
52,2.795,2.8099,2.79,2.8001,45056,2022-05-27 13:59:00
53,2.8,2.8,2.78,2.79,61655,2022-05-27 14:00:00
54,2.79,2.79,2.785,2.785,74460,2022-05-27 14:01:00
55,2.79,2.79,2.785,2.7875,1697,2022-05-27 14:02:00
56,2.79,2.79,2.775,2.775,33173,2022-05-27 14:03:00
57,2.775,2.7775,2.77,2.775,800,2022-05-27 14:04:00
58,2.778,2.79,2.778,2.786,21710,2022-05-27 14:05:00
59,2.7825,2.79,2.7809,2.785,24623,2022-05-27 14:06:00
60,2.785,2.7878,2.78,2.78,12513,2022-05-27 14:07:00
61,2.7786,2.78,2.77,2.78,10415,2022-05-27 14:08:00
62,2.775,2.775,2.775,2.775,1201,2022-05-27 14:09:00
63,2.7778,2.785,2.775,2.785,10177,2022-05-27 14:10:00
64,2.785,2.785,2.7845,2.785,2339,2022-05-27 14:11:00
65,2.78,2.785,2.7756,2.7756,7083,2022-05-27 14:12:00
66,2.77,2.7784,2.77,2.7784,2710,2022-05-27 14:13:00
67,2.78,2.785,2.775,2.785,20145,2022-05-27 14:14:00
68,2.785,2.79,2.78,2.785,2777,2022-05-27 14:15:00
69,2.785,2.79,2.785,2.785,7200,2022-05-27 14:16:00
70,2.785,2.79,2.78,2.785,4493,2022-05-27 14:17:00
71,2.7875,2.79,2.78,2.78,2323,2022-05-27 14:18:00
72,2.78,2.79,2.78,2.7802,9174,2022-05-27 14:19:00
73,2.785,2.79,2.78,2.79,5710,2022-05-27 14:20:00
74,2.785,2.795,2.7844,2.7844,72474,2022-05-27 14:21:00
