,open,high,low,close,volume,datetime
0,4.94,5.0,4.91,4.99,27060,2022-05-27 13:30:00
1,5.01,5.01,5.0,5.0,1000,2022-05-27 13:31:00
2,5.0,5.0,5.0,5.0,150,2022-05-27 13:32:00
3,4.99,4.99,4.96,4.975,5784,2022-05-27 13:33:00
4,4.98,4.99,4.98,4.9891,1168,2022-05-27 13:34:00
5,4.98,5.0,4.975,5.0,2257,2022-05-27 13:35:00
6,4.995,5.0013,4.995,5.0,456,2022-05-27 13:36:00
7,5.0,5.0,4.995,5.0,2828,2022-05-27 13:37:00
8,4.995,4.995,4.995,4.995,1181,2022-05-27 13:38:00
9,4.99,4.995,4.99,4.99,3091,2022-05-27 13:41:00
10,4.98,4.98,4.98,4.98,100,2022-05-27 13:42:00
11,4.985,4.985,4.98,4.98,454,2022-05-27 13:44:00
12,4.99,5.005,4.99,4.995,2489,2022-05-27 13:45:00
13,5.0,5.0,4.9973,4.9973,400,2022-05-27 13:46:00
14,5.0,5.005,5.0,5.005,1019,2022-05-27 13:49:00
15,5.01,5.01,5.01,5.01,6469,2022-05-27 13:50:00
16,5.005,5.015,5.005,5.015,800,2022-05-27 13:51:00
17,5.015,5.015,5.01,5.01,500,2022-05-27 13:53:00
18,5.015,5.015,5.015,5.015,200,2022-05-27 13:56:00
19,5.02,5.02,5.01,5.01,2933,2022-05-27 13:57:00
20,5.015,5.015,5.015,5.015,100,2022-05-27 13:58:00
21,5.01,5.01,5.005,5.005,2300,2022-05-27 13:59:00
22,5.005,5.0079,5.0,5.0,1000,2022-05-27 14:00:00
23,5.0,5.01,5.0,5.01,7342,2022-05-27 14:01:00
24,5.01,5.01,5.01,5.01,1736,2022-05-27 14:02:00
25,5.01,5.015,5.01,5.015,500,2022-05-27 14:04:00
26,5.02,5.045,5.02,5.045,36537,2022-05-27 14:05:00
27,5.0401,5.042,5.035,5.035,6608,2022-05-27 14:06:00
28,5.035,5.035,5.03,5.03,2203,2022-05-27 14:07:00
29,5.03,5.03,5.03,5.03,700,2022-05-27 14:08:00
30,5.035,5.035,5.035,5.035,100,2022-05-27 14:09:00
31,5.035,5.035,5.035,5.035,10000,2022-05-27 14:11:00
32,5.035,5.035,5.035,5.035,867,2022-05-27 14:12:00
33,5.035,5.04,5.03,5.04,1733,2022-05-27 14:13:00
34,5.035,5.05,5.035,5.05,3084,2022-05-27 14:14:00
35,5.045,5.045,5.045,5.045,600,2022-05-27 14:15:00
36,5.05,5.06,5.045,5.055,16026,2022-05-27 14:16:00
37,5.055,5.06,5.05,5.055,1492,2022-05-27 14:17:00
38,5.055,5.055,5.055,5.055,1000,2022-05-27 14:18:00
39,5.06,5.075,5.06,5.075,16035,2022-05-27 14:19:00
40,5.08,5.08,5.08,5.08,800,2022-05-27 14:20:00
41,5.08,5.08,5.075,5.08,1544,2022-05-27 14:21:00
42,5.08,5.085,5.075,5.075,8538,2022-05-27 14:23:00
43,5.08,5.09,5.08,5.082,22048,2022-05-27 14:24:00
44,5.085,5.085,5.07,5.075,11824,2022-05-27 14:25:00
45,5.08,5.08,5.07,5.075,1300,2022-05-27 14:26:00
46,5.075,5.075,5.075,5.075,100,2022-05-27 14:27:00
47,5.08,5.08,5.08,5.08,100,2022-05-27 14:29:00
48,5.08,5.08,5.08,5.08,100,2022-05-27 14:30:00
49,5.075,5.075,5.075,5.075,100,2022-05-27 14:32:00
50,5.075,5.075,5.065,5.065,6567,2022-05-27 14:33:00
51,5.07,5.07,5.07,5.07,932,2022-05-27 14:34:00
52,5.07,5.075,5.07,5.075,1819,2022-05-27 14:35:00
53,5.075,5.075,5.072,5.072,1300,2022-05-27 14:36:00
54,5.075,5.08,5.0743,5.075,1600,2022-05-27 14:37:00
55,5.075,5.075,5.075,5.075,1100,2022-05-27 14:38:00
56,5.075,5.08,5.075,5.08,600,2022-05-27 14:39:00
57,5.075,5.075,5.075,5.075,17600,2022-05-27 14:40:00
58,5.075,5.08,5.075,5.08,17710,2022-05-27 14:41:00
59,5.075,5.09,5.07,5.09,9083,2022-05-27 14:43:00
60,5.08,5.085,5.08,5.085,400,2022-05-27 14:44:00
61,5.08,5.08,5.075,5.075,2650,2022-05-27 14:46:00
62,5.08,5.08,5.08,5.08,100,2022-05-27 14:47:00
63,5.08,5.08,5.08,5.08,1352,2022-05-27 14:48:00
64,5.09,5.09,5.09,5.09,2510,2022-05-27 14:50:00
65,5.1,5.115,5.1,5.105,17613,2022-05-27 14:51:00
66,5.11,5.11,5.105,5.105,200,2022-05-27 14:52:00
67,5.11,5.11,5.09,5.09,5140,2022-05-27 14:53:00
68,5.095,5.095,5.04,5.05,21248,2022-05-27 14:54:00
69,5.05,5.06,5.042,5.042,14580,2022-05-27 14:55:00
70,5.04,5.04,5.04,5.04,4024,2022-05-27 14:56:00
71,5.03,5.035,5.03,5.03,6437,2022-05-27 14:58:00
72,5.025,5.025,5.025,5.025,200,2022-05-27 15:00:00
73,5.02,5.02,5.015,5.015,1900,2022-05-27 15:01:00
74,5.02,5.02,5.02,5.02,100,2022-05-27 15:02:00
75,5.01,5.01,5.005,5.01,2112,2022-05-27 15:03:00
76,5.015,5.015,5.01,5.01,200,2022-05-27 15:05:00
77,5.02,5.02,5.02,5.02,200,2022-05-27 15:06:00
78,5.02,5.025,5.02,5.025,4655,2022-05-27 15:08:00
79,5.025,5.025,5.025,5.025,100,2022-05-27 15:09:00
80,5.03,5.03,5.03,5.03,100,2022-05-27 15:10:00
81,5.03,5.03,5.03,5.03,675,2022-05-27 15:11:00
82,5.04,5.04,5.04,5.04,100,2022-05-27 15:13:00
83,5.035,5.04,5.035,5.04,200,2022-05-27 15:14:00
84,5.04,5.04,5.04,5.04,100,2022-05-27 15:15:00
85,5.04,5.04,5.04,5.04,235,2022-05-27 15:16:00
86,5.04,5.04,5.04,5.04,208,2022-05-27 15:17:00
87,5.035,5.04,5.035,5.04,760,2022-05-27 15:18:00
88,5.035,5.035,5.035,5.035,200,2022-05-27 15:19:00
89,5.04,5.04,5.04,5.04,200,2022-05-27 15:20:00
90,5.035,5.035,5.035,5.035,100,2022-05-27 15:21:00
91,5.04,5.04,5.04,5.04,100,2022-05-27 15:23:00
92,5.04,5.04,5.04,5.04,100,2022-05-27 15:24:00
93,5.035,5.04,5.035,5.04,700,2022-05-27 15:25:00
94,5.035,5.035,5.035,5.035,803,2022-05-27 15:26:00
95,5.04,5.04,5.04,5.04,200,2022-05-27 15:28:00
96,5.04,5.045,5.035,5.035,9859,2022-05-27 15:29:00
97,5.04,5.04,5.035,5.04,1300,2022-05-27 15:30:00
98,5.045,5.045,5.045,5.045,100,2022-05-27 15:33:00
99,5.05,5.05,5.05,5.05,100,2022-05-27 15:34:00
100,5.045,5.045,5.045,5.045,100,2022-05-27 15:35:00
101,5.04,5.04,5.04,5.04,8617,2022-05-27 15:36:00
102,5.05,5.05,5.045,5.045,300,2022-05-27 15:38:00
103,5.045,5.045,5.04,5.04,200,2022-05-27 15:41:00
104,5.045,5.05,5.045,5.05,200,2022-05-27 15:44:00
105,5.045,5.045,5.045,5.045,115,2022-05-27 15:45:00
106,5.05,5.055,5.05,5.055,5207,2022-05-27 15:46:00
107,5.05,5.055,5.05,5.05,900,2022-05-27 15:47:00
108,5.05,5.05,5.0444,5.0444,3667,2022-05-27 15:48:00
109,5.04,5.04,5.04,5.04,100,2022-05-27 15:49:00
110,5.05,5.05,5.05,5.05,100,2022-05-27 15:55:00
111,5.045,5.045,5.04,5.041,1129,2022-05-27 15:56:00
112,5.04,5.04,5.035,5.04,5602,2022-05-27 15:59:00
113,5.035,5.045,5.035,5.045,2559,2022-05-27 16:00:00
114,5.05,5.06,5.05,5.055,800,2022-05-27 16:01:00
115,5.06,5.065,5.06,5.065,1448,2022-05-27 16:02:00
116,5.065,5.065,5.065,5.065,100,2022-05-27 16:03:00
117,5.06,5.065,5.06,5.06,3300,2022-05-27 16:04:00
118,5.065,5.065,5.06,5.06,900,2022-05-27 16:05:00
119,5.06,5.06,5.06,5.06,100,2022-05-27 16:06:00
120,5.06,5.06,5.06,5.06,449,2022-05-27 16:07:00
121,5.055,5.055,5.055,5.055,200,2022-05-27 16:08:00
122,5.05,5.0536,5.05,5.05,1518,2022-05-27 16:09:00
123,5.05,5.05,5.05,5.05,100,2022-05-27 16:10:00
124,5.05,5.055,5.05,5.055,653,2022-05-27 16:11:00
125,5.055,5.055,5.055,5.055,100,2022-05-27 16:12:00
126,5.05,5.05,5.05,5.05,1528,2022-05-27 16:17:00
127,5.05,5.05,5.04,5.04,939,2022-05-27 16:18:00
128,5.05,5.06,5.05,5.055,1802,2022-05-27 16:20:00
129,5.06,5.06,5.06,5.06,396,2022-05-27 16:25:00
130,5.055,5.055,5.055,5.055,100,2022-05-27 16:26:00
131,5.06,5.06,5.06,5.06,100,2022-05-27 16:27:00
132,5.06,5.07,5.06,5.07,1477,2022-05-27 16:28:00
133,5.065,5.065,5.055,5.055,4693,2022-05-27 16:29:00
134,5.06,5.06,5.06,5.06,200,2022-05-27 16:31:00
135,5.055,5.055,5.055,5.055,700,2022-05-27 16:33:00
136,5.055,5.055,5.055,5.055,100,2022-05-27 16:34:00
137,5.06,5.06,5.051,5.055,500,2022-05-27 16:35:00
138,5.05,5.055,5.05,5.055,17186,2022-05-27 16:36:00
139,5.055,5.055,5.055,5.055,200,2022-05-27 16:38:00
140,5.06,5.065,5.06,5.065,1591,2022-05-27 16:39:00
141,5.07,5.07,5.07,5.07,100,2022-05-27 16:40:00
142,5.07,5.07,5.07,5.07,524,2022-05-27 16:41:00
143,5.07,5.07,5.07,5.07,200,2022-05-27 16:42:00
144,5.07,5.07,5.07,5.07,400,2022-05-27 16:43:00
145,5.075,5.0799,5.075,5.0799,300,2022-05-27 16:44:00
146,5.08,5.08,5.075,5.075,300,2022-05-27 16:45:00
