,open,high,low,close,volume,datetime
0,0.32,0.32,0.32,0.32,2000,2022-05-27 12:19:00
1,0.319,0.319,0.319,0.319,5467,2022-05-27 12:20:00
2,0.319,0.319,0.31,0.31,1922,2022-05-27 12:22:00
3,0.32,0.320225,0.32,0.32,2810,2022-05-27 13:30:00
4,0.32,0.3242,0.32,0.3242,2157,2022-05-27 13:32:00
5,0.31,0.31,0.31,0.31,10000,2022-05-27 13:34:00
6,0.3099,0.3099,0.3099,0.3099,628,2022-05-27 13:35:00
7,0.303,0.303,0.303,0.303,12500,2022-05-27 13:36:00
8,0.303,0.32,0.303,0.303,36816,2022-05-27 13:37:00
9,0.303,0.303,0.303,0.303,12500,2022-05-27 13:38:00
10,0.303,0.309,0.303,0.309,27059,2022-05-27 13:39:00
11,0.3038,0.3038,0.303,0.303301,5941,2022-05-27 13:40:00
12,0.3075,0.308438,0.3075,0.308438,4000,2022-05-27 13:41:00
13,0.303,0.303,0.299899,0.299899,6428,2022-05-27 13:43:00
14,0.2983,0.3,0.2976,0.2976,16381,2022-05-27 13:44:00
15,0.299899,0.299899,0.299899,0.299899,100,2022-05-27 13:47:00
16,0.2976,0.2976,0.2976,0.2976,499,2022-05-27 13:51:00
17,0.2999,0.3,0.2999,0.3,200,2022-05-27 13:52:00
18,0.2975,0.2975,0.2975,0.2975,6300,2022-05-27 13:53:00
19,0.2992,0.3,0.2992,0.3,2000,2022-05-27 13:54:00
20,0.3,0.3,0.3,0.3,100,2022-05-27 13:55:00
21,0.29782,0.29782,0.29782,0.29782,4150,2022-05-27 13:59:00
22,0.2989,0.2989,0.2979,0.2979,3900,2022-05-27 14:01:00
23,0.299,0.3,0.299,0.3,200,2022-05-27 14:02:00
24,0.2979,0.2979,0.2979,0.2979,1000,2022-05-27 14:04:00
25,0.2981,0.2981,0.2981,0.2981,4800,2022-05-27 14:12:00
26,0.3,0.3,0.3,0.3,100,2022-05-27 14:18:00
27,0.298199,0.298199,0.298199,0.298199,108,2022-05-27 14:20:00
28,0.3,0.3,0.3,0.3,600,2022-05-27 14:23:00
29,0.2981,0.2981,0.298,0.2981,2080,2022-05-27 14:26:00
30,0.2976,0.2976,0.2976,0.2976,500,2022-05-27 14:27:00
31,0.2976,0.2976,0.2976,0.2976,10000,2022-05-27 14:28:00
32,0.2976,0.2976,0.2976,0.2976,500,2022-05-27 14:30:00
33,0.2985,0.2985,0.2985,0.2985,500,2022-05-27 14:32:00
34,0.2977,0.297705,0.2977,0.297705,580,2022-05-27 14:37:00
35,0.2978,0.2978,0.2978,0.2978,100,2022-05-27 14:39:00
36,0.2999,0.2999,0.2999,0.2999,300,2022-05-27 14:44:00
37,0.299999,0.299999,0.299999,0.299999,300,2022-05-27 14:50:00
38,0.299899,0.299899,0.299899,0.299899,3000,2022-05-27 14:51:00
39,0.2983,0.2987,0.2978,0.2978,5400,2022-05-27 14:52:00
40,0.2992,0.3,0.2992,0.3,2000,2022-05-27 14:53:00
41,0.2985,0.298576,0.2985,0.298576,960,2022-05-27 14:57:00
42,0.2986,0.2987,0.297999,0.297999,8507,2022-05-27 14:58:00
43,0.2976,0.2976,0.2759,0.2768,56713,2022-05-27 14:59:00
44,0.2769,0.28,0.2741,0.2761,15805,2022-05-27 15:00:00
45,0.2899,0.292,0.2899,0.292,1856,2022-05-27 15:01:00
46,0.2899,0.294,0.2899,0.29,3284,2022-05-27 15:02:00
47,0.2902,0.2902,0.2901,0.2902,1500,2022-05-27 15:05:00
48,0.294,0.294,0.294,0.294,2000,2022-05-27 15:08:00
49,0.2901,0.2901,0.29,0.29,1802,2022-05-27 15:09:00
50,0.29,0.29,0.29,0.29,500,2022-05-27 15:13:00
51,0.29,0.29,0.29,0.29,200,2022-05-27 15:15:00
52,0.29,0.29,0.29,0.29,4999,2022-05-27 15:23:00
53,0.29,0.29,0.29,0.29,100,2022-05-27 15:24:00
54,0.29,0.29,0.29,0.29,5000,2022-05-27 15:25:00
55,0.28991,0.28991,0.28991,0.28991,130,2022-05-27 15:32:00
56,0.2899,0.2899,0.2899,0.2899,100,2022-05-27 15:36:00
57,0.29,0.29,0.29,0.29,1000,2022-05-27 15:38:00
58,0.2899,0.2899,0.2899,0.2899,6378,2022-05-27 15:41:00
59,0.2899,0.2899,0.2899,0.2899,1300,2022-05-27 15:46:00
60,0.2891,0.2891,0.2891,0.2891,1000,2022-05-27 15:49:00
61,0.2891,0.2891,0.2891,0.2891,1975,2022-05-27 15:50:00
62,0.2891,0.2891,0.2891,0.2891,1000,2022-05-27 15:54:00
63,0.2891,0.2891,0.2891,0.2891,600,2022-05-27 16:01:00
64,0.2891,0.2891,0.2891,0.2891,4400,2022-05-27 16:04:00
65,0.2891,0.2891,0.2891,0.2891,4100,2022-05-27 16:07:00
66,0.2891,0.2899,0.289,0.289,9243,2022-05-27 16:08:00
67,0.2891,0.2891,0.2891,0.2891,1000,2022-05-27 16:09:00
68,0.2891,0.2891,0.2891,0.2891,1000,2022-05-27 16:11:00
69,0.2891,0.2891,0.289098,0.289098,800,2022-05-27 16:13:00
70,0.2989,0.2989,0.291,0.291,1300,2022-05-27 16:24:00
71,0.291001,0.291001,0.291001,0.291001,1500,2022-05-27 16:44:00
72,0.291,0.291,0.291,0.291,300,2022-05-27 16:48:00
73,0.293924,0.293924,0.293924,0.293924,600,2022-05-27 16:54:00
74,0.2921,0.2921,0.2921,0.2921,500,2022-05-27 17:03:00
75,0.292901,0.292901,0.292901,0.292901,2000,2022-05-27 17:08:00
76,0.2947,0.2947,0.2947,0.2947,1000,2022-05-27 17:27:00
77,0.2945,0.2945,0.2945,0.2945,323,2022-05-27 17:35:00
78,0.2946,0.2946,0.2933,0.2933,1200,2022-05-27 17:41:00
79,0.2921,0.2921,0.2921,0.2921,1000,2022-05-27 18:03:00
80,0.2921,0.2921,0.2921,0.2921,1700,2022-05-27 18:04:00
81,0.2921,0.2921,0.2921,0.2921,1000,2022-05-27 18:07:00
82,0.2921,0.2921,0.2921,0.2921,14934,2022-05-27 18:14:00
83,0.2921,0.2921,0.2921,0.2921,4981,2022-05-27 18:19:00
84,0.292,0.292,0.292,0.292,200,2022-05-27 18:20:00
85,0.2921,0.2921,0.2921,0.2921,100,2022-05-27 18:22:00
86,0.2921,0.2921,0.2921,0.2921,100,2022-05-27 18:23:00
87,0.2921,0.2921,0.2921,0.2921,9984,2022-05-27 18:31:00
88,0.2921,0.2921,0.292,0.2921,838,2022-05-27 18:32:00
89,0.2921,0.2931,0.2921,0.2931,600,2022-05-27 18:36:00
90,0.2929,0.2929,0.2929,0.2929,150,2022-05-27 18:37:00
91,0.2929,0.2929,0.2929,0.2929,100,2022-05-27 18:51:00
92,0.2938,0.2955,0.2938,0.2955,300,2022-05-27 18:56:00
93,0.293,0.293,0.293,0.293,1000,2022-05-27 19:00:00
94,0.2931,0.2931,0.2931,0.2931,100,2022-05-27 19:01:00
95,0.2946,0.2947,0.2931,0.2931,600,2022-05-27 19:14:00
96,0.2936,0.2936,0.2936,0.2936,200,2022-05-27 19:16:00
97,0.2931,0.2932,0.293,0.293,5532,2022-05-27 19:17:00
98,0.293,0.2987,0.293,0.2987,1844,2022-05-27 19:18:00
99,0.2959,0.2959,0.2959,0.2959,100,2022-05-27 19:19:00
100,0.2953,0.2953,0.2953,0.2953,2500,2022-05-27 19:20:00
101,0.2942,0.2942,0.2935,0.2935,1000,2022-05-27 19:21:00
102,0.2941,0.2941,0.2941,0.2941,100,2022-05-27 19:22:00
103,0.2935,0.2935,0.2935,0.2935,1000,2022-05-27 19:26:00
104,0.2941,0.2941,0.2932,0.2932,9600,2022-05-27 19:31:00
105,0.2929,0.2932,0.2929,0.2932,1000,2022-05-27 19:38:00
106,0.2942,0.2942,0.2942,0.2942,1500,2022-05-27 19:44:00
107,0.2949,0.2949,0.2949,0.2949,190,2022-05-27 19:49:00
108,0.2988,0.2988,0.2988,0.2988,100,2022-05-27 19:50:00
109,0.2958,0.2958,0.2958,0.2958,2400,2022-05-27 19:51:00
