,open,high,low,close,volume,datetime
0,152.44,152.44,152.44,152.44,848,2022-05-27 13:30:00
1,152.6,152.6,152.6,152.6,100,2022-05-27 13:33:00
2,152.76,153.58,152.76,153.58,600,2022-05-27 13:35:00
3,152.065,152.35,152.06,152.205,1000,2022-05-27 13:37:00
4,153.48,153.56,153.48,153.56,549,2022-05-27 13:54:00
5,153.77,153.77,153.77,153.77,100,2022-05-27 13:56:00
6,154.12,154.12,154.12,154.12,100,2022-05-27 13:58:00
7,153.72,153.72,153.72,153.72,203,2022-05-27 13:59:00
8,153.28,153.52,153.28,153.52,600,2022-05-27 14:00:00
9,153.34,153.34,153.34,153.34,176,2022-05-27 14:01:00
10,153.34,153.47,153.34,153.47,540,2022-05-27 14:06:00
11,153.5,153.5,153.39,153.39,897,2022-05-27 14:16:00
12,153.69,153.69,153.64,153.64,200,2022-05-27 14:17:00
13,153.93,154.1,153.88,154.1,1194,2022-05-27 14:25:00
14,154.65,154.65,154.65,154.65,200,2022-05-27 14:35:00
15,154.86,154.86,154.785,154.785,800,2022-05-27 14:36:00
16,154.99,155.0,154.9,154.9,600,2022-05-27 14:37:00
17,154.71,154.71,154.71,154.71,200,2022-05-27 14:38:00
18,154.84,154.84,154.66,154.66,253,2022-05-27 14:45:00
19,154.61,154.64,154.415,154.415,400,2022-05-27 14:49:00
20,154.61,154.62,154.61,154.62,300,2022-05-27 14:50:00
21,154.65,154.65,154.65,154.65,100,2022-05-27 14:51:00
22,154.75,154.76,154.75,154.76,452,2022-05-27 14:53:00
23,154.84,154.84,154.84,154.84,100,2022-05-27 14:54:00
24,154.78,154.78,154.78,154.78,200,2022-05-27 14:55:00
25,154.66,154.87,154.66,154.87,700,2022-05-27 14:57:00
26,154.98,154.98,154.98,154.98,100,2022-05-27 14:58:00
27,154.89,154.89,154.89,154.89,288,2022-05-27 14:59:00
28,154.85,154.85,154.85,154.85,100,2022-05-27 15:06:00
29,154.97,155.1,154.97,155.05,500,2022-05-27 15:07:00
30,155.43,155.43,155.43,155.43,100,2022-05-27 15:08:00
31,155.55,155.77,155.55,155.77,430,2022-05-27 15:09:00
32,156.11,156.23,156.11,156.23,300,2022-05-27 15:10:00
33,156.13,156.13,156.13,156.13,100,2022-05-27 15:11:00
34,156.09,156.09,156.09,156.09,100,2022-05-27 15:13:00
35,155.84,155.84,155.62,155.62,500,2022-05-27 15:14:00
36,155.35,155.35,155.35,155.35,200,2022-05-27 15:15:00
37,155.11,155.11,154.72,154.72,200,2022-05-27 15:17:00
38,154.6,154.6975,154.6,154.6975,300,2022-05-27 15:20:00
39,154.655,154.655,154.655,154.655,100,2022-05-27 15:21:00
40,155.0,155.0,154.94,154.94,200,2022-05-27 15:24:00
