,open,high,low,close,volume,datetime
0,160.5,160.745,160.35,160.7,3421,2022-05-27 11:00:00
1,160.6,160.6,160.6,160.6,225,2022-05-27 11:02:00
2,160.78,160.8,160.77,160.8,704,2022-05-27 11:08:00
3,160.72,160.72,160.72,160.72,100,2022-05-27 11:11:00
4,160.62,160.62,160.5,160.5,505,2022-05-27 11:16:00
5,160.26,160.26,160.26,160.26,100,2022-05-27 11:19:00
6,160.2504,160.2504,160.2504,160.2504,250,2022-05-27 12:00:00
7,162.054,162.054,162.054,162.054,200,2022-05-27 12:01:00
8,160.59,160.59,160.35,160.35,300,2022-05-27 12:11:00
9,160.35,160.35,160.35,160.35,250,2022-05-27 12:12:00
10,160.6,160.6,160.5,160.5,261,2022-05-27 12:16:00
11,160.4,160.4,160.4,160.4,100,2022-05-27 12:19:00
12,160.41,160.41,160.41,160.41,100,2022-05-27 12:24:00
13,160.51,160.51,160.51,160.51,100,2022-05-27 12:32:00
14,160.58,160.6,160.49,160.6,400,2022-05-27 12:35:00
15,160.66,160.8,160.66,160.8,300,2022-05-27 12:36:00
16,160.84,161.0,160.82,160.82,600,2022-05-27 12:37:00
17,160.73,160.84,160.65,160.82,2267,2022-05-27 12:38:00
18,160.8,161.01,160.79,161.01,8033,2022-05-27 12:39:00
19,161.01,161.2221,161.01,161.03,1488,2022-05-27 12:40:00
20,161.07,161.07,161.0,161.0,1836,2022-05-27 12:41:00
21,160.85,160.88,160.85,160.88,200,2022-05-27 12:42:00
22,160.9,160.9,160.9,160.9,600,2022-05-27 12:47:00
23,160.9,160.9,160.88,160.88,1800,2022-05-27 12:48:00
24,160.89,161.0,160.89,161.0,6863,2022-05-27 12:49:00
25,160.98,161.0,160.965,161.0,3400,2022-05-27 12:50:00
26,161.0,161.01,160.98,160.98,894,2022-05-27 12:51:00
27,160.94,160.94,160.93,160.93,200,2022-05-27 12:52:00
28,161.0,161.0,161.0,161.0,100,2022-05-27 12:53:00
29,160.7,160.72,160.67,160.72,400,2022-05-27 12:57:00
30,160.86,160.9,160.82,160.84,1539,2022-05-27 12:59:00
31,160.97,160.97,160.97,160.97,100,2022-05-27 13:01:00
32,160.9,161.0,160.9,161.0,2445,2022-05-27 13:02:00
33,160.92,161.0,160.92,161.0,2013,2022-05-27 13:03:00
34,160.9999,160.9999,160.76,160.76,400,2022-05-27 13:04:00
35,160.94,160.98,160.94,160.98,300,2022-05-27 13:05:00
36,160.94,160.94,160.94,160.94,200,2022-05-27 13:06:00
37,160.8,160.8,160.7,160.7,1616,2022-05-27 13:09:00
38,160.79,162.46,160.64,162.46,5419,2022-05-27 13:10:00
39,160.8,160.85,160.8,160.85,500,2022-05-27 13:12:00
