,open,high,low,close,volume,datetime
0,34.5,34.5,34.5,34.5,100,2022-05-27 11:45:00
1,34.59,34.59,34.59,34.59,197,2022-05-27 11:48:00
2,34.6,34.6,34.6,34.6,225,2022-05-27 11:49:00
3,34.59,34.6,34.59,34.6,778,2022-05-27 11:52:00
4,34.8,34.8,34.8,34.8,124,2022-05-27 11:53:00
5,34.61,34.61,34.61,34.61,2700,2022-05-27 12:12:00
6,34.52,34.52,34.51,34.51,2300,2022-05-27 12:31:00
7,34.4999,34.4999,34.4999,34.4999,389,2022-05-27 12:35:00
8,34.35,34.38,34.35,34.38,946,2022-05-27 12:38:00
9,34.49,34.5,34.49,34.5,824,2022-05-27 12:39:00
10,34.9999,35.0,34.9999,35.0,545,2022-05-27 12:40:00
11,34.58,34.58,34.58,34.58,200,2022-05-27 12:56:00
12,34.56,34.56,34.56,34.56,115,2022-05-27 13:01:00
13,34.5,34.5,34.5,34.5,1468,2022-05-27 13:18:00
14,34.51,34.51,34.5,34.5,200,2022-05-27 13:20:00
15,34.41,34.41,34.4,34.4,1186,2022-05-27 13:23:00
16,34.39,34.39,34.38,34.38,1089,2022-05-27 13:24:00
17,34.38,34.38,34.38,34.38,100,2022-05-27 13:26:00
18,34.38,34.55,34.38,34.55,1694,2022-05-27 13:27:00
19,34.4,34.4,34.4,34.4,200,2022-05-27 13:28:00
20,34.39,34.39,34.17,34.17,2900,2022-05-27 13:29:00
21,34.25,34.33,34.2,34.32,178211,2022-05-27 13:30:00
22,34.33,34.385,34.3,34.315,17623,2022-05-27 13:31:00
23,34.31,34.39,34.26,34.371,38261,2022-05-27 13:32:00
24,34.41,34.51,34.4,34.47,20345,2022-05-27 13:33:00
25,34.46,34.5,34.39,34.5,20411,2022-05-27 13:34:00
26,34.5,34.56,34.45,34.55,19237,2022-05-27 13:35:00
27,34.55,34.61,34.5,34.5187,21112,2022-05-27 13:36:00
28,34.55,34.65,34.5499,34.6363,34711,2022-05-27 13:37:00
29,34.63,34.64,34.562,34.59,15827,2022-05-27 13:38:00
30,34.5947,34.605,34.56,34.56,10992,2022-05-27 13:39:00
31,34.56,34.58,34.485,34.52,13644,2022-05-27 13:40:00
32,34.51,34.53,34.44,34.46,8687,2022-05-27 13:41:00
33,34.46,34.5237,34.44,34.48,9967,2022-05-27 13:42:00
34,34.45,34.52,34.45,34.4962,14020,2022-05-27 13:43:00
35,34.5,34.5592,34.47,34.48,15937,2022-05-27 13:44:00
36,34.49,34.55,34.4745,34.53,15483,2022-05-27 13:45:00
37,34.52,34.54,34.505,34.54,14162,2022-05-27 13:46:00
38,34.55,34.595,34.55,34.595,9978,2022-05-27 13:47:00
39,34.597,34.597,34.51,34.52,13333,2022-05-27 13:48:00
40,34.52,34.6,34.52,34.59,16703,2022-05-27 13:49:00
41,34.6,34.61,34.545,34.55,24909,2022-05-27 13:50:00
42,34.55,34.58,34.55,34.57,9338,2022-05-27 13:51:00
43,34.565,34.59,34.54,34.58,10660,2022-05-27 13:52:00
44,34.58,34.6,34.55,34.56,20735,2022-05-27 13:53:00
45,34.565,34.5664,34.535,34.55,26442,2022-05-27 13:54:00
46,34.545,34.6,34.515,34.58,12150,2022-05-27 13:55:00
47,34.59,34.61,34.58,34.58,14587,2022-05-27 13:56:00
48,34.585,34.585,34.515,34.55,21536,2022-05-27 13:57:00
49,34.54,34.57,34.505,34.51,18585,2022-05-27 13:58:00
50,34.5144,34.525,34.49,34.51,25506,2022-05-27 13:59:00
51,34.505,34.555,34.495,34.5199,28711,2022-05-27 14:00:00
52,34.51,34.605,34.49,34.57,28708,2022-05-27 14:01:00
53,34.57,34.61,34.54,34.6,47474,2022-05-27 14:02:00
54,34.605,34.615,34.5872,34.6,20784,2022-05-27 14:03:00
55,34.6,34.61,34.59,34.6,20298,2022-05-27 14:04:00
56,34.5966,34.605,34.52,34.525,43102,2022-05-27 14:05:00
57,34.525,34.525,34.44,34.445,28642,2022-05-27 14:06:00
58,34.445,34.54,34.405,34.4908,34297,2022-05-27 14:07:00
59,34.5,34.505,34.455,34.465,12775,2022-05-27 14:08:00
60,34.48,34.48,34.46,34.4696,6622,2022-05-27 14:09:00
61,34.47,34.545,34.43,34.43,42720,2022-05-27 14:10:00
62,34.435,34.495,34.4303,34.485,10636,2022-05-27 14:11:00
63,34.48,34.5,34.4599,34.475,17840,2022-05-27 14:12:00
64,34.48,34.5,34.48,34.49,5997,2022-05-27 14:13:00
65,34.5,34.51,34.47,34.47,98867,2022-05-27 14:14:00
66,34.48,34.51,34.45,34.505,28187,2022-05-27 14:15:00
67,34.5,34.52,34.465,34.465,17771,2022-05-27 14:16:00
68,34.465,34.48,34.45,34.45,9895,2022-05-27 14:17:00
69,34.45,34.5,34.4366,34.5,5567,2022-05-27 14:18:00
70,34.496,34.51,34.48,34.5,19497,2022-05-27 14:19:00
71,34.5,34.5267,34.5,34.52,9610,2022-05-27 14:20:00
72,34.5191,34.53,34.49,34.5,28744,2022-05-27 14:21:00
73,34.5,34.51,34.48,34.495,18222,2022-05-27 14:22:00
74,34.49,34.51,34.485,34.49,26062,2022-05-27 14:23:00
75,34.5,34.53,34.5,34.51,81911,2022-05-27 14:24:00
76,34.52,34.61,34.51,34.6,60365,2022-05-27 14:25:00
77,34.605,34.61,34.5873,34.605,21784,2022-05-27 14:26:00
78,34.6057,34.67,34.585,34.635,24458,2022-05-27 14:27:00
79,34.64,34.68,34.64,34.68,7961,2022-05-27 14:28:00
80,34.675,34.745,34.675,34.74,19451,2022-05-27 14:29:00
81,34.75,34.78,34.72,34.735,15042,2022-05-27 14:30:00
82,34.74,34.76,34.73,34.7437,8705,2022-05-27 14:31:00
83,34.74,34.74,34.68,34.69,9683,2022-05-27 14:32:00
84,34.68,34.68,34.615,34.67,12985,2022-05-27 14:33:00
85,34.675,34.7,34.675,34.6755,5947,2022-05-27 14:34:00
86,34.68,34.72,34.66,34.685,15698,2022-05-27 14:35:00
87,34.69,34.69,34.65,34.655,7526,2022-05-27 14:36:00
88,34.6546,34.69,34.63,34.69,10492,2022-05-27 14:37:00
89,34.69,34.73,34.6804,34.73,7759,2022-05-27 14:38:00
90,34.735,34.735,34.68,34.695,16291,2022-05-27 14:39:00
91,34.6985,34.7,34.685,34.685,5275,2022-05-27 14:40:00
92,34.6875,34.705,34.68,34.7,8096,2022-05-27 14:41:00
93,34.705,34.705,34.675,34.68,8836,2022-05-27 14:42:00
94,34.6898,34.69,34.6575,34.67,13516,2022-05-27 14:43:00
95,34.67,34.68,34.64,34.6676,5094,2022-05-27 14:44:00
96,34.67,34.67,34.61,34.615,3336,2022-05-27 14:45:00
97,34.6114,34.6114,34.565,34.565,7689,2022-05-27 14:46:00
98,34.57,34.62,34.555,34.595,10065,2022-05-27 14:47:00
99,34.61,34.65,34.6,34.635,9147,2022-05-27 14:48:00
100,34.6428,34.71,34.64,34.69,35836,2022-05-27 14:49:00
101,34.68,34.74,34.675,34.74,14724,2022-05-27 14:50:00
102,34.73,34.77,34.725,34.77,13607,2022-05-27 14:51:00
103,34.77,34.77,34.75,34.75,8019,2022-05-27 14:52:00
104,34.75,34.7979,34.75,34.79,13619,2022-05-27 14:53:00
105,34.78,34.82,34.77,34.81,10555,2022-05-27 14:54:00
106,34.825,34.835,34.805,34.835,11003,2022-05-27 14:55:00
107,34.835,34.865,34.83,34.835,33165,2022-05-27 14:56:00
108,34.835,34.9,34.835,34.88,12387,2022-05-27 14:57:00
109,34.87,34.9,34.845,34.9,12713,2022-05-27 14:58:00
110,34.905,34.925,34.865,34.885,21270,2022-05-27 14:59:00
111,34.89,34.925,34.89,34.925,5638,2022-05-27 15:00:00
112,34.925,34.935,34.77,34.78,27574,2022-05-27 15:01:00
113,34.785,34.81,34.74,34.74,10617,2022-05-27 15:02:00
114,34.73,34.81,34.725,34.81,8201,2022-05-27 15:03:00
115,34.805,34.82,34.75,34.75,5007,2022-05-27 15:04:00
116,34.75,34.765,34.725,34.74,9876,2022-05-27 15:05:00
117,34.735,34.8,34.73,34.795,8787,2022-05-27 15:06:00
118,34.795,34.85,34.79,34.85,31379,2022-05-27 15:07:00
119,34.85,34.88,34.84,34.8478,38864,2022-05-27 15:08:00
120,34.845,34.86,34.84,34.85,13424,2022-05-27 15:09:00
121,34.86,34.87,34.845,34.855,9371,2022-05-27 15:10:00
122,34.85,34.885,34.845,34.8805,10644,2022-05-27 15:11:00
123,34.89,34.9,34.88,34.885,10012,2022-05-27 15:12:00
124,34.885,34.94,34.88,34.92,26532,2022-05-27 15:13:00
125,34.92,34.93,34.9,34.93,10393,2022-05-27 15:14:00
126,34.93,34.9898,34.915,34.9898,23863,2022-05-27 15:15:00
127,34.99,35.04,34.99,35.04,19570,2022-05-27 15:16:00
128,35.035,35.065,35.03,35.05,34949,2022-05-27 15:17:00
129,35.05,35.07,35.03,35.05,35585,2022-05-27 15:18:00
130,35.05,35.05,34.98,35.038,57414,2022-05-27 15:19:00
131,35.0351,35.05,35.02,35.0351,35055,2022-05-27 15:20:00
132,35.0365,35.05,34.98,34.98,40433,2022-05-27 15:21:00
133,34.97,34.98,34.9464,34.98,19635,2022-05-27 15:22:00
134,34.975,35.02,34.9725,35.015,10827,2022-05-27 15:23:00
135,35.02,35.0566,35.02,35.02,5900,2022-05-27 15:24:00
136,35.015,35.045,35.0,35.045,8572,2022-05-27 15:25:00
137,35.045,35.07,35.04,35.07,33849,2022-05-27 15:26:00
138,35.0787,35.1,35.0688,35.07,9128,2022-05-27 15:27:00
139,35.06,35.0879,35.06,35.0857,3938,2022-05-27 15:28:00
140,35.09,35.12,35.09,35.095,6346,2022-05-27 15:29:00
141,35.095,35.115,35.09,35.095,5018,2022-05-27 15:30:00
142,35.09,35.11,35.08,35.09,11009,2022-05-27 15:31:00
143,35.1,35.125,35.09,35.125,9610,2022-05-27 15:32:00
144,35.12,35.16,35.115,35.145,10540,2022-05-27 15:33:00
145,35.14,35.15,35.12,35.1415,17527,2022-05-27 15:34:00
146,35.14,35.14,35.11,35.12,10922,2022-05-27 15:35:00
147,35.12,35.13,35.095,35.115,5865,2022-05-27 15:36:00
148,35.1,35.1,35.065,35.1,14209,2022-05-27 15:37:00
149,35.09,35.09,35.06,35.075,6238,2022-05-27 15:38:00
150,35.0754,35.1,35.0566,35.0566,7048,2022-05-27 15:39:00
151,35.05,35.095,35.045,35.09,8209,2022-05-27 15:40:00
152,35.095,35.1,35.07,35.07,11807,2022-05-27 15:41:00
153,35.08,35.11,35.07,35.11,17324,2022-05-27 15:42:00
154,35.12,35.14,35.095,35.11,7767,2022-05-27 15:43:00
155,35.11,35.12,35.08,35.08,6262,2022-05-27 15:44:00
156,35.08,35.14,35.07,35.14,6610,2022-05-27 15:45:00
157,35.135,35.14,35.105,35.125,11433,2022-05-27 15:46:00
158,35.12,35.125,35.1025,35.12,8827,2022-05-27 15:47:00
159,35.12,35.13,35.11,35.115,5393,2022-05-27 15:48:00
160,35.115,35.16,35.115,35.15,7033,2022-05-27 15:49:00
