,open,high,low,close,volume,datetime
0,6.62,6.73,6.62,6.71,20340,2022-05-27 13:30:00
1,6.71,6.74,6.675,6.675,3400,2022-05-27 13:31:00
2,6.64,6.65,6.59,6.59,3061,2022-05-27 13:32:00
3,6.6,6.61,6.52,6.54,18483,2022-05-27 13:33:00
4,6.52,6.52,6.47,6.475,4043,2022-05-27 13:34:00
5,6.47,6.475,6.43,6.475,9137,2022-05-27 13:35:00
6,6.4601,6.52,6.4601,6.48,7892,2022-05-27 13:36:00
7,6.46,6.47,6.44,6.45,4019,2022-05-27 13:37:00
8,6.44,6.44,6.41,6.415,3816,2022-05-27 13:38:00
9,6.41,6.435,6.4,6.41,14250,2022-05-27 13:39:00
10,6.4,6.46,6.4,6.415,10345,2022-05-27 13:40:00
11,6.41,6.43,6.39,6.39,6400,2022-05-27 13:41:00
12,6.3977,6.3977,6.37,6.37,6071,2022-05-27 13:42:00
13,6.38,6.41,6.38,6.41,8735,2022-05-27 13:43:00
14,6.39,6.395,6.3,6.315,28099,2022-05-27 13:44:00
15,6.35,6.4,6.35,6.385,6229,2022-05-27 13:45:00
16,6.37,6.37,6.34,6.35,6041,2022-05-27 13:46:00
17,6.37,6.38,6.36,6.36,6203,2022-05-27 13:47:00
18,6.37,6.41,6.36,6.39,12022,2022-05-27 13:48:00
19,6.4,6.4,6.38,6.38,4000,2022-05-27 13:49:00
20,6.4,6.42,6.385,6.415,2949,2022-05-27 13:50:00
21,6.42,6.49,6.42,6.49,1967,2022-05-27 13:51:00
22,6.48,6.48,6.44,6.44,4053,2022-05-27 13:52:00
23,6.44,6.47,6.425,6.47,5857,2022-05-27 13:53:00
24,6.48,6.49,6.46,6.46,2470,2022-05-27 13:54:00
25,6.45,6.465,6.435,6.445,3741,2022-05-27 13:55:00
26,6.44,6.46,6.43,6.45,2728,2022-05-27 13:56:00
27,6.45,6.47,6.45,6.47,5714,2022-05-27 13:57:00
28,6.47,6.49,6.46,6.49,5529,2022-05-27 13:58:00
29,6.495,6.525,6.495,6.52,3065,2022-05-27 13:59:00
30,6.52,6.52,6.46,6.465,5148,2022-05-27 14:00:00
31,6.47,6.48,6.43,6.44,5721,2022-05-27 14:01:00
32,6.44,6.475,6.44,6.47,6266,2022-05-27 14:02:00
33,6.47,6.49,6.47,6.485,1393,2022-05-27 14:03:00
34,6.48,6.485,6.44,6.45,3754,2022-05-27 14:04:00
35,6.45,6.4699,6.45,6.46,6457,2022-05-27 14:05:00
36,6.47,6.47,6.46,6.46,2955,2022-05-27 14:06:00
37,6.46,6.46,6.425,6.425,4985,2022-05-27 14:07:00
38,6.42,6.44,6.415,6.44,5740,2022-05-27 14:08:00
39,6.45,6.45,6.42,6.44,3808,2022-05-27 14:09:00
40,6.45,6.46,6.45,6.46,3028,2022-05-27 14:10:00
41,6.46,6.47,6.45,6.47,2877,2022-05-27 14:11:00
42,6.47,6.47,6.45,6.45,3188,2022-05-27 14:12:00
43,6.44,6.44,6.435,6.435,1834,2022-05-27 14:13:00
44,6.44,6.44,6.415,6.42,4849,2022-05-27 14:14:00
45,6.415,6.44,6.41,6.44,5741,2022-05-27 14:15:00
46,6.438,6.438,6.43,6.435,3528,2022-05-27 14:17:00
47,6.43,6.43,6.39,6.42,5146,2022-05-27 14:18:00
48,6.415,6.44,6.415,6.44,2031,2022-05-27 14:19:00
49,6.46,6.48,6.46,6.48,2842,2022-05-27 14:20:00
50,6.49,6.49,6.48,6.48,5004,2022-05-27 14:21:00
51,6.48,6.48,6.46,6.47,2000,2022-05-27 14:22:00
52,6.47,6.495,6.47,6.49,3104,2022-05-27 14:23:00
53,6.47,6.48,6.47,6.48,1600,2022-05-27 14:24:00
54,6.48,6.49,6.48,6.48,1371,2022-05-27 14:25:00
55,6.49,6.49,6.49,6.49,300,2022-05-27 14:26:00
56,6.5,6.53,6.49,6.53,11902,2022-05-27 14:27:00
57,6.53,6.565,6.53,6.56,3743,2022-05-27 14:28:00
58,6.56,6.56,6.54,6.54,4108,2022-05-27 14:29:00
59,6.54,6.55,6.54,6.55,1280,2022-05-27 14:30:00
60,6.55,6.55,6.54,6.55,1872,2022-05-27 14:31:00
61,6.56,6.61,6.56,6.6,5641,2022-05-27 14:32:00
62,6.595,6.595,6.58,6.585,4919,2022-05-27 14:33:00
63,6.589,6.59,6.589,6.59,1089,2022-05-27 14:34:00
64,6.585,6.59,6.585,6.59,2508,2022-05-27 14:35:00
65,6.6,6.6,6.59,6.6,4717,2022-05-27 14:37:00
66,6.59,6.59,6.585,6.59,1200,2022-05-27 14:38:00
67,6.58,6.58,6.575,6.58,2118,2022-05-27 14:39:00
68,6.58,6.595,6.58,6.59,1896,2022-05-27 14:40:00
69,6.6,6.6,6.59,6.59,2932,2022-05-27 14:41:00
70,6.5988,6.5988,6.56,6.57,7167,2022-05-27 14:42:00
71,6.57,6.57,6.57,6.57,600,2022-05-27 14:43:00
72,6.58,6.58,6.57,6.57,1888,2022-05-27 14:44:00
73,6.57,6.57,6.565,6.57,2300,2022-05-27 14:45:00
