,open,high,low,close,volume,datetime
0,6.87,6.92,6.87,6.92,991,2022-05-27 13:30:00
1,6.97,6.97,6.97,6.97,100,2022-05-27 13:34:00
2,7.06,7.06,7.06,7.06,900,2022-05-27 13:40:00
3,7.0596,7.0596,7.0596,7.0596,1150,2022-05-27 13:42:00
4,7.02,7.02,7.02,7.02,1150,2022-05-27 13:43:00
5,7.03,7.03,7.03,7.03,100,2022-05-27 13:44:00
6,6.9829,6.9829,6.9829,6.9829,1500,2022-05-27 13:45:00
7,7.1,7.12,7.1,7.12,1600,2022-05-27 13:59:00
8,7.1,7.1,7.08,7.085,1400,2022-05-27 14:00:00
9,7.0852,7.09,7.0852,7.09,900,2022-05-27 14:01:00
10,7.1084,7.1084,7.1084,7.1084,700,2022-05-27 14:02:00
11,7.11,7.11,7.1,7.1,400,2022-05-27 14:08:00
12,7.12,7.12,7.12,7.12,400,2022-05-27 14:09:00
13,7.14,7.14,7.14,7.14,280,2022-05-27 14:11:00
14,7.1485,7.16,7.1485,7.16,1544,2022-05-27 14:12:00
15,7.15,7.15,7.15,7.15,900,2022-05-27 14:13:00
16,7.175,7.175,7.175,7.175,1000,2022-05-27 14:19:00
17,7.2202,7.2202,7.2202,7.2202,400,2022-05-27 14:27:00
18,7.2376,7.2376,7.2376,7.2376,200,2022-05-27 14:38:00
19,7.12,7.12,7.12,7.12,100,2022-05-27 14:46:00
20,7.11,7.11,7.11,7.11,100,2022-05-27 14:51:00
21,7.039,7.039,7.039,7.039,500,2022-05-27 15:00:00
22,7.0,7.0,7.0,7.0,300,2022-05-27 15:02:00
23,6.9841,6.9841,6.9841,6.9841,400,2022-05-27 15:03:00
24,7.0125,7.0125,7.0125,7.0125,178,2022-05-27 15:06:00
25,7.03,7.03,7.03,7.03,200,2022-05-27 15:14:00
26,7.0045,7.0045,7.0045,7.0045,200,2022-05-27 15:27:00
27,7.011,7.011,7.0,7.0,6621,2022-05-27 15:28:00
28,7.061,7.061,7.061,7.061,200,2022-05-27 15:35:00
29,7.081,7.081,7.08,7.08,200,2022-05-27 15:41:00
30,7.1,7.1,7.1,7.1,200,2022-05-27 15:43:00
