,open,high,low,close,volume,datetime
0,142.0,142.0,141.61,141.93,7511,2022-05-27 13:30:00
1,142.0,142.49,141.79,142.4,2985,2022-05-27 13:31:00
2,142.27,142.27,142.27,142.27,100,2022-05-27 13:32:00
3,142.23,142.23,141.91,142.05,1114,2022-05-27 13:33:00
4,141.86,141.99,141.85,141.99,1289,2022-05-27 13:34:00
5,142.27,142.39,142.26,142.39,866,2022-05-27 13:35:00
6,142.21,142.315,142.21,142.315,249,2022-05-27 13:36:00
7,142.3,142.3,142.24,142.27,992,2022-05-27 13:37:00
8,142.52,142.93,142.5,142.92,3695,2022-05-27 13:38:00
9,142.85,143.12,142.79,143.12,1000,2022-05-27 13:39:00
10,142.89,143.35,142.89,143.35,1300,2022-05-27 13:40:00
11,143.09,143.18,143.06,143.18,700,2022-05-27 13:41:00
12,143.24,143.24,143.18,143.18,200,2022-05-27 13:42:00
13,143.31,143.47,143.3,143.47,1000,2022-05-27 13:43:00
14,143.415,143.58,143.39,143.58,690,2022-05-27 13:44:00
15,143.62,143.87,143.62,143.87,1989,2022-05-27 13:45:00
16,143.83,143.87,143.67,143.87,1400,2022-05-27 13:46:00
17,143.84,143.84,143.72,143.77,1689,2022-05-27 13:47:00
18,143.89,143.89,143.88,143.89,503,2022-05-27 13:48:00
19,143.81,143.81,143.81,143.81,101,2022-05-27 13:49:00
20,143.735,143.94,143.735,143.89,902,2022-05-27 13:50:00
21,143.885,144.16,143.65,144.07,2211,2022-05-27 13:51:00
22,144.35,144.43,144.32,144.43,508,2022-05-27 13:52:00
23,144.5,144.65,144.5,144.59,345,2022-05-27 13:53:00
24,144.59,144.66,144.5,144.63,1576,2022-05-27 13:54:00
25,144.61,144.72,144.55,144.55,1162,2022-05-27 13:55:00
26,144.64,144.64,144.565,144.6,600,2022-05-27 13:56:00
27,144.61,144.61,144.48,144.48,501,2022-05-27 13:57:00
28,144.61,144.67,144.575,144.58,1074,2022-05-27 13:58:00
29,144.45,144.45,144.44,144.44,200,2022-05-27 13:59:00
30,144.44,144.47,144.43,144.43,400,2022-05-27 14:00:00
31,144.3775,144.83,144.3775,144.83,2880,2022-05-27 14:01:00
32,144.9,144.9,144.7,144.7,2812,2022-05-27 14:02:00
33,144.6425,144.79,144.6425,144.79,879,2022-05-27 14:03:00
34,144.7677,144.83,144.7677,144.83,894,2022-05-27 14:04:00
35,144.79,144.79,144.58,144.58,1216,2022-05-27 14:05:00
36,144.6,144.67,144.6,144.67,509,2022-05-27 14:06:00
37,144.5949,144.66,144.56,144.66,615,2022-05-27 14:07:00
38,144.72,144.76,144.69,144.69,1005,2022-05-27 14:08:00
39,144.7399,144.7399,144.6147,144.6147,400,2022-05-27 14:09:00
40,144.66,144.66,144.6,144.6,1609,2022-05-27 14:10:00
41,144.61,144.66,144.465,144.61,4206,2022-05-27 14:11:00
42,144.51,144.51,144.44,144.4773,1350,2022-05-27 14:12:00
43,144.395,144.49,144.39,144.49,1116,2022-05-27 14:13:00
44,144.6,144.7,144.59,144.59,1109,2022-05-27 14:15:00
45,144.62,144.62,144.54,144.595,1182,2022-05-27 14:16:00
46,144.51,144.51,144.51,144.51,200,2022-05-27 14:17:00
47,144.56,144.81,144.56,144.81,1623,2022-05-27 14:18:00
48,144.79,144.86,144.77,144.86,2139,2022-05-27 14:19:00
49,144.81,144.82,144.75,144.76,2124,2022-05-27 14:20:00
50,144.78,144.79,144.69,144.69,1300,2022-05-27 14:21:00
51,144.71,144.77,144.65,144.77,1300,2022-05-27 14:22:00
52,144.82,144.86,144.755,144.86,1420,2022-05-27 14:23:00
53,144.9,144.9,144.9,144.9,100,2022-05-27 14:24:00
54,144.83,145.02,144.82,144.97,7835,2022-05-27 14:25:00
55,144.82,144.82,144.8,144.81,1004,2022-05-27 14:26:00
56,144.76,144.78,144.59,144.59,2710,2022-05-27 14:27:00
57,144.56,144.66,144.56,144.66,1163,2022-05-27 14:28:00
58,144.61,144.62,144.37,144.37,1440,2022-05-27 14:29:00
59,144.25,144.39,144.25,144.35,2214,2022-05-27 14:30:00
60,144.36,144.38,144.36,144.38,784,2022-05-27 14:31:00
61,144.44,144.44,144.39,144.39,507,2022-05-27 14:32:00
62,144.38,144.43,144.35,144.4,3304,2022-05-27 14:33:00
63,144.37,144.37,144.2853,144.2853,973,2022-05-27 14:34:00
64,144.265,144.265,144.11,144.11,1481,2022-05-27 14:35:00
65,144.0697,144.0697,144.045,144.045,300,2022-05-27 14:36:00
66,144.0,144.01,143.835,143.95,1571,2022-05-27 14:37:00
67,144.0,144.06,143.95,143.95,1525,2022-05-27 14:38:00
68,143.94,143.96,143.94,143.945,1012,2022-05-27 14:39:00
69,143.95,143.95,143.95,143.95,200,2022-05-27 14:40:00
70,143.99,143.99,143.99,143.99,100,2022-05-27 14:41:00
71,144.045,144.075,143.93,143.97,4504,2022-05-27 14:42:00
72,143.88,143.88,143.695,143.73,1641,2022-05-27 14:43:00
73,143.72,143.73,143.5,143.5,2159,2022-05-27 14:45:00
74,143.57,143.8,143.56,143.8,1300,2022-05-27 14:46:00
75,143.8,143.86,143.8,143.86,295,2022-05-27 14:47:00
76,143.9,143.9,143.8,143.8,1100,2022-05-27 14:49:00
77,143.86,143.95,143.86,143.95,573,2022-05-27 14:50:00
78,144.0,144.1,143.95,144.085,2601,2022-05-27 14:51:00
79,144.19,144.19,144.19,144.19,100,2022-05-27 14:52:00
80,144.19,144.19,144.1,144.1,901,2022-05-27 14:53:00
81,144.09,144.09,144.09,144.09,100,2022-05-27 14:54:00
82,144.116,144.116,144.116,144.116,100,2022-05-27 14:55:00
83,144.12,144.15,144.09,144.09,840,2022-05-27 14:56:00
84,144.145,144.145,144.145,144.145,221,2022-05-27 14:57:00
85,144.11,144.13,144.09,144.12,845,2022-05-27 14:58:00
86,144.09,144.2013,144.03,144.2013,1712,2022-05-27 14:59:00
87,144.21,144.21,144.21,144.21,100,2022-05-27 15:00:00
88,144.25,144.28,144.17,144.17,3131,2022-05-27 15:01:00
89,144.12,144.17,144.11,144.11,605,2022-05-27 15:02:00
90,144.18,144.22,144.18,144.19,500,2022-05-27 15:03:00
91,144.19,144.19,143.92,143.92,3426,2022-05-27 15:04:00
92,144.01,144.01,143.96,143.96,200,2022-05-27 15:05:00
93,144.0,144.06,144.0,144.02,601,2022-05-27 15:06:00
94,144.02,144.02,144.02,144.02,200,2022-05-27 15:07:00
95,144.0,144.045,144.0,144.045,687,2022-05-27 15:08:00
96,144.08,144.15,144.08,144.12,2753,2022-05-27 15:09:00
97,144.14,144.14,144.04,144.04,1630,2022-05-27 15:10:00
98,144.07,144.12,144.05,144.05,600,2022-05-27 15:11:00
99,144.07,144.07,144.07,144.07,107,2022-05-27 15:12:00
100,144.08,144.08,144.08,144.08,100,2022-05-27 15:13:00
101,144.1,144.15,144.1,144.1,1600,2022-05-27 15:14:00
102,144.1,144.285,144.1,144.285,1580,2022-05-27 15:15:00
103,144.37,144.43,144.335,144.43,1717,2022-05-27 15:16:00
104,144.495,144.495,144.41,144.41,662,2022-05-27 15:17:00
105,144.48,144.48,144.48,144.48,200,2022-05-27 15:18:00
106,144.48,144.59,144.45,144.59,705,2022-05-27 15:19:00
107,144.62,144.64,144.61,144.61,350,2022-05-27 15:20:00
108,144.65,144.72,144.65,144.685,900,2022-05-27 15:21:00
109,144.71,144.76,144.71,144.76,508,2022-05-27 15:22:00
110,144.74,144.74,144.69,144.69,1100,2022-05-27 15:23:00
111,144.71,144.71,144.68,144.7,887,2022-05-27 15:24:00
112,144.705,144.74,144.66,144.66,1923,2022-05-27 15:25:00
113,144.68,144.73,144.68,144.73,602,2022-05-27 15:26:00
114,144.73,144.73,144.73,144.73,500,2022-05-27 15:27:00
115,144.71,144.71,144.7,144.7,484,2022-05-27 15:28:00
116,144.69,144.72,144.57,144.57,2346,2022-05-27 15:29:00
117,144.49,144.61,144.49,144.56,1505,2022-05-27 15:30:00
118,144.515,144.515,144.515,144.515,100,2022-05-27 15:31:00
119,144.5,144.55,144.5,144.55,965,2022-05-27 15:32:00
120,144.49,144.5003,144.46,144.5,963,2022-05-27 15:33:00
121,144.48,144.48,144.43,144.43,300,2022-05-27 15:34:00
122,144.4557,144.53,144.4,144.53,500,2022-05-27 15:35:00
123,144.525,144.525,144.37,144.37,1001,2022-05-27 15:36:00
124,144.36,144.36,144.36,144.36,100,2022-05-27 15:37:00
125,144.3473,144.365,144.3473,144.365,250,2022-05-27 15:38:00
126,144.33,144.33,144.31,144.31,1161,2022-05-27 15:39:00
127,144.3,144.38,144.265,144.265,1450,2022-05-27 15:40:00
128,144.33,144.385,144.33,144.385,318,2022-05-27 15:42:00
129,144.47,144.5,144.45,144.49,1917,2022-05-27 15:43:00
130,144.5034,144.5034,144.39,144.41,1048,2022-05-27 15:44:00
131,144.38,144.44,144.38,144.44,585,2022-05-27 15:45:00
132,144.46,144.51,144.46,144.51,811,2022-05-27 15:46:00
133,144.56,144.58,144.51,144.51,1079,2022-05-27 15:48:00
134,144.5,144.505,144.5,144.5,892,2022-05-27 15:50:00
135,144.46,144.46,144.42,144.43,1063,2022-05-27 15:51:00
136,144.3947,144.3947,144.33,144.33,558,2022-05-27 15:52:00
137,144.36,144.36,144.3,144.3,661,2022-05-27 15:53:00
138,144.28,144.31,144.28,144.29,521,2022-05-27 15:55:00
139,144.285,144.285,144.27,144.28,888,2022-05-27 15:56:00
140,144.23,144.27,144.23,144.27,738,2022-05-27 15:57:00
141,144.24,144.26,144.24,144.26,300,2022-05-27 15:58:00
142,144.24,144.35,144.24,144.35,1004,2022-05-27 15:59:00
143,144.39,144.4,144.39,144.4,350,2022-05-27 16:00:00
144,144.375,144.41,144.375,144.41,201,2022-05-27 16:01:00
145,144.37,144.37,144.235,144.235,2110,2022-05-27 16:03:00
146,144.22,144.24,144.22,144.24,221,2022-05-27 16:04:00
147,144.24,144.24,144.21,144.225,669,2022-05-27 16:05:00
148,144.17,144.17,144.13,144.13,200,2022-05-27 16:07:00
149,144.13,144.15,144.07,144.15,657,2022-05-27 16:08:00
150,144.17,144.3,144.17,144.2933,748,2022-05-27 16:09:00
151,144.285,144.35,144.27,144.35,578,2022-05-27 16:10:00
152,144.38,144.38,144.32,144.37,900,2022-05-27 16:11:00
153,144.37,144.37,144.32,144.32,745,2022-05-27 16:12:00
154,144.2997,144.2997,144.26,144.26,656,2022-05-27 16:13:00
155,144.24,144.24,144.24,144.24,100,2022-05-27 16:14:00
156,144.21,144.24,144.18,144.24,1519,2022-05-27 16:15:00
157,144.19,144.19,144.19,144.19,100,2022-05-27 16:16:00
158,144.24,144.31,144.16,144.16,3305,2022-05-27 16:17:00
159,144.12,144.12,144.06,144.11,417,2022-05-27 16:18:00
160,144.11,144.2,144.11,144.17,800,2022-05-27 16:19:00
161,144.165,144.165,144.14,144.155,300,2022-05-27 16:20:00
162,144.14,144.16,144.14,144.16,200,2022-05-27 16:21:00
163,144.18,144.2,144.14,144.14,902,2022-05-27 16:22:00
164,144.155,144.155,144.13,144.13,406,2022-05-27 16:23:00
165,144.05,144.07,144.0,144.0,781,2022-05-27 16:24:00
166,143.95,143.975,143.92,143.92,500,2022-05-27 16:25:00
167,143.9,144.0,143.865,143.97,4145,2022-05-27 16:26:00
168,144.0,144.0,143.96,143.96,762,2022-05-27 16:27:00
169,143.91,143.91,143.91,143.91,234,2022-05-27 16:28:00
170,143.87,143.87,143.87,143.87,201,2022-05-27 16:29:00
171,143.92,143.92,143.915,143.915,215,2022-05-27 16:30:00
172,143.88,143.88,143.88,143.88,100,2022-05-27 16:31:00
173,143.85,143.85,143.85,143.85,300,2022-05-27 16:32:00
174,143.83,143.89,143.83,143.89,200,2022-05-27 16:34:00
175,143.83,143.83,143.82,143.82,936,2022-05-27 16:35:00
176,143.81,143.9,143.81,143.9,832,2022-05-27 16:36:00
177,143.88,143.91,143.88,143.91,446,2022-05-27 16:37:00
178,143.91,143.91,143.91,143.91,100,2022-05-27 16:39:00
179,143.92,143.92,143.92,143.92,203,2022-05-27 16:40:00
180,143.93,143.96,143.93,143.96,302,2022-05-27 16:41:00
181,143.98,144.105,143.98,144.105,6550,2022-05-27 16:43:00
182,144.15,144.15,144.15,144.15,200,2022-05-27 16:44:00
183,144.17,144.17,144.16,144.16,200,2022-05-27 16:45:00
184,144.2,144.33,144.2,144.33,3368,2022-05-27 16:46:00
185,144.32,144.38,144.31,144.38,1120,2022-05-27 16:48:00
186,144.445,144.445,144.445,144.445,100,2022-05-27 16:49:00
187,144.475,144.475,144.375,144.375,1700,2022-05-27 16:51:00
188,144.38,144.38,144.38,144.38,117,2022-05-27 16:52:00
189,144.37,144.39,144.37,144.39,526,2022-05-27 16:53:00
190,144.36,144.36,144.33,144.33,610,2022-05-27 16:54:00
191,144.37,144.39,144.37,144.39,593,2022-05-27 16:55:00
192,144.41,144.41,144.41,144.41,100,2022-05-27 16:56:00
193,144.45,144.45,144.45,144.45,505,2022-05-27 16:57:00
194,144.43,144.43,144.43,144.43,100,2022-05-27 16:58:00
195,144.48,144.48,144.48,144.48,278,2022-05-27 16:59:00
196,144.55,144.56,144.55,144.56,315,2022-05-27 17:00:00
197,144.54,144.54,144.54,144.54,100,2022-05-27 17:01:00
198,144.52,144.52,144.52,144.52,632,2022-05-27 17:02:00
199,144.57,144.62,144.57,144.61,815,2022-05-27 17:03:00
200,144.61,144.61,144.6,144.605,401,2022-05-27 17:04:00
201,144.62,144.62,144.58,144.58,217,2022-05-27 17:05:00
202,144.57,144.59,144.57,144.59,568,2022-05-27 17:06:00
203,144.63,144.63,144.6,144.61,600,2022-05-27 17:07:00
204,144.61,144.7,144.61,144.66,606,2022-05-27 17:08:00
205,144.67,144.67,144.6368,144.66,412,2022-05-27 17:09:00
206,144.65,144.66,144.65,144.66,300,2022-05-27 17:10:00
207,144.65,144.65,144.595,144.595,1219,2022-05-27 17:11:00
208,144.57,144.57,144.57,144.57,564,2022-05-27 17:13:00
209,144.61,144.61,144.6,144.6,753,2022-05-27 17:14:00
210,144.58,144.58,144.51,144.51,300,2022-05-27 17:15:00
211,144.515,144.515,144.49,144.49,371,2022-05-27 17:16:00
212,144.47,144.47,144.45,144.45,200,2022-05-27 17:17:00
213,144.45,144.51,144.45,144.51,831,2022-05-27 17:18:00
214,144.59,144.64,144.59,144.62,513,2022-05-27 17:19:00
215,144.62,144.62,144.58,144.58,984,2022-05-27 17:21:00
216,144.56,144.56,144.53,144.53,1099,2022-05-27 17:22:00
217,144.515,144.515,144.505,144.51,501,2022-05-27 17:23:00
218,144.515,144.515,144.515,144.515,100,2022-05-27 17:24:00
219,144.52,144.56,144.51,144.56,760,2022-05-27 17:25:00
220,144.56,144.59,144.56,144.59,300,2022-05-27 17:26:00
221,144.62,144.69,144.62,144.69,1002,2022-05-27 17:27:00
222,144.66,144.66,144.52,144.52,1193,2022-05-27 17:28:00
223,144.59,144.59,144.59,144.59,200,2022-05-27 17:29:00
224,144.63,144.63,144.63,144.63,409,2022-05-27 17:30:00
225,144.65,144.65,144.65,144.65,100,2022-05-27 17:31:00
226,144.62,144.62,144.62,144.62,205,2022-05-27 17:32:00
227,144.61,144.65,144.61,144.65,1680,2022-05-27 17:33:00
228,144.665,144.665,144.665,144.665,100,2022-05-27 17:34:00
229,144.64,144.64,144.58,144.58,1471,2022-05-27 17:35:00
230,144.55,144.55,144.53,144.53,299,2022-05-27 17:36:00
231,144.57,144.57,144.55,144.55,494,2022-05-27 17:38:00
232,144.54,144.54,144.53,144.53,845,2022-05-27 17:39:00
233,144.5,144.5,144.49,144.49,400,2022-05-27 17:40:00
234,144.49,144.49,144.36,144.37,600,2022-05-27 17:41:00
235,144.39,144.39,144.39,144.39,347,2022-05-27 17:42:00
