,open,high,low,close,volume,datetime
0,14.51,14.51,14.51,14.51,1391,2022-05-27 13:30:00
1,14.45,14.45,14.15,14.15,200,2022-05-27 13:32:00
2,14.16,14.16,14.16,14.16,100,2022-05-27 13:37:00
3,14.39,14.46,14.26,14.26,700,2022-05-27 13:39:00
4,14.4,14.4,14.26,14.26,1083,2022-05-27 13:40:00
5,14.39,14.39,14.27,14.27,200,2022-05-27 13:41:00
6,14.27,14.29,14.225,14.24,2018,2022-05-27 13:42:00
7,14.15,14.26,14.15,14.15,531,2022-05-27 13:43:00
8,14.235,14.275,14.15,14.17,727,2022-05-27 13:44:00
9,14.17,14.17,14.1,14.1,670,2022-05-27 13:45:00
10,14.1,14.1,14.1,14.1,100,2022-05-27 13:46:00
11,14.085,14.18,14.04,14.04,53249,2022-05-27 13:47:00
12,14.155,14.155,14.155,14.155,100,2022-05-27 13:48:00
13,14.13,14.14,14.13,14.14,435,2022-05-27 13:51:00
14,14.14,14.14,14.14,14.14,880,2022-05-27 13:52:00
15,14.165,14.2,14.165,14.2,788,2022-05-27 13:53:00
16,14.205,14.23,14.08,14.1,5237,2022-05-27 13:54:00
17,14.13,14.13,14.13,14.13,200,2022-05-27 13:55:00
18,14.13,14.13,14.1,14.13,1700,2022-05-27 13:56:00
19,14.13,14.13,14.13,14.13,600,2022-05-27 13:57:00
20,14.14,14.14,14.07,14.12,3857,2022-05-27 13:58:00
21,14.105,14.105,14.02,14.03,6901,2022-05-27 13:59:00
22,13.98,14.03,13.98,14.03,40842,2022-05-27 14:00:00
23,14.065,14.38,14.065,14.38,8141,2022-05-27 14:01:00
24,14.475,14.475,14.37,14.41,4187,2022-05-27 14:02:00
25,14.47,14.54,14.47,14.54,914,2022-05-27 14:03:00
26,14.48,14.48,14.19,14.19,7831,2022-05-27 14:04:00
27,14.18,14.2,14.175,14.2,3548,2022-05-27 14:05:00
28,14.2,14.24,14.2,14.24,2223,2022-05-27 14:06:00
29,14.29,14.3,14.29,14.3,1412,2022-05-27 14:07:00
30,14.37,14.37,14.37,14.37,100,2022-05-27 14:08:00
31,14.33,14.33,14.33,14.33,100,2022-05-27 14:09:00
32,14.33,14.345,14.3,14.3,1400,2022-05-27 14:10:00
33,14.33,14.33,14.33,14.33,400,2022-05-27 14:11:00
34,14.35,14.57,14.331,14.51,9206,2022-05-27 14:12:00
35,14.5,14.525,14.48,14.48,700,2022-05-27 14:13:00
36,14.5,14.5,14.33,14.33,3481,2022-05-27 14:17:00
37,14.405,14.4125,14.285,14.36,14074,2022-05-27 14:20:00
