,open,high,low,close,volume,datetime
0,76.69,76.91,76.69,76.91,361,2022-05-27 13:31:00
1,76.88,76.88,76.88,76.88,100,2022-05-27 13:32:00
2,76.99,76.99,76.88,76.88,300,2022-05-27 13:33:00
3,76.915,77.09,76.88,76.93,1500,2022-05-27 13:34:00
4,76.82,76.82,76.81,76.81,400,2022-05-27 13:35:00
5,77.16,77.19,77.16,77.19,500,2022-05-27 13:36:00
6,77.26,77.26,77.16,77.16,200,2022-05-27 13:37:00
7,77.36,77.41,77.36,77.41,300,2022-05-27 13:38:00
8,77.64,77.65,77.64,77.65,200,2022-05-27 13:39:00
9,77.56,77.85,77.55,77.85,1270,2022-05-27 13:40:00
10,77.9,77.9,77.77,77.77,700,2022-05-27 13:41:00
11,77.65,77.84,77.61,77.84,400,2022-05-27 13:42:00
12,77.89,77.89,77.89,77.89,100,2022-05-27 13:43:00
13,77.64,77.64,77.505,77.505,200,2022-05-27 13:44:00
14,77.4,77.47,77.4,77.47,500,2022-05-27 13:45:00
15,77.71,77.7902,77.71,77.7902,200,2022-05-27 13:47:00
16,77.77,77.77,77.72,77.72,400,2022-05-27 13:49:00
17,77.57,77.59,77.57,77.59,300,2022-05-27 13:50:00
18,77.28,77.28,77.28,77.28,500,2022-05-27 13:53:00
19,77.43,77.43,77.34,77.34,200,2022-05-27 13:55:00
20,77.63,77.64,77.43,77.43,500,2022-05-27 13:57:00
21,77.38,77.38,77.36,77.36,300,2022-05-27 13:58:00
22,77.46,77.47,77.46,77.47,300,2022-05-27 13:59:00
23,77.42,77.42,77.42,77.42,100,2022-05-27 14:01:00
24,77.44,77.45,77.4,77.4,500,2022-05-27 14:02:00
25,77.86,77.97,77.83,77.97,500,2022-05-27 14:07:00
26,78.09,78.09,78.07,78.07,200,2022-05-27 14:09:00
27,78.14,78.14,78.14,78.14,100,2022-05-27 14:13:00
28,78.17,78.17,78.17,78.17,200,2022-05-27 14:14:00
29,78.02,78.02,77.94,77.94,400,2022-05-27 14:15:00
30,77.99,78.05,77.99,78.05,200,2022-05-27 14:16:00
31,78.13,78.13,78.13,78.13,200,2022-05-27 14:17:00
32,78.28,78.28,78.23,78.23,200,2022-05-27 14:18:00
33,78.29,78.29,78.29,78.29,100,2022-05-27 14:19:00
34,78.38,78.38,78.38,78.38,100,2022-05-27 14:24:00
35,78.27,78.27,78.27,78.27,100,2022-05-27 14:28:00
36,78.38,78.38,78.38,78.38,100,2022-05-27 14:30:00
37,78.52,78.56,78.52,78.56,200,2022-05-27 14:31:00
38,78.46,78.46,78.46,78.46,200,2022-05-27 14:32:00
39,78.6,78.66,78.6,78.66,300,2022-05-27 14:34:00
40,78.73,78.73,78.73,78.73,300,2022-05-27 14:36:00
41,78.79,78.89,78.79,78.89,697,2022-05-27 14:37:00
42,78.8,78.8,78.59,78.59,1271,2022-05-27 14:39:00
43,78.91,78.91,78.9,78.9,400,2022-05-27 14:42:00
44,78.91,78.91,78.91,78.91,100,2022-05-27 14:45:00
45,78.76,78.76,78.76,78.76,200,2022-05-27 14:47:00
46,78.97,78.98,78.97,78.98,1000,2022-05-27 14:48:00
47,79.1,79.11,79.07,79.11,600,2022-05-27 14:49:00
48,79.08,79.08,78.97,78.98,300,2022-05-27 14:50:00
49,78.88,78.88,78.87,78.87,205,2022-05-27 14:51:00
50,78.91,78.91,78.91,78.91,100,2022-05-27 14:57:00
51,78.83,78.83,78.71,78.71,200,2022-05-27 14:58:00
52,78.97,78.97,78.97,78.97,300,2022-05-27 15:00:00
53,78.91,78.91,78.91,78.91,100,2022-05-27 15:01:00
54,78.8,78.81,78.8,78.81,200,2022-05-27 15:04:00
55,78.85,78.85,78.76,78.76,200,2022-05-27 15:10:00
56,78.66,78.67,78.65,78.65,400,2022-05-27 15:11:00
57,78.6,78.6,78.6,78.6,100,2022-05-27 15:12:00
58,78.7,78.77,78.7,78.77,200,2022-05-27 15:13:00
59,78.78,78.78,78.78,78.78,100,2022-05-27 15:14:00
60,79.035,79.035,79.035,79.035,100,2022-05-27 15:17:00
61,79.05,79.05,79.05,79.05,500,2022-05-27 15:18:00
62,78.995,78.995,78.995,78.995,100,2022-05-27 15:19:00
63,79.08,79.1,79.08,79.1,200,2022-05-27 15:20:00
64,79.2,79.2,79.2,79.2,100,2022-05-27 15:21:00
65,79.12,79.12,79.12,79.12,100,2022-05-27 15:22:00
66,79.07,79.07,79.07,79.07,100,2022-05-27 15:24:00
67,78.89,78.9,78.89,78.9,200,2022-05-27 15:28:00
68,79.05,79.05,79.05,79.05,100,2022-05-27 15:31:00
69,79.11,79.12,79.11,79.11,600,2022-05-27 15:33:00
70,79.12,79.12,79.12,79.12,200,2022-05-27 15:34:00
71,79.1,79.1,79.1,79.1,100,2022-05-27 15:36:00
72,79.0,79.0,79.0,79.0,100,2022-05-27 15:37:00
73,79.17,79.17,79.17,79.17,300,2022-05-27 15:38:00
74,79.07,79.07,79.07,79.07,100,2022-05-27 15:40:00
