,open,high,low,close,volume,datetime
0,1.04,1.05,1.04,1.05,315,2022-05-27 11:06:00
1,1.1199,1.1199,1.1199,1.1199,1000,2022-05-27 12:06:00
2,1.12,1.12,1.12,1.12,140,2022-05-27 12:32:00
3,1.14,1.14,1.14,1.14,100,2022-05-27 12:55:00
4,1.15,1.15,1.15,1.15,100,2022-05-27 13:24:00
5,1.1,1.1,1.06,1.06,1960,2022-05-27 13:30:00
6,1.06,1.06,1.06,1.06,800,2022-05-27 13:31:00
7,1.085,1.12,1.085,1.12,796,2022-05-27 13:32:00
8,1.1,1.1,1.1,1.1,900,2022-05-27 13:40:00
9,1.08,1.08,1.04,1.04,22804,2022-05-27 13:44:00
10,1.09,1.09,1.09,1.09,9000,2022-05-27 13:45:00
11,1.07,1.07,1.07,1.07,110,2022-05-27 13:46:00
12,1.07,1.07,1.07,1.07,100,2022-05-27 13:52:00
13,1.098,1.098,1.088,1.088,300,2022-05-27 13:54:00
14,1.0874,1.0874,1.05,1.05,5750,2022-05-27 14:01:00
15,1.09,1.09,1.09,1.09,280,2022-05-27 14:02:00
16,1.07,1.07,1.07,1.07,100,2022-05-27 14:08:00
17,1.05,1.06,1.05,1.06,8468,2022-05-27 14:14:00
18,1.08,1.08,1.08,1.08,200,2022-05-27 14:21:00
19,1.0796,1.0796,1.0796,1.0796,208,2022-05-27 14:23:00
20,1.0607,1.0607,1.0607,1.0607,299,2022-05-27 14:30:00
21,1.05,1.05,1.05,1.05,390,2022-05-27 14:31:00
22,1.065,1.065,1.065,1.065,500,2022-05-27 14:32:00
23,1.0681,1.0681,1.0632,1.0632,1200,2022-05-27 14:53:00
24,1.07,1.07,1.07,1.07,3000,2022-05-27 14:55:00
25,1.065,1.07,1.065,1.07,15505,2022-05-27 14:56:00
26,1.07,1.07,1.07,1.07,600,2022-05-27 14:57:00
27,1.09,1.09,1.0707,1.0707,5000,2022-05-27 15:08:00
28,1.07,1.07,1.07,1.07,200,2022-05-27 15:12:00
29,1.068,1.08,1.068,1.08,1100,2022-05-27 15:15:00
30,1.0675,1.0675,1.0675,1.0675,100,2022-05-27 15:27:00
31,1.0664,1.0664,1.065,1.065,300,2022-05-27 15:34:00
32,1.0696,1.0696,1.0696,1.0696,1000,2022-05-27 15:36:00
33,1.06,1.06,1.05,1.05,2411,2022-05-27 15:52:00
34,1.05,1.05,1.05,1.05,300,2022-05-27 15:55:00
35,1.0418,1.0418,1.04,1.04,6700,2022-05-27 16:03:00
36,1.05,1.05,1.05,1.05,100,2022-05-27 16:17:00
37,1.0423,1.0423,1.0423,1.0423,100,2022-05-27 16:19:00
38,1.059,1.059,1.059,1.059,2000,2022-05-27 16:20:00
39,1.06,1.06,1.06,1.06,500,2022-05-27 16:27:00
40,1.0401,1.0401,1.0401,1.0401,300,2022-05-27 16:28:00
41,1.05,1.05,1.05,1.05,100,2022-05-27 16:30:00
42,1.051,1.051,1.051,1.051,300,2022-05-27 16:33:00
43,1.06,1.06,1.0535,1.0535,1085,2022-05-27 16:34:00
44,1.0555,1.0555,1.0555,1.0555,2000,2022-05-27 16:36:00
45,1.0589,1.0589,1.0589,1.0589,200,2022-05-27 16:46:00
46,1.06,1.06,1.06,1.06,400,2022-05-27 16:53:00
47,1.0501,1.0501,1.0501,1.0501,100,2022-05-27 17:02:00
48,1.0508,1.0508,1.0508,1.0508,800,2022-05-27 17:10:00
49,1.055,1.06,1.055,1.06,1000,2022-05-27 17:11:00
50,1.0515,1.0515,1.0515,1.0515,219,2022-05-27 17:19:00
51,1.06,1.06,1.04,1.04,3000,2022-05-27 17:20:00
52,1.05,1.05,1.05,1.05,100,2022-05-27 17:24:00
53,1.0599,1.0599,1.0599,1.0599,5000,2022-05-27 17:27:00
54,1.06,1.06,1.04,1.04,5700,2022-05-27 17:28:00
55,1.0599,1.0599,1.0599,1.0599,3000,2022-05-27 17:30:00
56,1.05,1.05,1.05,1.05,185,2022-05-27 17:31:00
57,1.05,1.05,1.05,1.05,500,2022-05-27 17:33:00
58,1.0599,1.0599,1.0599,1.0599,200,2022-05-27 17:34:00
59,1.055,1.06,1.05,1.05,4900,2022-05-27 17:38:00
60,1.055,1.055,1.055,1.055,150,2022-05-27 17:40:00
61,1.0557,1.06,1.05,1.05,4700,2022-05-27 17:41:00
62,1.0599,1.06,1.0597,1.06,18700,2022-05-27 17:48:00
63,1.06,1.06,1.04,1.05,6500,2022-05-27 17:50:00
64,1.05,1.05,1.05,1.05,100,2022-05-27 17:51:00
65,1.0699,1.0699,1.0699,1.0699,315,2022-05-27 18:03:00
66,1.07,1.08,1.07,1.08,2020,2022-05-27 18:04:00
67,1.0798,1.08,1.0798,1.08,400,2022-05-27 18:06:00
68,1.0701,1.08,1.06,1.08,3780,2022-05-27 18:21:00
69,1.08,1.09,1.08,1.09,2900,2022-05-27 18:22:00
70,1.0885,1.09,1.0885,1.09,700,2022-05-27 18:36:00
71,1.09,1.1,1.09,1.1,600,2022-05-27 18:37:00
72,1.1,1.1,1.1,1.1,200,2022-05-27 18:42:00
73,1.095,1.1,1.0936,1.1,450,2022-05-27 18:44:00
74,1.1,1.1,1.1,1.1,800,2022-05-27 18:47:00
75,1.1,1.1,1.1,1.1,1000,2022-05-27 18:57:00
76,1.1,1.1,1.1,1.1,1503,2022-05-27 18:58:00
77,1.11,1.11,1.11,1.11,480,2022-05-27 19:00:00
78,1.11,1.12,1.1004,1.12,2100,2022-05-27 19:01:00
79,1.12,1.12,1.1181,1.12,1400,2022-05-27 19:05:00
80,1.12,1.13,1.12,1.125,1200,2022-05-27 19:06:00
81,1.12,1.125,1.12,1.125,400,2022-05-27 19:08:00
82,1.14,1.14,1.14,1.14,100,2022-05-27 19:10:00
83,1.14,1.14,1.1357,1.14,3300,2022-05-27 19:11:00
84,1.14,1.14,1.14,1.14,300,2022-05-27 19:12:00
85,1.14,1.14,1.14,1.14,300,2022-05-27 19:13:00
86,1.14,1.14,1.14,1.14,1200,2022-05-27 19:14:00
87,1.135,1.135,1.13,1.135,600,2022-05-27 19:15:00
88,1.14,1.14,1.14,1.14,200,2022-05-27 19:17:00
89,1.14,1.14,1.135,1.14,1300,2022-05-27 19:18:00
90,1.14,1.1447,1.14,1.1447,1800,2022-05-27 19:19:00
91,1.15,1.15,1.13,1.135,3320,2022-05-27 19:21:00
92,1.1324,1.1324,1.1324,1.1324,100,2022-05-27 19:22:00
93,1.14,1.14,1.14,1.14,449,2022-05-27 19:23:00
94,1.1448,1.1448,1.12,1.13,9079,2022-05-27 19:26:00
95,1.1293,1.1293,1.1293,1.1293,100,2022-05-27 19:28:00
96,1.12,1.1288,1.12,1.1288,200,2022-05-27 19:29:00
97,1.14,1.14,1.12,1.13,1218,2022-05-27 19:33:00
98,1.14,1.14,1.13,1.14,1000,2022-05-27 19:35:00
99,1.14,1.15,1.13,1.13,5093,2022-05-27 19:36:00
100,1.1326,1.1326,1.1326,1.1326,200,2022-05-27 19:37:00
101,1.1283,1.14,1.1283,1.14,200,2022-05-27 19:41:00
102,1.14,1.14,1.14,1.14,400,2022-05-27 19:42:00
103,1.14,1.14,1.13,1.14,400,2022-05-27 19:43:00
104,1.14,1.14,1.13,1.135,2500,2022-05-27 19:44:00
105,1.15,1.15,1.13,1.15,2430,2022-05-27 19:45:00
106,1.15,1.15,1.15,1.15,600,2022-05-27 19:46:00
107,1.15,1.15,1.12,1.13,5100,2022-05-27 19:47:00
108,1.1394,1.14,1.13,1.14,1700,2022-05-27 19:50:00
109,1.14,1.15,1.12,1.15,1200,2022-05-27 19:51:00
110,1.15,1.15,1.15,1.15,1100,2022-05-27 19:52:00
111,1.14,1.15,1.13,1.14,1300,2022-05-27 19:53:00
112,1.15,1.15,1.13,1.15,1900,2022-05-27 19:54:00
113,1.14,1.14,1.14,1.14,200,2022-05-27 19:58:00
114,1.14,1.14,1.13,1.14,1646,2022-05-27 19:59:00
115,1.14,1.14,1.14,1.14,841,2022-05-27 20:00:00
116,1.14,1.14,1.14,1.14,176,2022-05-27 20:39:00
117,1.12,1.12,1.12,1.12,183,2022-05-31 12:35:00
118,1.12,1.12,1.12,1.12,200,2022-05-31 13:03:00
119,1.12,1.12,1.12,1.12,290,2022-05-31 13:09:00
120,1.1,1.1,1.1,1.1,6418,2022-05-31 13:30:00
121,1.12,1.13,1.11,1.11,1065,2022-05-31 13:34:00
122,1.11,1.11,1.11,1.11,200,2022-05-31 13:36:00
123,1.14,1.14,1.11,1.14,10775,2022-05-31 13:38:00
124,1.1101,1.1101,1.1101,1.1101,5000,2022-05-31 13:39:00
125,1.12,1.12,1.1,1.1,6300,2022-05-31 13:40:00
126,1.1,1.1,1.09,1.09,11397,2022-05-31 13:41:00
127,1.11,1.11,1.07,1.07,200,2022-05-31 13:42:00
128,1.0701,1.11,1.0701,1.11,1000,2022-05-31 13:45:00
129,1.1071,1.1071,1.1071,1.1071,500,2022-05-31 13:46:00
130,1.11,1.11,1.11,1.11,240,2022-05-31 13:48:00
131,1.1045,1.1045,1.1045,1.1045,100,2022-05-31 13:51:00
132,1.095,1.095,1.095,1.095,300,2022-05-31 13:54:00
133,1.1097,1.1097,1.095,1.095,2500,2022-05-31 14:05:00
134,1.08,1.08,1.07,1.08,2237,2022-05-31 14:07:00
135,1.08,1.08,1.08,1.08,5000,2022-05-31 14:09:00
136,1.08,1.08,1.0799,1.0799,400,2022-05-31 14:13:00
137,1.1,1.11,1.1,1.11,800,2022-05-31 14:19:00
138,1.09,1.09,1.09,1.09,100,2022-05-31 14:35:00
139,1.0887,1.0887,1.0887,1.0887,300,2022-05-31 14:37:00
140,1.095,1.095,1.095,1.095,1000,2022-05-31 14:38:00
141,1.095,1.095,1.095,1.095,100,2022-05-31 14:43:00
142,1.0901,1.1,1.0901,1.1,2018,2022-05-31 14:45:00
143,1.09,1.1,1.09,1.1,1800,2022-05-31 14:49:00
144,1.1,1.11,1.1,1.11,325,2022-05-31 14:51:00
145,1.1001,1.1001,1.1,1.1,10000,2022-05-31 14:55:00
146,1.11,1.11,1.1,1.1,5500,2022-05-31 15:01:00
147,1.1001,1.11,1.1001,1.11,1400,2022-05-31 15:03:00
148,1.1,1.1,1.1,1.1,5000,2022-05-31 15:04:00
149,1.1001,1.1001,1.1,1.1,5400,2022-05-31 15:09:00
150,1.115,1.115,1.115,1.115,100,2022-05-31 15:13:00
151,1.1001,1.1001,1.1001,1.1001,5000,2022-05-31 15:16:00
152,1.1287,1.13,1.1287,1.13,20110,2022-05-31 15:18:00
153,1.11,1.11,1.1,1.1,600,2022-05-31 15:19:00
154,1.13,1.13,1.12,1.13,12300,2022-05-31 15:25:00
155,1.14,1.14,1.14,1.14,200,2022-05-31 15:26:00
156,1.1305,1.1305,1.13,1.13,2300,2022-05-31 15:30:00
157,1.1304,1.1304,1.1304,1.1304,5000,2022-05-31 15:31:00
158,1.1306,1.1306,1.1306,1.1306,1700,2022-05-31 15:33:00
159,1.1302,1.1302,1.11,1.11,13085,2022-05-31 15:34:00
160,1.12,1.12,1.12,1.12,100,2022-05-31 15:35:00
161,1.1001,1.1001,1.1001,1.1001,5000,2022-05-31 15:38:00
162,1.13,1.13,1.13,1.13,500,2022-05-31 15:52:00
163,1.1,1.1239,1.1,1.11,1100,2022-05-31 15:53:00
164,1.115,1.115,1.115,1.115,600,2022-05-31 15:54:00
