,open,high,low,close,volume,datetime
0,11.97,11.97,11.73,11.73,478,2022-05-27 13:30:00
1,11.88,11.92,11.87,11.92,450,2022-05-27 13:35:00
2,11.98,11.995,11.97,11.97,300,2022-05-27 13:36:00
3,11.68,11.68,11.68,11.68,200,2022-05-27 13:40:00
4,11.81,11.81,11.81,11.81,100,2022-05-27 13:41:00
5,12.19,12.19,11.9,11.9,315,2022-05-27 13:43:00
6,12.11,12.11,12.11,12.11,100,2022-05-27 13:53:00
7,12.08,12.09,11.985,11.985,1100,2022-05-27 13:55:00
8,11.975,12.11,11.975,12.11,200,2022-05-27 14:03:00
9,12.09,12.17,12.09,12.17,400,2022-05-27 14:10:00
10,12.2,12.2,12.2,12.2,100,2022-05-27 14:21:00
11,12.29,12.29,12.29,12.29,100,2022-05-27 14:25:00
12,12.205,12.205,12.205,12.205,100,2022-05-27 14:26:00
13,12.37,12.37,12.35,12.35,300,2022-05-27 14:37:00
14,12.36,12.36,12.36,12.36,200,2022-05-27 14:38:00
15,12.3,12.31,12.3,12.31,800,2022-05-27 14:39:00
16,12.28,12.28,12.28,12.28,435,2022-05-27 14:41:00
17,12.24,12.24,12.24,12.24,100,2022-05-27 14:42:00
18,12.18,12.18,12.18,12.18,100,2022-05-27 14:50:00
19,12.13,12.13,12.13,12.13,100,2022-05-27 14:53:00
20,12.21,12.23,12.175,12.175,1601,2022-05-27 14:59:00
21,12.18,12.18,12.18,12.18,100,2022-05-27 15:00:00
22,12.11,12.11,12.11,12.11,500,2022-05-27 15:04:00
23,12.16,12.16,12.145,12.145,200,2022-05-27 15:05:00
24,12.11,12.11,12.11,12.11,100,2022-05-27 15:06:00
25,12.11,12.11,12.05,12.105,751,2022-05-27 15:12:00
26,12.13,12.13,12.1,12.1,300,2022-05-27 15:13:00
27,12.14,12.14,12.14,12.14,100,2022-05-27 15:14:00
28,12.195,12.195,12.195,12.195,100,2022-05-27 15:24:00
29,12.2,12.2,12.2,12.2,100,2022-05-27 15:30:00
30,12.195,12.195,12.195,12.195,100,2022-05-27 15:31:00
31,12.195,12.195,12.195,12.195,100,2022-05-27 15:32:00
32,12.27,12.33,12.27,12.33,200,2022-05-27 15:33:00
33,12.24,12.24,12.23,12.23,300,2022-05-27 15:37:00
34,12.255,12.255,12.255,12.255,300,2022-05-27 15:40:00
35,12.22,12.22,12.2101,12.2101,400,2022-05-27 15:41:00
36,12.22,12.22,12.22,12.22,100,2022-05-27 15:43:00
37,12.3,12.3,12.3,12.3,200,2022-05-27 15:44:00
38,12.255,12.255,12.2475,12.2475,200,2022-05-27 15:47:00
39,12.22,12.22,12.2,12.2,900,2022-05-27 15:51:00
40,12.16,12.2,12.15,12.16,2172,2022-05-27 15:52:00
41,12.18,12.2,12.18,12.2,800,2022-05-27 15:53:00
42,12.2,12.2,12.2,12.2,100,2022-05-27 15:59:00
43,12.29,12.29,12.29,12.29,100,2022-05-27 16:03:00
44,12.31,12.31,12.31,12.31,200,2022-05-27 16:12:00
45,12.25,12.25,12.25,12.25,100,2022-05-27 16:16:00
46,12.21,12.24,12.2,12.2,500,2022-05-27 16:17:00
47,12.18,12.18,12.18,12.18,200,2022-05-27 16:18:00
48,12.18,12.18,12.18,12.18,100,2022-05-27 16:19:00
49,12.17,12.17,12.13,12.13,409,2022-05-27 16:30:00
50,12.1,12.1,12.1,12.1,100,2022-05-27 16:33:00
51,12.13,12.14,12.13,12.14,200,2022-05-27 16:35:00
52,12.19,12.2,12.19,12.2,200,2022-05-27 16:36:00
53,12.3,12.3,12.25,12.26,500,2022-05-27 16:42:00
54,12.27,12.27,12.27,12.27,834,2022-05-27 16:50:00
55,12.35,12.35,12.35,12.35,200,2022-05-27 16:57:00
56,12.35,12.35,12.35,12.35,100,2022-05-27 16:58:00
57,12.28,12.28,12.28,12.28,100,2022-05-27 17:00:00
58,12.41,12.53,12.41,12.53,805,2022-05-27 17:10:00
59,12.59,12.595,12.56,12.595,300,2022-05-27 17:12:00
60,12.595,12.64,12.595,12.64,300,2022-05-27 17:13:00
61,12.62,12.62,12.62,12.62,100,2022-05-27 17:14:00
62,12.5514,12.62,12.55,12.62,1681,2022-05-27 17:15:00
63,12.61,12.61,12.61,12.61,100,2022-05-27 17:17:00
