,open,high,low,close,volume,datetime
0,37.58,37.58,37.58,37.58,980,2022-05-27 14:22:00
1,37.55,37.55,37.55,37.55,100,2022-05-27 15:01:00
2,37.6,37.6,37.6,37.6,800,2022-05-27 15:51:00
3,37.68,37.68,37.68,37.68,300,2022-05-27 19:28:00
4,38.77,38.77,38.77,38.77,100,2022-05-31 13:30:00
5,38.57,38.57,38.57,38.57,100,2022-05-31 13:38:00
6,38.67,38.67,38.67,38.67,2700,2022-05-31 16:56:00
7,38.65,38.65,38.65,38.65,400,2022-05-31 16:57:00
8,38.6,38.6,38.6,38.6,36773,2022-05-31 16:58:00
9,38.66,38.66,38.66,38.66,4700,2022-05-31 17:00:00
10,38.64,38.69,38.64,38.66,500,2022-05-31 17:01:00
11,38.17,38.18,38.17,38.17,2100,2022-06-01 14:34:00
12,38.04,38.04,38.04,38.04,265,2022-06-01 15:30:00
13,37.89,37.89,37.89,37.89,400,2022-06-01 16:29:00
14,37.87,37.88,37.87,37.88,1180,2022-06-01 16:48:00
15,37.875,37.88,37.875,37.88,500,2022-06-01 16:49:00
16,37.875,37.88,37.875,37.88,500,2022-06-01 16:50:00
17,37.9999,37.9999,37.9999,37.9999,1001,2022-06-01 17:23:00
18,37.98,37.98,37.98,37.98,100,2022-06-01 17:31:00
19,38.025,38.025,38.025,38.025,132,2022-06-01 18:05:00
20,38.18,38.18,38.18,38.18,355,2022-06-01 18:48:00
21,38.14,38.14,38.14,38.14,160,2022-06-01 18:57:00
22,38.13,38.13,38.13,38.13,375,2022-06-01 19:18:00
23,38.13,38.13,38.13,38.13,164,2022-06-02 13:59:00
24,38.19,38.2,38.18,38.19,5120,2022-06-02 14:47:00
25,38.4,38.4,38.4,38.4,200,2022-06-02 15:31:00
26,38.48,38.4801,38.48,38.4801,532,2022-06-02 15:46:00
27,38.5101,38.5101,38.5101,38.5101,268,2022-06-02 15:50:00
28,38.45,38.45,38.45,38.45,100,2022-06-02 15:56:00
29,38.6299,38.6299,38.6299,38.6299,782,2022-06-02 16:00:00
30,38.595,38.595,38.595,38.595,130,2022-06-02 17:27:00
31,38.645,38.645,38.645,38.645,445,2022-06-02 18:28:00
32,38.6,38.6,38.6,38.6,518,2022-06-02 19:05:00
33,38.32,38.32,38.31,38.31,500,2022-06-03 13:30:00
34,38.205,38.205,38.205,38.205,100,2022-06-03 13:36:00
35,38.08,38.08,38.08,38.08,400,2022-06-03 13:45:00
36,38.59,38.59,38.59,38.59,292,2022-06-06 13:30:00
37,38.46,38.46,38.46,38.46,200,2022-06-06 15:50:00
38,38.29,38.29,38.29,38.29,200,2022-06-06 17:12:00
39,38.295,38.295,38.295,38.295,100,2022-06-06 18:50:00
40,38.36,38.36,38.36,38.36,100,2022-06-06 18:57:00
41,38.36,38.36,38.36,38.36,176,2022-06-06 19:00:00
42,38.24,38.28,38.24,38.28,595,2022-06-06 19:25:00
43,38.065,38.065,38.065,38.065,400,2022-06-07 14:18:00
44,38.19,38.19,38.19,38.19,400,2022-06-07 16:40:00
45,38.19,38.19,38.19,38.19,400,2022-06-07 16:48:00
46,38.21,38.21,38.21,38.21,400,2022-06-07 17:04:00
47,38.22,38.22,38.22,38.22,400,2022-06-07 17:08:00
48,38.235,38.235,38.235,38.235,123,2022-06-07 17:51:00
49,38.275,38.2981,38.275,38.2981,1000,2022-06-07 18:17:00
50,38.59,38.59,38.59,38.59,101,2022-06-08 13:30:00
51,38.55,38.58,38.55,38.58,1100,2022-06-08 14:31:00
52,38.61,38.61,38.61,38.61,100,2022-06-08 15:06:00
53,38.735,38.769,38.735,38.76,2162,2022-06-08 15:24:00
54,38.76,38.76,38.76,38.76,300,2022-06-08 15:37:00
55,38.78,38.78,38.78,38.78,400,2022-06-08 15:50:00
56,38.78,38.78,38.78,38.78,300,2022-06-08 15:51:00
57,38.79,38.79,38.79,38.79,200,2022-06-08 15:52:00
58,38.79,38.79,38.79,38.79,450,2022-06-08 15:56:00
59,38.8,38.8,38.8,38.8,100,2022-06-08 16:02:00
60,38.81,38.81,38.81,38.81,600,2022-06-08 16:03:00
61,38.5501,38.5635,38.5501,38.5635,2163,2022-06-08 17:52:00
62,38.66,38.66,38.66,38.66,400,2022-06-08 18:30:00
63,38.67,38.67,38.67,38.67,1500,2022-06-08 18:31:00
64,38.72,38.73,38.72,38.73,2000,2022-06-08 19:22:00
65,38.74,38.74,38.74,38.74,500,2022-06-08 19:29:00
66,38.03,38.03,38.03,38.03,403,2022-06-09 13:30:00
67,37.92,37.92,37.92,37.92,1000,2022-06-09 13:42:00
68,37.92,37.92,37.92,37.92,600,2022-06-09 13:44:00
69,37.96,37.96,37.96,37.96,1000,2022-06-09 14:40:00
