,open,high,low,close,volume,datetime
0,91.9,92.17,91.8,92.17,16261,2022-05-27 13:30:00
1,91.87,91.87,91.435,91.64,3812,2022-05-27 13:31:00
2,91.66,91.78,91.53,91.76,2046,2022-05-27 13:32:00
3,91.57,91.8,91.57,91.8,700,2022-05-27 13:33:00
4,91.92,92.09,91.92,92.01,1308,2022-05-27 13:34:00
5,92.115,92.16,91.98,92.09,6497,2022-05-27 13:35:00
6,92.08,92.08,91.92,92.0,3189,2022-05-27 13:36:00
7,92.05,92.06,91.93,92.06,1997,2022-05-27 13:37:00
8,92.01,92.13,91.985,92.13,2872,2022-05-27 13:38:00
9,92.16,92.2,92.07,92.2,2100,2022-05-27 13:39:00
10,92.17,92.17,91.93,92.0,1400,2022-05-27 13:40:00
11,92.09,92.2,92.0,92.2,1100,2022-05-27 13:41:00
12,92.07,92.195,92.07,92.17,1400,2022-05-27 13:42:00
13,92.185,92.28,92.185,92.27,1546,2022-05-27 13:43:00
14,92.27,92.33,92.22,92.26,1922,2022-05-27 13:44:00
15,92.38,92.38,92.2429,92.31,851,2022-05-27 13:45:00
16,92.305,92.305,92.21,92.21,800,2022-05-27 13:46:00
17,92.17,92.225,92.14,92.225,1855,2022-05-27 13:47:00
18,92.32,92.37,92.32,92.37,602,2022-05-27 13:48:00
19,92.4,92.47,92.4,92.47,300,2022-05-27 13:49:00
20,92.4,92.4,92.33,92.33,484,2022-05-27 13:50:00
21,92.29,92.46,92.28,92.46,914,2022-05-27 13:51:00
22,92.6,92.6,92.57,92.58,400,2022-05-27 13:52:00
23,92.58,92.62,92.56,92.62,652,2022-05-27 13:53:00
24,92.51,92.61,92.49,92.6,900,2022-05-27 13:54:00
25,92.58,92.62,92.58,92.62,735,2022-05-27 13:55:00
26,92.7,92.7,92.65,92.65,335,2022-05-27 13:56:00
27,92.57,92.61,92.54,92.59,727,2022-05-27 13:57:00
28,92.58,92.65,92.52,92.65,1098,2022-05-27 13:58:00
29,92.66,92.66,92.615,92.615,200,2022-05-27 13:59:00
30,92.685,92.685,92.67,92.67,300,2022-05-27 14:00:00
31,92.68,92.77,92.68,92.735,1303,2022-05-27 14:01:00
32,92.71,92.78,92.65,92.65,1625,2022-05-27 14:02:00
33,92.7,92.71,92.685,92.71,700,2022-05-27 14:03:00
34,92.72,92.74,92.7,92.73,600,2022-05-27 14:04:00
35,92.72,92.73,92.64,92.66,3256,2022-05-27 14:05:00
36,92.64,92.7,92.57,92.61,6275,2022-05-27 14:06:00
37,92.65,92.72,92.65,92.72,800,2022-05-27 14:07:00
38,92.715,92.73,92.687,92.69,1825,2022-05-27 14:08:00
39,92.7,92.7,92.7,92.7,100,2022-05-27 14:09:00
40,92.72,92.72,92.57,92.57,2875,2022-05-27 14:10:00
41,92.54,92.61,92.51,92.61,2299,2022-05-27 14:11:00
42,92.578,92.62,92.56,92.62,300,2022-05-27 14:12:00
43,92.66,92.69,92.64,92.672,1083,2022-05-27 14:13:00
44,92.655,92.68,92.655,92.68,601,2022-05-27 14:14:00
45,92.72,92.75,92.72,92.73,530,2022-05-27 14:15:00
46,92.74,92.77,92.71,92.71,1704,2022-05-27 14:16:00
47,92.76,92.77,92.69,92.69,1901,2022-05-27 14:17:00
48,92.66,92.74,92.66,92.74,800,2022-05-27 14:18:00
