,open,high,low,close,volume,datetime
0,34.57,34.58,34.57,34.57,1167,2022-05-27 13:33:00
1,34.5699,34.5699,34.5699,34.5699,121,2022-05-27 13:35:00
2,34.515,34.515,34.515,34.515,1197,2022-05-27 13:46:00
3,34.58,34.58,34.58,34.58,1513,2022-05-27 13:48:00
4,34.525,34.525,34.525,34.525,1959,2022-05-27 13:49:00
5,34.57,34.57,34.57,34.57,188,2022-05-27 13:56:00
6,34.525,34.525,34.525,34.525,103,2022-05-27 14:04:00
7,34.525,34.525,34.525,34.525,266,2022-05-27 14:06:00
8,34.57,34.57,34.57,34.57,100,2022-05-27 14:09:00
9,34.5279,34.5279,34.5279,34.5279,166,2022-05-27 14:11:00
10,34.49,34.49,34.49,34.49,188,2022-05-27 14:14:00
11,34.545,34.545,34.545,34.545,400,2022-05-27 14:16:00
12,34.54,34.54,34.54,34.54,105,2022-05-27 14:33:00
13,34.59,34.59,34.59,34.59,567,2022-05-27 14:43:00
14,34.5246,34.5246,34.5246,34.5246,120,2022-05-27 14:46:00
15,34.59,34.6,34.59,34.59,1684,2022-05-27 14:53:00
16,34.6,34.6,34.5985,34.5985,332,2022-05-27 14:55:00
17,34.6,34.6,34.6,34.6,272,2022-05-27 14:57:00
18,34.599,34.599,34.599,34.599,254,2022-05-27 15:05:00
19,34.6,34.6,34.5656,34.5656,965,2022-05-27 15:13:00
20,34.6,34.6,34.6,34.6,1528,2022-05-27 15:17:00
21,34.6,34.6,34.5986,34.5986,1600,2022-05-27 15:19:00
22,34.56,34.56,34.56,34.56,228,2022-05-27 15:23:00
23,34.6,34.62,34.6,34.62,200,2022-05-27 15:27:00
24,34.64,34.64,34.6385,34.6385,272,2022-05-27 15:33:00
25,34.63,34.63,34.63,34.63,144,2022-05-27 15:35:00
26,34.65,34.65,34.65,34.65,173,2022-05-27 15:37:00
27,34.63,34.63,34.63,34.63,137,2022-05-27 15:38:00
28,34.61,34.61,34.6089,34.6089,453,2022-05-27 15:41:00
29,34.619,34.62,34.619,34.62,901,2022-05-27 16:00:00
30,34.62,34.62,34.62,34.62,107,2022-05-27 16:12:00
31,34.63,34.6925,34.63,34.6925,200,2022-05-27 16:16:00
32,34.62,34.62,34.62,34.62,283,2022-05-27 16:24:00
33,34.63,34.63,34.63,34.63,125,2022-05-27 16:34:00
34,34.65,34.65,34.65,34.65,171,2022-05-27 16:42:00
35,34.65,34.65,34.65,34.65,149,2022-05-27 16:45:00
36,34.62,34.62,34.62,34.62,111,2022-05-27 16:46:00
37,34.62,34.62,34.62,34.62,400,2022-05-27 16:51:00
38,34.63,34.63,34.6286,34.6286,470,2022-05-27 17:03:00
39,34.62,34.62,34.62,34.62,144,2022-05-27 17:06:00
40,34.62,34.62,34.5868,34.5868,1196,2022-05-27 17:23:00
41,34.61,34.62,34.58,34.58,4900,2022-05-27 17:29:00
42,34.5559,34.59,34.5559,34.56,756,2022-05-27 17:44:00
43,34.56,34.56,34.56,34.56,200,2022-05-27 17:59:00
44,34.66,34.66,34.66,34.66,100,2022-05-27 18:16:00
45,34.6111,34.6111,34.6111,34.6111,327,2022-05-27 18:24:00
46,34.605,34.605,34.605,34.605,302,2022-05-27 18:30:00
47,34.6,34.6,34.6,34.6,160,2022-05-27 18:33:00
48,34.605,34.605,34.605,34.605,288,2022-05-27 19:02:00
49,34.65,34.65,34.65,34.65,300,2022-05-27 19:18:00
50,34.56,34.56,34.56,34.56,200,2022-05-27 19:46:00
51,34.69,34.69,34.69,34.69,2078,2022-05-27 19:47:00
52,34.68,34.68,34.68,34.68,100,2022-05-27 19:48:00
53,34.68,34.7,34.68,34.7,1690,2022-05-27 19:59:00
54,34.82,34.82,34.82,34.82,631,2022-05-31 13:30:00
55,34.9999,34.9999,34.9999,34.9999,135,2022-05-31 13:34:00
56,34.88,34.88,34.88,34.88,100,2022-05-31 14:01:00
57,34.76,34.76,34.75,34.76,773,2022-05-31 14:09:00
58,34.9,34.9,34.9,34.9,100,2022-05-31 14:16:00
59,34.8,34.8,34.8,34.8,200,2022-05-31 14:18:00
60,34.7401,34.7401,34.7401,34.7401,100,2022-05-31 14:24:00
61,34.87,34.87,34.87,34.87,200,2022-05-31 14:31:00
62,34.87,34.87,34.87,34.87,100,2022-05-31 14:35:00
63,34.8891,34.8891,34.8891,34.8891,108,2022-05-31 14:53:00
64,34.8094,34.8806,34.8094,34.8806,366,2022-05-31 14:54:00
65,34.8,34.8,34.8,34.8,200,2022-05-31 14:56:00
66,34.8,34.8,34.8,34.8,100,2022-05-31 14:59:00
67,34.75,34.77,34.75,34.77,200,2022-05-31 15:02:00
68,34.72,34.72,34.72,34.72,200,2022-05-31 15:05:00
69,34.69,34.69,34.69,34.69,100,2022-05-31 15:17:00
70,34.61,34.61,34.61,34.61,100,2022-05-31 15:24:00
71,34.54,34.54,34.54,34.54,200,2022-05-31 15:25:00
72,34.71,34.71,34.71,34.71,200,2022-05-31 15:36:00
73,34.73,34.73,34.73,34.73,100,2022-05-31 15:38:00
74,34.69,34.69,34.69,34.69,824,2022-05-31 15:39:00
75,34.72,34.725,34.6943,34.6943,1740,2022-05-31 15:48:00
76,34.7,34.7,34.7,34.7,100,2022-05-31 15:53:00
77,34.6262,34.6262,34.6262,34.6262,358,2022-05-31 15:54:00
78,34.68,34.68,34.68,34.68,100,2022-05-31 15:58:00
79,34.58,34.58,34.58,34.58,200,2022-05-31 15:59:00
80,34.6,34.6,34.6,34.6,481,2022-05-31 16:00:00
81,34.68,34.68,34.68,34.68,150,2022-05-31 16:01:00
82,34.68,34.68,34.68,34.68,100,2022-05-31 16:03:00
83,34.5895,34.5895,34.5895,34.5895,199,2022-05-31 16:05:00
84,34.69,34.69,34.69,34.69,100,2022-05-31 16:06:00
85,34.5804,34.5804,34.5804,34.5804,123,2022-05-31 16:13:00
86,34.59,34.59,34.59,34.59,250,2022-05-31 16:14:00
87,34.67,34.67,34.6347,34.6347,200,2022-05-31 16:33:00
88,34.55,34.55,34.55,34.55,270,2022-05-31 16:37:00
89,34.62,34.62,34.55,34.56,7100,2022-05-31 16:38:00
90,34.69,34.69,34.69,34.69,282,2022-05-31 16:49:00
91,34.7,34.7,34.69,34.695,400,2022-05-31 16:50:00
92,34.57,34.57,34.57,34.57,300,2022-05-31 17:03:00
93,34.62,34.62,34.62,34.62,139,2022-05-31 17:19:00
94,34.536,34.536,34.536,34.536,1200,2022-05-31 17:27:00
95,34.565,34.565,34.565,34.565,149,2022-05-31 17:36:00
96,34.53,34.53,34.53,34.53,200,2022-05-31 17:48:00
97,34.52,34.52,34.5,34.5,500,2022-05-31 17:51:00
98,34.4415,34.4415,34.4415,34.4415,1420,2022-05-31 18:06:00
99,34.3601,34.3601,34.3601,34.3601,497,2022-05-31 18:19:00
100,34.415,34.415,34.415,34.415,286,2022-05-31 18:22:00
101,34.42,34.425,34.42,34.425,1380,2022-05-31 18:30:00
102,34.42,34.42,34.42,34.42,778,2022-05-31 18:31:00
103,34.3641,34.41,34.3641,34.41,878,2022-05-31 19:03:00
104,34.435,34.435,34.435,34.435,243,2022-05-31 19:16:00
105,34.49,34.49,34.49,34.49,441,2022-05-31 19:17:00
106,34.49,34.49,34.49,34.49,260,2022-05-31 19:18:00
107,34.37,34.37,34.37,34.37,200,2022-05-31 19:20:00
108,34.49,34.49,34.49,34.49,306,2022-05-31 19:27:00
109,34.49,34.49,34.49,34.49,115,2022-05-31 19:33:00
110,34.48,34.48,34.36,34.36,536,2022-05-31 19:59:00
111,34.53,34.53,34.53,34.53,1009,2022-06-01 13:30:00
112,34.54,34.54,34.54,34.54,100,2022-06-01 13:56:00
113,34.54,34.54,34.54,34.54,100,2022-06-01 13:59:00
114,34.55,34.55,34.54,34.54,200,2022-06-01 14:00:00
115,34.529,34.529,34.529,34.529,130,2022-06-01 14:01:00
116,34.53,34.53,34.53,34.53,200,2022-06-01 14:24:00
117,34.599,34.6,34.599,34.6,1011,2022-06-01 14:30:00
118,34.59,34.59,34.57,34.57,400,2022-06-01 14:31:00
