,open,high,low,close,volume,datetime
0,21.18,21.2,21.16,21.2,2109,2022-05-27 13:30:00
1,21.26,21.26,21.26,21.26,400,2022-05-27 13:31:00
2,21.3,21.3284,21.29,21.3284,1694,2022-05-27 13:33:00
3,21.26,21.26,21.26,21.26,100,2022-05-27 13:34:00
4,21.21,21.21,21.21,21.21,100,2022-05-27 13:35:00
5,21.21,21.21,21.21,21.21,100,2022-05-27 13:36:00
6,21.21,21.21,21.21,21.21,100,2022-05-27 13:37:00
7,21.21,21.24,21.21,21.24,200,2022-05-27 13:39:00
8,21.24,21.24,21.24,21.24,200,2022-05-27 13:40:00
9,21.21,21.22,21.19,21.22,400,2022-05-27 13:42:00
10,21.285,21.307,21.285,21.307,200,2022-05-27 13:47:00
11,21.29,21.29,21.29,21.29,200,2022-05-27 13:48:00
12,21.29,21.29,21.29,21.29,100,2022-05-27 13:49:00
13,21.28,21.28,21.28,21.28,100,2022-05-27 13:51:00
14,21.3,21.3,21.3,21.3,137,2022-05-27 13:52:00
15,21.32,21.32,21.32,21.32,200,2022-05-27 13:53:00
16,21.37,21.39,21.37,21.39,6220,2022-05-27 13:54:00
17,21.39,21.4,21.38,21.4,1124,2022-05-27 13:56:00
18,21.38,21.4,21.38,21.4,1300,2022-05-27 13:57:00
19,21.41,21.41,21.4,21.41,5510,2022-05-27 13:58:00
20,21.385,21.39,21.385,21.39,200,2022-05-27 13:59:00
21,21.35,21.35,21.35,21.35,100,2022-05-27 14:00:00
22,21.34,21.36,21.33,21.34,4300,2022-05-27 14:03:00
23,21.3662,21.3662,21.3662,21.3662,123,2022-05-27 14:05:00
24,21.38,21.38,21.38,21.38,1000,2022-05-27 14:06:00
25,21.38,21.38,21.38,21.38,500,2022-05-27 14:07:00
26,21.4,21.41,21.4,21.41,200,2022-05-27 14:08:00
27,21.43,21.43,21.43,21.43,347,2022-05-27 14:09:00
28,21.435,21.435,21.435,21.435,100,2022-05-27 14:10:00
29,21.42,21.44,21.42,21.44,400,2022-05-27 14:11:00
30,21.41,21.41,21.41,21.41,100,2022-05-27 14:12:00
31,21.41,21.41,21.41,21.41,100,2022-05-27 14:13:00
32,21.41,21.41,21.41,21.41,100,2022-05-27 14:14:00
33,21.405,21.405,21.405,21.405,100,2022-05-27 14:15:00
34,21.43,21.43,21.41,21.41,480,2022-05-27 14:16:00
35,21.41,21.41,21.41,21.41,100,2022-05-27 14:17:00
36,21.41,21.415,21.41,21.415,200,2022-05-27 14:19:00
37,21.395,21.41,21.395,21.41,690,2022-05-27 14:21:00
38,21.38,21.385,21.38,21.38,600,2022-05-27 14:24:00
39,21.36,21.37,21.36,21.36,1500,2022-05-27 14:25:00
40,21.355,21.355,21.35,21.35,200,2022-05-27 14:26:00
41,21.37,21.38,21.37,21.38,600,2022-05-27 14:27:00
42,21.38,21.39,21.37,21.39,1400,2022-05-27 14:28:00
43,21.41,21.41,21.41,21.41,100,2022-05-27 14:31:00
44,21.39,21.39,21.39,21.39,500,2022-05-27 14:32:00
45,21.39,21.39,21.38,21.39,3000,2022-05-27 14:33:00
46,21.41,21.42,21.41,21.41,600,2022-05-27 14:34:00
47,21.4,21.4,21.375,21.375,1577,2022-05-27 14:35:00
48,21.33,21.33,21.33,21.33,100,2022-05-27 14:38:00
49,21.34,21.35,21.34,21.35,827,2022-05-27 14:39:00
50,21.35,21.35,21.35,21.35,100,2022-05-27 14:40:00
51,21.365,21.365,21.365,21.365,100,2022-05-27 14:41:00
52,21.35,21.35,21.35,21.35,100,2022-05-27 14:42:00
53,21.3799,21.3799,21.3799,21.3799,121,2022-05-27 14:43:00
54,21.35,21.35,21.35,21.35,100,2022-05-27 14:45:00
55,21.33,21.33,21.33,21.33,200,2022-05-27 14:48:00
56,21.3,21.3,21.3,21.3,218,2022-05-27 14:52:00
57,21.3,21.3,21.3,21.3,200,2022-05-27 14:53:00
58,21.29,21.29,21.29,21.29,200,2022-05-27 15:02:00
59,21.29,21.31,21.29,21.31,580,2022-05-27 15:04:00
60,21.32,21.32,21.3,21.3,1000,2022-05-27 15:05:00
61,21.33,21.33,21.33,21.33,100,2022-05-27 15:09:00
62,21.35,21.35,21.35,21.35,300,2022-05-27 15:12:00
63,21.32,21.325,21.32,21.325,400,2022-05-27 15:20:00
