,open,high,low,close,volume,datetime
0,9.73,9.7302,9.73,9.73,2200,2022-05-27 17:09:00
1,9.73,9.73,9.7277,9.7277,3200,2022-05-27 17:10:00
2,9.8,9.8,9.8,9.8,100,2022-05-31 13:40:00
3,9.84,9.84,9.84,9.84,3700,2022-05-31 14:33:00
4,9.75,9.75,9.75,9.75,100,2022-06-02 14:50:00
5,9.78,9.78,9.78,9.78,3250,2022-06-02 15:31:00
6,9.75,9.75,9.75,9.75,401,2022-06-02 15:32:00
7,9.98,9.99,9.98,9.99,442,2022-06-03 19:18:00
8,9.73,9.73,9.73,9.73,100,2022-06-09 19:40:00
9,9.75,9.75,9.75,9.75,100,2022-06-10 13:40:00
10,9.75,9.75,9.75,9.75,100,2022-06-10 15:04:00
11,9.75,9.75,9.75,9.75,1500,2022-06-10 15:05:00
