,open,high,low,close,volume,datetime
0,47.75,47.75,47.75,47.75,9317,2022-05-27 13:30:00
1,47.7885,47.7885,47.76,47.76,207,2022-05-27 13:33:00
2,47.75,47.75,47.75,47.75,200,2022-05-27 13:34:00
3,47.75,47.8191,47.75,47.75,1269,2022-05-27 13:35:00
4,47.75,47.75,47.75,47.75,200,2022-05-27 13:36:00
5,47.75,47.75,47.75,47.75,200,2022-05-27 13:37:00
6,47.75,47.75,47.75,47.75,200,2022-05-27 13:38:00
7,47.75,47.7576,47.75,47.7576,2548,2022-05-27 13:39:00
8,47.75,47.8167,47.75,47.75,5109,2022-05-27 13:40:00
9,47.75,47.75,47.75,47.75,100,2022-05-27 13:41:00
10,47.77,47.77,47.77,47.77,100,2022-05-27 13:42:00
11,47.75,47.75,47.75,47.75,200,2022-05-27 13:43:00
12,47.75,47.75,47.75,47.75,200,2022-05-27 13:44:00
13,47.75,47.75,47.75,47.75,200,2022-05-27 13:45:00
14,47.79,47.8408,47.79,47.8408,2916,2022-05-27 13:46:00
15,47.79,47.82,47.79,47.82,1300,2022-05-27 13:47:00
16,47.8158,47.83,47.8,47.8,568,2022-05-27 13:48:00
17,47.8399,47.8399,47.8,47.8,5517,2022-05-27 13:49:00
18,47.83,47.83,47.8,47.8,900,2022-05-27 13:50:00
19,47.8,47.8,47.79,47.79,400,2022-05-27 13:51:00
20,47.81,47.81,47.81,47.81,200,2022-05-27 13:52:00
21,47.79,47.79,47.79,47.79,200,2022-05-27 13:53:00
22,47.79,47.805,47.79,47.805,803,2022-05-27 13:54:00
23,47.8,47.82,47.8,47.8083,1693,2022-05-27 13:55:00
24,47.8,47.8,47.8,47.8,200,2022-05-27 13:56:00
25,47.8211,47.8211,47.8,47.8037,2994,2022-05-27 13:57:00
26,47.8,47.8131,47.8,47.8,525,2022-05-27 13:58:00
27,47.8,47.8,47.8,47.8,100,2022-05-27 13:59:00
28,47.8,47.82,47.8,47.81,306,2022-05-27 14:00:00
29,47.81,47.81,47.81,47.81,100,2022-05-27 14:01:00
30,47.82,47.82,47.81,47.81,731,2022-05-27 14:02:00
31,47.81,47.8281,47.81,47.81,1545,2022-05-27 14:03:00
32,47.8,47.8,47.8,47.8,100,2022-05-27 14:04:00
33,47.8,47.83,47.8,47.83,300,2022-05-27 14:05:00
34,47.82,47.82,47.82,47.82,200,2022-05-27 14:06:00
35,47.82,47.82,47.82,47.82,100,2022-05-27 14:07:00
36,47.82,47.82,47.82,47.82,200,2022-05-27 14:08:00
37,47.83,47.84,47.83,47.84,300,2022-05-27 14:09:00
38,47.82,47.82,47.82,47.82,100,2022-05-27 14:10:00
39,47.8313,47.8313,47.82,47.82,452,2022-05-27 14:11:00
40,47.82,47.82,47.82,47.82,100,2022-05-27 14:12:00
41,47.81,47.8302,47.81,47.81,330,2022-05-27 14:13:00
42,47.82,47.82,47.81,47.81,200,2022-05-27 14:14:00
43,47.8222,47.8222,47.8,47.8,737,2022-05-27 14:15:00
44,47.81,47.815,47.81,47.815,265,2022-05-27 14:16:00
45,47.81,47.8202,47.81,47.8202,309,2022-05-27 14:17:00
46,47.81,47.825,47.81,47.825,452,2022-05-27 14:18:00
47,47.82,47.8399,47.82,47.8399,5100,2022-05-27 14:19:00
48,47.82,47.82,47.81,47.82,400,2022-05-27 14:20:00
49,47.8,47.8,47.8,47.8,100,2022-05-27 14:21:00
50,47.79,47.81,47.79,47.805,1600,2022-05-27 14:22:00
51,47.81,47.81,47.81,47.81,200,2022-05-27 14:23:00
52,47.81,47.81,47.81,47.81,100,2022-05-27 14:25:00
53,47.83,47.83,47.82,47.82,725,2022-05-27 14:26:00
54,47.82,47.82,47.82,47.82,100,2022-05-27 14:27:00
55,47.82,47.82,47.82,47.82,100,2022-05-27 14:28:00
56,47.82,47.82,47.82,47.82,100,2022-05-27 14:29:00
57,47.83,47.83,47.82,47.82,568,2022-05-27 14:30:00
58,47.82,47.83,47.82,47.83,3814,2022-05-27 14:31:00
59,47.82,47.82,47.82,47.82,100,2022-05-27 14:32:00
60,47.84,47.84,47.82,47.82,300,2022-05-27 14:33:00
61,47.8208,47.8241,47.8208,47.8241,2129,2022-05-27 14:34:00
62,47.82,47.82,47.82,47.82,100,2022-05-27 14:35:00
63,47.82,47.8265,47.82,47.8265,400,2022-05-27 14:36:00
64,47.82,47.82,47.82,47.82,100,2022-05-27 14:37:00
65,47.825,47.825,47.82,47.82,609,2022-05-27 14:38:00
66,47.82,47.8242,47.82,47.82,570,2022-05-27 14:39:00
67,47.83,47.8433,47.83,47.8433,981,2022-05-27 14:40:00
68,47.82,47.82,47.82,47.82,100,2022-05-27 14:41:00
69,47.81,47.84,47.81,47.84,583,2022-05-27 14:42:00
70,47.83,47.83,47.83,47.83,1065,2022-05-27 14:43:00
71,47.8292,47.8292,47.8292,47.8292,150,2022-05-27 14:44:00
72,47.83,47.8497,47.83,47.83,6400,2022-05-27 14:47:00
73,47.82,47.8303,47.82,47.8303,1084,2022-05-27 14:48:00
74,47.82,47.82,47.8088,47.81,3266,2022-05-27 14:50:00
75,47.8037,47.8037,47.8037,47.8037,200,2022-05-27 14:51:00
76,47.82,47.82,47.8044,47.8044,1090,2022-05-27 14:52:00
77,47.8,47.8103,47.7974,47.8103,834,2022-05-27 14:53:00
78,47.8,47.8,47.8,47.8,150,2022-05-27 14:54:00
79,47.81,47.81,47.81,47.81,312,2022-05-27 14:55:00
80,47.79,47.79,47.79,47.79,4610,2022-05-27 14:59:00
81,47.76,47.76,47.76,47.76,134,2022-05-27 15:03:00
82,47.77,47.77,47.77,47.77,300,2022-05-27 15:05:00
83,47.765,47.77,47.765,47.77,200,2022-05-27 15:06:00
84,47.7617,47.77,47.7617,47.77,6333,2022-05-27 15:08:00
85,47.7694,47.7694,47.7694,47.7694,1677,2022-05-27 15:09:00
86,47.76,47.77,47.76,47.76,1225,2022-05-27 15:10:00
87,47.7564,47.7564,47.7564,47.7564,349,2022-05-27 15:11:00
88,47.76,47.76,47.7445,47.7445,405,2022-05-27 15:13:00
89,47.74,47.74,47.74,47.74,100,2022-05-27 15:14:00
90,47.7475,47.7555,47.7434,47.7434,702,2022-05-27 15:16:00
91,47.76,47.76,47.76,47.76,182,2022-05-27 15:17:00
92,47.76,47.76,47.76,47.76,942,2022-05-27 15:19:00
93,47.7599,47.7599,47.7599,47.7599,1418,2022-05-27 15:23:00
94,47.7521,47.755,47.7518,47.755,821,2022-05-27 15:25:00
95,47.7541,47.7541,47.7541,47.7541,300,2022-05-27 15:26:00
96,47.76,47.76,47.7523,47.7523,497,2022-05-27 15:27:00
97,47.7524,47.7524,47.7524,47.7524,200,2022-05-27 15:29:00
98,47.759,47.76,47.759,47.76,395,2022-05-27 15:30:00
99,47.752,47.77,47.752,47.77,700,2022-05-27 15:31:00
100,47.77,47.77,47.77,47.77,258,2022-05-27 15:33:00
101,47.7717,47.7717,47.7717,47.7717,461,2022-05-27 15:34:00
102,47.76,47.7759,47.76,47.7759,545,2022-05-27 15:35:00
103,47.768,47.768,47.768,47.768,210,2022-05-27 15:36:00
104,47.78,47.78,47.78,47.78,327,2022-05-27 15:37:00
105,47.77,47.78,47.77,47.78,990,2022-05-27 15:41:00
106,47.764,47.7674,47.764,47.7674,700,2022-05-27 15:43:00
107,47.761,47.77,47.761,47.77,375,2022-05-27 15:44:00
108,47.77,47.77,47.77,47.77,140,2022-05-27 15:46:00
109,47.77,47.77,47.769,47.769,537,2022-05-27 15:47:00
110,47.78,47.78,47.7798,47.7798,800,2022-05-27 15:50:00
111,47.77,47.7718,47.77,47.7718,1012,2022-05-27 15:54:00
112,47.78,47.78,47.775,47.78,621,2022-05-27 15:55:00
113,47.785,47.785,47.785,47.785,1162,2022-05-27 15:56:00
114,47.773,47.78,47.7638,47.7638,967,2022-05-27 15:58:00
115,47.774,47.774,47.774,47.774,2033,2022-05-27 16:00:00
116,47.77,47.77,47.77,47.77,1513,2022-05-27 16:03:00
117,47.77,47.77,47.77,47.77,100,2022-05-27 16:04:00
118,47.77,47.78,47.77,47.78,200,2022-05-27 16:07:00
119,47.7799,47.7799,47.7799,47.7799,152,2022-05-27 16:08:00
120,47.78,47.78,47.78,47.78,100,2022-05-27 16:09:00
121,47.78,47.78,47.78,47.78,100,2022-05-27 16:10:00
122,47.7768,47.7768,47.7768,47.7768,200,2022-05-27 16:11:00
123,47.77,47.78,47.77,47.78,663,2022-05-27 16:12:00
124,47.7798,47.7798,47.7728,47.7728,400,2022-05-27 16:13:00
125,47.8096,47.8096,47.77,47.77,1307,2022-05-27 16:14:00
126,47.79,47.79,47.79,47.79,100,2022-05-27 16:15:00
127,47.7859,47.8031,47.7859,47.79,2187,2022-05-27 16:18:00
128,47.7715,47.7863,47.7715,47.7863,346,2022-05-27 16:20:00
129,47.79,47.79,47.79,47.79,100,2022-05-27 16:21:00
130,47.7822,47.7822,47.77,47.77,336,2022-05-27 16:22:00
131,47.79,47.79,47.79,47.79,100,2022-05-27 16:23:00
132,47.79,47.79,47.79,47.79,100,2022-05-27 16:25:00
133,47.78,47.78,47.78,47.78,100,2022-05-27 16:26:00
134,47.78,47.78,47.78,47.78,721,2022-05-27 16:27:00
135,47.78,47.78,47.78,47.78,500,2022-05-27 16:28:00
136,47.77,47.77,47.7557,47.7557,1388,2022-05-27 16:29:00
137,47.765,47.765,47.765,47.765,453,2022-05-27 16:30:00
138,47.759,47.759,47.759,47.759,146,2022-05-27 16:31:00
139,47.765,47.7762,47.7585,47.7762,1873,2022-05-27 16:33:00
140,47.77,47.77,47.77,47.77,200,2022-05-27 16:35:00
141,47.77,47.77,47.77,47.77,200,2022-05-27 16:37:00
142,47.7624,47.7624,47.7624,47.7624,1875,2022-05-27 16:38:00
143,47.7765,47.7765,47.7765,47.7765,269,2022-05-27 16:39:00
144,47.7753,47.7753,47.76,47.76,899,2022-05-27 16:40:00
145,47.77,47.77,47.77,47.77,400,2022-05-27 16:41:00
146,47.77,47.77,47.77,47.77,323,2022-05-27 16:42:00
147,47.77,47.77,47.77,47.77,100,2022-05-27 16:43:00
148,47.7601,47.7601,47.755,47.755,598,2022-05-27 16:44:00
149,47.755,47.77,47.755,47.77,2092,2022-05-27 16:45:00
150,47.7464,47.7464,47.7464,47.7464,880,2022-05-27 16:46:00
151,47.7606,47.7606,47.76,47.76,2763,2022-05-27 16:48:00
152,47.7699,47.7699,47.7655,47.7655,1689,2022-05-27 16:49:00
153,47.76,47.7671,47.76,47.76,467,2022-05-27 16:50:00
154,47.76,47.76,47.76,47.76,100,2022-05-27 16:51:00
155,47.76,47.7698,47.76,47.7698,2092,2022-05-27 16:53:00
156,47.7594,47.7594,47.7594,47.7594,127,2022-05-27 16:54:00
157,47.7699,47.7699,47.76,47.76,794,2022-05-27 16:55:00
158,47.7616,47.7616,47.76,47.76,755,2022-05-27 16:56:00
159,47.76,47.76,47.76,47.76,300,2022-05-27 16:57:00
160,47.7699,47.7699,47.7699,47.7699,900,2022-05-27 17:01:00
161,47.76,47.7698,47.75,47.75,1344,2022-05-27 17:02:00
162,47.77,47.77,47.76,47.76,1162,2022-05-27 17:03:00
163,47.7699,47.7699,47.7699,47.7699,727,2022-05-27 17:05:00
164,47.75,47.75,47.75,47.75,116,2022-05-27 17:06:00
165,47.76,47.77,47.76,47.7698,9900,2022-05-27 17:07:00
166,47.7606,47.7606,47.7606,47.7606,334,2022-05-27 17:08:00
167,47.763,47.763,47.76,47.76,6711,2022-05-27 17:09:00
168,47.764,47.764,47.764,47.764,214,2022-05-27 17:12:00
169,47.7622,47.7622,47.7622,47.7622,368,2022-05-27 17:13:00
170,47.75,47.75,47.75,47.75,100,2022-05-27 17:16:00
171,47.7527,47.76,47.7527,47.76,1491,2022-05-27 17:24:00
172,47.76,47.76,47.76,47.76,1611,2022-05-27 17:27:00
173,47.76,47.76,47.7546,47.7546,2018,2022-05-27 17:29:00
174,47.76,47.76,47.76,47.76,100,2022-05-27 17:30:00
175,47.7542,47.7542,47.7542,47.7542,450,2022-05-27 17:31:00
176,47.7699,47.7699,47.7556,47.7556,823,2022-05-27 17:33:00
177,47.76,47.76,47.75,47.7575,600,2022-05-27 17:34:00
178,47.7603,47.7603,47.7603,47.7603,480,2022-05-27 17:36:00
179,47.7621,47.7621,47.7621,47.7621,800,2022-05-27 17:40:00
180,47.7501,47.7501,47.7501,47.7501,6529,2022-05-27 17:42:00
181,47.7609,47.7609,47.7501,47.76,2738,2022-05-27 17:43:00
182,47.76,47.76,47.7583,47.7583,1376,2022-05-27 17:44:00
183,47.7666,47.7666,47.76,47.766,728,2022-05-27 17:45:00
184,47.76,47.77,47.7521,47.76,3281,2022-05-27 17:47:00
185,47.76,47.764,47.76,47.764,652,2022-05-27 17:49:00
186,47.7463,47.755,47.7463,47.755,718,2022-05-27 17:52:00
187,47.7604,47.7604,47.75,47.755,695,2022-05-27 17:54:00
188,47.77,47.77,47.76,47.76,1937,2022-05-27 17:55:00
189,47.76,47.7799,47.76,47.771,2306,2022-05-27 17:56:00
190,47.7593,47.7593,47.7593,47.7593,315,2022-05-27 17:57:00
191,47.76,47.76,47.76,47.76,2339,2022-05-27 17:59:00
192,47.76,47.76,47.76,47.76,1365,2022-05-27 18:01:00
193,47.77,47.77,47.76,47.7617,766,2022-05-27 18:02:00
194,47.7686,47.7686,47.7686,47.7686,743,2022-05-27 18:03:00
195,47.7546,47.7546,47.7546,47.7546,270,2022-05-27 18:04:00
196,47.75,47.75,47.75,47.75,297,2022-05-27 18:05:00
197,47.7543,47.7543,47.7543,47.7543,375,2022-05-27 18:09:00
198,47.76,47.76,47.76,47.76,100,2022-05-27 18:15:00
199,47.76,47.76,47.76,47.76,286,2022-05-27 18:16:00
200,47.756,47.76,47.756,47.76,318,2022-05-27 18:17:00
201,47.77,47.77,47.756,47.756,200,2022-05-27 18:20:00
202,47.76,47.76,47.76,47.76,100,2022-05-27 18:21:00
203,47.76,47.77,47.76,47.77,613,2022-05-27 18:22:00
204,47.76,47.76,47.76,47.76,105,2022-05-27 18:23:00
205,47.76,47.76,47.7591,47.7591,376,2022-05-27 18:24:00
206,47.76,47.76,47.7598,47.7598,1103,2022-05-27 18:25:00
207,47.75,47.76,47.75,47.76,249,2022-05-27 18:26:00
208,47.76,47.76,47.76,47.76,2560,2022-05-27 18:27:00
209,47.76,47.76,47.76,47.76,680,2022-05-27 18:31:00
210,47.76,47.76,47.76,47.76,2207,2022-05-27 18:32:00
211,47.7581,47.7581,47.7581,47.7581,554,2022-05-27 18:33:00
212,47.76,47.76,47.76,47.76,1294,2022-05-27 18:34:00
213,47.7699,47.7699,47.7699,47.7699,938,2022-05-27 18:35:00
214,47.7624,47.7624,47.7624,47.7624,2037,2022-05-27 18:37:00
215,47.76,47.76,47.76,47.76,109,2022-05-27 18:38:00
216,47.7634,47.7693,47.7634,47.7693,1694,2022-05-27 18:41:00
217,47.76,47.76,47.76,47.76,100,2022-05-27 18:42:00
218,47.7501,47.7501,47.7501,47.7501,5508,2022-05-27 18:43:00
219,47.77,47.77,47.77,47.77,300,2022-05-27 18:44:00
220,47.77,47.77,47.77,47.77,666,2022-05-27 18:46:00
221,47.7685,47.77,47.7685,47.77,877,2022-05-27 18:47:00
222,47.778,47.778,47.778,47.778,180,2022-05-27 18:48:00
223,47.7899,47.7899,47.7899,47.7899,592,2022-05-27 18:50:00
224,47.7713,47.775,47.7713,47.775,1224,2022-05-27 18:55:00
225,47.76,47.76,47.76,47.76,100,2022-05-27 18:56:00
226,47.77,47.77,47.77,47.77,200,2022-05-27 18:57:00
227,47.7795,47.7795,47.7795,47.7795,241,2022-05-27 18:59:00
228,47.77,47.7997,47.77,47.7767,1405,2022-05-27 19:00:00
229,47.785,47.785,47.785,47.785,150,2022-05-27 19:01:00
230,47.77,47.77,47.77,47.77,150,2022-05-27 19:03:00
231,47.7932,47.7932,47.7862,47.7862,1544,2022-05-27 19:04:00
232,47.785,47.785,47.785,47.785,498,2022-05-27 19:05:00
233,47.7774,47.7774,47.7774,47.7774,132,2022-05-27 19:06:00
234,47.785,47.785,47.785,47.785,200,2022-05-27 19:07:00
235,47.79,47.8,47.79,47.79,2383,2022-05-27 19:08:00
236,47.785,47.7894,47.78,47.7838,2313,2022-05-27 19:09:00
237,47.79,47.79,47.79,47.79,128,2022-05-27 19:10:00
238,47.79,47.81,47.79,47.81,1087,2022-05-27 19:11:00
239,47.7957,47.7957,47.79,47.79,350,2022-05-27 19:12:00
240,47.7901,47.7901,47.7901,47.7901,210,2022-05-27 19:14:00
241,47.7936,47.81,47.7936,47.81,1669,2022-05-27 19:16:00
242,47.79,47.7939,47.79,47.7939,711,2022-05-27 19:18:00
243,47.79,47.79,47.79,47.79,575,2022-05-27 19:19:00
244,47.79,47.79,47.79,47.79,250,2022-05-27 19:20:00
245,47.7904,47.7979,47.7904,47.7979,925,2022-05-27 19:21:00
246,47.7906,47.7906,47.79,47.79,2093,2022-05-27 19:22:00
247,47.79,47.8,47.79,47.8,800,2022-05-27 19:25:00
248,47.8,47.8,47.8,47.8,500,2022-05-27 19:26:00
249,47.8125,47.8125,47.8125,47.8125,2500,2022-05-27 19:28:00
250,47.8031,47.8031,47.8,47.8,350,2022-05-27 19:29:00
251,47.8,47.8,47.8,47.8,100,2022-05-27 19:30:00
252,47.8,47.8,47.79,47.79,200,2022-05-27 19:32:00
253,47.8,47.8,47.79,47.79,315,2022-05-27 19:36:00
254,47.8038,47.8038,47.8038,47.8038,269,2022-05-27 19:38:00
255,47.7926,47.7926,47.7902,47.7902,9799,2022-05-27 19:44:00
256,47.791,47.791,47.79,47.7901,770,2022-05-27 19:45:00
257,47.8016,47.8016,47.8016,47.8016,646,2022-05-27 19:47:00
258,47.7948,47.7948,47.7948,47.7948,199,2022-05-27 19:50:00
259,47.78,47.8,47.78,47.8,906,2022-05-27 19:53:00
260,47.8,47.8,47.8,47.8,200,2022-05-27 19:54:00
261,47.8,47.8,47.79,47.79,700,2022-05-27 19:55:00
262,47.7952,47.8,47.77,47.77,4236,2022-05-27 19:59:00
263,47.79,47.79,47.79,47.79,112,2022-05-27 20:00:00
264,47.55,47.55,47.55,47.55,200,2022-05-31 13:28:00
265,47.53,47.53,47.53,47.53,562,2022-05-31 13:29:00
266,47.53,47.53,47.49,47.52,8326,2022-05-31 13:30:00
267,47.5,47.5,47.5,47.5,244,2022-05-31 13:31:00
268,47.47,47.4953,47.47,47.47,882,2022-05-31 13:33:00
269,47.4855,47.4855,47.45,47.45,675,2022-05-31 13:34:00
270,47.45,47.4646,47.45,47.45,898,2022-05-31 13:35:00
271,47.47,47.47,47.44,47.46,1421,2022-05-31 13:36:00
272,47.42,47.42,47.42,47.42,200,2022-05-31 13:37:00
273,47.45,47.45,47.42,47.42,700,2022-05-31 13:38:00
274,47.42,47.42,47.42,47.42,200,2022-05-31 13:39:00
275,47.43,47.43,47.43,47.43,200,2022-05-31 13:40:00
276,47.43,47.46,47.43,47.46,5660,2022-05-31 13:41:00
277,47.44,47.44,47.44,47.44,100,2022-05-31 13:42:00
278,47.42,47.42,47.42,47.42,500,2022-05-31 13:43:00
279,47.41,47.41,47.38,47.41,900,2022-05-31 13:44:00
280,47.4255,47.4255,47.42,47.42,701,2022-05-31 13:45:00
281,47.42,47.42,47.42,47.42,100,2022-05-31 13:46:00
282,47.44,47.44,47.43,47.43,354,2022-05-31 13:47:00
283,47.45,47.45,47.45,47.45,816,2022-05-31 13:48:00
284,47.42,47.42,47.41,47.41,200,2022-05-31 13:49:00
285,47.448,47.448,47.43,47.435,300,2022-05-31 13:50:00
286,47.43,47.43,47.43,47.43,400,2022-05-31 13:52:00
287,47.43,47.43,47.43,47.43,1100,2022-05-31 13:53:00
288,47.43,47.44,47.43,47.43,600,2022-05-31 13:54:00
289,47.43,47.43,47.43,47.43,200,2022-05-31 13:55:00
290,47.43,47.43,47.43,47.43,100,2022-05-31 13:56:00
291,47.44,47.44,47.42,47.42,400,2022-05-31 13:57:00
292,47.41,47.41,47.41,47.41,100,2022-05-31 13:58:00
293,47.41,47.41,47.41,47.41,200,2022-05-31 13:59:00
294,47.4069,47.41,47.4069,47.41,986,2022-05-31 14:00:00
295,47.41,47.4269,47.39,47.39,4600,2022-05-31 14:01:00
296,47.3931,47.4099,47.39,47.4099,1916,2022-05-31 14:04:00
297,47.39,47.39,47.39,47.39,617,2022-05-31 14:05:00
298,47.39,47.39,47.39,47.39,100,2022-05-31 14:06:00
299,47.427,47.427,47.427,47.427,554,2022-05-31 14:08:00
300,47.4106,47.4106,47.3882,47.3882,922,2022-05-31 14:09:00
301,47.41,47.41,47.41,47.41,238,2022-05-31 14:11:00
302,47.3855,47.3855,47.3855,47.3855,587,2022-05-31 14:13:00
303,47.43,47.43,47.43,47.43,100,2022-05-31 14:18:00
304,47.4374,47.4374,47.41,47.41,279,2022-05-31 14:19:00
305,47.43,47.43,47.43,47.43,100,2022-05-31 14:26:00
306,47.4104,47.4104,47.4104,47.4104,143,2022-05-31 14:27:00
307,47.4299,47.43,47.4299,47.4299,1751,2022-05-31 14:28:00
308,47.41,47.41,47.41,47.41,600,2022-05-31 14:30:00
309,47.4139,47.4139,47.4139,47.4139,175,2022-05-31 14:31:00
310,47.41,47.41,47.41,47.41,352,2022-05-31 14:32:00
311,47.415,47.415,47.415,47.415,1296,2022-05-31 14:33:00
312,47.415,47.415,47.415,47.415,400,2022-05-31 14:34:00
313,47.42,47.42,47.42,47.42,450,2022-05-31 14:37:00
