,open,high,low,close,volume,datetime
0,296.89,296.89,296.89,296.89,100,2022-05-27 12:02:00
1,296.89,296.89,296.89,296.89,200,2022-05-27 12:36:00
2,297.15,299.005,296.07,299.005,15624,2022-05-27 13:30:00
3,298.68,299.32,298.015,298.85,1800,2022-05-27 13:31:00
4,298.205,298.685,297.665,298.685,2300,2022-05-27 13:32:00
5,298.27,299.64,298.01,299.58,4099,2022-05-27 13:33:00
6,299.095,299.095,297.85,298.395,5224,2022-05-27 13:34:00
7,298.39,299.52,296.86,297.06,4982,2022-05-27 13:35:00
8,296.64,298.07,296.55,296.98,4509,2022-05-27 13:36:00
9,297.1,297.43,296.155,296.38,5900,2022-05-27 13:37:00
10,296.38,297.3,296.31,297.155,1400,2022-05-27 13:38:00
11,297.475,298.59,297.475,298.56,4452,2022-05-27 13:39:00
12,298.56,299.63,298.56,298.82,5212,2022-05-27 13:40:00
13,298.82,299.11,298.13,298.13,4124,2022-05-27 13:41:00
14,296.94,297.53,296.94,297.53,900,2022-05-27 13:42:00
15,296.295,296.85,295.94,296.51,2000,2022-05-27 13:43:00
16,296.145,296.4,295.41,295.41,1758,2022-05-27 13:44:00
17,295.49,297.57,295.49,297.16,2909,2022-05-27 13:45:00
18,297.265,297.85,296.875,296.875,1334,2022-05-27 13:46:00
19,296.895,297.645,296.89,297.585,2118,2022-05-27 13:47:00
20,297.585,298.515,297.585,298.515,3289,2022-05-27 13:48:00
21,298.515,298.515,297.22,297.52,2500,2022-05-27 13:49:00
22,297.54,297.985,297.11,297.85,2750,2022-05-27 13:50:00
23,297.72,297.735,296.8225,297.11,3102,2022-05-27 13:51:00
24,296.83,296.86,295.91,296.2637,2100,2022-05-27 13:52:00
25,295.985,296.69,295.985,296.69,3791,2022-05-27 13:53:00
26,296.87,297.44,296.8,296.8,1850,2022-05-27 13:54:00
27,296.755,297.64,296.73,296.79,3032,2022-05-27 13:55:00
28,296.58,298.02,296.58,298.02,4300,2022-05-27 13:56:00
29,298.04,298.42,297.92,298.385,3074,2022-05-27 13:57:00
30,298.48,298.57,297.775,297.78,1500,2022-05-27 13:58:00
31,297.78,298.05,297.72,297.72,1950,2022-05-27 13:59:00
32,297.5,297.97,297.1,297.17,2269,2022-05-27 14:00:00
33,296.9,297.445,296.445,297.01,2212,2022-05-27 14:01:00
34,297.275,297.62,297.275,297.62,1100,2022-05-27 14:02:00
35,297.81,298.43,297.81,298.43,900,2022-05-27 14:03:00
36,298.03,298.175,297.755,298.175,2702,2022-05-27 14:04:00
37,298.335,298.5,297.85,298.35,1912,2022-05-27 14:05:00
38,298.34,298.375,297.92,297.93,950,2022-05-27 14:06:00
39,298.53,298.53,297.35,297.385,1300,2022-05-27 14:07:00
40,297.22,297.22,296.747,296.875,2890,2022-05-27 14:08:00
41,297.15,297.28,297.15,297.155,2800,2022-05-27 14:09:00
42,297.16,297.16,296.5,296.595,4379,2022-05-27 14:10:00
43,296.51,296.88,296.51,296.88,5015,2022-05-27 14:11:00
44,296.96,297.135,296.49,296.5,1800,2022-05-27 14:12:00
45,296.31,296.32,295.94,296.1046,5147,2022-05-27 14:13:00
46,296.145,296.88,296.145,296.41,2028,2022-05-27 14:14:00
47,296.44,296.55,296.15,296.24,2600,2022-05-27 14:15:00
48,296.265,296.53,295.67,295.77,3148,2022-05-27 14:16:00
49,295.745,296.1,295.745,296.1,1983,2022-05-27 14:17:00
50,296.15,296.23,295.97,296.1805,1957,2022-05-27 14:18:00
51,296.195,296.26,295.77,295.77,1400,2022-05-27 14:19:00
52,295.93,296.23,295.84,295.93,3400,2022-05-27 14:20:00
