,open,high,low,close,volume,datetime
0,2.74,2.74,2.74,2.74,300,2022-05-27 12:35:00
1,2.74,2.74,2.74,2.74,200,2022-05-27 12:36:00
2,2.71,2.73,2.71,2.73,5000,2022-05-27 13:21:00
3,2.73,2.73,2.72,2.72,6799,2022-05-27 13:30:00
4,2.73,2.73,2.72,2.7212,4954,2022-05-27 13:31:00
5,2.72,2.74,2.72,2.73,1067,2022-05-27 13:33:00
6,2.73,2.73,2.73,2.73,300,2022-05-27 13:36:00
7,2.72,2.7217,2.72,2.7217,9100,2022-05-27 13:37:00
8,2.7268,2.7299,2.7268,2.7299,6100,2022-05-27 13:38:00
9,2.7236,2.7236,2.7236,2.7236,400,2022-05-27 13:40:00
10,2.71,2.71,2.71,2.71,24455,2022-05-27 13:41:00
11,2.7042,2.7042,2.7042,2.7042,118,2022-05-27 13:42:00
12,2.68,2.68,2.61,2.635,6496,2022-05-27 13:43:00
13,2.61,2.61,2.61,2.61,200,2022-05-27 13:44:00
14,2.679,2.679,2.65,2.65,6000,2022-05-27 13:45:00
15,2.6437,2.6437,2.6437,2.6437,200,2022-05-27 13:46:00
16,2.6423,2.6423,2.6423,2.6423,100,2022-05-27 13:47:00
17,2.62,2.62,2.6,2.6,400,2022-05-27 13:48:00
18,2.6759,2.6759,2.61,2.61,1777,2022-05-27 13:49:00
19,2.67,2.68,2.66,2.6786,9770,2022-05-27 13:51:00
20,2.69,2.69,2.69,2.69,196,2022-05-27 13:52:00
21,2.71,2.71,2.71,2.71,100,2022-05-27 13:55:00
22,2.695,2.71,2.695,2.71,5958,2022-05-27 13:57:00
23,2.6801,2.6801,2.6801,2.6801,3000,2022-05-27 14:02:00
24,2.68,2.68,2.68,2.68,1000,2022-05-27 14:09:00
25,2.67,2.6799,2.6633,2.6799,1400,2022-05-27 14:15:00
26,2.6624,2.6624,2.6624,2.6624,200,2022-05-27 14:16:00
27,2.68,2.68,2.68,2.68,300,2022-05-27 14:22:00
28,2.69,2.69,2.69,2.69,1700,2022-05-27 14:24:00
29,2.704,2.704,2.704,2.704,2000,2022-05-27 14:25:00
30,2.7,2.7,2.7,2.7,1000,2022-05-27 14:27:00
31,2.7,2.7,2.7,2.7,100,2022-05-27 14:36:00
32,2.695,2.695,2.69,2.69,2048,2022-05-27 14:39:00
33,2.68,2.68,2.68,2.68,1322,2022-05-27 14:41:00
34,2.69,2.7,2.69,2.7,4500,2022-05-27 14:43:00
35,2.7,2.7,2.7,2.7,100,2022-05-27 14:58:00
36,2.68,2.69,2.68,2.6801,7983,2022-05-27 15:01:00
37,2.6962,2.6986,2.68,2.68,300,2022-05-27 15:04:00
38,2.6973,2.6973,2.6973,2.6973,100,2022-05-27 15:05:00
39,2.6956,2.6956,2.6956,2.6956,500,2022-05-27 15:10:00
40,2.7,2.7,2.7,2.7,100,2022-05-27 15:11:00
41,2.6943,2.6943,2.6943,2.6943,100,2022-05-27 15:13:00
42,2.6993,2.6993,2.6993,2.6993,100,2022-05-27 15:15:00
43,2.6993,2.6993,2.6993,2.6993,100,2022-05-27 15:16:00
