,open,high,low,close,volume,datetime
0,17.2,17.2,16.768,17.19,5087,2022-05-27 13:30:00
1,17.175,17.175,17.07,17.07,500,2022-05-27 13:31:00
2,17.05,17.05,17.01,17.01,200,2022-05-27 13:32:00
3,17.19,17.49,17.19,17.45,9904,2022-05-27 13:33:00
4,17.49,17.65,17.4,17.65,5365,2022-05-27 13:34:00
5,17.6329,17.73,17.35,17.42,13791,2022-05-27 13:35:00
6,17.47,17.47,17.47,17.47,100,2022-05-27 13:36:00
7,17.57,17.6,17.57,17.6,200,2022-05-27 13:37:00
8,17.6,17.6,17.51,17.51,4540,2022-05-27 13:38:00
9,17.51,17.51,17.46,17.47,500,2022-05-27 13:40:00
10,17.3,17.39,17.3,17.39,700,2022-05-27 13:44:00
11,17.36,17.42,17.36,17.42,1100,2022-05-27 13:45:00
12,17.42,17.42,17.42,17.42,1000,2022-05-27 13:46:00
13,17.49,17.49,17.49,17.49,100,2022-05-27 13:47:00
14,17.55,17.555,17.53,17.53,1048,2022-05-27 13:48:00
15,17.53,17.56,17.52,17.5267,500,2022-05-27 13:50:00
16,17.465,17.465,17.465,17.465,100,2022-05-27 13:51:00
17,17.515,17.515,17.46,17.46,200,2022-05-27 13:52:00
18,17.42,17.42,17.42,17.42,100,2022-05-27 13:53:00
19,17.52,17.63,17.52,17.61,824,2022-05-27 13:55:00
20,17.6346,17.66,17.6346,17.65,550,2022-05-27 13:57:00
21,17.696,17.696,17.696,17.696,400,2022-05-27 13:59:00
22,17.69,17.69,17.69,17.69,100,2022-05-27 14:00:00
23,17.65,17.65,17.65,17.65,400,2022-05-27 14:01:00
24,17.64,17.64,17.56,17.56,500,2022-05-27 14:04:00
25,17.555,17.555,17.555,17.555,100,2022-05-27 14:05:00
26,17.6009,17.6009,17.6009,17.6009,411,2022-05-27 14:09:00
27,17.62,17.62,17.58,17.58,200,2022-05-27 14:10:00
28,17.615,17.615,17.615,17.615,100,2022-05-27 14:11:00
29,17.58,17.58,17.57,17.57,400,2022-05-27 14:15:00
30,17.605,17.605,17.605,17.605,100,2022-05-27 14:16:00
31,17.58,17.58,17.58,17.58,400,2022-05-27 14:18:00
32,17.64,17.64,17.64,17.64,100,2022-05-27 14:19:00
33,17.66,17.6719,17.66,17.6719,300,2022-05-27 14:21:00
34,17.7,17.74,17.7,17.72,1045,2022-05-27 14:23:00
35,17.76,17.76,17.745,17.745,300,2022-05-27 14:24:00
36,17.78,17.78,17.77,17.78,1675,2022-05-27 14:25:00
37,17.78,17.78,17.777,17.777,1572,2022-05-27 14:26:00
38,17.78,17.84,17.78,17.78,1309,2022-05-27 14:27:00
39,17.86,17.86,17.86,17.86,100,2022-05-27 14:28:00
40,17.87,17.89,17.87,17.89,200,2022-05-27 14:30:00
41,17.89,17.89,17.8633,17.8633,1100,2022-05-27 14:31:00
42,17.88,17.88,17.8609,17.88,2200,2022-05-27 14:32:00
43,17.88,17.88,17.8796,17.8796,200,2022-05-27 14:33:00
44,17.95,18.04,17.95,18.04,8538,2022-05-27 14:37:00
45,18.05,18.08,18.04,18.08,2214,2022-05-27 14:38:00
46,18.08,18.08,18.08,18.08,100,2022-05-27 14:39:00
47,18.07,18.07,18.005,18.045,3508,2022-05-27 14:40:00
48,17.97,17.97,17.9,17.96,750,2022-05-27 14:42:00
49,17.96,17.97,17.9001,17.9001,300,2022-05-27 14:43:00
50,17.9,17.945,17.89,17.89,1169,2022-05-27 14:44:00
51,17.83,17.9,17.83,17.9,300,2022-05-27 14:45:00
52,17.885,17.885,17.8,17.8,1900,2022-05-27 14:46:00
53,17.79,17.79,17.72,17.76,1600,2022-05-27 14:47:00
54,17.76,17.76,17.76,17.76,100,2022-05-27 14:49:00
55,17.73,17.7507,17.72,17.72,2900,2022-05-27 14:50:00
