,open,high,low,close,volume,datetime
0,10.09,10.1,10.09,10.1,200,2022-05-27 16:38:00
1,10.09,10.1,10.09,10.1,230,2022-05-27 16:43:00
2,10.12,10.12,10.12,10.12,100,2022-06-01 16:09:00
3,9.98,9.98,9.98,9.98,750,2022-06-03 19:37:00
4,10.02,10.02,10.02,10.02,200,2022-06-06 13:30:00
5,10.15,10.15,10.15,10.15,100,2022-06-09 18:21:00
6,10.11,10.2,10.11,10.2,400,2022-06-09 18:23:00
7,10.1999,10.2,10.18,10.1999,1400,2022-06-09 18:24:00
8,10.2,10.3299,10.1796,10.3299,1300,2022-06-09 18:25:00
9,10.2,10.2,10.2,10.2,100,2022-06-09 19:01:00
10,10.03,10.03,10.0,10.0,400,2022-06-10 19:13:00
