,open,high,low,close,volume,datetime
0,15.68,15.71,15.68,15.71,200,2022-05-27 11:00:00
1,15.71,15.71,15.71,15.71,1200,2022-05-27 11:02:00
2,15.71,15.71,15.69,15.69,215,2022-05-27 11:03:00
3,15.68,15.68,15.68,15.68,300,2022-05-27 11:09:00
4,15.7,15.7,15.7,15.7,200,2022-05-27 11:16:00
5,15.7,15.7,15.7,15.7,2300,2022-05-27 11:20:00
6,15.69,15.69,15.69,15.69,1100,2022-05-27 11:25:00
7,15.7,15.7,15.69,15.69,850,2022-05-27 11:29:00
8,15.68,15.68,15.68,15.68,100,2022-05-27 11:36:00
9,15.69,15.69,15.69,15.69,450,2022-05-27 11:38:00
10,15.69,15.69,15.68,15.68,400,2022-05-27 11:45:00
11,15.71,15.71,15.71,15.71,1500,2022-05-27 11:46:00
12,15.71,15.71,15.71,15.71,2600,2022-05-27 11:48:00
13,15.7,15.7,15.7,15.7,2000,2022-05-27 11:49:00
14,15.69,15.7,15.69,15.7,500,2022-05-27 11:53:00
15,15.7,15.7,15.7,15.7,300,2022-05-27 11:54:00
16,15.68,15.68,15.68,15.68,1480,2022-05-27 11:57:00
17,15.68,15.68,15.68,15.68,800,2022-05-27 11:59:00
18,15.68,15.68,15.68,15.68,500,2022-05-27 12:00:00
19,15.67,15.67,15.63,15.63,23644,2022-05-27 12:01:00
20,15.63,15.63,15.63,15.63,1600,2022-05-27 12:02:00
21,15.62,15.63,15.61,15.61,5000,2022-05-27 12:04:00
22,15.62,15.62,15.62,15.62,4774,2022-05-27 12:05:00
23,15.61,15.61,15.6,15.6,7450,2022-05-27 12:06:00
24,15.6,15.6,15.6,15.6,200,2022-05-27 12:07:00
25,15.63,15.63,15.6,15.6,1252,2022-05-27 12:08:00
26,15.61,15.62,15.61,15.61,1500,2022-05-27 12:09:00
27,15.62,15.62,15.62,15.62,600,2022-05-27 12:12:00
28,15.62,15.63,15.62,15.63,400,2022-05-27 12:13:00
29,15.63,15.63,15.63,15.63,140,2022-05-27 12:14:00
30,15.63,15.63,15.63,15.63,1100,2022-05-27 12:16:00
31,15.64,15.64,15.62,15.62,2200,2022-05-27 12:17:00
32,15.62,15.62,15.62,15.62,100,2022-05-27 12:19:00
33,15.62,15.62,15.62,15.62,300,2022-05-27 12:21:00
34,15.62,15.62,15.62,15.62,750,2022-05-27 12:23:00
35,15.62,15.62,15.62,15.62,100,2022-05-27 12:24:00
36,15.61,15.61,15.6,15.6,4882,2022-05-27 12:25:00
37,15.62,15.62,15.61,15.61,2300,2022-05-27 12:27:00
38,15.6,15.6,15.6,15.6,100,2022-05-27 12:28:00
39,15.61,15.61,15.61,15.61,1600,2022-05-27 12:33:00
40,15.61,15.62,15.61,15.61,2500,2022-05-27 12:34:00
41,15.6,15.6,15.6,15.6,800,2022-05-27 12:37:00
42,15.62,15.62,15.62,15.62,1000,2022-05-27 12:38:00
43,15.6,15.6,15.6,15.6,100,2022-05-27 12:39:00
44,15.6,15.6,15.6,15.6,500,2022-05-27 12:44:00
45,15.6,15.61,15.6,15.61,300,2022-05-27 12:45:00
46,15.61,15.61,15.61,15.61,2100,2022-05-27 12:46:00
47,15.6,15.6,15.59,15.59,6402,2022-05-27 12:47:00
48,15.59,15.59,15.58,15.59,1416,2022-05-27 12:48:00
49,15.6,15.6,15.6,15.6,1905,2022-05-27 12:50:00
50,15.6,15.6,15.59,15.6,2300,2022-05-27 12:52:00
51,15.6,15.6,15.6,15.6,100,2022-05-27 12:53:00
52,15.59,15.59,15.59,15.59,100,2022-05-27 12:55:00
53,15.59,15.59,15.59,15.59,100,2022-05-27 13:00:00
54,15.6,15.6,15.59,15.6,992,2022-05-27 13:01:00
55,15.63,15.63,15.62,15.62,4916,2022-05-27 13:02:00
56,15.62,15.62,15.62,15.62,1200,2022-05-27 13:03:00
57,15.62,15.62,15.62,15.62,993,2022-05-27 13:04:00
58,15.63,15.63,15.62,15.62,10516,2022-05-27 13:05:00
59,15.62,15.62,15.62,15.62,2650,2022-05-27 13:06:00
60,15.62,15.62,15.62,15.62,1150,2022-05-27 13:08:00
61,15.62,15.62,15.62,15.62,3026,2022-05-27 13:09:00
62,15.62,15.62,15.62,15.62,200,2022-05-27 13:10:00
63,15.62,15.64,15.62,15.63,6950,2022-05-27 13:13:00
64,15.63,15.63,15.63,15.63,1034,2022-05-27 13:15:00
65,15.64,15.64,15.63,15.63,664,2022-05-27 13:17:00
66,15.64,15.64,15.64,15.64,100,2022-05-27 13:18:00
67,15.63,15.63,15.63,15.63,150,2022-05-27 13:21:00
68,15.64,15.64,15.61,15.62,8550,2022-05-27 13:22:00
