,open,high,low,close,volume,datetime
0,9.84,9.84,9.84,9.84,309,2022-05-27 13:30:00
1,9.83,9.83,9.83,9.83,200,2022-05-27 14:47:00
2,9.815,9.815,9.815,9.815,211235,2022-05-27 14:56:00
3,9.815,9.815,9.815,9.815,100,2022-05-27 15:09:00
4,9.82,9.82,9.8199,9.8199,1000,2022-05-27 15:20:00
5,9.815,9.815,9.815,9.815,23900,2022-05-27 16:22:00
6,9.82,9.82,9.815,9.815,5002,2022-05-27 19:28:00
7,9.84,9.84,9.84,9.84,1167,2022-05-31 13:30:00
8,9.81,9.81,9.81,9.81,4000,2022-05-31 13:39:00
9,9.81,9.81,9.81,9.81,4500,2022-05-31 13:40:00
10,9.81,9.8103,9.81,9.8103,1600,2022-05-31 13:56:00
11,9.812,9.82,9.81,9.812,5100,2022-05-31 14:06:00
12,9.825,9.825,9.825,9.825,100,2022-05-31 14:20:00
13,9.825,9.825,9.825,9.825,129,2022-05-31 14:27:00
14,9.825,9.85,9.825,9.83,7661,2022-05-31 15:24:00
15,9.83,9.83,9.83,9.83,100,2022-05-31 15:27:00
16,9.83,9.83,9.815,9.815,1100,2022-05-31 16:14:00
17,9.82,9.82,9.82,9.82,955,2022-05-31 16:22:00
18,9.82,9.82,9.82,9.82,1000,2022-05-31 16:24:00
19,9.82,9.82,9.82,9.82,4361,2022-06-01 13:30:00
20,9.825,9.825,9.825,9.825,100,2022-06-01 13:54:00
21,9.83,9.83,9.83,9.83,2238,2022-06-01 16:13:00
22,9.83,9.835,9.83,9.835,2085,2022-06-01 18:09:00
23,9.835,9.835,9.835,9.835,100,2022-06-01 18:18:00
24,9.83,9.83,9.83,9.83,100,2022-06-01 18:44:00
25,9.83,9.83,9.83,9.83,100,2022-06-01 19:27:00
26,9.82,9.82,9.82,9.82,706,2022-06-02 12:40:00
27,9.83,9.83,9.83,9.83,301,2022-06-02 13:55:00
28,9.835,9.835,9.83,9.83,700,2022-06-02 14:25:00
29,9.835,9.835,9.835,9.835,195,2022-06-02 14:30:00
30,9.84,9.84,9.84,9.84,100,2022-06-02 15:04:00
31,9.84,9.84,9.84,9.84,700,2022-06-02 19:53:00
32,9.84,9.84,9.84,9.84,100,2022-06-03 13:24:00
33,9.84,9.84,9.84,9.84,1144,2022-06-03 13:30:00
34,9.82,9.82,9.82,9.82,400,2022-06-03 13:32:00
35,9.83,9.83,9.83,9.83,1500,2022-06-03 14:08:00
36,9.83,9.83,9.83,9.83,200,2022-06-03 14:25:00
37,9.84,9.84,9.84,9.84,100,2022-06-03 14:56:00
38,9.83,9.83,9.83,9.83,200,2022-06-03 14:58:00
39,9.83,9.83,9.83,9.83,200,2022-06-03 18:31:00
40,9.84,9.84,9.84,9.84,1439,2022-06-06 13:30:00
41,9.84,9.84,9.84,9.84,100,2022-06-06 13:37:00
42,9.84,9.84,9.84,9.84,100000,2022-06-06 19:17:00
43,9.84,9.84,9.84,9.84,528,2022-06-07 13:30:00
44,9.84,9.84,9.84,9.84,399,2022-06-08 13:30:00
45,9.83,9.83,9.83,9.83,100,2022-06-08 18:18:00
46,9.83,9.83,9.83,9.83,100,2022-06-08 19:09:00
47,9.83,9.83,9.83,9.83,300,2022-06-08 19:59:00
48,9.84,9.84,9.84,9.84,135,2022-06-09 13:30:00
49,9.83,9.83,9.83,9.83,100,2022-06-09 19:01:00
50,9.82,9.82,9.82,9.82,413,2022-06-10 13:00:00
51,9.84,9.84,9.84,9.84,200,2022-06-10 13:30:00
52,9.83,9.83,9.83,9.83,2000,2022-06-10 13:45:00
