,open,high,low,close,volume,datetime
0,14.55,14.55,14.55,14.55,100,2022-05-27 13:29:00
1,14.53,14.63,14.53,14.61,5925,2022-05-27 13:30:00
2,14.6,14.61,14.57,14.58,1240,2022-05-27 13:31:00
3,14.6,14.61,14.59,14.59,800,2022-05-27 13:32:00
4,14.62,14.62,14.57,14.57,816,2022-05-27 13:33:00
5,14.555,14.555,14.555,14.555,100,2022-05-27 13:34:00
6,14.59,14.59,14.58,14.58,1600,2022-05-27 13:35:00
7,14.57,14.59,14.57,14.59,902,2022-05-27 13:36:00
8,14.57,14.575,14.55,14.55,1199,2022-05-27 13:37:00
9,14.54,14.55,14.54,14.55,944,2022-05-27 13:38:00
10,14.55,14.57,14.53,14.56,5890,2022-05-27 13:39:00
11,14.57,14.57,14.55,14.55,1200,2022-05-27 13:40:00
12,14.54,14.54,14.535,14.54,2990,2022-05-27 13:41:00
13,14.53,14.575,14.52,14.575,2605,2022-05-27 13:42:00
14,14.59,14.59,14.56,14.56,400,2022-05-27 13:43:00
15,14.57,14.57,14.56,14.56,900,2022-05-27 13:44:00
16,14.5699,14.58,14.5699,14.58,900,2022-05-27 13:45:00
17,14.58,14.6,14.575,14.6,1667,2022-05-27 13:46:00
18,14.6,14.605,14.59,14.605,640,2022-05-27 13:47:00
19,14.6,14.6,14.6,14.6,412,2022-05-27 13:48:00
20,14.59,14.62,14.59,14.62,3300,2022-05-27 13:49:00
21,14.61,14.61,14.58,14.58,7641,2022-05-27 13:50:00
22,14.58,14.59,14.58,14.58,3715,2022-05-27 13:51:00
23,14.57,14.58,14.57,14.58,4204,2022-05-27 13:52:00
24,14.58,14.59,14.58,14.58,14535,2022-05-27 13:53:00
25,14.59,14.59,14.58,14.58,9657,2022-05-27 13:54:00
26,14.58,14.6,14.58,14.59,15368,2022-05-27 13:55:00
27,14.6,14.62,14.59,14.62,5200,2022-05-27 13:56:00
28,14.63,14.64,14.63,14.6399,2200,2022-05-27 13:57:00
29,14.63,14.63,14.63,14.63,1350,2022-05-27 13:58:00
30,14.62,14.62,14.62,14.62,999,2022-05-27 13:59:00
31,14.62,14.625,14.615,14.62,2041,2022-05-27 14:00:00
32,14.61,14.61,14.61,14.61,600,2022-05-27 14:01:00
33,14.605,14.61,14.58,14.58,1700,2022-05-27 14:02:00
34,14.58,14.58,14.575,14.575,500,2022-05-27 14:03:00
35,14.58,14.6,14.58,14.6,1090,2022-05-27 14:04:00
36,14.6,14.605,14.6,14.6,800,2022-05-27 14:05:00
37,14.59,14.59,14.5739,14.5739,1506,2022-05-27 14:06:00
38,14.57,14.57,14.57,14.57,500,2022-05-27 14:07:00
39,14.57,14.6,14.57,14.6,1950,2022-05-27 14:08:00
40,14.61,14.61,14.6,14.6,400,2022-05-27 14:09:00
41,14.59,14.595,14.59,14.59,1000,2022-05-27 14:10:00
42,14.58,14.58,14.58,14.58,900,2022-05-27 14:11:00
43,14.565,14.57,14.565,14.57,300,2022-05-27 14:12:00
44,14.57,14.58,14.57,14.58,1270,2022-05-27 14:14:00
45,14.58,14.58,14.58,14.58,400,2022-05-27 14:15:00
46,14.58,14.59,14.58,14.59,602,2022-05-27 14:16:00
47,14.6,14.6,14.6,14.6,147,2022-05-27 14:17:00
48,14.6,14.6,14.6,14.6,100,2022-05-27 14:18:00
49,14.61,14.61,14.61,14.61,100,2022-05-27 14:20:00
50,14.61,14.61,14.61,14.61,612,2022-05-27 14:22:00
51,14.6,14.6,14.6,14.6,100,2022-05-27 14:23:00
52,14.61,14.61,14.61,14.61,900,2022-05-27 14:24:00
53,14.61,14.61,14.58,14.58,2055,2022-05-27 14:25:00
54,14.585,14.585,14.585,14.585,100,2022-05-27 14:26:00
55,14.58,14.585,14.58,14.585,485,2022-05-27 14:27:00
56,14.58,14.58,14.58,14.58,300,2022-05-27 14:29:00
57,14.58,14.58,14.58,14.58,200,2022-05-27 14:30:00
58,14.585,14.585,14.58,14.58,1705,2022-05-27 14:32:00
59,14.57,14.57,14.56,14.57,3244,2022-05-27 14:33:00
60,14.58,14.58,14.58,14.58,1000,2022-05-27 14:34:00
61,14.58,14.58,14.565,14.57,2805,2022-05-27 14:35:00
62,14.57,14.57,14.57,14.57,472,2022-05-27 14:36:00
63,14.55,14.56,14.55,14.56,218,2022-05-27 14:38:00
64,14.57,14.58,14.57,14.58,400,2022-05-27 14:40:00
65,14.58,14.58,14.57,14.57,1100,2022-05-27 14:42:00
66,14.57,14.58,14.57,14.58,1000,2022-05-27 14:43:00
67,14.585,14.59,14.585,14.59,712,2022-05-27 14:44:00
68,14.58,14.58,14.58,14.58,300,2022-05-27 14:45:00
69,14.57,14.57,14.57,14.57,100,2022-05-27 14:46:00
70,14.56,14.56,14.56,14.56,1200,2022-05-27 14:47:00
71,14.57,14.57,14.57,14.57,500,2022-05-27 14:48:00
72,14.58,14.58,14.575,14.575,1504,2022-05-27 14:49:00
73,14.58,14.58,14.58,14.58,100,2022-05-27 14:50:00
74,14.57,14.57,14.57,14.57,967,2022-05-27 14:51:00
75,14.57,14.57,14.56,14.56,2815,2022-05-27 14:52:00
76,14.57,14.57,14.57,14.57,185,2022-05-27 14:53:00
77,14.56,14.56,14.56,14.56,328,2022-05-27 14:54:00
78,14.56,14.56,14.56,14.56,900,2022-05-27 14:55:00
79,14.56,14.56,14.56,14.56,100,2022-05-27 14:56:00
80,14.555,14.56,14.555,14.56,650,2022-05-27 14:57:00
81,14.555,14.555,14.545,14.55,6428,2022-05-27 14:58:00
82,14.555,14.56,14.555,14.56,490,2022-05-27 15:02:00
