,open,high,low,close,volume,datetime
0,0.44,0.44,0.44,0.44,500,2022-05-27 13:12:00
1,0.44,0.44,0.44,0.44,500,2022-05-27 13:25:00
2,0.43,0.43,0.43,0.43,1000,2022-05-27 13:30:00
3,0.440101,0.440101,0.440101,0.440101,4000,2022-05-27 13:35:00
4,0.44,0.44,0.44,0.44,2445,2022-05-27 13:39:00
5,0.4351,0.44,0.4351,0.44,1300,2022-05-27 13:41:00
6,0.44,0.44,0.44,0.44,498,2022-05-27 13:42:00
7,0.44,0.44,0.44,0.44,851,2022-05-27 13:44:00
8,0.44,0.44,0.44,0.44,5000,2022-05-27 13:51:00
9,0.435,0.435,0.435,0.435,500,2022-05-27 13:56:00
10,0.4303,0.4303,0.4303,0.4303,5000,2022-05-27 14:00:00
11,0.4303,0.44,0.4303,0.44,1388,2022-05-27 14:01:00
12,0.44,0.44,0.4351,0.4351,1302,2022-05-27 14:03:00
13,0.4351,0.4351,0.4351,0.4351,100,2022-05-27 14:16:00
14,0.4351,0.4351,0.4351,0.4351,157,2022-05-27 14:20:00
15,0.4351,0.4351,0.4351,0.4351,100,2022-05-27 14:29:00
16,0.439899,0.439899,0.439899,0.439899,250,2022-05-27 14:35:00
17,0.4398,0.4398,0.4333,0.4333,700,2022-05-27 15:03:00
18,0.4398,0.4398,0.4398,0.4398,300,2022-05-27 15:11:00
19,0.433501,0.433501,0.433501,0.433501,802,2022-05-27 15:16:00
20,0.4385,0.4395,0.4385,0.4395,9876,2022-05-27 15:20:00
21,0.435,0.435,0.435,0.435,100,2022-05-27 15:26:00
22,0.435051,0.435051,0.435051,0.435051,310,2022-05-27 15:33:00
23,0.430601,0.435051,0.430601,0.435051,5900,2022-05-27 15:36:00
24,0.4395,0.4395,0.4395,0.4395,608,2022-05-27 15:48:00
25,0.4309,0.4349,0.4309,0.431,4981,2022-05-27 16:09:00
26,0.437,0.437,0.437,0.437,6000,2022-05-27 16:11:00
27,0.4355,0.4355,0.4355,0.4355,1300,2022-05-27 16:13:00
28,0.44,0.44,0.44,0.44,3000,2022-05-27 16:20:00
29,0.4375,0.4375,0.4375,0.4375,5000,2022-05-27 16:21:00
30,0.44,0.44,0.44,0.44,200,2022-05-27 16:29:00
31,0.44,0.445,0.44,0.445,11200,2022-05-27 16:43:00
32,0.45,0.456,0.45,0.454,1400,2022-05-27 16:44:00
33,0.452,0.4578,0.452,0.4578,1500,2022-05-27 16:45:00
34,0.4578,0.47,0.452,0.47,5903,2022-05-27 16:46:00
35,0.47,0.4783,0.465,0.4783,2405,2022-05-27 16:47:00
36,0.4783,0.4801,0.4601,0.4717,2600,2022-05-27 16:48:00
37,0.4692,0.4825,0.4682,0.47,2900,2022-05-27 16:49:00
38,0.466,0.47,0.4601,0.4601,9400,2022-05-27 16:50:00
39,0.4601,0.4601,0.4543,0.4543,11752,2022-05-27 16:51:00
40,0.4697,0.4697,0.4543,0.469699,300,2022-05-27 16:52:00
41,0.4672,0.4672,0.4672,0.4672,190,2022-05-27 16:54:00
42,0.4501,0.4501,0.4501,0.4501,101,2022-05-27 16:55:00
43,0.46,0.46,0.46,0.46,100,2022-05-27 16:56:00
44,0.4649,0.4649,0.4649,0.4649,100,2022-05-27 16:58:00
45,0.4542,0.4542,0.4542,0.4542,100,2022-05-27 16:59:00
46,0.4649,0.4649,0.4501,0.4501,524,2022-05-27 17:00:00
47,0.4501,0.4501,0.4501,0.4501,200,2022-05-27 17:04:00
48,0.4511,0.4511,0.4511,0.4511,500,2022-05-27 17:08:00
49,0.4511,0.4511,0.4511,0.4511,700,2022-05-27 17:09:00
50,0.4511,0.4511,0.4511,0.4511,200,2022-05-27 17:12:00
51,0.4511,0.4511,0.4511,0.4511,200,2022-05-27 17:16:00
52,0.4524,0.4524,0.4524,0.4524,100,2022-05-27 17:19:00
53,0.4525,0.4525,0.4525,0.4525,500,2022-05-27 17:20:00
54,0.45625,0.46,0.4525,0.4525,1474,2022-05-27 17:27:00
55,0.4551,0.4551,0.4551,0.4551,800,2022-05-27 17:49:00
56,0.4551,0.4551,0.4551,0.4551,100,2022-05-27 17:51:00
57,0.4551,0.4551,0.4551,0.4551,224,2022-05-27 17:54:00
58,0.457549,0.457549,0.457549,0.457549,100,2022-05-27 17:55:00
59,0.457551,0.457551,0.4551,0.4551,646,2022-05-27 17:56:00
60,0.46,0.46,0.46,0.46,109,2022-05-27 17:57:00
61,0.459899,0.459899,0.459899,0.459899,100,2022-05-27 18:01:00
62,0.455,0.455,0.455,0.455,900,2022-05-27 18:04:00
63,0.4525,0.4525,0.4525,0.4525,200,2022-05-27 18:06:00
64,0.454999,0.454999,0.454999,0.454999,600,2022-05-27 18:07:00
65,0.4524,0.4524,0.4524,0.4524,100,2022-05-27 18:08:00
66,0.4524,0.4525,0.4432,0.4432,5149,2022-05-27 18:09:00
