,open,high,low,close,volume,datetime
0,60.53,60.87,60.53,60.87,543,2022-05-27 13:30:00
1,60.915,60.915,60.915,60.915,100,2022-05-27 13:32:00
2,60.91,60.91,60.91,60.91,100,2022-05-27 13:36:00
3,60.61,60.61,60.61,60.61,100,2022-05-27 13:37:00
4,60.8,60.8,60.8,60.8,100,2022-05-27 13:38:00
5,60.91,61.25,60.91,61.25,300,2022-05-27 13:40:00
6,60.93,60.93,60.93,60.93,100,2022-05-27 13:45:00
7,61.205,61.205,61.205,61.205,100,2022-05-27 13:48:00
8,61.38,61.38,61.32,61.32,200,2022-05-27 13:58:00
9,61.27,61.27,61.27,61.27,100,2022-05-27 13:59:00
10,61.19,61.38,61.19,61.38,300,2022-05-27 14:06:00
11,61.23,61.23,61.23,61.23,211,2022-05-27 14:07:00
12,61.34,61.34,61.34,61.34,300,2022-05-27 14:11:00
13,61.505,61.505,61.505,61.505,100,2022-05-27 14:18:00
14,61.4,61.4,61.4,61.4,322,2022-05-27 14:20:00
15,61.65,61.65,61.65,61.65,100,2022-05-27 14:25:00
16,61.65,61.65,61.65,61.65,1000,2022-05-27 14:27:00
17,61.84,61.84,61.84,61.84,200,2022-05-27 14:30:00
18,61.66,61.7294,61.66,61.7294,200,2022-05-27 14:32:00
19,61.5,61.55,61.42,61.42,2535,2022-05-27 14:35:00
20,61.35,61.35,61.325,61.325,300,2022-05-27 14:36:00
21,61.07,61.07,61.07,61.07,100,2022-05-27 14:38:00
22,61.07,61.07,61.07,61.07,100,2022-05-27 14:39:00
23,61.08,61.08,61.04,61.04,200,2022-05-27 14:41:00
24,61.11,61.11,61.11,61.11,100,2022-05-27 14:42:00
25,60.93,60.93,60.92,60.92,200,2022-05-27 14:53:00
26,61.035,61.035,61.035,61.035,100,2022-05-27 14:55:00
27,60.93,61.075,60.93,61.075,200,2022-05-27 14:56:00
28,60.92,60.92,60.8,60.91,600,2022-05-27 15:01:00
29,60.894,60.894,60.894,60.894,100,2022-05-27 15:02:00
30,60.81,60.81,60.81,60.81,100,2022-05-27 15:03:00
31,60.92,61.01,60.92,60.99,800,2022-05-27 15:06:00
32,61.25,61.25,61.25,61.25,100,2022-05-27 15:25:00
33,61.315,61.315,61.315,61.315,120,2022-05-27 15:27:00
34,61.21,61.21,61.2,61.2,897,2022-05-27 15:28:00
35,61.18,61.18,61.18,61.18,100,2022-05-27 15:29:00
36,61.21,61.21,61.21,61.21,200,2022-05-27 15:31:00
37,61.18,61.2499,61.18,61.2499,1100,2022-05-27 15:36:00
38,61.11,61.11,61.11,61.11,200,2022-05-27 15:40:00
39,61.18,61.18,61.18,61.18,100,2022-05-27 15:45:00
40,61.17,61.17,61.16,61.16,200,2022-05-27 15:49:00
41,61.19,61.25,61.18,61.25,400,2022-05-27 15:54:00
42,61.2156,61.2156,61.18,61.18,526,2022-05-27 15:55:00
43,61.2,61.2,61.2,61.2,100,2022-05-27 15:56:00
44,61.19,61.19,61.19,61.19,100,2022-05-27 16:09:00
45,61.3,61.3,61.3,61.3,100,2022-05-27 16:11:00
46,61.3,61.31,61.26,61.31,500,2022-05-27 16:15:00
47,61.29,61.29,61.29,61.29,100,2022-05-27 16:16:00
48,61.28,61.45,61.18,61.18,6548,2022-05-27 16:18:00
49,61.33,61.33,61.33,61.33,100,2022-05-27 16:25:00
50,61.33,61.33,61.33,61.33,100,2022-05-27 16:29:00
51,61.33,61.33,61.33,61.33,200,2022-05-27 16:30:00
52,61.42,61.42,61.42,61.42,100,2022-05-27 16:33:00
53,61.34,61.34,61.34,61.34,100,2022-05-27 16:34:00
54,61.43,61.55,61.43,61.55,973,2022-05-27 16:36:00
55,61.63,61.76,61.54,61.54,600,2022-05-27 16:42:00
56,61.59,61.59,61.59,61.59,200,2022-05-27 16:45:00
57,61.51,61.51,61.51,61.51,700,2022-05-27 16:51:00
58,61.56,61.56,61.56,61.56,300,2022-05-27 16:52:00
59,61.59,61.59,61.59,61.59,100,2022-05-27 16:53:00
60,61.55,61.55,61.53,61.53,200,2022-05-27 17:00:00
61,61.575,61.575,61.575,61.575,100,2022-05-27 17:03:00
62,61.56,61.56,61.56,61.56,100,2022-05-27 17:09:00
63,61.54,61.54,61.475,61.475,900,2022-05-27 17:13:00
64,61.44,61.44,61.44,61.44,100,2022-05-27 17:15:00
65,61.37,61.37,61.31,61.31,200,2022-05-27 17:17:00
66,61.2,61.2,61.03,61.03,500,2022-05-27 17:23:00
67,61.0,61.0,60.98,60.98,273,2022-05-27 17:27:00
68,60.9631,60.9631,60.9631,60.9631,328,2022-05-27 17:28:00
69,61.0,61.01,61.0,61.01,200,2022-05-27 17:29:00
70,61.06,61.06,61.06,61.06,100,2022-05-27 17:31:00
71,61.04,61.04,60.93,60.93,1549,2022-05-27 17:34:00
72,60.93,60.93,60.93,60.93,200,2022-05-27 17:44:00
73,61.045,61.045,61.045,61.045,100,2022-05-27 17:45:00
74,61.15,61.15,61.15,61.15,100,2022-05-27 17:46:00
75,61.03,61.03,61.03,61.03,100,2022-05-27 17:47:00
76,61.09,61.09,61.02,61.02,400,2022-05-27 18:01:00
77,60.97,61.01,60.97,61.01,400,2022-05-27 18:04:00
78,60.98,60.98,60.98,60.98,100,2022-05-27 18:05:00
79,61.05,61.06,61.05,61.06,300,2022-05-27 18:09:00
80,61.07,61.07,61.07,61.07,100,2022-05-27 18:16:00
81,61.07,61.14,61.06,61.14,400,2022-05-27 18:17:00
82,61.14,61.14,61.11,61.13,300,2022-05-27 18:21:00
83,61.06,61.06,61.06,61.06,150,2022-05-27 18:24:00
84,61.06,61.06,61.06,61.06,200,2022-05-27 18:25:00
85,61.01,61.01,61.01,61.01,100,2022-05-27 18:27:00
