,open,high,low,close,volume,datetime
0,0.121,0.121,0.121,0.121,101,2022-05-27 13:36:00
1,0.121,0.121,0.121,0.121,100,2022-05-27 13:52:00
2,0.139,0.139,0.139,0.139,200,2022-05-27 14:02:00
3,0.125101,0.125101,0.125101,0.125101,2083,2022-05-27 14:39:00
4,0.126,0.126,0.126,0.126,402,2022-05-27 14:56:00
5,0.126,0.126,0.12,0.12,3265,2022-05-27 19:02:00
6,0.1166,0.1166,0.1157,0.1157,500,2022-05-27 19:03:00
7,0.1199,0.12,0.1199,0.1199,900,2022-05-27 19:04:00
8,0.12,0.12,0.1178,0.1178,4900,2022-05-27 19:06:00
9,0.1161,0.1178,0.116088,0.1178,1200,2022-05-27 19:07:00
10,0.1161,0.12,0.1161,0.12,1000,2022-05-27 19:08:00
11,0.12,0.12,0.12,0.12,900,2022-05-27 19:20:00
12,0.12,0.12,0.12,0.12,100,2022-05-27 19:38:00
13,0.1156,0.1157,0.1156,0.1157,200,2022-05-27 19:40:00
14,0.11848,0.11848,0.11848,0.11848,300,2022-05-31 14:05:00
15,0.135,0.135,0.135,0.135,200,2022-05-31 14:17:00
16,0.134899,0.134899,0.125349,0.125349,5000,2022-05-31 14:26:00
17,0.1349,0.1349,0.1349,0.1349,5000,2022-05-31 14:27:00
18,0.135,0.135,0.135,0.135,2300,2022-05-31 14:34:00
19,0.1185,0.1185,0.1185,0.1185,2300,2022-05-31 14:37:00
20,0.1256,0.1256,0.1256,0.1256,300,2022-05-31 16:34:00
21,0.135,0.135,0.135,0.135,1000,2022-05-31 16:38:00
22,0.1203,0.1203,0.1203,0.1203,200,2022-05-31 17:53:00
23,0.1202,0.1202,0.1202,0.1202,100,2022-05-31 17:54:00
24,0.1202,0.1202,0.1202,0.1202,265,2022-05-31 17:55:00
25,0.1203,0.1203,0.1203,0.1203,600,2022-05-31 17:59:00
26,0.13,0.13,0.13,0.13,593,2022-05-31 18:38:00
27,0.13,0.13,0.13,0.13,500,2022-05-31 19:30:00
28,0.13,0.13,0.13,0.13,696,2022-05-31 19:31:00
29,0.13,0.13,0.13,0.13,400,2022-05-31 21:12:00
30,0.14,0.14,0.139,0.139,990,2022-05-31 21:50:00
31,0.14,0.14,0.14,0.14,6217,2022-05-31 21:51:00
32,0.14,0.14,0.14,0.14,105,2022-06-01 13:30:00
33,0.1202,0.1202,0.1202,0.1202,100,2022-06-01 14:19:00
34,0.1202,0.1202,0.1202,0.1202,201,2022-06-01 14:34:00
35,0.1202,0.1202,0.1202,0.1202,2600,2022-06-01 15:11:00
36,0.1202,0.12501,0.1202,0.1202,13119,2022-06-01 15:14:00
37,0.12,0.12003,0.12,0.12,6279,2022-06-01 15:23:00
38,0.1191,0.1191,0.1191,0.1191,300,2022-06-01 15:51:00
39,0.1191,0.1191,0.1191,0.1191,1814,2022-06-01 16:12:00
40,0.1191,0.1191,0.1191,0.1191,600,2022-06-01 16:13:00
41,0.1248,0.1248,0.1248,0.1248,1400,2022-06-01 17:07:00
42,0.1201,0.1201,0.1201,0.1201,100,2022-06-01 17:10:00
43,0.1248,0.1248,0.1224,0.1248,5690,2022-06-01 18:24:00
44,0.13,0.13,0.13,0.13,400,2022-06-01 18:31:00
45,0.13,0.13,0.13,0.13,1000,2022-06-01 18:32:00
46,0.129799,0.129799,0.129799,0.129799,500,2022-06-01 19:05:00
47,0.1203,0.1203,0.1203,0.1203,200,2022-06-01 19:08:00
48,0.1101,0.1101,0.1101,0.1101,400,2022-06-02 13:16:00
49,0.1101,0.1101,0.1101,0.1101,400,2022-06-02 13:17:00
50,0.129,0.129,0.129,0.129,450,2022-06-02 13:37:00
51,0.129,0.129,0.129,0.129,144,2022-06-02 14:05:00
52,0.125,0.125,0.125,0.125,1600,2022-06-02 14:59:00
53,0.13,0.1425,0.13,0.1425,7916,2022-06-02 15:08:00
54,0.1425,0.1425,0.1425,0.1425,2690,2022-06-02 15:18:00
55,0.1476,0.1476,0.1476,0.1476,10310,2022-06-02 15:27:00
56,0.149899,0.149899,0.14,0.14,2000,2022-06-02 15:36:00
57,0.1302,0.1303,0.1302,0.1302,2000,2022-06-02 18:25:00
58,0.15,0.15,0.15,0.15,700,2022-06-03 13:30:00
59,0.1302,0.1302,0.1302,0.1302,100,2022-06-03 14:42:00
60,0.1302,0.1302,0.1302,0.1302,100,2022-06-03 14:43:00
61,0.1302,0.1302,0.1302,0.1302,4089,2022-06-03 14:45:00
62,0.1302,0.1302,0.1302,0.1302,600,2022-06-03 14:46:00
63,0.115,0.115,0.115,0.115,300,2022-06-03 14:53:00
64,0.1348,0.1348,0.1125,0.1125,1197,2022-06-03 15:33:00
65,0.113601,0.113601,0.113601,0.113601,145,2022-06-03 15:57:00
66,0.1244,0.1244,0.1244,0.1244,5000,2022-06-03 16:28:00
67,0.134,0.134,0.134,0.134,533,2022-06-03 16:58:00
68,0.134,0.134,0.134,0.134,100,2022-06-03 17:06:00
69,0.134,0.134,0.134,0.134,3484,2022-06-03 17:52:00
70,0.134,0.134,0.134,0.134,400,2022-06-03 19:55:00
71,0.124101,0.124101,0.124101,0.124101,100,2022-06-06 19:11:00
72,0.1325,0.1325,0.1325,0.1325,110,2022-06-07 12:49:00
73,0.1325,0.1325,0.1325,0.1325,146,2022-06-07 13:39:00
74,0.1325,0.1325,0.1325,0.1325,100,2022-06-07 14:04:00
75,0.1324,0.1325,0.1324,0.1325,200,2022-06-07 14:45:00
76,0.13249,0.13249,0.13249,0.13249,500,2022-06-07 14:56:00
77,0.1325,0.1325,0.1325,0.1325,100,2022-06-07 15:27:00
78,0.134,0.134,0.134,0.134,1000,2022-06-07 15:29:00
79,0.133899,0.134,0.1337,0.1337,4500,2022-06-07 15:30:00
80,0.1334,0.1334,0.1334,0.1334,523,2022-06-07 15:37:00
81,0.135,0.135,0.135,0.135,1000,2022-06-07 15:39:00
82,0.135,0.135,0.135,0.135,1000,2022-06-07 15:57:00
83,0.135,0.135,0.1349,0.1349,580,2022-06-07 16:45:00
