,open,high,low,close,volume,datetime
0,90.26,90.26,90.26,90.26,175,2022-05-27 11:00:00
1,91.33,91.57,90.48,90.48,43532,2022-05-27 13:30:00
2,90.61,91.02,90.585,90.935,1992,2022-05-27 13:31:00
3,91.34,91.56,91.34,91.56,1822,2022-05-27 13:33:00
4,91.8,91.8,91.78,91.78,1900,2022-05-27 13:34:00
5,91.74,91.77,91.575,91.77,1100,2022-05-27 13:35:00
6,91.8,91.8,91.39,91.425,31826,2022-05-27 13:36:00
7,91.43,91.56,90.84,90.93,9549,2022-05-27 13:37:00
8,90.93,91.22,90.82,91.1285,1600,2022-05-27 13:38:00
9,91.21,91.62,91.21,91.62,2797,2022-05-27 13:39:00
10,91.5062,91.98,91.5062,91.825,1300,2022-05-27 13:40:00
11,91.88,92.0,91.74,92.0,2970,2022-05-27 13:41:00
12,91.94,91.98,91.83,91.915,1359,2022-05-27 13:42:00
13,91.98,92.1,91.96,92.1,5076,2022-05-27 13:43:00
14,92.05,92.21,91.96,92.045,3310,2022-05-27 13:44:00
15,92.14,92.29,92.13,92.25,2125,2022-05-27 13:45:00
16,92.285,92.3,92.17,92.19,2846,2022-05-27 13:46:00
17,92.23,92.24,92.0157,92.0225,3850,2022-05-27 13:47:00
18,92.09,92.3,92.08,92.22,5002,2022-05-27 13:48:00
19,92.29,92.46,92.29,92.36,4595,2022-05-27 13:49:00
20,92.32,92.59,92.32,92.5,3308,2022-05-27 13:50:00
21,92.5,92.55,92.38,92.38,3751,2022-05-27 13:51:00
22,92.38,92.38,92.38,92.38,200,2022-05-27 13:52:00
23,92.31,92.4,92.2829,92.31,2010,2022-05-27 13:53:00
24,92.35,92.49,92.3,92.41,9324,2022-05-27 13:54:00
25,92.48,92.54,92.48,92.54,587,2022-05-27 13:55:00
26,92.48,92.61,92.43,92.535,3525,2022-05-27 13:56:00
27,92.55,92.55,92.35,92.35,2169,2022-05-27 13:57:00
28,92.42,92.42,92.295,92.365,3912,2022-05-27 13:58:00
29,92.38,92.49,92.35,92.35,3055,2022-05-27 13:59:00
