,open,high,low,close,volume,datetime
0,3.4,3.4,3.4,3.4,1440,2022-05-27 11:01:00
1,3.39,3.39,3.39,3.39,1000,2022-05-27 11:16:00
2,3.39,3.39,3.39,3.39,1000,2022-05-27 12:15:00
3,3.37,3.37,3.36,3.36,3000,2022-05-27 12:29:00
4,3.39,3.39,3.39,3.39,100,2022-05-27 12:44:00
5,3.4,3.4,3.4,3.4,500,2022-05-27 13:19:00
6,3.4,3.4,3.4,3.4,3078,2022-05-27 13:23:00
7,3.44,3.49,3.44,3.465,19414,2022-05-27 13:30:00
8,3.47,3.48,3.46,3.46,7363,2022-05-27 13:31:00
9,3.46,3.46,3.46,3.46,1800,2022-05-27 13:32:00
10,3.46,3.46,3.4,3.4,4531,2022-05-27 13:33:00
11,3.39,3.39,3.36,3.36,10491,2022-05-27 13:34:00
12,3.35,3.38,3.33,3.37,13251,2022-05-27 13:35:00
13,3.37,3.39,3.36,3.36,16721,2022-05-27 13:36:00
14,3.36,3.36,3.35,3.35,1500,2022-05-27 13:37:00
15,3.35,3.39,3.35,3.3576,6135,2022-05-27 13:38:00
16,3.35,3.39,3.35,3.37,3630,2022-05-27 13:39:00
17,3.36,3.39,3.355,3.39,3484,2022-05-27 13:40:00
18,3.38,3.4,3.38,3.4,2142,2022-05-27 13:41:00
19,3.39,3.39,3.38,3.38,800,2022-05-27 13:42:00
20,3.37,3.38,3.37,3.37,1400,2022-05-27 13:43:00
21,3.365,3.37,3.35,3.35,4281,2022-05-27 13:44:00
22,3.35,3.36,3.34,3.36,7269,2022-05-27 13:45:00
23,3.362,3.365,3.3593,3.3593,2184,2022-05-27 13:46:00
24,3.36,3.37,3.35,3.36,4412,2022-05-27 13:47:00
25,3.355,3.37,3.355,3.37,1935,2022-05-27 13:48:00
26,3.389,3.39,3.365,3.365,2790,2022-05-27 13:49:00
27,3.36,3.37,3.35,3.37,4890,2022-05-27 13:50:00
28,3.36,3.36,3.355,3.36,1000,2022-05-27 13:51:00
29,3.36,3.365,3.35,3.365,1400,2022-05-27 13:52:00
30,3.365,3.42,3.365,3.405,7519,2022-05-27 13:53:00
31,3.41,3.415,3.395,3.395,2700,2022-05-27 13:54:00
32,3.405,3.405,3.4,3.4001,700,2022-05-27 13:55:00
33,3.4,3.4109,3.4,3.4109,850,2022-05-27 13:56:00
34,3.42,3.43,3.42,3.43,600,2022-05-27 13:57:00
35,3.43,3.43,3.43,3.43,100,2022-05-27 13:58:00
36,3.4299,3.43,3.42,3.43,3900,2022-05-27 13:59:00
37,3.43,3.43,3.43,3.43,3918,2022-05-27 14:00:00
38,3.43,3.44,3.425,3.4299,2760,2022-05-27 14:01:00
39,3.425,3.425,3.4,3.415,1500,2022-05-27 14:02:00
40,3.4101,3.4101,3.4,3.41,5513,2022-05-27 14:03:00
41,3.4,3.405,3.4,3.405,2327,2022-05-27 14:04:00
42,3.41,3.42,3.41,3.42,2560,2022-05-27 14:05:00
43,3.43,3.43,3.43,3.43,100,2022-05-27 14:06:00
44,3.4265,3.4265,3.42,3.42,1318,2022-05-27 14:07:00
45,3.415,3.42,3.41,3.42,2248,2022-05-27 14:08:00
46,3.42,3.43,3.42,3.43,2700,2022-05-27 14:09:00
47,3.43,3.45,3.4254,3.44,3000,2022-05-27 14:10:00
48,3.44,3.45,3.44,3.45,300,2022-05-27 14:11:00
49,3.45,3.46,3.45,3.455,800,2022-05-27 14:12:00
50,3.455,3.47,3.455,3.47,3808,2022-05-27 14:13:00
51,3.465,3.49,3.465,3.49,1845,2022-05-27 14:14:00
52,3.485,3.51,3.485,3.51,2747,2022-05-27 14:15:00
53,3.51,3.56,3.51,3.545,23176,2022-05-27 14:16:00
54,3.54,3.54,3.522,3.522,1550,2022-05-27 14:17:00
55,3.53,3.53,3.5241,3.5241,1875,2022-05-27 14:18:00
56,3.53,3.54,3.53,3.54,1350,2022-05-27 14:19:00
57,3.54,3.54,3.54,3.54,700,2022-05-27 14:20:00
58,3.55,3.56,3.55,3.556,3449,2022-05-27 14:21:00
59,3.555,3.58,3.555,3.5727,6691,2022-05-27 14:22:00
60,3.58,3.59,3.58,3.59,7095,2022-05-27 14:23:00
61,3.59,3.5998,3.59,3.59,2200,2022-05-27 14:24:00
62,3.6,3.61,3.595,3.61,5083,2022-05-27 14:25:00
63,3.61,3.62,3.61,3.62,2995,2022-05-27 14:26:00
64,3.615,3.62,3.6106,3.615,2350,2022-05-27 14:27:00
65,3.62,3.64,3.62,3.64,1400,2022-05-27 14:28:00
66,3.64,3.655,3.635,3.65,2621,2022-05-27 14:29:00
67,3.65,3.65,3.645,3.645,1600,2022-05-27 14:30:00
68,3.65,3.67,3.65,3.665,5869,2022-05-27 14:31:00
69,3.67,3.68,3.67,3.68,4731,2022-05-27 14:32:00
70,3.675,3.68,3.66,3.66,3751,2022-05-27 14:33:00
71,3.67,3.68,3.67,3.68,648,2022-05-27 14:34:00
72,3.68,3.69,3.675,3.675,1243,2022-05-27 14:35:00
73,3.68,3.69,3.68,3.69,1900,2022-05-27 14:36:00
74,3.69,3.7,3.685,3.7,2195,2022-05-27 14:37:00
75,3.69,3.69,3.69,3.69,1200,2022-05-27 14:38:00
76,3.68,3.68,3.675,3.675,1000,2022-05-27 14:39:00
77,3.67,3.67,3.65,3.66,17188,2022-05-27 14:40:00
78,3.67,3.68,3.67,3.675,2100,2022-05-27 14:41:00
79,3.68,3.69,3.68,3.69,1200,2022-05-27 14:42:00
80,3.69,3.69,3.69,3.69,3942,2022-05-27 14:43:00
81,3.69,3.69,3.68,3.68,6586,2022-05-27 14:44:00
82,3.68,3.68,3.6724,3.6724,5200,2022-05-27 14:45:00
83,3.67,3.68,3.65,3.65,13649,2022-05-27 14:46:00
84,3.6416,3.645,3.6416,3.645,1100,2022-05-27 14:47:00
85,3.65,3.66,3.65,3.655,2707,2022-05-27 14:48:00
86,3.66,3.67,3.655,3.67,2763,2022-05-27 14:49:00
87,3.66,3.66,3.66,3.66,3737,2022-05-27 14:50:00
88,3.67,3.68,3.66,3.665,3638,2022-05-27 14:51:00
89,3.67,3.68,3.665,3.68,9100,2022-05-27 14:52:00
90,3.68,3.68,3.68,3.68,100,2022-05-27 14:53:00
91,3.67,3.67,3.67,3.67,700,2022-05-27 14:54:00
92,3.67,3.67,3.64,3.65,2400,2022-05-27 14:55:00
93,3.64,3.64,3.63,3.6332,800,2022-05-27 14:56:00
94,3.64,3.6505,3.635,3.65,4920,2022-05-27 14:57:00
95,3.65,3.67,3.65,3.67,3100,2022-05-27 14:58:00
96,3.67,3.69,3.67,3.6898,3445,2022-05-27 14:59:00
97,3.69,3.7,3.69,3.7,7078,2022-05-27 15:00:00
98,3.7,3.7,3.685,3.69,1887,2022-05-27 15:01:00
99,3.69,3.69,3.67,3.68,2418,2022-05-27 15:02:00
100,3.68,3.69,3.67,3.69,1900,2022-05-27 15:03:00
101,3.69,3.695,3.685,3.685,1459,2022-05-27 15:04:00
102,3.68,3.68,3.675,3.68,700,2022-05-27 15:05:00
103,3.68,3.68,3.675,3.68,600,2022-05-27 15:06:00
104,3.68,3.68,3.675,3.68,1400,2022-05-27 15:07:00
105,3.68,3.68,3.68,3.68,800,2022-05-27 15:08:00
106,3.68,3.68,3.67,3.68,2825,2022-05-27 15:09:00
107,3.68,3.68,3.675,3.675,400,2022-05-27 15:11:00
108,3.68,3.68,3.675,3.675,600,2022-05-27 15:12:00
109,3.68,3.6869,3.68,3.6869,3200,2022-05-27 15:13:00
110,3.69,3.69,3.681,3.681,1214,2022-05-27 15:14:00
111,3.69,3.69,3.69,3.69,100,2022-05-27 15:15:00
112,3.69,3.7,3.69,3.7,5039,2022-05-27 15:16:00
113,3.71,3.71,3.7,3.705,595,2022-05-27 15:17:00
114,3.7,3.705,3.7,3.7,2900,2022-05-27 15:18:00
115,3.695,3.7,3.695,3.7,3300,2022-05-27 15:19:00
116,3.705,3.7099,3.705,3.7099,400,2022-05-27 15:20:00
117,3.7055,3.7055,3.7055,3.7055,150,2022-05-27 15:21:00
118,3.705,3.71,3.7001,3.7001,2632,2022-05-27 15:22:00
119,3.705,3.705,3.695,3.695,1991,2022-05-27 15:23:00
120,3.7,3.7,3.695,3.695,774,2022-05-27 15:24:00
121,3.69,3.6901,3.68,3.69,3372,2022-05-27 15:25:00
122,3.7,3.7,3.685,3.685,2000,2022-05-27 15:26:00
123,3.69,3.69,3.69,3.69,100,2022-05-27 15:27:00
124,3.69,3.69,3.6801,3.69,5700,2022-05-27 15:28:00
125,3.685,3.7,3.685,3.7,3461,2022-05-27 15:29:00
126,3.705,3.705,3.705,3.705,620,2022-05-27 15:30:00
127,3.71,3.73,3.71,3.73,6699,2022-05-27 15:31:00
128,3.73,3.73,3.725,3.725,2100,2022-05-27 15:32:00
129,3.725,3.73,3.725,3.73,615,2022-05-27 15:33:00
130,3.72,3.72,3.705,3.705,4700,2022-05-27 15:34:00
131,3.705,3.71,3.705,3.71,2613,2022-05-27 15:35:00
132,3.715,3.715,3.705,3.705,2431,2022-05-27 15:36:00
133,3.71,3.71,3.71,3.71,770,2022-05-27 15:37:00
134,3.71,3.715,3.71,3.715,300,2022-05-27 15:38:00
135,3.715,3.715,3.705,3.705,1579,2022-05-27 15:39:00
136,3.7092,3.7092,3.7,3.7,3500,2022-05-27 15:40:00
137,3.69,3.69,3.69,3.69,500,2022-05-27 15:41:00
138,3.685,3.685,3.68,3.685,400,2022-05-27 15:42:00
139,3.68,3.69,3.68,3.68,500,2022-05-27 15:43:00
140,3.68,3.685,3.68,3.68,855,2022-05-27 15:45:00
141,3.68,3.68,3.67,3.675,1200,2022-05-27 15:46:00
142,3.675,3.675,3.67,3.67,200,2022-05-27 15:47:00
143,3.67,3.67,3.665,3.67,4007,2022-05-27 15:48:00
144,3.67,3.68,3.67,3.675,1600,2022-05-27 15:49:00
145,3.68,3.685,3.68,3.685,700,2022-05-27 15:50:00
146,3.685,3.69,3.685,3.69,500,2022-05-27 15:52:00
147,3.68,3.68,3.68,3.68,200,2022-05-27 15:53:00
148,3.68,3.68,3.67,3.67,900,2022-05-27 15:54:00
149,3.675,3.675,3.67,3.67,2000,2022-05-27 15:55:00
150,3.67,3.67,3.665,3.665,1500,2022-05-27 15:56:00
151,3.67,3.68,3.67,3.68,3900,2022-05-27 15:57:00
152,3.69,3.705,3.69,3.705,5300,2022-05-27 15:58:00
153,3.705,3.71,3.705,3.71,10077,2022-05-27 15:59:00
154,3.71,3.725,3.705,3.725,4959,2022-05-27 16:00:00
155,3.73,3.74,3.73,3.74,2785,2022-05-27 16:01:00
156,3.7301,3.735,3.72,3.725,6433,2022-05-27 16:02:00
157,3.725,3.725,3.72,3.72,1900,2022-05-27 16:03:00
158,3.72,3.72,3.715,3.72,1300,2022-05-27 16:04:00
159,3.7104,3.7104,3.7104,3.7104,2000,2022-05-27 16:06:00
160,3.71,3.715,3.71,3.71,600,2022-05-27 16:07:00
161,3.71,3.715,3.71,3.715,481,2022-05-27 16:08:00
162,3.7175,3.725,3.7175,3.725,4618,2022-05-27 16:09:00
163,3.7276,3.73,3.725,3.73,2300,2022-05-27 16:10:00
164,3.735,3.735,3.73,3.73,2529,2022-05-27 16:11:00
165,3.725,3.725,3.725,3.725,8000,2022-05-27 16:12:00
166,3.725,3.725,3.723,3.725,900,2022-05-27 16:13:00
167,3.72,3.7237,3.72,3.72,572,2022-05-27 16:14:00
168,3.725,3.725,3.7149,3.715,2200,2022-05-27 16:15:00
169,3.71,3.71,3.705,3.705,1600,2022-05-27 16:16:00
170,3.7,3.7,3.695,3.695,5600,2022-05-27 16:17:00
171,3.7,3.7,3.7,3.7,100,2022-05-27 16:18:00
172,3.69,3.69,3.68,3.68,2100,2022-05-27 16:19:00
173,3.69,3.7,3.69,3.7,3413,2022-05-27 16:20:00
174,3.7,3.705,3.695,3.705,3079,2022-05-27 16:21:00
175,3.705,3.705,3.7016,3.7016,5000,2022-05-27 16:22:00
176,3.7,3.705,3.695,3.695,2300,2022-05-27 16:23:00
177,3.69,3.69,3.69,3.69,100,2022-05-27 16:24:00
178,3.7,3.7,3.695,3.695,700,2022-05-27 16:26:00
179,3.695,3.695,3.695,3.695,250,2022-05-27 16:27:00
180,3.6949,3.6949,3.6949,3.6949,1000,2022-05-27 16:28:00
181,3.69,3.69,3.685,3.69,5500,2022-05-27 16:29:00
182,3.685,3.69,3.685,3.685,300,2022-05-27 16:30:00
183,3.685,3.685,3.6801,3.6801,2100,2022-05-27 16:31:00
184,3.69,3.695,3.69,3.695,5578,2022-05-27 16:34:00
185,3.695,3.71,3.695,3.71,7105,2022-05-27 16:36:00
186,3.7001,3.705,3.7001,3.705,1150,2022-05-27 16:37:00
187,3.705,3.705,3.705,3.705,650,2022-05-27 16:38:00
188,3.705,3.705,3.705,3.705,100,2022-05-27 16:41:00
189,3.705,3.705,3.705,3.705,100,2022-05-27 16:42:00
190,3.71,3.745,3.705,3.74,18329,2022-05-27 16:43:00
191,3.732,3.735,3.732,3.735,359,2022-05-27 16:44:00
192,3.732,3.732,3.732,3.732,500,2022-05-27 16:45:00
193,3.73,3.73,3.72,3.72,2499,2022-05-27 16:46:00
194,3.725,3.725,3.725,3.725,100,2022-05-27 16:48:00
195,3.72,3.74,3.72,3.74,4897,2022-05-27 16:49:00
