,open,high,low,close,volume,datetime
0,23.34,23.34,23.34,23.34,200,2022-05-27 14:50:00
1,23.315,23.315,23.315,23.315,100,2022-05-27 15:44:00
2,23.31,23.31,23.31,23.31,100,2022-05-27 16:04:00
3,23.165,23.165,23.165,23.165,100,2022-05-31 14:40:00
4,23.165,23.165,23.165,23.165,100,2022-05-31 14:45:00
5,23.1877,23.1877,23.1877,23.1877,220,2022-05-31 16:51:00
6,23.19,23.19,23.19,23.19,100,2022-05-31 18:20:00
7,23.17,23.17,23.17,23.17,200,2022-05-31 19:52:00
8,23.03,23.03,23.03,23.03,200,2022-06-01 14:52:00
9,23.0356,23.0356,23.0356,23.0356,180,2022-06-01 14:54:00
10,23.0176,23.0176,23.0176,23.0176,265,2022-06-01 15:06:00
11,23.01,23.01,23.01,23.01,100,2022-06-01 16:38:00
12,23.01,23.01,23.01,23.01,100,2022-06-01 16:39:00
13,23.01,23.01,23.01,23.01,100,2022-06-01 19:37:00
14,23.02,23.02,23.02,23.02,803,2022-06-02 14:49:00
15,23.05,23.05,23.05,23.05,100,2022-06-02 15:10:00
16,23.04,23.0485,23.04,23.0401,440,2022-06-02 15:15:00
17,23.06,23.06,23.06,23.06,768,2022-06-02 15:18:00
18,23.04,23.04,23.04,23.04,100,2022-06-02 15:44:00
19,23.0302,23.0302,23.0302,23.0302,200,2022-06-02 16:57:00
20,23.03,23.03,23.03,23.03,702,2022-06-02 18:50:00
21,23.0277,23.0277,23.0277,23.0277,115,2022-06-03 14:27:00
22,23.0,23.0,23.0,23.0,200,2022-06-03 19:14:00
23,22.9106,22.9106,22.9106,22.9106,201,2022-06-06 14:46:00
24,22.915,22.915,22.915,22.915,200,2022-06-06 16:17:00
25,22.89,22.89,22.89,22.89,182,2022-06-06 19:30:00
26,22.97,22.97,22.97,22.97,225,2022-06-07 17:42:00
27,22.955,22.955,22.955,22.955,300,2022-06-07 19:29:00
28,22.9051,22.9051,22.9051,22.9051,8777,2022-06-08 19:36:00
29,22.869,22.869,22.869,22.869,537,2022-06-09 14:41:00
30,22.86,22.86,22.86,22.86,100,2022-06-09 14:59:00
31,22.86,22.86,22.86,22.86,100,2022-06-09 16:17:00
32,22.882,22.882,22.882,22.882,538,2022-06-09 18:37:00
33,22.87,22.87,22.87,22.87,525,2022-06-09 19:12:00
34,22.87,22.87,22.87,22.87,105,2022-06-09 20:00:00
35,22.76,22.76,22.76,22.76,500,2022-06-10 14:13:00
36,22.74,22.74,22.74,22.74,100,2022-06-10 14:43:00
37,22.7,22.7,22.7,22.7,100,2022-06-10 15:52:00
38,22.675,22.69,22.675,22.69,1600,2022-06-10 17:26:00
39,22.68,22.68,22.68,22.68,100,2022-06-10 17:31:00
40,22.66,22.66,22.66,22.66,100,2022-06-10 19:35:00
